comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Nhpc,INE848E01016,3,2,1,33,09-Nov-2018,161,Buy,Mid Cap,145,214,25,-53,40
Oil natural gas corporation,INE213A01029,3,4,-1,-33,09-Nov-2018,161,Buy,Large Cap,227,214,203,-563,382
Pc jeweller,INE785M01013,2,4,-2,-100,09-Oct-2018,192,Buy,Mid Cap,210,213,82,92,184
Tata steel,INE081A01012,5,6,-1,-20,03-Jul-2018,290,Buy,Large Cap,114,212,606,0,1418
Nmdc,INE584A01023,5,3,2,40,02-Jan-2019,107,Buy,Large Cap,379,211,122,-195,147
Vedanta,INE205A01025,5,7,-2,-40,04-Feb-2019,74,Buy,Large Cap,145,211,224,152,385
Jk tyre industries,INE573A01042,2,3,-1,-50,05-Feb-2019,73,Buy,Small Cap,13,209,116,-53,147
Bharat petroleum corporation,INE029A01011,4,3,1,25,02-Jan-2019,107,Buy,Large Cap,157,209,334,226,409
Tata chemicals,INE092A01019,2,3,-1,-50,04-Apr-2018,380,Buy,Mid Cap,154,209,748,613,1035
Tata coffee,INE493A01027,5,3,2,40,09-Nov-2018,161,Buy,Micro Cap,145,207,110,-499,114
Dish tv,INE836F01026,5,4,1,20,28-Jan-2019,81,Buy,Mid Cap,102,205,67,0,0
Fortis healthcare,INE061F01013,2,2,0,0,04-Apr-2018,380,Buy,Small Cap,-1,205,144,0,0
Piramal enterprises,INE140A01024,5,5,0,0,04-Apr-2018,380,Buy,Large Cap,16,205,2927,0,2684
Manappuram finance,INE522D01027,2,1,1,50,18-Apr-2018,366,Buy,Small Cap,16,204,87,16,96
Future consumer,INE220J01025,2,1,1,50,02-Feb-2018,441,Buy,Mid Cap,32,203,50,0,0
Indiabulls housing finance,INE148I01020,3,2,1,33,04-Dec-2018,136,Buy,Large Cap,-91,202,1145,732,858
Jsw steel,INE019A01038,5,3,2,40,09-Nov-2018,161,Buy,Large Cap,138,198,400,148,302
Power finance corporation,INE134E01011,5,3,2,40,09-Nov-2018,161,Buy,Mid Cap,-87,118,82,226,278
Nlc,INE589A01014,3,2,1,33,26-Oct-2018,175,Buy,Mid Cap,152,117,70,167,119
Ntpc,INE733E01010,10,8,2,20,28-Mar-2019,22,Buy,Large Cap,145,114,170,-1388,189
Tata power co,INE245A01021,2,2,0,0,04-Apr-2018,380,Buy,Mid Cap,10,114,74,0,145
Uflex,INE516A01017,2,2,0,0,09-Oct-2018,192,Buy,Micro Cap,136,113,312,485,740
Hindalco industries,INE038A01020,5,3,2,40,03-Jul-2018,290,Buy,Large Cap,134,112,238,407,386
Cox kings,INE008I01026,2,2,0,0,01-Feb-2018,442,Buy,Small Cap,131,112,217,516,311
General insurance corporation,INE481Y01014,10,3,7,70,04-Dec-2018,136,Buy,Large Cap,11,112,327,0,371
Jain irrigation systems,INE175A01038,2,2,0,0,09-Nov-2018,161,Buy,Small Cap,38,111,87,-422,100
Eid parry,INE126A01031,3,3,0,0,02-Jan-2019,107,Buy,Small Cap,116,111,213,381,261
Power grid corporation,INE752E01010,5,6,-1,-20,09-Nov-2018,161,Buy,Large Cap,19,110,194,233,198
Muthoot finance,INE414G01012,5,3,2,40,04-Dec-2018,136,Buy,Mid Cap,118,110,451,635,465
Sobha,INE671H01015,2,2,0,0,03-Jul-2018,290,Buy,Small Cap,141,109,430,-68860,396
Lic housing finance,INE115A01026,5,3,2,40,04-Dec-2018,136,Buy,Mid Cap,-96,108,477,537,494
Rajesh exports,INE343B01030,2,4,-2,-100,09-Oct-2018,192,Buy,Mid Cap,142,104,702,0,497
Adani transmission,INE931S01010,2,1,1,50,26-Jul-2018,267,Buy,Mid Cap,110,102,182,0,100
Avanti feeds,INE871C01038,2,5,-3,-150,29-Oct-2018,172,Buy,Mid Cap,448,100,413,93,235
Aurobindo pharma,INE406A01037,5,2,3,60,02-Jan-2018,472,Buy,Large Cap,253,98,774,238,433
Balrampur chini mills,INE119A01028,2,2,0,0,02-Jan-2019,107,Buy,Micro Cap,144,11,78,209,112
Bse,INE118H01025,2,4,-2,-100,08-Oct-2018,193,Buy,Small Cap,520,10,731,383,769
Chambal fertilizers chemicals,INE085A01013,2,2,0,0,09-Nov-2018,161,Buy,Small Cap,118,9,159,233,140
Brigade enterprises,INE791I01019,2,3,-1,-50,09-Oct-2018,192,Buy,Small Cap,41,8,197,166,218
Bharat electronics,INE263A01024,5,8,-3,-60,18-Apr-2019,1,Buy,Large Cap,1793,8,88,140,66
