comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Nhpc,INE848E01016,3,2,1,33,09-Nov-2018,162,Buy,Mid Cap,145,214,25,-53,40
Fortis healthcare,INE061F01013,3,2,1,33,04-Apr-2018,381,Buy,Small Cap,-1,205,144,0,0
Manappuram finance,INE522D01027,3,1,2,67,18-Apr-2018,367,Buy,Small Cap,16,204,87,16,96
Future consumer,INE220J01025,3,1,2,67,02-Feb-2018,442,Buy,Mid Cap,32,203,50,0,0
Indiabulls housing finance,INE148I01020,3,2,1,33,04-Dec-2018,137,Buy,Large Cap,-91,202,1145,732,858
Jsw steel,INE019A01038,6,3,3,50,09-Nov-2018,162,Buy,Large Cap,138,198,400,148,302
Nlc,INE589A01014,3,2,1,33,26-Oct-2018,176,Buy,Mid Cap,152,117,70,167,119
Ntpc,INE733E01010,15,8,7,47,28-Mar-2019,23,Buy,Large Cap,145,114,170,-1388,189
Tata power co,INE245A01021,3,2,1,33,04-Apr-2018,381,Buy,Mid Cap,10,114,74,0,145
Uflex,INE516A01017,3,2,1,33,09-Oct-2018,193,Buy,Micro Cap,136,113,312,485,740
Cox kings,INE008I01026,3,2,1,33,01-Feb-2018,443,Buy,Small Cap,131,112,217,516,311
Jain irrigation systems,INE175A01038,3,2,1,33,09-Nov-2018,162,Buy,Small Cap,38,111,87,-422,100
Sobha,INE671H01015,3,2,1,33,03-Jul-2018,291,Buy,Small Cap,141,109,430,-68860,396
Adani transmission,INE931S01010,3,1,2,67,26-Jul-2018,268,Buy,Mid Cap,110,102,182,0,100
Aurobindo pharma,INE406A01037,3,2,1,33,02-Jan-2018,473,Buy,Large Cap,253,98,774,238,433
Balrampur chini mills,INE119A01028,3,2,1,33,02-Jan-2019,108,Buy,Micro Cap,144,11,78,209,112
Chambal fertilizers chemicals,INE085A01013,3,2,1,33,09-Nov-2018,162,Buy,Small Cap,118,9,159,233,140
Housing urban development corporation,INE031A01017,3,2,1,33,03-Jul-2018,291,Buy,Mid Cap,11,6,56,291,72
Kaveri seed company,INE455I01029,3,2,1,33,02-Jan-2019,108,Buy,Small Cap,1421,3,620,642,374
Hcl technologies,INE860A01027,3,2,1,33,03-Jul-2018,291,Buy,Large Cap,385,1,1087,1060,635
Essel propack,INE255A01020,3,2,1,33,09-Oct-2018,193,Buy,Small Cap,155,1,113,101,73
Pi industries,INE603J01030,3,2,1,33,02-Jan-2019,108,Buy,Mid Cap,0,0,0,0,0
