amfi_rank, amfi_cname, amfi_isin, amfi_ticker, amfi_mcap, amfi_captype
1, Tata consultancy services, INE467B01029, TCS, 609949,  Large Cap 
2, Reliance industries, INE002A01018, RELIANCE, 603880,  Large Cap 
3, Hdfc bank, INE040A01026, HDFCBANK, 504850,  Large Cap 
4, Itc, INE154A01025, ITC, 328388,  Large Cap 
5, Hindustan unilever, INE030A01027, HINDUNILVR, 310473,  Large Cap 
6, Housing development finance corplt, INE001A01036, HDFC, 302362,  Large Cap 
7, Maruti suzuki, INE585B01010, MARUTI, 270719,  Large Cap 
8, Infosys, INE009A01021, INFY, 257789,  Large Cap 
9, Oil natural gas corporation, INE213A01029, ONGC, 234474,  Large Cap 
10, State bank of, INE062A01020, SBIN, 234343,  Large Cap 
11, Kotak mahindra bank, INE237A01028, KOTAKBANK, 220006,  Large Cap 
12, Icici bank, INE090A01021, ICICIBANK, 194457,  Large Cap 
13, Larsen toubro, INE018A01030, LT, 187311,  Large Cap 
14, Coal, INE522F01014, COALINDIA, 177671,  Large Cap 
15, Indian oil corporation, INE242A01010, IOC, 173488,  Large Cap 
16, Bharti airtel, INE397D01024, BHARTIARTL, 165804,  Large Cap 
17, Ntpc, INE733E01010, NTPC, 138077,  Large Cap 
18, Axis bank, INE238A01034, AXISBANK, 137856,  Large Cap 
19, Hcl technologies, INE860A01027, HCLTECH, 131824,  Large Cap 
20, Wipro, INE075A01022, WIPRO, 129723,  Large Cap 
21, Hindustan zinc, INE267A01025, HINDZINC, 129336,  Large Cap 
22, Sun pharmaceutical industries, INE044A01036, SUNPHARMA, 127722,  Large Cap 
23, Asian paints, INE021A01026, ASIANPAINT, 114186,  Large Cap 
24, Tata motors, INE155A01022, TATAMOTORS, 110881,  Large Cap 
25, Ultratech cement, INE481G01011, ULTRACEMCO, 110759,  Large Cap 
26, Vedanta, INE205A01025, VEDL, 109187,  Large Cap 
27, Bajaj finance, INE296A01024, BAJFINANCE, 108156,  Large Cap 
28, Indusind bank, INE095A01012, INDUSINDBK, 108074,  Large Cap 
29, Power grid corporation of, INE752E01010, POWERGRID, 104378,  Large Cap 
30, Mahindra mahindra, INE101A01026, M&M, 99800,  Large Cap 
31, Hdfc standard life insurance company, INE795G01014, HDFCLIFE, 93944,  Large Cap 
32, Bharat petroleum corpn, INE029A01011, BPCL, 93548,  Large Cap 
33, Bajaj auto, INE917I01010, BAJAJ-AUTO, 85676,  Large Cap 
34, Bajaj finserv, INE918I01018, BAJAJFINSV, 85322,  Large Cap 
35, Avenue supermarts, INE192R01011, DMART, 85049,  Large Cap 
36, Nestle, INE239A01016, NESTLEIND, 82052,  Large Cap 
37, Adani ports special economic zone, INE742F01042, ADANIPORTS, 81503,  Large Cap 
38, Titan company, INE280A01028, TITAN, 79395,  Large Cap 
39, Eicher motors, INE066A01013, EICHERMOT, 78980,  Large Cap 
40, Yes bank, INE528G01027, YESBANK, 75861,  Large Cap 
41, Jsw steel, INE019A01038, JSWSTEEL, 74567,  Large Cap 
42, Godrej consumer products, INE102D01028, GODREJCP, 73986,  Large Cap 
43, Hero motocorp, INE158A01026, HEROMOTOCO, 72392,  Large Cap 
44, Grasim industries, INE047A01021, GRASIM, 72361,  Large Cap 
45, Gail, INE129A01019, GAIL, 71875,  Large Cap 
46, Motherson sumi systems, INE775A01035, MOTHERSUMI, 70561,  Large Cap 
47, Sbi life insurance company, INE123W01016, SBILIFE, 69153,  Large Cap 
48, Tata steel, INE081A01012, TATASTEEL, 68910,  Large Cap 
49, General insurance corporation of, INE481Y01014, GICRE, 64104,  Large Cap 
50, Dabur, INE016A01026, DABUR, 62645,  Large Cap 
51, Britannia industries, INE216A01022, BRITANNIA, 62400,  Large Cap 
52, Tech mahindra, INE669C01036, TECHM, 62221,  Large Cap 
53, Bharti infratel, INE121J01017, INFRATEL, 61031,  Large Cap 
54, Bandhan bank, INE545U01014, BANDHANBNK, 59878,  Large Cap 
55, Shree cements, INE070A01015, SHREECEM, 58810,  Large Cap 
56, Icici prudential life insurance company, INE726G01019, ICICIPRULI, 58332,  Large Cap 
57, Bosch, INE323A01026, BOSCHLTD, 57571,  Large Cap 
58, Zee entertainment enterprises, INE256A01028, ZEEL, 55276,  Large Cap 
59, The new assurance company, INE470Y01017, NIACL, 54969,  Large Cap 
60, Hindalco industries, INE038A01020, HINDALCO, 53810,  Large Cap 
61, Indiabulls housing finance, INE148I01020, IBULHSGFIN, 53272,  Large Cap 
62, Hindustan petroleum corporation, INE094A01015, HINDPETRO, 53083,  Large Cap 
63, Pidilite industries, INE318A01026, PIDILITIND, 50466,  Large Cap 
64, Interglobe aviation, INE646L01027, INDIGO, 48493,  Large Cap 
65, United spirits, INE854D01024, UNITDSPR, 48469,  Large Cap 
66, Ambuja cements, INE079A01024, AMBUJACEM, 47238,  Large Cap 
67, Cipla, INE059A01026, CIPLA, 46807,  Large Cap 
68, Piramal enterprises, INE140A01024, PEL, 45871,  Large Cap 
69, Ashok leyland, INE208A01029, ASHOKLEY, 41372,  Large Cap 
70, Marico, INE196A01026, MARICO, 41087,  Large Cap 
71, Cadila healthcare, INE010B01027, CADILAHC, 40733,  Large Cap 
72, Siemens, INE003A01024, SIEMENS, 40201,  Large Cap 
73, Nmdc, INE584A01023, NMDC, 39854,  Large Cap 
74, Dlf, INE271C01023, DLF, 39282,  Large Cap 
75, Lupin, INE326A01037, LUPIN$, 37107,  Large Cap 
76, Upl, INE628A01036, UPL, 36887,  Large Cap 
77, Biocon, INE376G01013, BIOCON, 36655,  Large Cap 
78, Sun tv network, INE424H01027, SUNTV, 36464,  Large Cap 
79, Dr reddys laboratories, INE089A01023, DRREDDY, 36148,  Large Cap 
80, Aurobindo pharma, INE406A01037, AUROPHARMA, 35551,  Large Cap 
81, Bank of baroda, INE028A01039, BANKBARODA, 35201,  Large Cap 
82, Icici lombard general insurance company, INE765G01017, ICICIGI, 35103,  Large Cap 
83, Bharat electronics, INE263A01024, BEL, 34980,  Large Cap 
84, Hindustan aeronautics, INE066F01012, HAL, 34934,  Large Cap 
85, Petronet lng, INE347G01014, PETRONET, 34793,  Large Cap 
86, Aditya birla capital, INE674K01013, ABCAPITAL, 34583,  Large Cap 
87, Oracle financial services software, INE881D01027, OFSS, 34340,  Large Cap 
88, Steel authority of, INE114A01011, SAIL, 33647,  Large Cap 
89, Havells, INE176B01034, HAVELLS, 33334,  Large Cap 
90, Bharat forge, INE465A01025, BHARATFORG, 33221,  Large Cap 
91, Shriram transport finance co, INE721A01013, SRTRANSFIN, 32937,  Large Cap 
92, Container corporation of, INE111A01025, CONCOR, 32319,  Large Cap 
93, L&t finance holdings, INE498L01015, L&TFH, 32105,  Large Cap 
94, Bharat heavy electricals, INE257A01026, BHEL, 32014,  Large Cap 
95, Mrf, INE883A01011, MRF, 31142,  Large Cap 
96, Idea cellular, INE669E01016, IDEA, 30925,  Large Cap 
97, Procter gamble hygiene health care, INE179A01014, PGHH, 30662,  Large Cap 
98, Bajaj holdings investment, INE118A01012, BAJAJHLDNG, 30644,  Large Cap 
99, Tvs motor company, INE494B01023, TVSMOTOR, 30634,  Large Cap 
100, Colgate palmolive, INE259A01022, COLPAL, 30609,  Large Cap 
101, United breweries, INE686F01025, UBL, 29338,  Mid Cap 
102, Mahindra mahindra financial services, INE774D01024, M&MFIN, 29124,  Mid Cap 
103, Acc, INE012A01025, ACC, 29023,  Mid Cap 
104, Divis laboratories, INE361B01024, DIVISLAB, 28918,  Mid Cap 
105, Abb, INE117A01022, ABB, 28908,  Mid Cap 
106, Punjab national bank, INE160A01022, PNB, 28610,  Mid Cap 
107, Nhpc, INE848E01016, NHPC, 28582,  Mid Cap 
108, Future retail, INE752P01024, FRETAIL, 27905,  Mid Cap 
109, Kansai nerolac paints, INE531A01024, KANSAINER, 26867,  Mid Cap 
110, Glaxosmithkline consumer healthcare, INE264A01014, GSKCONS, 26570,  Mid Cap 
111, Lic housing finance, INE115A01026, LICHSGFIN, 26345,  Mid Cap 
