isin_code, isin_name
IN9155A01020, Tata motors dvr
INE001A01036, Housing development finance corporation 
INE001B01026, Krbl 
INE002A01018, Reliance industries 
INE002L01015, Sjvn 
INE002S01010, Mahanagar gas 
INE003A01024, Siemens 
INE006I01046, Astral poly technik 
INE007A01025, Crisil 
INE008A01015, Idbi bank 
INE008I01026, Cox kings 
INE009A01021, Infosys 
INE010A01011, Prism johnson 
INE010B01027, Cadila healthcare 
INE010J01012, Tejas networks 
INE010V01017, L&t technology services 
INE012A01025, Acc 
INE013A01015, Reliance capital 
INE016A01026, Dabur 
INE017A01032, Great eastern shipping co 
INE018A01030, Larsen toubro 
INE018I01017, Mindtree 
INE019A01038, Jsw steel 
INE019C01026, Himadri speciality chemical 
INE020B01018, Rural electrification corporation 
INE021A01026, Asian paints 
INE022Q01012, Indian energy exchange 
INE026A01025, Gujarat state fertilizers chemicals 
INE027A01015, Rashtriya chemicals fertilizers 
INE028A01039, Bank of baroda
INE029A01011, Bharat petroleum corporation 
INE030A01027, Hindustan unilever 
INE031A01017, Housing urban development corporation 
INE031B01049, Ajanta pharmaceuticals 
INE032A01023, Bombay dyeing manufacturing co 
INE034A01011, Arvind 
INE036A01016, Reliance infrastructure 
INE036D01028, Karur vysya bank 
INE038A01020, Hindalco industries 
INE038F01029, Tv today network 
INE039A01010, Ifci 
INE039C01032, Jamna auto industries 
INE040A01026, Hdfc bank 
INE040H01021, Suzlon energy 
INE042A01014, Escorts 
INE043D01016, Idfc 
INE044A01036, Sun pharmaceutical industries 
INE047A01021, Grasim industries 
INE048G01026, Navin fluorine international 
INE049A01027, Himatsingka seide 
INE049B01025, Wockhardt 
INE050A01025, Bombay burmah trading corporation 
INE051B01021, Vakrangee 
INE053A01029, Indian hotels co 
INE054A01027, Vip industries 
INE055A01016, Century textile industries 
INE056C01010, Tata metaliks 
INE058A01010, Sanofi 
INE059A01026, Cipla 
INE059D01020, La opala rg 
INE060A01024, Navneet education 
INE061F01013, Fortis healthcare 
INE062A01020, State bank of 
INE064C01014, Trident 
INE066A01013, Eicher motors 
INE066P01011, Inox wind 
INE067A01029, Cg power industrial solutions 
INE069I01010, Indiabulls real estate 
INE070A01015, Shree cement 
INE070D01027, Jai corp 
INE074A01025, Praj industries 
INE075A01022, Wipro 
INE077A01010, Dena bank
INE079A01024, Ambuja cements 
INE081A01012, Tata steel 
INE084A01016, Bank of 
INE085A01013, Chambal fertilizers chemicals 
INE087A01019, Kesoram industries 
INE087H01022, Shree renuka sugars 
INE089A01023, Dr reddys laboratories 
INE089C01029, Sterlite technologies 
INE090A01021, Icici bank 
INE092A01019, Tata chemicals 
INE092T01019, Idfc bank 
INE093A01033, Hexaware technologies 
INE093I01010, Oberoi realty 
INE094A01015, Hindustan petroleum corporation 
INE094I01018, Kolte patil developers 
INE095A01012, Indusind bank 
INE095N01031, Nbcc 
INE100A01010, Atul 
INE101A01026, Mahindra mahindra 
INE101D01020, Granules 
INE102D01028, Godrej consumer products 
INE103A01014, Mangalore refinery petrochemicals 
INE105A01035, Sundaram clayton 
INE107A01015, Tamil nadu newsprint papers 
INE109A01011, Shipping corporation of 
INE111A01017, Container corporation of 
