Scrip Code,COMPANY,ISIN No.,Close Price
523395,3M India Ltd,INE470A01017,24929.3
512161,8K Miles Software Services Ltd,INE650K01021,352.8
524208,Aarti Industries Ltd.,INE769A01020,1350
500002,ABB India Ltd,INE117A01022,1207.35
500488,Abbott India Ltd,INE358A01014,7631.9
500410,ACC Ltd,INE012A01025,1565.15
532921,Adani Ports and Special Economic Zone,INE742F01042,373.35
533096,Adani Power Ltd,INE814H01011,31.65
539254,Adani Transmission Ltd,INE931S01010,165.9
535755,Aditya Birla Fashion and Retail Ltd,INE647O01011,192.75
540025,Advanced Enzyme Technologies Ltd,INE837H01020,215.35
500003,Aegis Logistics Ltd,INE208C01025,236.9
532683,AIA Engineering Ltd,INE212H01026,1797.35
532331,Ajanta Pharma Ltd,INE031B01049,1166.85
500710,Akzo Nobel India Ltd,INE133A01011,1733.65
533573,Alembic Pharmaceuticals Ltd,INE901L01018,580.05
539523,Alkem Laboratories Ltd,INE540L01014,2014.7
532480,Allahabad Bank,INE428A01015,40
532749,AllCargo Logistics Ltd,INE418H01029,115.75
500008,Amara Raja Batteries Ltd,INE885A01032,845.4
500425,Ambuja Cements Ltd,INE079A01024,226.55
532418,Andhra Bank,INE434A01013,32.2
532259,Apar Industries Ltd,INE372A01015,577.85
533758,APL Apollo Tubes Ltd,INE702C01019,1734.4
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,1129.05
500877,Apollo Tyres Ltd,INE438A01022,267.15
500101,Arvind Limited,INE034A01011,396.4
515030,Asahi India Glass Ltd,INE439A01020,331.7
500477,Ashok Leyland Ltd,INE208A01029,126
533271,Ashoka Buildcon Ltd,INE442H01029,138.65
500820,Asian Paints Ltd,INE021A01026,1395.55
532830,Astral Polytechnik Ltd,INE006I01046,1141.55
500027,Atul Ltd.,INE100A01010,3032.85
540611,AU Small Finance Bank Ltd,INE949L01017,683.15
524804,Aurobindo Pharma Ltd,INE406A01037,630.85
512573,Avanti Feeds Ltd,INE871C01038,461.95
540376,Avenue Supermarts Ltd,INE192R01011,1575.5
532215,Axis Bank Ltd,INE238A01034,618.3
532977,Bajaj Auto Ltd,INE917I01010,2645.55
533229,Bajaj Corp Ltd,INE933K01021,420.7
500031,Bajaj Electricals Ltd,INE193E01025,558.5
500034,Bajaj Finance Ltd,INE296A01024,2828.7
532978,Bajaj Finserv Ltd,INE918I01018,7073.1
500490,Bajaj Holdings and Investment Ltd,INE118A01012,2985.25
502355,Balkrishna Industries Ltd,INE787D01026,1335.25
523319,Balmer Lawrie & Co. Ltd.,INE164A01016,220.55
500038,Balrampur Chini Mills Ltd,INE119A01028,72.3
532134,Bank of Baroda,INE028A01039,146.3
532149,Bank of India,INE084A01016,90.35
532525,Bank Of Maharashtra,INE457A01014,12.83
500042,BASF India Limited,INE373A01013,1956.05
500043,Bata India Ltimited,INE176A01028,1000.75
506285,Bayer CropScience Ltd/India,INE462A01022,4190.85
500048,BEML Ltd,INE258A01016,794
509480,Berger Paints India Ltd,INE463A01038,323.65
500049,Bharat Electronics Ltd,INE263A01024,117.55
533228,Bharat Financial Inclusion Ltd,INE180K01011,1219
500493,Bharat Forge Ltd,INE465A01025,619.95
500103,Bharat Heavy Electricals Ltd,INE257A01026,72.3
500547,Bharat Petroleum Corp Ltd,INE029A01011,377.55
532454,Bharti Airtel Ltd,INE397D01024,366.5
534816,Bharti Infratel Ltd.,INE121J01017,283.6
532523,Biocon Ltd,INE376G01013,589.25
500335,Birla Corp Ltd,INE340A01012,756.1
506197,Bliss Gvs Pharma Ltd,INE416D01022,179.6
526612,Blue Dart Express Ltd,INE233B01017,3624.6
500067,Blue Star Ltd,INE472A01039,683.15
501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,1533.4
500020,Bombay Dyeing & Manufacturing Co Ltd,INE032A01023,259.95
500530,Bosch Ltd,INE323A01026,19126.75
500825,Britannia Industries Ltd.,INE216A01022,6465.75
532321,Cadila Healthcare Ltd,INE010B01027,340.05
511196,Can Fin Homes Ltd,INE477A01020,314.05
532483,Canara Bank,INE476A01014,270.45
532938,Capital First Ltd.,INE688I01017,596.45
524742,Caplin Point Laboratories Ltd,INE475E01026,403.2
513375,Carborundum Universal Ltd,INE120A01034,351.4
534804,CARE Ratings Ltd,INE752H01013,1286.25
500870,Castrol India Ltd,INE172A01027,154.85
519600,CCL Products (India) Ltd.,INE421D01022,256.2
500878,CEAT Ltd,INE482A01020,1436.55
532885,Central Bank of India,INE483A01010,68.7
501150,Centrum Capital Ltd,INE660C01027,52.35
532548,Century Plyboards India Ltd,INE348B01021,227.35
500040,Century Textile & Industries Ltd,INE055A01016,913.4
532443,Cera Sanitaryware Ltd,INE739E01017,2799.1
500084,CESC Ltd,INE486A01013,911
500093,CG Power and Industrial Solutions Ltd,INE067A01029,59.65
500085,Chambal Fertilizers & Chemicals Ltd,INE085A01013,137.7
500110,Chennai Petroleum Corp Ltd,INE178A01016,309.45
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01016,1470.55
500087,Cipla Ltd/India,INE059A01026,641.95
532210,City Union Bank Ltd.,INE491A01021,184.8
533278,Coal India Ltd,INE522F01014,281.5
540678,Cochin Shipyard Ltd,INE704P01017,441.15
539436,Coffee Day Enterprises Ltd,INE335K01011,244.85
500830,Colgate-Palmolive India Ltd,INE259A01022,1131.25
531344,Container Corp Of India,INE111A01025,641.65
506395,Coromandel International Ltd,INE169A01031,426.65
532179,Corp Bank,INE112A01023,28.3
533144,Cox & Kings Ltd,INE008I01026,213.15
500092,CRISIL Ltd,INE007A01025,1798.25
539876,Crompton Greaves Consumer Electricals Ltd,INE299U01018,263.1
500480,Cummins India Ltd,INE298A01020,672.15
532175,Cyient Ltd,INE136B01020,714.55
500096,Dabur India Ltd,INE016A01026,452.9
533309,Dalmia Bharat Ltd,INE439L01019,2593.45
533151,DB Corp Ltd,INE950I01011,247.05
532772,DCB Bank Ltd,INE503A01015,165.3
523367,DCM Shriram Ltd,INE499A01024,378.6
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,263.55
506401,Deepak Nitrite Limited,INE288B01029,279.15
532848,Delta Corp. Ltd.,INE124G01033,260.3
532121,Dena Bank,INE077A01010,16.8
511072,Dewan Housing Finance Corp Ltd,INE202B01012,658.5
507717,Dhanuka Agritech Ltd,INE435G01025,543.45
540047,Dilip Buildcon Ltd,INE917M01012,844.15
532839,Dish TV India Ltd,INE836F01026,67.1
532488,Divi's Laboratories Ltd,INE361B01024,1155.1
532868,DLF Ltd,INE271C01023,202.9
500124,Dr Reddy's Laboratories Ltd,INE089A01023,2279.2
539524,Dr. Lal PathLabs Ltd,INE600L01024,963.9
532927,eClerx Services Ltd,INE738I01010,1144.75
532922,Edelweiss Financial Services Ltd,INE532F01054,282.8
505200,Eicher Motors Ltd,INE066A01013,28929.75
500125,EID Parry India Ltd,INE126A01031,220
500840,EIH Ltd,INE230A01023,179.15
522074,Elgi Equipments Ltd.,INE285A01027,287.15
531162,Emami Ltd,INE548C01032,573.75
540153,Endurance Technologies Ltd,INE913H01037,1480.65
532178,Engineers India Ltd,INE510A01028,119.75
532700,Entertainment Network India,INE265F01028,704.65
539844,Equitas Holdings Ltd,INE988K01017,142
540596,Eris Lifesciences Ltd,INE406M01024,707.15
500495,Escorts Ltd,INE042A01014,875
500135,Essel Propack Ltd.,INE255A01020,107
531508,Eveready Industries India Ltd,INE128A01029,238.7
500086,Exide Industries Ltd,INE302A01020,292.1
531599,FDC Ltd,INE258B01022,247.5
500469,Federal Bank Ltd,INE171A01029,88.6
500144,Finolex Cables Ltd,INE235A01022,593.4
500940,Finolex Industries Ltd,INE183A01016,607.85
532809,Firstsource Solutions Ltd,INE684F01012,65.1
502865,Forbes & Company Ltd.,INE518A01013,2482.45
500033,Force Motors Ltd,INE451A01017,2496.15
532843,Fortis Healthcare Ltd.,INE061F01013,146.05
533400,Future Consumer Ltd,INE220J01025,45.15
536507,Future Lifestyle Fashions Limited,INE452O01016,429.6
540064,Future Retail Ltd,INE752P01024,494.85
532155,Gail India Ltd,INE129A01019,378.9
532622,Gateway Distriparks Ltd,INE852F01015,185.55
532309,GE Power India Ltd,INE878A01011,779.55
522275,GE T&D India Ltd,INE200A01026,279.65
540755,General Insurance Corporation of India,INE481Y01014,334.8
500171,GHCL Ltd,INE539A01019,244.25
511676,GIC Housing Finance Ltd,INE289B01019,342
507815,Gillette India Ltd,INE322A01010,6550.15
500676,GlaxoSmithKline Consumer Healthcare Ltd,INE264A01014,6781.2
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,3295.3
532296,Glenmark Pharmaceuticals Ltd,INE935A01035,583.4
532754,GMR Infrastructure Ltd,INE776C01039,17.8
500163,Godfrey Phillips India Ltd,INE260B01028,842.75
540743,Godrej Agrovet Ltd,INE850D01014,605.8
532424,Godrej Consumer Products Ltd,INE102D01028,1298.6
500164,Godrej Industries Ltd,INE233A01035,604.6
533150,Godrej Properties Ltd,INE484J01027,717.85
532482,Granules India Ltd,INE101D01020,104.7
509488,Graphite India Ltd.,INE371A01025,1097.9
500300,Grasim Industries Ltd,INE047A01021,988.1
500620,Great Eastern Shipping Co Ltd/The,INE017A01032,309.3
501455,Greaves Cotton Ltd.,INE224A01026,147.85
526797,Greenply Industries Ltd.,INE461C01038,197.45
506076,Grindwell Norton Ltd,INE536A01023,505.3
511288,GRUH Finance Ltd.,INE580B01029,322.65
530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,554.75
500173,Gujarat Fluorochemicals,INE538A01037,769.25
539336,Gujarat Gas Ltd,INE844O01022,772.4
532181,Gujarat Mineral Development Corp Ltd,INE131A01031,119.4
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,406.85
533248,Gujarat Pipavav Port Ltd,INE517F01014,109.65
500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,111.55
532702,Gujarat State Petronet Ltd,INE246F01010,200.1
538567,Gulf Oil Lubricants India Ltd,INE635Q01029,852.8
531531,Hatsun Agro Products Ltd,INE473B01035,676.55
517354,Havells India Ltd,INE176B01034,684.5
532281,HCL Technologies Ltd,INE860A01027,996.5
500180,HDFC Bank Ltd,INE040A01026,2089.15
540777,HDFC Standard Life Insurance Company Ltd,INE795G01014,468
509631,HEG Ltd,INE545A01016,4189.4
500292,HeidelbergCement India Ltd.,INE578A01017,160.35
519552,Heritage Foods Ltd,INE978A01027,589.2
500182,Hero MotoCorp Ltd,INE158A01026,3263
532129,Hexaware Technologies Ltd,INE093A01033,483.05
500183,Himachal Futuristic Communications Ltd,INE548A01028,24.25
500184,Himadri Speciality Chemical Ltd,INE019C01026,136.7
514043,Himatsingka Seide,INE049A01027,283.7
500440,Hindalco Industries Ltd,INE038A01020,221.4
500185,Hindustan Construction Co,INE549A01026,11.71
513599,Hindustan Copper,INE531E01026,61.5
500104,Hindustan Petroleum Corp Ltd,INE094A01015,270.05
500696,Hindustan Unilever Ltd,INE030A01027,1747.1
500188,Hindustan Zinc Ltd,INE267A01025,285.15
540530,Housing and Urban Development Corporation Ltd,INE031A01017,54.8
532873,Housing Development & Infrastructure Ltd,INE191I01012,26
500010,Housing Development Finance Corp,INE001A01036,1941.65
500187,HSIL Ltd,INE415A01038,315.35
532174,ICICI Bank Ltd,INE090A01021,332.3
540716,ICICI Lombard General Insurance Company Ltd,INE765G01017,779.75
540133,ICICI Prudential Life Insurance Company Ltd,INE726G01019,399.2
532835,ICRA Ltd.,INE725G01011,3661.85
500116,IDBI Bank Ltd,INE008A01015,60.3
532822,Idea Cellular Ltd,INE669E01016,52.1
539437,IDFC Bank Ltd,INE092T01019,44.5
532659,IDFC Limited,INE043D01016,49.9
505726,IFB Industries Ltd,INE559A01017,1149.9
500106,IFCI Ltd,INE039A01010,16.25
533177,IL&FS Transportation Networks Ltd,INE975G01012,34.3
530005,India Cements Ltd,INE383A01012,111
532189,India Tourism Development Corp Ltd,INE353K01014,402.25
535789,Indiabulls Housing Finance Limited,INE148I01020,1293.5
532832,Indiabulls Real Estate Ltd,INE069I01010,150.05
532960,Indiabulls Ventures Ltd,INE274G01010,744.65
532814,Indian Bank,INE562A01011,341.7
540750,Indian Energy Exchange Ltd,INE022Q01012,1619.65
500850,Indian Hotels Co Ltd,INE053A01029,124.95
530965,Indian Oil Corp Ltd,INE242A01010,160.6
532388,Indian Overseas Bank,INE565A01014,15.56
521016,Indo Count Industries Ltd,INE483B01026,76.35
532514,Indraprastha Gas Ltd,INE203G01027,284.85
532187,IndusInd Bank Ltd,INE095A01012,1998.1
539807,Infibeam Avenues Ltd,INE483S01020,198.7
532777,Info Edge (India) Ltd.,INE663F01024,1475.7
500209,Infosys Ltd,INE009A01021,1408.75
532706,Inox Leisure,INE312H01016,235.6
539083,Inox Wind Ltd,INE066P01011,96.05
538835,Intellect Design Arena Ltd.,INE306R01017,246.85
539448,InterGlobe Aviation Ltd,INE646L01027,1049.75
524494,Ipca Laboratories Ltd,INE571A01020,737.25
532947,IRB Infrastructure Developers Ltd,INE821I01014,190.35
533033,ISGEC Heavy Engineering Ltd,INE858B01011,6186.55
500875,ITC Ltd,INE154A01025,307.25
509496,ITD Cementation India Ltd,INE686A01026,133.75
523610,ITI Ltd,INE248A01017,87.7
532940,J Kumar Infraprojects Ltd,INE576I01022,221.55
530007,J. K. Tyre Industries Ltd,INE573A01042,128.55
506943,J.B.Chemicals & Pharmaceuticals Ltd.,INE572A01028,309.5
532644,J.K. Cement Ltd.,INE823G01014,777.9
532705,Jagran Prakashan Ltd,INE199G01027,115.15
512237,Jai Corp Ltd,INE070D01027,157.15
500219,Jain Irrigation Systems Ltd,INE175A01038,83.2
532532,Jaiprakash Associates Ltd,INE455F01025,13
532209,Jammu & Kashmir Bank Ltd,INE168A01041,58.8
520051,Jamna Auto Industries Ltd,INE039C01032,82.75
532617,Jet Airways India Ltd,INE802G01018,283.3
500378,Jindal SAW Ltd,INE324A01024,79.4
539597,Jindal Stainless (Hisar) Ltd,INE455T01018,131.9
532508,Jindal Stainless Ltd.,INE220G01021,62.45
532286,Jindal Steel & Power Ltd,INE749A01030,199.7
500380,JK Lakshmi Cement Ltd,INE786A01032,324.35
523405,JM Financial Ltd,INE780C01023,124.9
523398,Johnson Controls -Hitachi Air Conditioning India Ltd,INE782A01015,2065.9
533148,JSW Energy Ltd,INE121E01018,68.9
500228,JSW Steel Ltd,INE019A01038,340.4
533155,Jubilant FoodWorks Ltd,INE797F01012,1506.55
530019,Jubilant Life Sciences Ltd,INE700A01033,715.75
535648,Just Dial Ltd,INE599M01018,573.65
532926,Jyothy Laboratories Ltd,INE668F01031,222.35
500233,Kajaria Ceramics Ltd.,INE217B01036,415.55
522287,Kalpataru Power Transmission Ltd,INE220B01022,362.75
500165,Kansai Nerolac Paints Ltd.,INE531A01024,509.55
532652,Karnataka Bank Ltd,INE614B01018,119
532899,Kaveri Seed Co Ltd,INE455I01029,620.1
532714,KEC International Ltd/India,INE389H01022,300.45
517569,KEI Industries Ltd,INE878B01027,393.45
533293,Kirloskar Oil Engines Ltd,INE146L01010,251.05
532942,KNR Constructions Ltd,INE634I01029,228.15
500247,Kotak Mahindra Bank Ltd,INE237A01028,1291.6
532400,KPIT Technologies Ltd,INE836A01035,295.15
532889,KPR Mill Ltd,INE930H01023,625
530813,KRBL Ltd,INE001B01026,355
531882,Kwality Ltd,INE775B01025,21.25
533519,L&T Finance Holdings Ltd,INE498L01015,179.05
540115,L&T Technology Services Ltd,INE010V01017,1534.45
526947,La Opala Rg Ltd.,INE059D01020,251.5
500252,Lakshmi Machine Works Ltd,INE269B01029,7119.35
534690,Lakshmi Vilas Bank Ltd.,INE694C01018,92.7
540005,Larsen & Toubro Infotech Ltd,INE214T01019,1773.9
500510,Larsen & Toubro Ltd,INE018A01030,1253.5
540222,Laurus Labs Ltd,INE947Q01010,447.35
500253,LIC Housing Finance Ltd,INE115A01026,546.65
523457,Linde India Ltd,INE473A01011,416.7
500257,Lupin Ltd,INE326A01037,832.5
539542,Lux Industries Ltd,INE150G01020,1888.95
524000,Magma Fincorp Ltd.,INE511C01022,139.75
539957,Mahanagar Gas Ltd,INE002S01010,940.6
532720,Mahindra & Mahindra Financial Services Ltd,INE774D01024,487.7
500520,Mahindra & Mahindra Ltd,INE101A01026,952.05
532756,Mahindra CIE Automotive Ltd,INE536H01010,255
533088,Mahindra Holidays & Resorts India Ltd,INE998I01010,265.9
532313,Mahindra Lifespace Developers Ltd,INE813A01018,492.85
531213,Manappuram Finance Ltd,INE522D01027,103.5
500109,Mangalore Refinery & Petrochemicals Ltd,INE103A01014,80.9
539207,Manpasand Beverages Ltd,INE122R01018,131.5
531642,Marico Ltd,INE196A01026,364.05
532500,Maruti Suzuki India Ltd,INE585B01010,9129.85
500271,Max Financial Services Ltd,INE180A01020,467.9
539981,Max India Ltd,INE153U01017,85.3
532865,Meghmani Organics Ltd,INE974H01013,90.7
538962,Minda Corporation Ltd,INE842C01021,154.35
532539,Minda Industries Ltd,INE405E01023,417.05
532819,MindTree Ltd,INE018I01017,1006.55
513377,MMTC LTD,INE123F01029,33.4
533286,MOIL Ltd,INE490G01020,172.6
524084,Monsanto India Ltd,INE274B01011,2889.85
517334,Motherson Sumi Systems Ltd,INE775A01035,297.85
532892,Motilal Oswal Financial Services Ltd,INE338I01027,903.9
526299,MphasiS Ltd,INE356A01018,1166.8
500290,MRF Ltd,INE883A01011,73827.1
534091,Multi Commodity Exchange of India Limited,INE745G01035,855.65
533398,Muthoot Finance Ltd,INE414G01012,410.25
539551,Narayana Hrudayalaya Ltd,INE410P01011,245.7
524816,Natco Pharma Ltd,INE987B01026,753
532234,National Aluminium Co Ltd,INE139A01034,70.4
513023,Nava Bharat Ventures Ltd,INE725A01022,122.9
