comp_name, plan_units_1k, demat_units_1k, tbd_units, tbd_pct, demat_last_txn_date, demat_last_txn_type, top_500, sc_score
Info edge,5,2,3,60.00,18-Sep-2017,Buy,yes,15
Infosys,10,9,1,10.00,17-Mar-2017,Buy,yes,20
Interglobe aviation,5,2,3,60.00,01-Nov-2017,Buy,yes,21
Indian oil corporation,5,2,3,60.00,23-Mar-2018,Buy,yes,0
I t c,10,5,5,50.00,02-Nov-2017,Buy,yes,0
India tourism development corporation,2,0,2,100.00,27-Dec-2017,Sell,yes,0
Jain irrigation systems,2,1,1,50.00,29-Nov-2017,Buy,yes,19
-,2,0,2,100.00,,,-,0
Jk tyre industries,2,2,0,0.00,01-Feb-2018,Buy,yes,11
Johnson controls hitachi air conditioning,2,2,0,0.00,17-Oct-2017,Buy,yes,0
Jsw steel,5,2,3,60.00,06-Dec-2017,Buy,yes,20
Jubilant foodworks,2,3,-1,-50.00,01-Feb-2018,Buy,yes,14
Kajaria ceramics,2,2,0,0.00,01-Nov-2017,Buy,yes,17
Kansai nerolac paints,5,2,3,60.00,02-Jan-2018,Buy,yes,15
Kaveri seed company,3,0,3,100.00,02-Feb-2018,Buy,yes,17
Kotak mahindra bank,2,2,0,0.00,04-Apr-2018,Buy,yes,0
Krbl,2,0,2,100.00,22-Sep-2017,Buy,yes,18
-,2,0,2,100.00,,,-,0
L&t finance holdings,2,1,1,50.00,28-May-2018,Buy,yes,0
L&t technology services,2,1,1,50.00,28-May-2018,Buy,yes,18
Larsen toubro,10,6,4,40.00,04-Apr-2018,Buy,yes,18
Larsen toubro infotech,2,1,1,50.00,28-May-2018,Buy,yes,18
-,2,0,2,100.00,,,-,0
Lic housing finance,5,2,3,60.00,01-Nov-2017,Buy,yes,21
Lupin,5,8,-3,-60.00,28-Feb-2017,Buy,yes,16
Mahindra cie automotive,2,0,2,100.00,28-May-2018,Buy,yes,10
Mahindra holidays resorts,5,2,3,60.00,02-Jan-2018,Buy,yes,20
-,2,0,2,100.00,,,-,0
Mahindra mahindra,5,4,1,20.00,28-Dec-2017,Buy,yes,0
Mahindra mahindra financial services,3,1,2,66.67,03-Oct-2017,Buy,yes,0
Manappuram finance,2,1,1,50.00,18-Apr-2018,Buy,yes,20
Marico,5,2,3,60.00,02-Jan-2018,Buy,yes,18
Maruti suzuki,5,11,-6,-120.00,09-Jun-2017,Buy,yes,19
Monsanto,5,5,0,0.00,04-Apr-2018,Buy,yes,20
Motherson sumi systems,2,2,0,0.00,06-Dec-2017,Buy,yes,16
Muthoot finance,5,1,4,80.00,01-Nov-2017,Buy,yes,24
Narayana hrudayalaya,3,2,1,33.33,02-Jan-2018,Buy,yes,6
National aluminium co,2,2,0,0.00,01-Sep-2017,Buy,yes,0
Nbcc,5,2,3,60.00,04-Apr-2018,Buy,yes,17
Ncc,2,2,0,0.00,04-Apr-2018,Buy,yes,14
Nestle,5,6,-1,-20.00,09-Jun-2017,Buy,yes,20
Nhpc,3,1,2,66.67,03-Oct-2017,Buy,yes,26
Nilkamal,2,1,1,50.00,14-Jun-2017,Buy,yes,16
