comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, t500, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Icra,INE725G01011,5,4,1,20,22-Jun-2017,385,Buy,yes,27,0,3421,5366,1181
Sbi life insurance company,INE123W01016,5,1,4,80,03-Oct-2017,282,Buy,yes,17,-3,665,0,132
Nhpc,INE848E01016,3,1,2,67,03-Oct-2017,282,Buy,yes,24,16,23,-66,42
Sbi life insurance company,INE123W01016,5,1,4,80,03-Oct-2017,282,Buy,yes,17,-3,665,0,132
Mahindra mahindra financial services,INE774D01024,3,1,2,67,03-Oct-2017,282,Buy,yes,0,0,0,0,0
Shriram transport finance co,INE721A01013,3,1,2,67,03-Oct-2017,282,Buy,yes,21,7,1152,84289,925
Nlc,INE589A01014,3,1,2,67,03-Oct-2017,282,Buy,yes,25,14,75,62,132
Indiabulls housing finance,INE148I01020,3,1,2,67,03-Oct-2017,282,Buy,yes,21,0,1132,289,825
Avenue supermarts,INE192R01011,2,1,1,50,16-Oct-2017,269,Buy,yes,17,-8,1546,477,145
Godrej industries,INE233A01035,3,1,2,67,16-Oct-2017,269,Buy,yes,0,0,0,0,0
Grasim industries,INE047A01021,3,2,1,33,16-Oct-2017,269,Buy,yes,14,6,969,4535,822
Godrej agrovet,INE850D01014,2,1,1,50,16-Oct-2017,269,Buy,yes,22,-2,609,621,113
Carborundum universal,INE120A01034,2,1,1,50,17-Oct-2017,268,Buy,yes,24,-2,319,-1176,148
Grindwell norton,INE536A01023,2,1,1,50,17-Oct-2017,268,Buy,yes,26,1,525,4019,170
General insurance corporation of,INE481Y01014,5,2,3,60,25-Oct-2017,260,Buy,yes,19,5,760,0,700
Icici prudential life insurance company,INE726G01019,5,2,3,60,01-Nov-2017,253,Buy,yes,0,0,0,0,0
Tata coffee,INE493A01027,5,2,3,60,01-Nov-2017,253,Buy,yes,24,12,118,190,122
Power finance corporation,INE134E01011,5,2,3,60,01-Nov-2017,253,Buy,yes,0,0,0,0,0
Lic housing finance,INE115A01026,5,2,3,60,01-Nov-2017,253,Buy,yes,19,8,476,472,479
Interglobe aviation,INE646L01027,5,2,3,60,01-Nov-2017,253,Buy,yes,24,-2,1076,256,453
Tata global beverages,INE192A01025,5,2,3,60,01-Nov-2017,253,Buy,yes,23,4,271,904,148
Muthoot finance,INE414G01012,5,2,3,60,01-Nov-2017,253,Buy,yes,23,12,409,1139,446
United breweries,INE686F01025,5,2,3,60,01-Nov-2017,253,Buy,yes,20,-1,1144,1733,186
Itc,INE154A01025,10,6,4,40,02-Nov-2017,252,Buy,yes,26,1,273,518,93
3m,INE470A01017,15,0,15,100,08-Nov-2017,246,Sell,yes,18,-7,19667,10500,2908
Page industries,INE761H01022,15,0,15,100,08-Nov-2017,246,Sell,yes,27,-7,28007,18517,2522
Shree cement,INE070A01015,18,0,18,100,08-Nov-2017,246,Sell,yes,27,-4,16434,16180,4827
Bosch,INE323A01026,20,0,20,100,08-Nov-2017,246,Sell,yes,27,1,18084,70345,5803
Eicher motors,INE066A01013,30,0,30,100,08-Nov-2017,246,Sell,yes,23,-7,27888,10634,6574
Mrf,INE883A01011,60,0,60,100,08-Nov-2017,246,Sell,yes,17,-6,75477,36530,36296
Honeywell automation,INE671A01010,10,0,10,100,08-Nov-2017,246,Sell,yes,18,-1,18358,30373,3207
Somany ceramics,INE355A01028,2,1,1,50,13-Nov-2017,241,Buy,yes,20,-5,475,257,216
