comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, t500, sc_score, sc_cmp, sc_iv, sc_graham
Upl,INE628A01036,2,5,-3,-150.0,25-Jan-2017,524,Buy,yes,21,606,363,406
Vedanta,INE205A01025,5,5,0,0.0,25-Jan-2017,524,Buy,yes,26,230,265,410
Ultratech cement,INE481G01011,10,12,-2,-20.0,25-Jan-2017,524,Buy,yes,16,3721,-50736,1322
Power grid corporation of,INE752E01010,5,5,0,0.0,27-Feb-2017,491,Buy,yes,0,0,0,0
Lupin,INE326A01037,5,9,-4,-80.0,28-Feb-2017,490,Buy,yes,16,897,97,197
Sun pharmaceutical industries,INE044A01036,5,11,-6,-120.0,10-Mar-2017,480,Buy,yes,15,567,302,200
Hdfc bank,INE040A01026,10,15,-5,-50.0,14-Mar-2017,476,Buy,yes,15,2130,1555,820
Blue dart express,INE233B01017,4,4,0,0.0,30-May-2017,399,Buy,yes,17,3555,21307,613
Bayer cropscience /,INE462A01022,5,5,0,0.0,09-Jun-2017,389,Buy,yes,0,0,0,0
Nestle,INE239A01016,5,7,-2,-40.0,09-Jun-2017,389,Buy,yes,20,9772,56043,1117
Maruti suzuki,INE585B01010,5,11,-6,-120.0,09-Jun-2017,389,Buy,yes,19,8771,4446,2890
Procter gamble hygiene health care,INE179A01014,6,8,-2,-33.0,09-Jun-2017,389,Buy,yes,0,0,0,0
Gillette,INE322A01010,2,5,-3,-150.0,12-Jun-2017,386,Buy,yes,19,6404,3744,584
Cera sanitaryware,INE739E01017,2,3,-1,-50.0,14-Jun-2017,384,Buy,yes,14,2786,1732,911
Exide industries,INE302A01020,1,1,0,0.0,16-Jun-2017,382,Buy,yes,18,248,448,108
Wipro,INE075A01022,5,6,-1,-20.0,21-Jun-2017,377,Buy,yes,20,257,511,229
Icra,INE725G01011,5,4,1,20.0,22-Jun-2017,376,Buy,yes,20,3248,5094,1180
Ttk prestige,INE690A01010,5,6,-1,-20.0,18-Jul-2017,350,Buy,yes,18,5846,33759,2194
National aluminium co,INE139A01034,2,3,-1,-50.0,01-Sep-2017,305,Buy,yes,0,0,0,0
Abbott,INE358A01014,2,4,-2,-100.0,19-Sep-2017,287,Buy,yes,18,7305,6447,1890
Pfizer,INE182A01018,2,3,-1,-50.0,19-Sep-2017,287,Buy,yes,20,2580,6323,1037
Bajaj finserv,INE918I01018,3,6,-3,-100.0,19-Sep-2017,287,Buy,yes,10,5848,8445,2125
Glaxosmithkline consumer healthcare,INE264A01014,5,5,0,0.0,19-Sep-2017,287,Buy,yes,0,0,0,0
Sanofi,INE058A01010,2,4,-2,-100.0,19-Sep-2017,287,Buy,yes,20,5138,6281,1765
Venkys,INE398A01010,2,2,0,0.0,22-Sep-2017,284,Buy,yes,14,2343,1301,1286
Sbi life insurance company,INE123W01016,5,1,4,80.0,03-Oct-2017,273,Buy,yes,9,666,0,131
Sbi life insurance company,INE123W01016,5,1,4,80.0,03-Oct-2017,273,Buy,yes,9,666,0,131
Mahindra mahindra financial services,INE774D01024,3,1,2,67.0,03-Oct-2017,273,Buy,yes,0,0,0,0
Shriram transport finance co,INE721A01013,3,1,2,67.0,03-Oct-2017,273,Buy,yes,17,1303,0,939
Nlc,INE589A01014,3,1,2,67.0,03-Oct-2017,273,Buy,yes,27,81,67,132
Nhpc,INE848E01016,3,1,2,67.0,03-Oct-2017,273,Buy,yes,26,22,-64,41
Bharti infratel,INE121J01017,0,1,-1,0.0,03-Oct-2017,273,Buy,yes,19,297,255,171
Indiabulls housing finance,INE148I01020,3,1,2,67.0,03-Oct-2017,273,Buy,yes,20,1136,290,824
Avenue supermarts,INE192R01011,2,1,1,50.0,16-Oct-2017,260,Buy,yes,8,1435,442,144
Godrej industries,INE233A01035,3,1,2,67.0,16-Oct-2017,260,Buy,yes,0,0,0,0
Chambal fertilizers chemicals,INE085A01013,2,1,1,50.0,16-Oct-2017,260,Buy,yes,20,157,250,137
Grasim industries,INE047A01021,3,2,1,33.0,16-Oct-2017,260,Buy,yes,15,1003,4699,822
Godrej agrovet,INE850D01014,2,1,1,50.0,16-Oct-2017,260,Buy,yes,17,612,624,112
Carborundum universal,INE120A01034,2,1,1,50.0,17-Oct-2017,259,Buy,yes,17,319,-1179,147
Johnson controls hitachi air conditioning,INE782A01015,2,2,0,0.0,17-Oct-2017,259,Buy,yes,0,0,0,0
Grindwell norton,INE536A01023,2,1,1,50.0,17-Oct-2017,259,Buy,yes,19,505,3869,169
General insurance corporation of,INE481Y01014,5,2,3,60.0,25-Oct-2017,251,Buy,yes,15,718,0,699
Eveready industries,INE128A01029,2,2,0,0.0,01-Nov-2017,244,Buy,yes,10,229,0,89
Voltas,INE226A01021,2,2,0,0.0,01-Nov-2017,244,Buy,yes,18,511,563,214
Icici prudential life insurance company,INE726G01019,5,2,3,60.0,01-Nov-2017,244,Buy,yes,0,0,0,0
Rural electrification corporation,INE020B01018,5,5,0,0.0,01-Nov-2017,244,Buy,yes,0,0,0,0
Tata coffee,INE493A01027,5,2,3,60.0,01-Nov-2017,244,Buy,yes,26,112,180,122
Power finance corporation,INE134E01011,5,2,3,60.0,01-Nov-2017,244,Buy,yes,0,0,0,0
Lic housing finance,INE115A01026,5,2,3,60.0,01-Nov-2017,244,Buy,yes,21,470,466,479
Coromandel international,INE169A01031,2,2,0,0.0,01-Nov-2017,244,Buy,yes,20,386,-834,249
Interglobe aviation,INE646L01027,5,2,3,60.0,01-Nov-2017,244,Buy,yes,21,1100,261,453
Acc,INE012A01025,3,4,-1,-33.0,01-Nov-2017,244,Buy,yes,18,1291,-3735,768
Tata global beverages,INE192A01025,5,2,3,60.0,01-Nov-2017,244,Buy,yes,17,263,879,148
Zee learn,INE565L01011,2,2,0,0.0,01-Nov-2017,244,Buy,yes,13,33,0,18
Muthoot finance,INE414G01012,5,2,3,60.0,01-Nov-2017,244,Buy,yes,24,374,1042,446
Kajaria ceramics,INE217B01036,2,2,0,0.0,01-Nov-2017,244,Buy,yes,17,483,303,172
United breweries,INE686F01025,5,2,3,60.0,01-Nov-2017,244,Buy,yes,15,1123,1701,185
Itc,INE154A01025,10,6,4,40.0,02-Nov-2017,243,Buy,yes,20,260,394,97
3m,INE470A01017,0,0,0,0.0,08-Nov-2017,237,Sell,yes,10,19258,10282,2907
Page industries,INE761H01022,0,0,0,0.0,08-Nov-2017,237,Sell,yes,19,27137,17943,2521
Shree cement,INE070A01015,0,0,0,0.0,08-Nov-2017,237,Sell,yes,19,15499,15260,4827
Bosch,INE323A01026,0,0,0,0.0,08-Nov-2017,237,Sell,yes,20,17267,67171,5802
Eicher motors,INE066A01013,0,0,0,0.0,08-Nov-2017,237,Sell,yes,18,28425,10839,6573
Mrf,INE883A01011,0,0,0,0.0,08-Nov-2017,237,Sell,yes,11,72933,35295,36295
Honeywell automation,INE671A01010,0,0,0,0.0,08-Nov-2017,237,Sell,yes,11,18240,30181,3206
Somany ceramics,INE355A01028,2,1,1,50.0,13-Nov-2017,232,Buy,yes,13,499,270,215
Balrampur chini mills,INE119A01028,2,1,1,50.0,13-Nov-2017,232,Buy,yes,19,65,7,129
Coal,INE522F01014,10,10,0,0.0,27-Nov-2017,218,Buy,yes,21,260,-468,113
Bharti airtel,INE397D01024,10,9,1,10.0,27-Nov-2017,218,Buy,yes,12,377,3077,146
Reliance industries,INE002A01018,10,7,3,30.0,27-Nov-2017,218,Buy,yes,16,944,1183,770
Crompton greaves consumer electricals,INE299U01018,2,1,1,50.0,28-Nov-2017,217,Buy,yes,0,0,0,0
Blue star,INE472A01039,2,1,1,50.0,28-Nov-2017,217,Buy,yes,17,637,0,181
Ifb industries,INE559A01017,2,1,1,50.0,28-Nov-2017,217,Buy,yes,9,1217,1981,250
Jain irrigation systems,INE175A01038,2,1,1,50.0,29-Nov-2017,216,Buy,yes,19,79,-385,91
Asahi glass,INE439A01020,2,3,-1,-50.0,06-Dec-2017,209,Buy,yes,15,330,0,65
Ntpc,INE733E01010,10,7,3,30.0,06-Dec-2017,209,Buy,yes,25,156,1583,190
Housing development finance corporation,INE001A01036,10,11,-1,-10.0,06-Dec-2017,209,Buy,yes,19,1878,2415,991
Motherson sumi systems,INE775A01035,2,2,0,0.0,06-Dec-2017,209,Buy,yes,16,281,98,109
Asian paints,INE021A01026,10,8,2,20.0,06-Dec-2017,209,Buy,yes,19,1268,1588,207
Indian hotels co,INE053A01029,10,10,0,0.0,06-Dec-2017,209,Buy,yes,7,128,0,20
Apollo hospitals enterprise,INE437A01024,10,7,3,30.0,06-Dec-2017,209,Buy,yes,17,1012,4627,321
Zee entertainment enterprises,INE256A01028,5,6,-1,-20.0,06-Dec-2017,209,Buy,yes,16,539,553,169
Oil natural gas corporation,INE213A01029,5,3,2,40.0,06-Dec-2017,209,Buy,yes,27,153,-500,236
Jsw steel,INE019A01038,5,2,3,60.0,06-Dec-2017,209,Buy,yes,20,322,189,260
Bata,INE176A01028,5,3,2,40.0,06-Dec-2017,209,Buy,yes,18,828,2440,212
Cummins,INE298A01020,2,3,-1,-50.0,06-Dec-2017,209,Buy,yes,19,647,1730,303
Icici bank,INE090A01021,5,5,0,0.0,06-Dec-2017,209,Buy,yes,17,271,734,209
Oil natural gas corporation,INE213A01029,3,3,0,0.0,06-Dec-2017,209,Buy,yes,27,153,-500,236
India tourism development corporation,INE353K01014,2,0,2,100.0,27-Dec-2017,188,Sell,yes,0,0,0,0
Mahindra mahindra,INE101A01026,5,4,1,20.0,28-Dec-2017,187,Buy,yes,0,0,0,0
Mahindra mahindra,INE101A01026,0,4,-4,0.0,28-Dec-2017,187,Buy,yes,0,0,0,0
Steel authority of,INE114A01011,0,0,0,0.0,29-Dec-2017,186,Sell,yes,0,0,0,0
Siemens,INE003A01024,5,3,2,40.0,02-Jan-2018,182,Buy,yes,18,955,1936,415
Pvr,INE191H01014,5,3,2,40.0,02-Jan-2018,182,Buy,yes,14,1392,663,374
Eih,INE230A01023,3,2,1,33.0,02-Jan-2018,182,Buy,yes,19,156,-12525,45
Dabur,INE016A01026,5,2,3,60.0,02-Jan-2018,182,Buy,yes,20,387,439,77
Dlf,INE271C01023,5,9,-4,-80.0,02-Jan-2018,182,Buy,yes,20,185,-28890,303
Cipla,INE059A01026,5,1,4,80.0,02-Jan-2018,182,Buy,yes,16,600,-1841,261
Balkrishna industries,INE787D01026,2,2,0,0.0,02-Jan-2018,182,Buy,yes,19,1018,1161,425
Kansai nerolac paints,INE531A01024,5,2,3,60.0,02-Jan-2018,182,Buy,yes,15,443,373,111
Aurobindo pharma,INE406A01037,5,2,3,60.0,02-Jan-2018,182,Buy,yes,17,600,147,432
Ambuja cements,INE079A01024,3,2,1,33.0,02-Jan-2018,182,Buy,yes,21,200,-4175,157
Vip industries,INE054A01027,5,2,3,60.0,02-Jan-2018,182,Buy,yes,18,430,1603,87
Hindustan zinc,INE267A01025,5,2,3,60.0,02-Jan-2018,182,Buy,yes,25,272,740,215
Hindustan petroleum corporation,INE094A01015,3,3,0,0.0,02-Jan-2018,182,Buy,yes,0,0,0,0
Marico,INE196A01026,5,2,3,60.0,02-Jan-2018,182,Buy,yes,18,332,278,59
Bharat petroleum corporation,INE029A01011,4,2,2,50.0,02-Jan-2018,182,Buy,yes,23,366,136,377
Narayana hrudayalaya,INE410P01011,3,2,1,33.0,02-Jan-2018,182,Buy,yes,6,231,141,53
Abb,INE117A01022,5,3,2,40.0,02-Jan-2018,182,Buy,yes,16,1157,726,283
Varun beverages,INE200M01013,5,2,3,60.0,02-Jan-2018,182,Buy,yes,15,763,230,165
Mahindra holidays resorts,INE998I01010,5,2,3,60.0,02-Jan-2018,182,Buy,yes,20,293,1023,117
Relaxo footwears,INE131B01039,5,2,3,60.0,02-Jan-2018,182,Buy,yes,11,689,440,138
Castrol,INE172A01027,2,2,0,0.0,04-Jan-2018,180,Buy,yes,22,165,312,43
Future lifestyle fashions,INE452O01016,2,2,0,0.0,01-Feb-2018,152,Buy,yes,15,406,0,108
Thomas cook,INE332A01027,2,2,0,0.0,01-Feb-2018,152,Buy,yes,16,277,-8965,876
Nmdc,INE584A01023,5,2,3,60.0,01-Feb-2018,152,Buy,yes,27,103,-90,150
Future retail,INE752P01024,2,2,0,0.0,01-Feb-2018,152,Buy,yes,4,556,0,21
Petronet lng,INE347G01014,4,2,2,50.0,01-Feb-2018,152,Buy,yes,21,206,351,145
Dish tv,INE836F01026,5,2,3,60.0,01-Feb-2018,152,Buy,yes,5,70,0,0
Shoppers stop,INE498B01024,2,2,0,0.0,01-Feb-2018,152,Buy,yes,9,533,0,0
Tech mahindra,INE669C01036,5,3,2,40.0,01-Feb-2018,152,Buy,yes,21,664,543,423
Cox kings,INE008I01026,2,2,0,0.0,01-Feb-2018,152,Buy,yes,20,205,131,311
Care ratings,INE752H01013,2,3,-1,-50.0,01-Feb-2018,152,Buy,yes,18,1254,2548,524
Eid parry,INE126A01031,2,2,0,0.0,01-Feb-2018,152,Buy,yes,21,214,340,348
Century plyboards,INE348B01021,2,2,0,0.0,01-Feb-2018,152,Buy,yes,15,252,189,78
Jk tyre industries,INE573A01042,2,2,0,0.0,01-Feb-2018,152,Buy,yes,11,121,0,74
Vrl logistics,INE366I01010,2,2,0,0.0,01-Feb-2018,152,Buy,yes,18,320,-3286,127
Berger paints,INE463A01038,3,2,1,33.0,01-Feb-2018,152,Buy,yes,18,281,239,50
Quess corp,INE615P01015,3,1,2,67.0,01-Feb-2018,152,Buy,yes,9,1080,219,197
Apollo tyres,INE438A01022,2,2,0,0.0,01-Feb-2018,152,Buy,yes,17,254,197,199
Allcargo logistics,INE418H01029,2,1,1,50.0,02-Feb-2018,151,Buy,yes,20,101,-400,112
Future consumer,INE220J01025,2,1,1,50.0,02-Feb-2018,151,Buy,yes,6,48,0,0
Sheela foam,INE916U01025,2,2,0,0.0,02-Feb-2018,151,Buy,yes,10,1498,685,274
Pi industries,INE603J01030,3,1,2,67.0,02-Feb-2018,151,Buy,yes,0,0,0,0
Aegis logistics,INE208C01025,2,1,1,50.0,02-Feb-2018,151,Buy,yes,16,207,76,57
Kaveri seed company,INE455I01029,3,1,2,67.0,02-Feb-2018,151,Buy,yes,17,537,556,365
Indian oil corporation,INE242A01010,5,2,3,60.0,23-Mar-2018,102,Buy,yes,0,0,0,0
Coffee day enterprises,INE335K01011,2,2,0,0.0,04-Apr-2018,90,Buy,yes,7,273,440,133
Bajaj auto,INE917I01010,5,6,-1,-20.0,04-Apr-2018,90,Buy,yes,22,2716,6669,1521
Aditya birla fashion retail,INE647O01011,2,2,0,0.0,04-Apr-2018,90,Buy,yes,0,0,0,0
