comp_id, comp_name, action, qty, price, txn_date
JKTYRE,JK TYRE AND INDUSTRIES LIMITED,Buy,2,175,01-Feb-2018
DRLAL,DR. LAL PATHLABS LIMITED,Buy,1,805,19-Sep-2017
JINSP,JINDAL STEEL & POWER LIMITED,Sell,4,411,11-Feb-2013
PIDIND,PIDILITE INDUSTRIES LTD,Buy,1,960,04-Apr-2018
TATCO,TATA COFFEE LTD,Buy,7,162,01-Nov-2017
MONSIN,MONSANTO INDIA LIMITED,Buy,1,2694,04-Apr-2018
ENGIND,ENGINEERS INDIA LTD,Buy,7,159,08-Sep-2017
GREEIN,GREENLAM INDUSTRIES LIMITED,Buy,1,1264,01-Feb-2018
GRINOR,GRINDWELL NORTON LTD,Buy,3,430,17-Oct-2017
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,Buy,3,321,01-Feb-2018
PROGAM,PROCTER & GAMBLE HYGIENE & HEA,Buy,1,7950,09-Jun-2017
BHAAIR,BHARTI AIRTEL LTD,Buy,2,495,27-Nov-2017
NARHRU,NARAYANA HRUDAYALAYA LIMITED,Buy,3,298,02-Jan-2018
INDOIL,INDIAN OIL CORPORATION LIMITED,Buy,6,0,23-Mar-2018
BOSLIM,BOSCH LIMITED,Sell,1,20790,08-Nov-2017
AXIBAN,AXIS BANK LIMITED,Buy,2,498,04-Apr-2018
GAIL,GAIL (INDIA) LIMITED,Buy,1,0,10-Apr-2018
SUPIND,SUPREME INDUSTRIES LTD,Buy,1,1186,04-Apr-2018
CPSETF,CPSE ETF,Buy,34,28,09-Oct-2017
CUMIND,CUMMINS INDIA LTD,Buy,2,870,06-Dec-2017
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,Buy,3,424,03-Oct-2017
NEWIN,THE NEW INDIA ASSURANCE CO LTD,Buy,2,739,13-Nov-2017
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,Buy,1,686,10-Mar-2017
TATGLO,TATA GLOBAL BEVERAGES LIMITED,Buy,5,227,01-Nov-2017
RELIND,RELIANCE INDUSTRIES,Buy,1,952,27-Nov-2017
NATALU,NATIONAL ALUMINIUM CO LTD,Buy,14,74,01-Sep-2017
ZEELEA,ZEE LEARN LIMITED,Buy,22,45,01-Nov-2017
MARLIM,MARICO LIMITED,Buy,3,323,02-Jan-2018
DLFLIM,DLF LIMITED,Buy,4,253,02-Jan-2018
VOLTAS,VOLTAS LTD,Buy,2,563,01-Nov-2017
AVESUP,AVENUE SUPERMARTS LTD DMART,Buy,1,1231,16-Oct-2017
NBCC,NBCC (INDIA) LIMITED,Buy,5,205,04-Apr-2018
TUBIN,TUBE INVESTMENTS OF INDIA LTD,Buy,5,239,04-Apr-2018
UNIBR,UNITED BREWERIES LTD,Buy,1,1061,01-Nov-2017
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,1108,06-Dec-2017
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,Buy,2,360,06-Dec-2017
RELGOL,RELIANCE SHARES GOLD ETF,Sell,6,2713,04-Nov-2016
LICHF,LIC HOUSING FINANCE LIMITED,Buy,1,596,01-Nov-2017
BLUSTA,BLUE STAR LTD,Buy,1,731,28-Nov-2017
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,Buy,1,1062,03-Oct-2017
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,Buy,9,111,21-Mar-2018
HERHON,HERO MOTOCORP LIMITED,Buy,1,3769,09-Jun-2017
GRASIM,GRASIM INDUSTRIES LIMITED,Buy,1,1143,16-Oct-2017
ANDBAN,ANDHRA BANK,Sell,59,50,11-Nov-2008
SHOSTO,SHOPPERS STOP LIMITED,Buy,2,519,01-Feb-2018
POWFIN,POWER FINANCE CORPORATION LTD,Buy,8,138,01-Nov-2017
MTNL,MAHANAGAR TELEPHONE NIGAM LTD,Sell,35,71,11-Nov-2008
AVAFEE,AVANTI FEEDS LTD,Buy,1,2629,06-Dec-2017
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,Buy,3,400,01-Nov-2017
GIC,GENERAL INSURANCE CORP INDIA,Buy,2,799,25-Oct-2017
