comp_id, comp_name, hold_qty, hold_price, hold_units, last_txn_type, last_txn_date
ABB,ABB INDIA LIMITED,2,3062,3,Buy,02-Jan-2018
ABBIND,ABBOTT INDIA LIMITED,1,4088,4,Buy,19-Sep-2017
ACC,ACC LIMITED,2,3923,3,Buy,01-Nov-2017
ADAENT,ADANI ENTERPRISES LIMITED,17,2181,2,Buy,06-Dec-2017
ADAPOR,ADANI PORT AND SPECIAL ECONO,3,1128,1,Buy,29-Sep-2017
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,13,2081,2,Buy,04-Apr-2018
AEGLOG,AEGIS LOGISTICS LTD,4,1072,1,Buy,02-Feb-2018
AKZNOB,AKZO NOBEL INDIA LIMITED,1,1810,1,Buy,17-Jul-2017
ALLLOG,ALLCARGO LOGISTICS LTD,5,945,0,Buy,02-Feb-2018
AMARAJ,AMARA RAJA BATTERIES LTD,1,879,0,Buy,05-Jun-2017
AMBCE,AMBUJA CEMENTS LTD,9,1977,1,Buy,02-Jan-2018
APOHOS,APOLLO HOSPITALS ENTERPRISES L,6,7209,7,Buy,06-Dec-2017
APOTYR,APOLLO TYRES LTD,9,2255,2,Buy,01-Feb-2018
ARVLIM,ARVIND LIMITED,3,1233,1,Buy,18-Sep-2017
ASAIND,ASAHI INDIA GLASS LIMITED,7,3306,3,Buy,06-Dec-2017
ASIGRA,ASIAN GRANITO INDIA LIMITED,2,1064,1,Buy,02-Feb-2018
ASIPAI,ASIAN PAINTS INDIA LTD,8,8215,8,Buy,06-Dec-2017
AURPHA,AUROBINDO PHARMA LTD,3,2145,2,Buy,02-Jan-2018
AVAFEE,AVANTI FEEDS LTD,2,4049,4,Buy,06-Dec-2017
AVESUP,AVENUE SUPERMARTS LTD DMART,1,1231,1,Buy,16-Oct-2017
AXIBAN,AXIS BANK LIMITED,4,2010,2,Buy,04-Apr-2018
BAAUTO,BAJAJ AUTO LIMITED,2,5594,5,Buy,04-Apr-2018
BAFINS,BAJAJ FINSERV LIMITED,1,5618,5,Buy,19-Sep-2017
BALCHI,BALRAMPUR CHINI MILLS LTD,8,1272,1,Buy,13-Nov-2017
BALIND,BALKRISHNA INDUSTRIES LTD,2,1702,1,Buy,02-Jan-2018
BASF,BASF INDIA LIMITED,2,3376,3,Buy,04-Apr-2018
BATIND,BATA INDIA LIMITED,4,2560,2,Buy,06-Dec-2017
BAYIND,BAYER CROPSCIENCE LIMITED,1,4716,4,Buy,09-Jun-2017
BERPAI,BERGER PAINTS INDIA LTD,8,2032,2,Buy,01-Feb-2018
BHA22,ICICI PRUD MF BHARAT 22 ETF,278,9730,9,Buy,27-Nov-2017
BHAAIR,BHARTI AIRTEL LTD,27,9349,9,Buy,27-Nov-2017
BHAELE,BHARAT ELECTRONICS LTD,13,7336,7,Buy,04-Apr-2018
BHAINF,BHARTI INFRATEL LIMITED,3,1227,1,Buy,03-Oct-2017
BHAPET,BHARAT PETROLEUM CORPN LTD,5,1542,1,Buy,02-Jan-2018
BHEL,BHARAT HEAVY ELECTRICALS LTD,27,2743,2,Buy,04-Apr-2018
BLUDAR,BLUE DART EXPRESS LTD,1,4426,4,Buy,30-May-2017
BLUSTA,BLUE STAR LTD,1,731,0,Buy,28-Nov-2017
BRIENT,BRIGADE ENTERPRISES LIMITED,4,1072,1,Buy,08-Jun-2017
BRIIND,BRITANNIA INDUSTRIES LTD,2,8708,8,Buy,04-Apr-2018
BSE,BSE LIMITED,1,982,0,Buy,28-Sep-2017
CADHEA,CADILA HEALTHCARE LIMITED,2,970,0,Buy,19-Sep-2017
CARE,CARE RATINGS LIMITED,2,2841,2,Buy,01-Feb-2018
CARUNI,CARBORUNDUM UNIVERSAL LTD,4,1312,1,Buy,17-Oct-2017
CASIND,CASTROL INDIA LIMITED,12,2424,2,Buy,04-Jan-2018
CDSL,CENTRAL DEPOSITORY SER IND LTD,3,1020,1,Buy,28-Sep-2017
CEAT,CEAT LIMITED,1,1891,1,Buy,11-Jul-2017
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,7,2063,2,Buy,01-Feb-2018
CERSAN,CERA SANITARYWARE LIMITED,1,3037,3,Buy,14-Jun-2017
CHAFER,CHAMBAL FERTILISERS & CHEMICAL,7,1008,1,Buy,16-Oct-2017
CIPLA,CIPLA LIMITED,4,811,0,Buy,02-Jan-2018
CNKLIM,COX & KINGS LIMITED,8,2060,2,Buy,01-Feb-2018
COALIN,COAL INDIA LIMITED,31,10064,10,Buy,27-Nov-2017
COFDAY,COFFEE DAY ENTERPRISES LTD,8,2208,2,Buy,04-Apr-2018
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,2,2164,2,Buy,04-Apr-2018
CONCOR,CONTAINER CORPORATION OF INDIA,2,4474,4,Buy,04-Apr-2018
CORINT,COROMANDEL INTERNATIONAL LIMIT,5,2275,2,Buy,01-Nov-2017
CPSETF,CPSE ETF,680,11638,11,Buy,09-Oct-2017
CRISIL,CRISIL LIMITED,2,3725,3,Buy,04-Apr-2018
CROGR,CROMPTON GREAVES CONS ELEC LTD,4,1024,1,Buy,28-Nov-2017
CUMIND,CUMMINS INDIA LTD,3,2678,2,Buy,06-Dec-2017
DABIND,DABUR INDIA LTD,7,2179,2,Buy,02-Jan-2018
DISHTV,DISH TV INDIA LIMITED,28,2111,2,Buy,01-Feb-2018
DLFLIM,DLF LIMITED,10,8597,8,Buy,02-Jan-2018
DRLAL,DR. LAL PATHLABS LIMITED,1,805,0,Buy,19-Sep-2017
DRREDD,DR REDDY'S LABORATORIES LTD,2,4120,4,Buy,04-Apr-2018
EIDPAR,EID PARRY (INDIA) LTD,6,1977,1,Buy,01-Feb-2018
EIHLIM,EIH LIMITED,15,2086,2,Buy,02-Jan-2018
EMALIM,EMAMI LIMITED,2,2412,2,Buy,02-Jan-2018
ENGIND,ENGINEERS INDIA LTD,7,1113,1,Buy,08-Sep-2017
EVEIND,EVEREADY INDUSTRIES INDIA LTD,6,1959,1,Buy,01-Nov-2017
EXIIND,EXIDE INDUSTRIES LTD,5,1105,1,Buy,16-Jun-2017
FORHEA,FORTIS HEALTHCARE LIMITED,13,2040,2,Buy,04-Apr-2018
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,6,2160,2,Buy,01-Feb-2018
FUTRE,FUTURE RETAIL LIMITED,5,2286,2,Buy,01-Feb-2018
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,2,1344,1,Buy,02-Feb-2018
FUTVEN,FUTURE CONSUMER LIMITED,20,1140,1,Buy,02-Feb-2018
GAIL,GAIL (INDIA) LIMITED,6,2312,2,Buy,10-Apr-2018
GIC,GENERAL INSURANCE CORP INDIA,2,1598,1,Buy,25-Oct-2017
GILIND,GILLETTE INDIA LTD,1,4863,4,Buy,12-Jun-2017
GLACON,GLAXOSMITHKLINE CONSUMER HEALT,1,5069,5,Buy,19-Sep-2017
GLEPHA,GLENMARK PHARMACEUTICALS LTD,2,1228,1,Buy,19-Sep-2017
GODAGR,GODREJ AGROVET LIMITED,2,1180,1,Buy,16-Oct-2017
GODCON,GODREJ CONSUMER PRODUCTS LTD,1,935,0,Buy,25-Sep-2017
GODIND,GODREJ INDUSTRIES LIMITED,2,1218,1,Buy,16-Oct-2017
GODPRO,GODREJ PROPERTIES LIMITED,2,1040,1,Buy,08-Jun-2017
GOLDEX,RELIANCE ETF GOLD BEES,60,154724,154,Buy,17-Oct-2017
GRASIM,GRASIM INDUSTRIES LIMITED,1,1746,1,Buy,16-Oct-2017
GREEIN,GREENLAM INDUSTRIES LIMITED,2,2221,2,Buy,01-Feb-2018
GRINOR,GRINDWELL NORTON LTD,3,1290,1,Buy,17-Oct-2017
HAVIND,HAVELLS INDIA LIMITED,3,1431,1,Buy,31-Jul-2017
HCLTEC,HCL TECHNOLOGIES LIMITED,6,1432,1,Buy,27-Feb-2017
HDFBAN,HDFC BANK LIMITED,18,15451,15,Buy,14-Mar-2017
HDFC,HOUSING DEVELOPMENT FINANCE CO,8,10973,10,Buy,06-Dec-2017
HDFGOL,HDFC GOLD ETF,32,87941,87,Buy,15-Dec-2017
HDFSTA,HDFC STANDARD LIFE INS CO LTD,3,1035,1,Buy,17-Nov-2017
HERHON,HERO MOTOCORP LIMITED,1,3916,3,Buy,09-Jun-2017
HINDAL,HINDALCO INDUSTRIES LIMITED,9,1705,1,Buy,01-Sep-2017
HINLEV,HINDUSTAN UNILEVER LIMITED,7,2393,2,Buy,04-Apr-2018
HINPET,HINDUSTAN PETROLEUM CORP,6,3140,3,Buy,02-Jan-2018
HINZIN,HINDUSTAN ZINC LTD,8,2090,2,Buy,02-Jan-2018
HITHOM,JOHNSON CONTROLS HITACHI AIR I,1,2064,2,Buy,17-Oct-2017
HSILIM,HSIL LIMITED,6,2379,2,Buy,04-Apr-2018
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,12,1056,1,Buy,19-Sep-2017
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,50,5645,5,Buy,21-Mar-2018
ICIBAN,ICICI BANK LIMITED,16,5251,5,Buy,06-Dec-2017
ICILOM,ICICI LOMBARD GEN INSURANCE CO,2,1354,1,Buy,27-Sep-2017
ICIMID,ICICI PRU MIDCAP SELECT ETF,66,4805,4,Buy,07-Mar-2018
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,6,2436,2,Buy,01-Nov-2017
ICRLIM,ICRA LIMITED,1,4139,4,Buy,22-Jun-2017
IDECEL,IDEA CELLULAR LTD,21,2368,2,Buy,01-Nov-2017
IFBIND,IFB INDUSTRIES LIMITED,1,1359,1,Buy,28-Nov-2017
INDHO,INDIABULLS HOUSING FINANCE LTD,1,1242,1,Buy,03-Oct-2017
INDHOT,INDIAN HOTELS CO LTD,56,9869,9,Buy,06-Dec-2017
INDOIL,INDIAN OIL CORPORATION LIMITED,12,2037,2,Buy,23-Mar-2018
INFEDG,INFO EDGE (INDIA) LIMITED,2,2190,2,Buy,18-Sep-2017
INFTEC,INFOSYS LTD,11,9275,9,Buy,17-Mar-2017
INTAVI,INTERGLOBE AVIATION LIMITED,2,2308,2,Buy,01-Nov-2017
ITC,ITC LIMITED,40,5611,5,Buy,02-Nov-2017
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,10,1140,1,Buy,29-Nov-2017
JKPAP,JK PAPER LIMITED,10,1050,1,Buy,02-Jun-2017
JKTYRE,JK TYRE AND INDUSTRIES LIMITED,14,2387,2,Buy,01-Feb-2018
JSWSTE,JSW STEEL LIMITED,10,2200,2,Buy,06-Dec-2017
JUBFOO,JUBILANT FOODWORKS LIMITED,2,3017,3,Buy,01-Feb-2018
KAJCER,KAJARIA CERAMICS LTD,3,2089,2,Buy,01-Nov-2017
KANNER,KANSAI NEROLAC PAINTS,5,2353,2,Buy,02-Jan-2018
KAVSEE,KAVERI SEED COMPANY LTD,2,998,0,Buy,02-Feb-2018
KOTGOL,KOTAK  GOLD ETF,330,80172,80,Buy,20-Dec-2017
KOTMAH,KOTAK MAHINDRA BANK LTD,2,2049,2,Buy,04-Apr-2018
KOTNIF,KOTAK MAHINDRA MF - NIFTY ETF,104,10488,10,Buy,15-Mar-2018
KRBL,KRBL LIMITED,2,970,0,Buy,22-Sep-2017
KSBPUM,KSB PUMPS LIMITED,3,2194,2,Buy,04-Apr-2018
LARTOU,LARSEN AND TOUBRO LIMITED,7,6892,6,Buy,04-Apr-2018
LICHF,LIC HOUSING FINANCE LIMITED,3,2060,2,Buy,01-Nov-2017
LUPIN,LUPIN LIMITED,6,8943,8,Buy,28-Feb-2017
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,3,1272,1,Buy,03-Oct-2017
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,6,2184,2,Buy,02-Jan-2018
MAHLO,MAHINDRA LOGISTICS LIMITED,2,950,0,Buy,02-Feb-2018
MAHMAH,MAHINDRA & MAHINDRA LIMITED,4,4502,4,Buy,28-Dec-2017
