comp_id, comp_name, buy_qty, sale_qty, buy_price, sale_price, last_txn_type, last_txn_date
3MIND,3M INDIA LIMITED,1,1,13647,15582,Sell,08-Nov-2017
ABB,ABB INDIA LIMITED,111,1,3573,511,Buy,02-Jan-2018
ABBIND,ABBOTT INDIA LIMITED,1,0,4088,0,Buy,19-Sep-2017
ACC,ACC LIMITED,552111,11821,12877,8954,Buy,01-Nov-2017
ADAENT,ADANI ENTERPRISES LIMITED,7217,0,2181,0,Buy,06-Dec-2017
ADAPOR,ADANI PORT AND SPECIAL ECONO,3,0,1128,0,Buy,29-Sep-2017
ADIBIR,ADITYA BIRLA NUVO LIMITED,1,1,852,588,Sell,14-Nov-2008
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,67,0,2081,0,Buy,04-Apr-2018
AEGLOG,AEGIS LOGISTICS LTD,4,0,1072,0,Buy,02-Feb-2018
AKZNOB,AKZO NOBEL INDIA LIMITED,1,0,1810,0,Buy,17-Jul-2017
ALLBAN,ALLAHABAD BANK,312715,5023,5905,3942,Sell,11-Nov-2008
ALLLOG,ALLCARGO LOGISTICS LTD,5,0,945,0,Buy,02-Feb-2018
AMARAJ,AMARA RAJA BATTERIES LTD,1,0,879,0,Buy,05-Jun-2017
AMBCE,AMBUJA CEMENTS LTD,251212553114,3920,8279,6302,Buy,02-Jan-2018
ANDBAN,ANDHRA BANK,351410,59,4649,2950,Sell,11-Nov-2008
ANSPRO,ANSAL PROPERTIES & INFRASTRUCT,1010,20,2170,900,Sell,11-Nov-2008
APOHOS,APOLLO HOSPITALS ENTERPRISES L,51,0,7209,0,Buy,06-Dec-2017
APOTYR,APOLLO TYRES LTD,54,0,2255,0,Buy,01-Feb-2018
ARVLIM,ARVIND LIMITED,3,0,1233,0,Buy,18-Sep-2017
ASAIND,ASAHI INDIA GLASS LIMITED,35412,35,4986,1680,Buy,06-Dec-2017
ASIGRA,ASIAN GRANITO INDIA LIMITED,2,0,1064,0,Buy,02-Feb-2018
ASIPAI,ASIAN PAINTS INDIA LTD,11111111,0,8215,0,Buy,06-Dec-2017
AURPHA,AUROBINDO PHARMA LTD,21,0,2145,0,Buy,02-Jan-2018
AVAFEE,AVANTI FEEDS LTD,11,0,4049,0,Buy,06-Dec-2017
AVESUP,AVENUE SUPERMARTS LTD DMART,1,0,1231,0,Buy,16-Oct-2017
AXIBAN,AXIS BANK LIMITED,22,0,2010,0,Buy,04-Apr-2018
BAAUTO,BAJAJ AUTO LIMITED,11,0,5594,0,Buy,04-Apr-2018
BAFINS,BAJAJ FINSERV LIMITED,1,0,5618,0,Buy,19-Sep-2017
BALCHI,BALRAMPUR CHINI MILLS LTD,8,0,1272,0,Buy,13-Nov-2017
BALIND,BALKRISHNA INDUSTRIES LTD,11,0,1702,0,Buy,02-Jan-2018
BANBAR,BANK OF BARODA,105,123,4000,4446,Sell,11-Nov-2008
BASF,BASF INDIA LIMITED,11,0,3376,0,Buy,04-Apr-2018
BATIND,BATA INDIA LIMITED,22,0,2560,0,Buy,06-Dec-2017
BAYIND,BAYER CROPSCIENCE LIMITED,1,0,4716,0,Buy,09-Jun-2017
BERPAI,BERGER PAINTS INDIA LTD,44,0,2032,0,Buy,01-Feb-2018
BHA22,ICICI PRUD MF BHARAT 22 ETF,278,0,9730,0,Buy,27-Nov-2017
BHAAIR,BHARTI AIRTEL LTD,55142363222222222,812,19897,10548,Buy,27-Nov-2017
BHAELE,BHARAT ELECTRONICS LTD,5267,52,11949,4613,Buy,04-Apr-2018
BHAINF,BHARTI INFRATEL LIMITED,3,0,1227,0,Buy,03-Oct-2017
BHAPET,BHARAT PETROLEUM CORPN LTD,271411212,1132,6995,5453,Buy,02-Jan-2018
BHEL,BHARAT HEAVY ELECTRICALS LTD,1410512,5,3783,1040,Buy,04-Apr-2018
BLUDAR,BLUE DART EXPRESS LTD,1,0,4426,0,Buy,30-May-2017
BLUSTA,BLUE STAR LTD,1,0,731,0,Buy,28-Nov-2017
BOSLIM,BOSCH LIMITED,1,1,24408,20790,Sell,08-Nov-2017
BRIENT,BRIGADE ENTERPRISES LIMITED,4,0,1072,0,Buy,08-Jun-2017
BRIIND,BRITANNIA INDUSTRIES LTD,11,0,8708,0,Buy,04-Apr-2018
BSE,BSE LIMITED,1,0,982,0,Buy,28-Sep-2017
CADHEA,CADILA HEALTHCARE LIMITED,2,0,970,0,Buy,19-Sep-2017
CAIIND,CAIRN INDIA LIMITED,42,42,1584,1212,Sell,11-Feb-2013
CANBAN,CANARA BANK,1315,19,4191,3610,Sell,11-Nov-2008
CARE,CARE RATINGS LIMITED,11,0,2841,0,Buy,01-Feb-2018
CARUNI,CARBORUNDUM UNIVERSAL LTD,4,0,1312,0,Buy,17-Oct-2017
CASIND,CASTROL INDIA LIMITED,246,0,2424,0,Buy,04-Jan-2018
CDSL,CENTRAL DEPOSITORY SER IND LTD,3,0,1020,0,Buy,28-Sep-2017
CEAT,CEAT LIMITED,1,0,1891,0,Buy,11-Jul-2017
CENBAN,CENTRAL BANK OF INDIA,5010,60,5170,2340,Sell,11-Nov-2008
