comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Mahindra mahindra,INE101A01026,10,4,6,60,28-Dec-2017,230,Buy,Large Cap,0,0,0,0,0
Shree renuka sugars,INE087H01022,2,1,1,50,28-Jun-2018,48,Buy,Micro Cap,0,0,0,0,0
Aditya birla fashion retail,INE647O01011,2,2,0,0,04-Apr-2018,133,Buy,Mid Cap,0,0,0,0,0
Indian oil corporation,INE242A01010,5,2,3,60,23-Mar-2018,145,Buy,Large Cap,0,0,0,0,0
Hindustan unilever,INE030A01027,20,2,18,90,04-Apr-2018,133,Buy,Large Cap,0,0,0,0,0
Icici prudential life insurance company,INE726G01019,5,2,3,60,01-Nov-2017,287,Buy,Large Cap,0,0,0,0,0
Crompton greaves consumer electricals,INE299U01018,2,1,1,50,28-Nov-2017,260,Buy,Mid Cap,0,0,0,0,0
Rural electrification corporation,INE020B01018,5,5,0,0,01-Nov-2017,287,Buy,Mid Cap,0,0,0,0,0
Godrej industries,INE233A01035,3,1,2,67,16-Oct-2017,303,Buy,Mid Cap,0,0,0,0,0
Hdfc standard life insurance company,INE795G01014,5,1,4,80,17-Nov-2017,271,Buy,Large Cap,0,0,0,0,0
Mahindra mahindra financial services,INE774D01024,3,1,2,67,03-Oct-2017,316,Buy,Mid Cap,0,0,0,0,0
Bayer cropscience /,INE462A01022,5,5,0,0,09-Jun-2017,432,Buy,Mid Cap,0,0,0,0,0
Johnson controls hitachi air conditioning,INE782A01015,2,2,0,0,17-Oct-2017,302,Buy,Small Cap,0,0,0,0,0
The new assurance company,INE470Y01017,5,1,4,80,13-Nov-2017,275,Buy,Large Cap,0,0,0,0,0
Pi industries,INE603J01030,3,1,2,67,02-Feb-2018,194,Buy,Mid Cap,0,0,0,0,0
Dr reddys laboratories,INE089A01023,5,4,1,20,04-Apr-2018,133,Buy,Large Cap,0,0,0,0,0
Hindustan petroleum corporation,INE094A01015,3,3,0,0,02-Jan-2018,225,Buy,Large Cap,0,0,0,0,0
Central depository services,INE736A01011,2,2,0,0,03-Jul-2018,43,Buy,Small Cap,0,0,0,0,0
Kotak mahindra bank,INE237A01028,2,2,0,0,04-Apr-2018,133,Buy,Large Cap,0,0,0,0,0
L&t finance holdings,INE498L01015,2,1,1,50,28-May-2018,79,Buy,Large Cap,0,0,0,0,0
Larsen toubro infotech,INE214T01019,2,2,0,0,28-May-2018,79,Buy,Mid Cap,0,0,0,0,0
National aluminium co,INE139A01034,2,3,-1,-50,01-Sep-2017,348,Buy,Mid Cap,0,0,0,0,0
Procter gamble hygiene health care,INE179A01014,6,8,-2,-33,09-Jun-2017,432,Buy,Large Cap,0,0,0,0,0
Glaxosmithkline consumer healthcare,INE264A01014,5,5,0,0,19-Sep-2017,330,Buy,Mid Cap,0,0,0,0,0
Fortis healthcare,INE061F01013,2,2,0,0,04-Apr-2018,133,Buy,Small Cap,1,8,139,-114,0
Dish tv,INE836F01026,5,2,3,60,01-Feb-2018,195,Buy,Mid Cap,6,4,72,0,0
Idea cellular,INE669E01016,5,3,2,40,28-Jun-2018,48,Buy,Large Cap,6,11,55,0,0
Coffee day enterprises,INE335K01011,2,2,0,0,04-Apr-2018,133,Buy,Small Cap,8,2,259,416,134
Shipping corporation of,INE109A01011,3,2,1,33,04-Apr-2018,133,Buy,Small Cap,10,16,60,0,137
Bajaj finserv,INE918I01018,3,6,-3,-100,19-Sep-2017,330,Buy,Large Cap,10,-1,6069,8764,2126
Axis bank,INE238A01034,2,2,0,0,04-Apr-2018,133,Buy,Large Cap,12,2,511,-226,100
Future retail,INE752P01024,2,2,0,0,01-Feb-2018,195,Buy,Mid Cap,12,0,558,0,22
