comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Indiabulls housing finance,INE148I01020,3,1,2,67,03-Oct-2017,455,Buy,Large Cap,-91,202,1145,732,858
Muthoot finance,INE414G01012,5,2,3,60,01-Nov-2017,426,Buy,Mid Cap,118,110,451,635,465
Lic housing finance,INE115A01026,5,2,3,60,01-Nov-2017,426,Buy,Mid Cap,-96,108,477,537,494
Balrampur chini mills,INE119A01028,2,1,1,50,13-Nov-2017,414,Buy,Micro Cap,144,11,78,209,112
Icici prudential life insurance company,INE726G01019,5,2,3,60,01-Nov-2017,426,Buy,Large Cap,0,0,0,0,0
Hdfc standard life insurance company,INE795G01014,5,1,4,80,17-Nov-2017,410,Buy,Large Cap,0,0,0,0,0
Mahindra mahindra financial services,INE774D01024,3,1,2,67,03-Oct-2017,455,Buy,Mid Cap,0,0,0,0,0
Hdfc bank,INE040A01026,20,15,5,25,14-Mar-2017,658,Buy,Large Cap,-92,-133,2012,1529,785
Maruti suzuki,INE585B01010,20,11,9,45,09-Jun-2017,571,Buy,Large Cap,257,-136,8494,5458,2963
Icra,INE725G01011,5,4,1,20,22-Jun-2017,558,Buy,Small Cap,1553,-239,3679,4369,1274
