comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Marico,INE196A01026,5,2,3,60,02-Jan-2018,254,Buy,Large Cap,30,-4,344,340,57
Eicher motors,INE066A01013,30,0,30,100,08-Nov-2017,309,Sell,Large Cap,27,-4,28812,10173,6905
Kansai nerolac paints,INE531A01024,5,2,3,60,02-Jan-2018,254,Buy,Mid Cap,27,-5,480,404,114
Eih,INE230A01023,3,2,1,33,02-Jan-2018,254,Buy,Mid Cap,28,-5,167,110,60
Carborundum universal,INE120A01034,2,1,1,50,17-Oct-2017,331,Buy,Small Cap,28,-5,388,323,158
Ifb industries,INE559A01017,2,1,1,50,28-Nov-2017,289,Buy,Small Cap,19,-6,1100,833,264
United breweries,INE686F01025,5,2,3,60,01-Nov-2017,316,Buy,Mid Cap,24,-6,1315,1172,206
Page industries,INE761H01022,15,0,15,100,08-Nov-2017,309,Sell,Mid Cap,31,-7,33936,21513,2606
Vip industries,INE054A01027,5,2,3,60,02-Jan-2018,254,Buy,Small Cap,29,-7,522,262,96
Pvr,INE191H01014,5,3,2,40,02-Jan-2018,254,Buy,Small Cap,22,-7,1392,963,392
Abb,INE117A01022,5,3,2,40,02-Jan-2018,254,Buy,Mid Cap,27,-7,1464,919,296
Honeywell automation,INE671A01010,10,0,10,100,08-Nov-2017,309,Sell,Mid Cap,24,-7,22370,14773,3527
Relaxo footwears,INE131B01039,5,2,3,60,02-Jan-2018,254,Buy,Small Cap,24,-7,836,460,146
Avenue supermarts,INE192R01011,2,1,1,50,16-Oct-2017,332,Buy,Large Cap,21,-8,1523,461,156
3m,INE470A01017,15,0,15,100,08-Nov-2017,309,Sell,Mid Cap,22,-8,25251,9462,3158
Narayana hrudayalaya,INE410P01011,3,2,1,33,02-Jan-2018,254,Buy,Small Cap,16,-8,256,124,45
