comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_crank, sc_prank, sc_cmp, sc_iv, sc_graham
Power finance corporation,INE134E01011,5,2,3,60,01-Nov-2017,316,Buy,Mid Cap,19,24,82,226,278
Nlc,INE589A01014,3,1,2,67,03-Oct-2017,345,Buy,Mid Cap,22,23,70,167,119
Nhpc,INE848E01016,3,1,2,67,03-Oct-2017,345,Buy,Mid Cap,20,19,25,-53,40
Eid parry,INE126A01031,3,2,1,33,01-Feb-2018,224,Buy,Small Cap,16,17,213,381,261
Balrampur chini mills,INE119A01028,2,1,1,50,13-Nov-2017,304,Buy,Micro Cap,17,17,78,209,112
Nmdc,INE584A01023,5,2,3,60,01-Feb-2018,224,Buy,Large Cap,31,16,122,-195,147
Muthoot finance,INE414G01012,5,2,3,60,01-Nov-2017,316,Buy,Mid Cap,21,16,451,635,465
Ntpc,INE733E01010,10,7,3,30,06-Dec-2017,281,Buy,Large Cap,21,15,170,-1388,189
Lic housing finance,INE115A01026,5,2,3,60,01-Nov-2017,316,Buy,Mid Cap,15,14,477,537,494
Bharat petroleum corporation,INE029A01011,4,2,2,50,02-Jan-2018,254,Buy,Large Cap,22,14,334,226,409
Tata coffee,INE493A01027,5,2,3,60,01-Nov-2017,316,Buy,Micro Cap,20,12,110,-499,114
Jain irrigation systems,INE175A01038,2,1,1,50,29-Nov-2017,288,Buy,Small Cap,15,12,87,-422,100
Chambal fertilizers chemicals,INE085A01013,2,1,1,50,16-Oct-2017,332,Buy,Small Cap,15,11,159,233,140
Grasim industries,INE047A01021,3,2,1,33,16-Oct-2017,332,Buy,Large Cap,14,11,1020,3248,1083
Allcargo logistics,INE418H01029,2,1,1,50,02-Feb-2018,223,Buy,Small Cap,23,10,112,2344,111
Dish tv,INE836F01026,5,2,3,60,01-Feb-2018,224,Buy,Mid Cap,5,10,67,0,0
Future consumer,INE220J01025,2,1,1,50,02-Feb-2018,223,Buy,Mid Cap,9,8,50,0,0
Petronet lng,INE347G01014,4,2,2,50,01-Feb-2018,224,Buy,Large Cap,28,8,238,303,152
Hindustan zinc,INE267A01025,5,2,3,60,02-Jan-2018,254,Buy,Large Cap,30,8,286,596,210
Shriram transport finance co,INE721A01013,3,1,2,67,03-Oct-2017,345,Buy,Large Cap,16,7,1177,11717,986
Indiabulls housing finance,INE148I01020,3,1,2,67,03-Oct-2017,345,Buy,Large Cap,17,7,1145,732,858
Ambuja cements,INE079A01024,3,2,1,33,02-Jan-2018,254,Buy,Large Cap,28,6,227,-4710,159
Kaveri seed company,INE455I01029,3,1,2,67,02-Feb-2018,223,Buy,Small Cap,24,5,620,642,374
Tata global beverages,INE192A01025,5,2,3,60,01-Nov-2017,316,Buy,Mid Cap,27,5,223,722,148
Bharti airtel,INE397D01024,10,9,1,10,27-Nov-2017,290,Buy,Large Cap,17,3,377,-619,142
Jsw steel,INE019A01038,5,2,3,60,06-Dec-2017,281,Buy,Large Cap,14,3,400,148,302
Tech mahindra,INE669C01036,5,3,2,40,01-Feb-2018,224,Buy,Large Cap,30,2,740,541,424
Mahindra holidays resorts,INE998I01010,5,2,3,60,02-Jan-2018,254,Buy,Small Cap,30,2,245,837,107
Somany ceramics,INE355A01028,2,1,1,50,13-Nov-2017,304,Buy,Micro Cap,21,2,427,358,228
Siemens,INE003A01024,5,3,2,40,02-Jan-2018,254,Buy,Large Cap,28,1,945,1884,428
Grindwell norton,INE536A01023,2,1,1,50,17-Oct-2017,331,Buy,Small Cap,30,1,517,1034,176
Reliance industries,INE002A01018,20,7,13,65,27-Nov-2017,290,Buy,Large Cap,14,1,1253,1531,787
Mrf,INE883A01011,60,0,60,100,08-Nov-2017,309,Sell,Large Cap,21,1,69143,80459,39230
Itc,INE154A01025,20,6,14,70,02-Nov-2017,315,Buy,Large Cap,30,1,307,584,97
Pi industries,INE603J01030,3,1,2,67,02-Feb-2018,223,Buy,Mid Cap,0,0,0,0,0
Dabur,INE016A01026,5,2,3,60,02-Jan-2018,254,Buy,Large Cap,30,0,454,579,79
Godrej industries,INE233A01035,3,1,2,67,16-Oct-2017,332,Buy,Mid Cap,0,0,0,0,0
Cipla,INE059A01026,5,1,4,80,02-Jan-2018,254,Buy,Large Cap,27,0,656,-4149,271
Sbi life insurance company,INE123W01016,5,1,4,80,03-Oct-2017,345,Buy,Large Cap,21,0,673,0,134
Icici prudential life insurance company,INE726G01019,5,2,3,60,01-Nov-2017,316,Buy,Large Cap,0,0,0,0,0
India tourism development corporation,INE353K01014,2,0,2,100,27-Dec-2017,260,Sell,Small Cap,0,0,0,0,0
Hdfc standard life insurance company,INE795G01014,5,1,4,80,17-Nov-2017,300,Buy,Large Cap,0,0,0,0,0
Bata,INE176A01028,5,3,2,40,06-Dec-2017,281,Buy,Small Cap,29,0,1038,3058,229
Mahindra mahindra financial services,INE774D01024,3,1,2,67,03-Oct-2017,345,Buy,Mid Cap,0,0,0,0,0
Crompton greaves consumer electricals,INE299U01018,2,1,1,50,28-Nov-2017,289,Buy,Mid Cap,0,0,0,0,0
Apollo hospitals enterprise,INE437A01024,10,7,3,30,06-Dec-2017,281,Buy,Mid Cap,23,0,1105,-3558,336
Asian paints,INE021A01026,10,8,2,20,06-Dec-2017,281,Buy,Large Cap,27,-1,1291,1553,221
Hdfc bank,INE040A01026,20,15,5,25,14-Mar-2017,548,Buy,Large Cap,17,-1,2012,1529,785
Shree cement,INE070A01015,18,0,18,100,08-Nov-2017,309,Sell,Large Cap,28,-1,16879,32773,4562
Bosch,INE323A01026,20,0,20,100,08-Nov-2017,309,Sell,Large Cap,30,-1,21050,34227,6140
Blue star,INE472A01039,2,1,1,50,28-Nov-2017,289,Buy,Small Cap,23,-1,656,367,191
Icra,INE725G01011,5,4,1,20,22-Jun-2017,448,Buy,Small Cap,31,-1,3679,4369,1274
Interglobe aviation,INE646L01027,5,2,3,60,01-Nov-2017,316,Buy,Large Cap,24,-1,883,658,397
Aurobindo pharma,INE406A01037,5,2,3,60,02-Jan-2018,254,Buy,Large Cap,24,-1,774,238,433
Maruti suzuki,INE585B01010,20,11,9,45,09-Jun-2017,461,Buy,Large Cap,27,-2,8494,5458,2963
Berger paints,INE463A01038,3,2,1,33,01-Feb-2018,224,Buy,Mid Cap,30,-2,303,311,52
Aegis logistics,INE208C01025,2,1,1,50,02-Feb-2018,223,Buy,Small Cap,27,-3,208,78,75
Century plyboards,INE348B01021,3,2,1,33,01-Feb-2018,224,Buy,Small Cap,25,-3,204,132,82
Godrej agrovet,INE850D01014,2,1,1,50,16-Oct-2017,332,Buy,Mid Cap,27,-4,576,526,153
Quess corp,INE615P01015,3,1,2,67,01-Feb-2018,224,Buy,Mid Cap,20,-4,920,162,301
Varun beverages,INE200M01013,5,2,3,60,02-Jan-2018,254,Buy,Mid Cap,26,-4,815,246,202
