Sector,Industry,Company,Investment Multiplier,Planned Units,Planned Value,Present Value,TBD Value,TBD Units,TBD %,Last Date
Infrastructure,Infrastructure - General,ABB,1000,5,5000,3000,2000,2.00,0.40,2-Jan-2018
Pharma & Healthcare,Pharmaceuticals,Abott,1000,2,2000,4000,-2000,-2.00,-1.00,19-Sep-2017
Cement,Cement : Major,ACC,1000,3,3000,3000,0,0.00,0.00,1-Nov-2017
Trading,Trading,Adani Enterprises,1000,2,2000,2000,0,0.00,0.00,6-Dec-2017
Infrastructure,Infrastructure - General,Adani Ports,1000,5,5000,1000,4000,4.00,0.80,29-Sep-2017
Retail,Retail,Aditya Birla Fashion & Retail,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Logistics,Transport & Logistics,Aegis Logistics,1000,2,2000,1000,1000,1.00,0.50,2-Feb-2018
Paints,Paints & Varnishes,Akzo Nobel,1000,2,2000,2000,0,0.00,0.00,17-Jul-2017
Logistics,Transport & Logistics,Allcargo Logistics,1000,2,2000,1000,1000,1.00,0.50,2-Feb-2018
Auto components,Auto Ancilliary,Amara Raja,1000,1,1000,1000,0,0.00,0.00,5-Jun-2017
Cement,Cement : Major,Ambuja,1000,3,3000,2000,1000,1.00,0.33,2-Jan-2018
Pharma & Healthcare,Hospitals & Medical Services,Apollo Hospital,1000,10,10000,7000,3000,3.00,0.30,6-Dec-2017
Tyres,Tyres,Apollo Tyres,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Textiles,Textiles - Denim,Arvind Limited,1000,3,3000,1000,2000,2.00,0.67,18-Sep-2017
Auto components,Glass & Glass Products,Asahi India Glass,1000,2,2000,2000,0,0.00,0.00,6-Dec-2017
Ceramics,Ceramics & Granite,Asian Granito Limited,1000,2,2000,1000,1000,1.00,0.50,2-Feb-2018
Paints,Paints & Varnishes,Asian Paints,1000,10,10000,8000,2000,2.00,0.20,6-Dec-2017
Pharma & Healthcare,Pharmaceuticals,Aurobindo Pharma,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
FMCG,Aquaculture,Avanti Feeds,1000,2,2000,3000,-1000,-1.00,-0.50,6-Dec-2017
Retail,Retail,Avenue Supermarket,1000,2,2000,1000,1000,1.00,0.50,16-Oct-2017
BFSI,Banks-Private,Axis Bank,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Automobiles,Auto -2&3,Bajaj Auto,1000,5,5000,5000,0,0.00,0.00,5-Apr-2018
BFSI,Finance - Investments,Bajaj FinServ,1000,3,3000,5000,-2000,-2.00,-0.67,19-Sep-2017
Tyres,Tyres,Balkrishna Industries ,1000,2,2000,2000,0,0.00,0.00,11-Jul-2017
Sugar,Sugar,Balarampur Chini Mills,1000,2,2000,1000,1000,1.00,0.50,21-Nov-2017
Chemicals,Chemicals,BASF,1000,2,2000,3400,-1400,-1.40,-0.70,5-Apr-2018
Leather,Leather Products,Bata,1000,5,5000,2500,2500,2.50,0.50,6-Dec-2017
Agro Chemicals,Pesticides & Agro Chemicals,Bayer,1000,5,5000,5000,0,0.00,0.00,9-Jun-2017
Paints,Paints & Varnishes,Berger Paints,1000,3,3000,2000,1000,1.00,0.33,1-Feb-2018
Engineering,Electrical,Bharat Electronics,1000,5,5000,2000,3000,3.00,0.60,5-Apr-2018
Oil & Gas,Refineries,Bharat Petroleum,1000,4,4000,2000,2000,2.00,0.50,2-Jan-2018
Telecom,Telecommunication - Equipment,Bharati Infratel,1000,3,3000,1000,2000,2.00,0.67,03-Oct-2017
Telecom,Telecommunication - Service,Bharti Airtel,1000,10,10000,10000,0,0.00,0.00,27-Nov-2017
Infrastructure,Infrastructure - General,BHEL,1000,5,5000,2000,3000,3.00,0.60,5-Apr-2018
Logistics,Couriers,Blue Dart,1000,4,4000,4000,0,0.00,0.00,30-May-2017
Consumer Durables,Consumer Goods : White Goods,Blue Star,1000,2,2000,1000,1000,1.00,0.50,28-Nov-2017
Real Estate,Construction & Contracting : Real Estate,Brigade Enterprises,1000,2,2000,1500,500,0.50,0.25,8-Jun-2017
FMCG,Food Processing,Britannia Industries,1000,5,5000,8500,-3500,-3.50,-0.70,5-Apr-2018
BFSI,Finance - Investments,BSE,1000,2,2000,1000,1000,1.00,0.50,28-Sep-2017
Pharma & Healthcare,Pharmaceuticals,Cadila Healthcare,1000,3,3000,1000,2000,2.00,0.67,19-Sep-2017
Tourism & Hospitality,Food Processing,Cafe Coffe Day,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
BFSI,Z Misc : Credit Rating,CARE,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Oil & Gas,Lubricant,Castrol,1000,2,2000,2000,0,0.00,0.00,6-Dec-2017
BFSI,Finance - Investments,CDSL,1000,2,2000,1000,1000,1.00,0.50,28-Sep-2017
Tyres,Tyres,CEAT,1000,2,2000,2000,0,0.00,0.00,17-Jul-2017
Real Estate,Z Misc: Woodwork,Century Plyboard,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Ceramics,Ceramics & Granite,Cera Sanitaryware,1000,2,2000,3000,-1000,-1.00,-0.50,14-Jun-2017
Fertilizers,Fertilizers,Chambal Fertilizers,1000,2,2000,1000,1000,1.00,0.50,16-Oct-2017
Pharma & Healthcare,Pharmaceuticals,Cipla,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Metals,Mining & Minerals,Coal India,1000,10,10000,10000,0,0.00,0.00,27-Nov-2017
FMCG,Personal Care,Colgate Palmolive,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Logistics,Transport & Logistics,Container corporation,1000,3,3000,2000,1000,1.00,0.33,5-Apr-2018
Fertilizers,Fertilizers,Coromandel International,1000,2,2000,2000,0,0.00,0.00,1-Nov-2017
Tourism & Hospitality,Z Misc : Hospitality,Cox & Kings Ltd,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
BFSI,Z Misc : Credit Rating,CRISIL,1000,3,3000,4000,-1000,-1.00,-0.33,5-Apr-2018
Engineering,Electrical,Crompton Greaves Consumer,1000,2,2000,1000,1000,1.00,0.50,28-Nov-2017
Engineering,Abrsavies,Carborundum Universal,1000,2,2000,1000,1000,1.00,0.50,17-Oct-2017
Engineering,Engines,Cummins,1000,2,2000,2000,0,0.00,0.00,6-Dec-2017
FMCG,Personal Care,Dabur,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Media,Media & Entertainment,Dish TV,1000,5,5000,2000,3000,3.00,0.60,1-Feb-2018
Real Estate,Construction & Contracting : Real Estate,DLF,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Pharma & Healthcare,Pharmaceuticals,Dr Lal PathLabs,1000,2,2000,1000,1000,1.00,0.50,19-Sep-2017
Pharma & Healthcare,Pharmaceuticals,Dr Reddy Labs,1000,5,5000,5000,0,0.00,0.00,5-Apr-2018
