security_name, bonus_count, buyback_count, dividend_count, total_count
8KMILES , 1 , - , - , 1
AAIL , - , - , 1 , 1
AARTIDRUGS , - , 1 , - , 1
AARTIIND , - , 1 , - , 1
ABB , - , - , 1 , 1
ABBOTINDIA , - , - , 1 , 1
ABHIJIT , - , - , 1 , 1
ABIRLANUVO , - , - , 1 , 1
ABMKNO , - , - , 1 , 1
ACKNIT , - , - , 1 , 1
ACRYSIL , - , - , 1 , 1
ADORFO , - , - , 1 , 1
ADORWELD , - , - , 1 , 1
AEL , 1 , - , - , 1
AHLEAST , - , - , 1 , 1
AHLWEST , - , - , 1 , 1
AHMDSTE , - , - , 1 , 1
AIAENG , - , - , 1 , 1
AKCAPIT , - , - , 1 , 1
ALEMBICLTD , - , - , 1 , 1
ALFREDHE , - , - , 1 , 1
ALICON , - , - , 1 , 1
ALKALI , - , - , 1 , 1
ALKEM , - , - , 1 , 1
ALLCARGO , - , 1 , - , 1
ALPHAGEO , - , - , 1 , 1
ALPINEHOU , - , - , 1 , 1
AMARJOTHI , - , - , 1 , 1
AMDIND , - , - , 1 , 1
AMJLAND , - , - , 1 , 1
ANANTRAJ , - , - , 1 , 1
ANDHRABANK , - , - , 1 , 1
ANILPROD , - , - , 1 , 1
ANSALBU , - , - , 1 , 1
ANSALHSG , - , - , 1 , 1
ANUHPHR , - , - , 1 , 1
APARINDS , - , 1 , - , 1
APCL , - , - , 1 , 1
APCOTEXIND , - , - , 1 , 1
APLAPOLLO , - , - , 1 , 1
APLLTD , - , - , 1 , 1
APMIN , - , - , 1 , 1
APOLLOTYRE , - , - , 1 , 1
ARCOTECH , - , - , 1 , 1
ARFIN , - , - , 1 , 1
ARIES , - , - , 1 , 1
ARMANFIN , - , - , 1 , 1
ARNOLD , 1 , - , - , 1
AROGRANITE , - , - , 1 , 1
ARROWGREEN , - , - , 1 , 1
ARROWTEX , - , - , 1 , 1
ARVIND , - , - , 1 , 1
ASAHIINDIA , - , - , 1 , 1
ASAHISONG , - , - , 1 , 1
ASALCBR , - , - , 1 , 1
ASHARI , 1 , - , - , 1
ASHFL , 1 , - , - , 1
ASHOKA , - , - , 1 , 1
ASHOKLEY , - , - , 1 , 1
ASIANTILES , - , - , 1 , 1
ASL , - , - , 1 , 1
ASMTEC , - , - , 1 , 1
ASTAR , - , - , 1 , 1
ASTRAL , - , - , 1 , 1
ASTRAMICRO , - , - , 1 , 1
ASYL , 1 , - , - , 1
ATFL , - , - , 1 , 1
ATISHAY , 1 , - , - , 1
ATUL , - , - , 1 , 1
AUDICH , - , - , 1 , 1
AURIONPRO , - , - , 1 , 1
AUTOAXLES , - , - , 1 , 1
AVANTEL , - , - , 1 , 1
AVANTI , - , - , 1 , 1
AXISBANK , - , - , 1 , 1
BABA , - , 1 , - , 1
BAJAJ-AUTO , - , - , 1 , 1
BAJAJCORP , - , - , 1 , 1
BAJAJHLDNG , - , - , 1 , 1
BALAMINES , - , - , 1 , 1
BALASORE , - , - , 1 , 1
BALFC , - , - , 1 , 1
BALPHARMA , - , - , 1 , 1
BAMBINO , - , - , 1 , 1
BANARISUG , - , - , 1 , 1
BANSWRAS , - , - , 1 , 1
BAPACK , - , - , 1 , 1
BASANTGL , - , - , 1 , 1
BASF , - , - , 1 , 1
BASML , - , - , 1 , 1
BATAINDIA , - , - , 1 , 1
BAYERCROP , - , - , 1 , 1
BBARODA , - , - , 1 , 1
BBREALTY , - , - , 1 , 1
BBTC , - , - , 1 , 1
BDH , - , - , 1 , 1
BEARDSELL , - , - , 1 , 1
BEEKAY , - , - , 1 , 1
BEML , - , - , 1 , 1
BENARAS , - , - , 1 , 1
BENGALT , - , - , 1 , 1
BEPL , - , - , 1 , 1
BHAGIL , - , - , 1 , 1
BHANDHOS , - , - , 1 , 1
BHARAT , - , - , 1 , 1
BHARATRAS , - , - , 1 , 1
BHARATSE , - , - , 1 , 1
BHARTIARTL , - , - , 1 , 1
BIL , - , - , 1 , 1
BIMETAL , - , - , 1 , 1
BIRLACABLE , - , - , 1 , 1
BIRLACORPN , - , - , 1 , 1
BLIL , - , - , 1 , 1
BLISSGVS , - , - , 1 , 1
BLS , - , - , 1 , 1
BLUBLND-B , - , - , 1 , 1
BLUECHIPT , - , - , 1 , 1
BNKCAP , - , - , 1 , 1
BNRSEC , - , - , 1 , 1
BOCINDIA , - , - , 1 , 1
BODALCHEM , - , - , 1 , 1
BOMBCYC , - , - , 1 , 1
BOMDYEING , - , - , 1 , 1
BOMOXY-B1 , - , - , 1 , 1
BRIGHTBR , - , - , 1 , 1
BRITANNIA , - , - , 1 , 1
BSL , - , - , 1 , 1
BUTTERFLY , - , - , 1 , 1
CADILAHC , - , - , 1 , 1
CAIRN , - , - , 1 , 1
CAMLINFINE , - , - , 1 , 1
CANFINHOME , - , - , 1 , 1
CAPITALT , - , - , 1 , 1
CAPPL , - , - , 1 , 1
CAPRIHANS , - , - , 1 , 1
CARBORUNIV , - , - , 1 , 1
CARNATIN , - , - , 1 , 1
CCL , - , - , 1 , 1
CEEJAY , - , - , 1 , 1
CEINSYSTECH , - , - , 1 , 1
CENTURYTEX , - , - , 1 , 1
CERA , - , - , 1 , 1
CESC , - , - , 1 , 1
CGVAK , - , - , 1 , 1
CHAMANSE , 1 , - , - , 1
CHAMBLFERT , - , - , 1 , 1
CHEMFALKAL , - , - , 1 , 1
CHENNPETRO , - , - , 1 , 1
CHOICEIN , - , - , 1 , 1
CHOKSI , - , - , 1 , 1
CILSEC , - , - , 1 , 1
CIPLA , - , - , 1 , 1
CLARIS , - , - , 1 , 1
CLNINDIA , - , - , 1 , 1
COASTCORP , - , - , 1 , 1
COMCL , - , - , 1 , 1
COMFINCAP , - , - , 1 , 1
COMFINTE , - , - , 1 , 1
COMPEAU , - , - , 1 , 1
COMPUAGE , - , - , 1 , 1
COMPUSOFT , - , - , 1 , 1
CORAGRO , - , - , 1 , 1
CORALAB , - , - , 1 , 1
CORALFINAC , - , - , 1 , 1
COROMANDEL , - , - , 1 , 1
COX&KINGS , - , - , 1 , 1
CPL , - , - , 1 , 1
CREST , - , - , 1 , 1
CUB , - , - , 1 , 1
CYBERTECH , - , - , 1 , 1
DAAWAT , - , - , 1 , 1
DAMOTH , - , - , 1 , 1
DATAMATICS , - , - , 1 , 1
DEEPAKNI , - , - , 1 , 1
DEEPIND , - , - , 1 , 1
DELTACORP , - , - , 1 , 1
DENORA , - , - , 1 , 1
DFM , - , - , 1 , 1
DHAMPURSUG , - , - , 1 , 1
DHANUKA , - , 1 , - , 1
DHPIND , - , - , 1 , 1
DHUNINV , - , - , 1 , 1
DHUNTEAIND , - , - , 1 , 1
DIAMOND , 1 , - , - , 1
DIANATEA , - , - , 1 , 1
DISA , - , - , 1 , 1
DISAQ , - , 1 , - , 1
DIVSHKT , - , - , 1 , 1
DLINKINDIA , - , - , 1 , 1
DONEAR , - , - , 1 , 1
DPL , - , - , 1 , 1
DRAGARW , - , - , 1 , 1
DREDGECORP , - , - , 1 , 1
DRREDDY , - , - , 1 , 1
