security_name, dividend_amount, dividend_count
MAYUR , 0.5 , 1
FREDUN , 0.6 , 1
KSBPUMPS , 5.5 , 1
ABB , 3.7 , 1
SCHAEFFLER , 10.0 , 1
MERCK , 7.5 , 1
VESUVIUS , 6.2 , 1
PAPERPROD , 2.8 , 1
KOTAKNIFTY , 11.0 , 1
MYSOREBANK , 6.0 , 1
SBBJ , 14.3 , 1
SBT , 5.0 , 1
BOCINDIA , 0.8 , 1
GMBREW , 2.5 , 1
STOVAC , 29.0 , 1
WIDIA , 2.0 , 1
RELIANCEINF , 3.5 , 1
FUTSOL , 0.5 , 1
PINCON , 0.8 , 1
ELANTAS , 5.0 , 1
BOMOXY-B1 , 10.0 , 1
EASTRED , 0.5 , 1
RAYMOND , 3.0 , 1
ITC , 8.5 , 1
YESBANK , 10.0 , 1
LAKSHVILAS , 3.0 , 1
SBIN , 2.6 , 1
ELNET , 1.7 , 1
ESSELPRO , 2.2 , 1
SALZER , 1.6 , 1
SIL , 0.8 , 1
GRUH , 2.3 , 1
RALLIS , 2.5 , 1
INDPRUD , 100.0 , 1
TINPLATE , 2.0 , 1
ORIENTBANK , 0.7 , 1
ABHIJIT , 0.6 , 1
AVANTEL , 1.0 , 1
ICICIBANK , 5.0 , 1
UPL , 5.0 , 1
VIDLI , 0.2 , 1
UNIONBANK , 1.9 , 1
DAMOTH , 1.2 , 1
PSB , 1.6 , 1
EVERESTIND , 5.0 , 1
TATAMETALI , 2.0 , 1
INDIANB , 1.5 , 1
INDUSINDBK , 4.5 , 1
TAMBOLI , 0.6 , 1
VOITHPAPR , 4.0 , 1
WELSPUNGUJR , 0.5 , 1
WELSPUNIND , 0.1 , 1
SOLIMAC , 1.0 , 1
FCH , 2.4 , 1
PFIZER , 15.0 , 1
HAVELLS , 3.0 , 1
HDFCBANK , 9.5 , 1
OBIL , 0.6 , 1
BIRLACORPN , 6.0 , 1
RISHIROOP , 0.8 , 1
SOUTHBANK , 0.5 , 1
MODRNSH , 0.5 , 1
ECLERX , 1.0 , 1
HISARMET , 1.0 , 1
JSWSTEEL , 7.5 , 1
RADICO , 0.8 , 1
TATASPONGE , 10.0 , 1
ULTRACEMCO , 9.5 , 1
BLUECHIPT , 1.5 , 1
CANFINHOME , 10.0 , 1
GREENPLY , 0.6 , 1
KRONE , 2.5 , 1
LGBBROSLTD , 1.0 , 1
AXISBANK , 5.0 , 1
BAMBINO , 1.6 , 1
MODERN , 0.3 , 1
ABBOTINDIA , 35.0 , 1
CAIRN , 3.0 , 1
JOSTS , 1.0 , 1
MAHSHRE , 0.5 , 1
POLYCHEM , 2.5 , 1
SKFINDIA , 15.0 , 1
TATACOFFEE , 1.3 , 1
J&KBANK , 1.8 , 1
JSWENERGY , 2.0 , 1
ONWARDTEC , 1.0 , 1
BHARATSE , 0.9 , 1
KARURVYSYA , 4.0 , 1
SHREYAS , 1.3 , 1
ALFREDHE , 2.0 , 1
ANDHRABANK , 0.5 , 1
ASHOKLEY , 0.9 , 1
CHEMFALKAL , 1.2 , 1
RSSOFTWARE , 1.0 , 1
AHLWEST , 1.0 , 1
ATUL , 10.0 , 1
BAJAJ-AUTO , 5.0 , 1
BAJAJHLDNG , 7.5 , 1
BAJFINANCE , 7.0 , 1
CERA , 9.0 , 1
COROMANDEL , 4.0 , 1
DFM , 5.0 , 1
EVEREADY , 1.0 , 1
EXCELINDUS , 4.5 , 1
GICHSGFIN , 5.0 , 1
INVPREC , 0.7 , 1
JCHAC , 1.5 , 1
JYOTHYLAB , 1.0 , 1
KOTAKBANK , 0.5 , 1
M&MFIN , 4.0 , 1
MONEYMATF , 1.5 , 1
SAREGAMA , 1.5 , 1
SESHAPAPER , 5.0 , 1
SILINV , 1.2 , 1
SUTLEJTEX , 13.0 , 1
SWARAJAUTO , 3.5 , 1
WABAG , 4.0 , 1
BIMETAL , 7.5 , 1
EIMCOELECO , 5.0 , 1
GLAXO , 50.0 , 1
ORIENTCEM , 1.0 , 1
ORIENTHOT , 0.2 , 1
PONNIERODE , 1.2 , 1
TATAELXSI , 14.0 , 1
ATFL , 2.0 , 1
CENTURYTEX , 5.5 , 1
DRREDDY , 20.0 , 1
ELECON , 1.1 , 1
GET&D , 1.8 , 1
MANUGRAPH , 1.0 , 1
RAJGLOWIR , 1.2 , 1
SWISSGLA , 2.2 , 1
TATAMOTORS , 0.2 , 1
TATAMTRDVR , 0.3 , 1
TRANSCOR , 0.8 , 1
VGUARD , 2.5 , 1
VISAKAIND , 2.0 , 1
BATAINDIA , 3.5 , 1
IDFCBANK , 0.2 , 1
JENBURPH , 0.9 , 1
MORARJEE , 1.4 , 1
NOCIL , 1.2 , 1
STANROS , 6.0 , 1
THANGAMAYL , 1.0 , 1
WALCHCAP , 1.2 , 1
APLLTD , 4.0 , 1
ASTRAMICRO , 1.2 , 1
GOODRICKE , 4.0 , 1
INDOCO , 0.2 , 1
KTKBANK , 5.0 , 1
MAHLIFE , 6.0 , 1
PANAENERG , 7.0 , 1
SURYALAXMI , 1.8 , 1
SWELECT , 1.0 , 1
ADORWELD , 5.0 , 1
ALKALI , 0.4 , 1
BALAMINES , 2.0 , 1
CLARIS , 2.0 , 1
CORAGRO , 1.2 , 1
DLINKINDIA , 0.7 , 1
ELGIEQUIP , 1.0 , 1
EMPIND , 4.0 , 1
KALYANIFRG , 2.0 , 1
KEYCORPSER , 1.0 , 1
M&M , 12.0 , 1
MERCATOR , 0.1 , 1
MHRIL , 5.0 , 1
NOVARTIND , 10.0 , 1
OKANCOTEA , 5.0 , 1
PANCARBON , 10.0 , 1
PATELSAI , 2.2 , 1
QUICKHEAL , 2.5 , 1
SOBHA , 2.0 , 1
STAR , 4.0 , 1
TATACOMM , 4.3 , 1
ZEEL , 2.2 , 1
ADORFO , 3.5 , 1
BENGALT , 0.5 , 1
NIITTECH , 10.0 , 1
SUPER , 2.5 , 1
UFLEX , 3.2 , 1
WONDERLA , 0.5 , 1
ZANMOLTR , 4.0 , 1
EIHAHOTELS , 1.0 , 1
ESABINDIA , 1.0 , 1
KTIL , 1.0 , 1
LUPIN$ , 7.5 , 1
NBVENTURES , 3.0 , 1
VINATIORGA , 0.5 , 1
WABCOINDIA , 6.0 , 1
BERGEPAINT , 1.0 , 1
BRIGHTBR , 2.0 , 1
ENIL , 1.0 , 1
GATI , 1.0 , 1
GSKCONS , 70.0 , 1
HAWKINCOOK , 60.0 , 1
JKCEMENT , 4.0 , 1
MCLEODRUSS , 2.0 , 1
MODEX , 0.6 , 1
NITTAGELA , 2.5 , 1
PTL , 1.0 , 1
RAUNAQEPC , 1.2 , 1
BOMDYEING , 0.5 , 1
DPL , 4.0 , 1
IGARASHI , 1.5 , 1
INDOAMIN , 0.5 , 1
JAYSHREETEA , 1.0 , 1
LAXMIMACH , 40.0 , 1
MACPLAS , 1.0 , 1
MAGMA , 0.8 , 1
NATPEROX , 10.0 , 1
PODDAR , 1.5 , 1
SREINFRA , 0.5 , 1
APCOTEXIND , 4.5 , 1
ARVIND , 2.4 , 1
BBTC , 1.0 , 1
BNRSEC , 0.8 , 1
BOMBCYC , 4.0 , 1
BUTTERFLY , 1.2 , 1
CAMLINFINE , 0.5 , 1
COASTCORP , 1.5 , 1
CREST , 0.5 , 1
DEEPAKNI , 1.2 , 1
GRAVITA , 0.2 , 1
JTEKTINDIA , 0.5 , 1
NELCAST , 0.4 , 1
PENINLAND , 0.2 , 1
REPRO , 3.0 , 1
SAMBANDAM , 2.0 , 1
SINGER , 2.5 , 1
SUBROS , 0.8 , 1
SWARAJMAZD , 8.0 , 1
TAJGVK , 0.4 , 1
TATASTEEL , 8.0 , 1
TECHNO , 2.0 , 1
THERMAX , 6.0 , 1
TRANSPEK , 7.5 , 1
TRITONV , 12.0 , 1
TTKHEALTH , 5.0 , 1
VOLTAMP , 12.5 , 1
ZEEMEDIA , 0.1 , 1
BRITANNIA , 20.0 , 1
FEDERALBNK , 0.7 , 1
IL&FSTRANS , 2.0 , 1
IVC , 1.2 , 1
LAKSELEC , 8.0 , 1
SIMPLXREA , 1.0 , 1
SKIPPER , 1.4 , 1
TCPLPACK , 7.3 , 1
ZUARIGLOB , 1.0 , 1
ALEMBICLTD , 0.1 , 1
APOLLOTYRE , 2.0 , 1
EMAMIPAP , 0.6 , 1
LAOPALA , 1.8 , 1
SIRCG , 4.5 , 1
WIREFABR , 1.8 , 1
AHLEAST , 2.0 , 1
DHUNINV , 1.5 , 1
DISA , 2.5 , 1
GARWALLROP , 3.3 , 1
HONAUT , 10.0 , 1
KHAICHEM , 0.1 , 1
MAKERSL , 1.0 , 1
NITINCAST , 0.8 , 1
PAUSHAKLTD , 3.0 , 1
PRIMEURB , 0.4 , 1
SHREYANIND , 1.2 , 1
TATACHEM , 10.0 , 1
TATATIMKEN , 1.0 , 1
UJJIVAN , 0.5 , 1
VSTIND , 70.0 , 1
BASF , 1.0 , 1
BENARAS , 20.0 , 1
CLNINDIA , 10.0 , 1
DHUNTEAIND , 8.0 , 1
GLENMARK , 2.0 , 1
HONDAPOWER , 6.0 , 1
INDOBORAX , 1.5 , 1
KAIRA , 5.0 , 1
MAFATIND , 3.0 , 1
