security_name, buyback_share, buyback_count
SMARTLINK , - , 1
WIPRO , - , 1
SOBHA , - , 1
BABA , - , 1
INFRATEL , - , 1
SUNPHARMA , - , 1
NOVARTIND , - , 1
NATIONALUM , - , 1
MOIL , - , 1
NMDC , - , 1
MAYURUNIQ , - , 1
BOSCHLTD , - , 1
COALINDIA , - , 1
BEL , - , 1
RSYSTEMINT , - , 1
DISAQ , - , 1
ECLERX , - , 1
AARTIDRUGS , - , 1
AARTIIND , - , 1
LAXMIMACH , - , 1
ALLCARGO , - , 1
NAVNETEDUL , - , 1
VTL , - , 1
INFINITE , - , 1
KPRMILL , - , 1
HEXAWARE , - , 1
SASKEN , - , 1
BALRAMCHIN , - , 1
DHANUKA , - , 1
APARINDS , - , 1
GAEL , - , 1
NLCINDIA , - , 1
WELENT , - , 1
NHPC , - , 1
JAGRAN , - , 1
TECHNO , - , 1
MPHASIS , - , 1
