security_name, total_score, bonus_score, buyback_score, dividend_score
ALANKIT,3,1,0,2
BEL,3,0,1,2
BOSCHLTD,3,0,1,2
BPCL,3,1,0,2
ENGINERSIN,3,1,0,2
GAIL,3,1,0,2
HEXAWARE,3,0,1,2
HINDPETRO,3,1,0,2
INFRATEL,3,0,1,2
IOC,3,1,0,2
MAYURUNIQ,3,0,1,2
MOIL,3,0,1,2
NATIONALUM,3,0,1,2
NBCC,3,1,0,2
NHPC,3,0,1,2
NLCINDIA,3,0,1,2
OIL,3,1,0,2
ONGC,3,1,0,2
ORBTEXP,3,1,0,2
PFC,3,1,0,2
POLYMED,3,1,0,2
RECLTD,3,1,0,2
SYMPHONY,3,1,0,2
TECHNO,3,1,1,1
WIPRO,3,0,1,2
ACC,2,0,0,2
ACGL,2,0,0,2
ADVANIHOTR,2,0,0,2
AEGISLOG,2,0,0,2
AJANTPHARM,2,0,0,2
AMBITION,2,2,0,0
AMBUJACEM,2,0,0,2
AMRUTANJAN,2,0,0,2
ASIIL,2,1,0,1
AVTNPL,2,0,0,2
BAJFINANCE,2,1,0,1
BALKRISIND,2,0,0,2
BALMLAWRIE,2,1,0,1
BALRAMCHIN,2,0,1,1
BANCOINDIA,2,0,0,2
BERGEPAINT,2,1,0,1
BHARATFORG,2,0,0,2
BHEL,2,0,0,2
CARERATING,2,0,0,2
CASTROLIND,2,0,0,2
CENTUM,2,0,0,2
CHOLAINV,2,0,0,2
COALINDIA,2,0,1,1
CONCOR,2,0,0,2
CONTROLP,2,0,0,2
CREATIVE,2,0,0,2
CRISIL,2,0,0,2
CUMMINSIND,2,0,0,2
DBCORP,2,0,0,2
DCMSHRIRAM,2,0,0,2
DICIND,2,0,0,2
DISHMAN,2,1,0,1
ECLERX,2,0,1,1
EMAMILTD,2,0,0,2
FRONTCAP,2,1,0,1
GANESHHOUC,2,1,0,1
GENUSPOWER,2,0,0,2
GHCL,2,0,0,2
GLOSTER,2,1,0,1
GMBREW,2,1,0,1
GMM,2,0,0,2
GODREJCP,2,0,0,2
GOLDIAM,2,0,0,2
GRANULES,2,0,0,2
GREAVESCOT,2,0,0,2
GULFOILLUB,2,0,0,2
HARITASEAT,2,0,0,2
HATSUN,2,1,0,1
HCLTECH,2,0,0,2
HDFC,2,0,0,2
HEROMOTOCO,2,0,0,2
HGS,2,0,0,2
HIGHGROUND,2,1,0,1
HIKAL,2,0,0,2
HINDZINC,2,0,0,2
