security_name, split_share, split_count
BLUECLOUDS ,  10:5 , 1
VIVIMEDLAB ,  10:2 , 1
ABMKNO ,  10:5 , 1
AEL ,  10:5 , 1
TRANSCOR ,  10:2 , 1
NBCC ,  10:2 , 1
LUXIND ,  10:2 , 1
ICICIGOLD ,  100:10 , 1
SOLARINDS ,  10:2 , 1
LLOYDSME ,  2:1 , 1
BOMBWIR ,  10:1 , 1
PNCINFRA ,  10:2 , 1
PILITA ,  4:1 , 1
VGUARD ,  10:1 , 1
CHEMBOND ,  10:5 , 1
BAJFINANCE ,  10:2 , 1
MISHTANN ,  10:1 , 1
MINDAIND ,  10:2 , 1
TRENT ,  10:1 , 1
JMTAUTOLTD ,  2:1 , 1
ROLLT ,  2:1 , 1
DIAMOND ,  10:1 , 1
KAJARIACER ,  2:1 , 1
GRASIM ,  10:2 , 1
8KMILES ,  10:5 , 1
PACT ,  10:1 , 1
GAL ,  10:1 , 1
SRESTHA ,  10:2 , 1
SNIM ,  5:1 , 1
CAPPL ,  10:2 , 1
MENNPIS ,  10:1 , 1
WELCON ,  10:1 , 1
NEGOTIUM ,  10:1 , 1
VFL ,  10:1 , 1
VKJINFRA ,  10:1 , 1
BHAGIL ,  10:5 , 1
GOLDLINE ,  10:1 , 1
VAMA ,  10:2 , 1
INANI ,  10:2 , 1
ICIL ,  10:2 , 1
KARURVYSYA ,  10:2 , 1
CGCL ,  10:2 , 1
KPRMILL ,  10:5 , 1
MANGIND ,  10:1 , 1
SUNILHITEC ,  10:1 , 1
SKFL ,  10:1 , 1
KNRCON ,  10:2 , 1
ALANKIT ,  2:1 , 1
SHRGLTR ,  5:1 , 1
GULPOLY ,  5:1 , 1
JSWSTEEL ,  10:1 , 1
STERTOOLS ,  10:2 , 1
USHDI ,  10:1 , 1
KALLAM ,  10:2 , 1
KDML ,  10:5 , 1
DAAWAT ,  10:1 , 1
GAYAPROJ ,  10:2 , 1
COMPUAGE ,  10:2 , 1
DWITIYA ,  10:2 , 1
NUTRA ,  10:5 , 1
VIAANINDUS ,  10:1 , 1
BEL ,  10:1 , 1
