+-------------+-----------+--------------+
| bhav_ticker | bhav_last |  bhav_isin   |
|  BHARATWIRE |    22.1   | INE316L01019 |
|  BHARTIARTL |   477.5   | INE397D01024 |
|     BHEL    |    27.9   | INE257A01026 |
|     BIL     |   132.0   | INE828A01016 |
|  BILENERGY  |    0.8    | INE607L01029 |
|  BINDALAGRO |    11.4   | INE143A01010 |
|    BIOCON   |   416.25  | INE376G01013 |
|  BIRLACABLE |    48.0   | INE800A01015 |
|  BIRLACORPN |   707.0   | INE340A01012 |
|  BIRLAMONEY |    42.1   | INE865C01022 |
|  BIRLATYRE  |   19.65   | INE0AEJ01013 |
|   BKMINDST  |    0.6    | INE831Q01016 |
|  BLBLIMITED |    4.95   | INE791A01024 |
|   BLISSGVS  |   163.9   | INE416D01022 |
|  BLKASHYAP  |    6.4    | INE350H01032 |
|     BLS     |   80.65   | INE153T01027 |
|   BLUEDART  |   3900.0  | INE233B01017 |
|  BLUESTARCO |   658.0   | INE472A01039 |
|  BODALCHEM  |   64.95   | INE338D01028 |
|  BOMDYEING  |    63.2   | INE032A01023 |
|  BORORENEW  |    96.0   | INE666D01022 |
|   BOSCHLTD  |  12266.0  | INE323A01026 |
|     BPCL    |   394.0   | INE029A01011 |
|     BPL     |   19.15   | INE110A01019 |
|     BRFL    |    9.1    | INE589G01011 |
|   BRIGADE   |   194.7   | INE791I01019 |
|  BRITANNIA  |   3492.0  | INE216A01030 |
|     BRNL    |   29.25   | INE727S01012 |
|    BROOKS   |    54.2   | INE650L01011 |
|     BSE     |   492.0   | INE118H01025 |
|  BSELINFRA  |    0.95   | INE395A01016 |
|    BSHSL    |    94.9   | INE032Z01012 |
|  BSLGOLDETF |   4657.0  | INF209K01HT2 |
|   BSLNIFTY  |   136.0   | INF209K01IR4 |
|    BSOFT    |   178.35  | INE836A01035 |
|   BURNPUR   |    1.55   | INE817H01014 |
|  BUTTERFLY  |   376.0   | INE295F01017 |
|     BYKE    |    13.6   | INE319B01014 |
|   CADILAHC  |   415.95  | INE010B01027 |
|   CALSOFT   |    9.1    | INE526B01014 |
|  CAMLINFINE |   103.0   | INE052I01032 |
|     CAMS    |   1287.0  | INE596I01012 |
|    CANBK    |    94.3   | INE476A01014 |
|  CANFINHOME |   478.0   | INE477A01020 |
|   CANTABIL  |   330.0   | INE068L01016 |
|   CAPACITE  |   128.1   | INE264T01014 |
|  CAPLIPOINT |   454.8   | INE475E01026 |
|   CAPTRUST  |    56.0   | INE707C01018 |
|  CARBORUNIV |   303.0   | INE120A01034 |
|   CAREERP   |   164.7   | INE521J01018 |
|  CARERATING |   402.45  | INE752H01013 |
|  CASTROLIND |   113.85  | INE172A01027 |
|    CCHHL    |    3.45   | INE652F01027 |
|     CCL     |   245.0   | INE421D01022 |
|     CDSL    |   474.5   | INE736A01011 |
|   CEATLTD   |   1110.6  | INE482A01020 |
|    CEBBCO   |    13.0   | INE209L01016 |
|  CELEBRITY  |    6.0    | INE185H01016 |
|   CENTENKA  |   176.0   | INE485A01015 |
|   CENTEXT   |    3.4    | INE281A01026 |
|  CENTRALBK  |    11.9   | INE483A01010 |
|   CENTRUM   |    16.1   | INE660C01027 |
|    CENTUM   |   270.1   | INE320B01020 |
|  CENTURYPLY |   185.15  | INE348B01021 |
