- , JAIIRR , -92.60
- , THOCOO , -77.14
- , DISHTV , -72.27
- , NBCC , -61.01
- , EVEIND , -57.30
- , ENTNET , -55.93
- , NAGCON , -54.09
- , BHEL , -52.11
- , LUPIN , -49.17
- , GLEPHA , -48.84
- , ZEEENT , -48.76
- , HUDCO , -45.60
- , BASF , -43.26
- , OILIND , -42.99
- , EMALIM , -42.19
- , TATMOT , -41.76
- , SUNPHA , -41.04
- , CADHEA , -39.54
- , BHAELE , -38.03
- , ARVFAS , -37.93
- , NEYLIG , -36.92
- , CARE , -36.53
- , ZEELEA , -36.08
- , LTFINA , -35.49
- , LICHF , -35.32
- , MOTSUM , -34.57
- , KRBL , -34.46
- , AURPHA , -34.40
- , ONGC , -34.29
- , FUTSUP , -34.09
- , GREIN , -33.85
- , TATPOW , -33.64
- , DELCOR , -33.23
- , CEAT , -32.90
- , ASHLEY , -32.46
- , COALIN , -32.14
- , VEDLIM , -31.33
- , GIC , -30.75
- , FUTRE , -30.56
- , BHAINF , -28.82
- , MAHCIE , -28.20
- , GODIND , -28.03
- , BOSLIM , -27.59
- , UFLLIM , -27.09
- , MAHHOL , -25.81
- , TATCO , -25.17
- , LEMTRE , -24.98
- , HUHPPL , -24.57
- , PIRENT , -24.26
- , GRASIM , -23.00
- , VENIND , -22.87
- , BHADYN , -22.86
- , HINZIN , -21.13
- , ALLLOG , -21.09
- , VSTTIL , -20.89
- , CIPLA , -20.82
- , BLUDAR , -20.23
- , VRLLOG , -20.21
- , TUBINV , -19.69
- , EIDPAR , -19.63
- , HINPET , -18.83
- , APOTYR , -18.48
- , ITC , -18.47
- , INDOIL , -17.87
- , WONHOL , -17.48
- , MAHFIN , -17.20
- , HERHON , -16.79
- , ENGIND , -16.72
- , HINAER , -16.61
- , HATAGR , -16.52
- , HINDAL , -16.41
- , EIHLIM , -15.34
- , CDSL , -15.20
- , EICMOT , -14.93
- , KAVSEE , -14.90
- , MAHLO , -14.88
- , NATALU , -14.88
- , ICRLIM , -14.63
- , CERSAN , -14.39
- , GLAPHA , -13.92
- , GAIL , -13.05
- , MARLIM , -12.78
- , GREEIN , -12.53
- , GODCON , -12.34
- , DCMSHR , -11.83
- , SHRTRA , -11.24
- , NTPC , -11.06
- , NATMIN , -10.94
- , RURELE , -10.90
- , CUMIND , -10.78
- , VGUARD , -10.12
- , BSE , -9.64
- , NHPC , -8.80
- , TATSTE , -8.47
- , ABB , -8.03
- , BIOCON , -7.59
- , ASAIND , -7.41
- , CENPLY , -7.39
- , KAJCER , -7.34
- , SHEFOA , -6.88
- , MERLIM , -6.57
- , STETEC , -6.23
- , ACC , -5.83
- , POWFIN , -5.75
- , CARUNI , -5.68
- , SUNFAS , -4.69
- , LAOPA , -4.05
- , HAVIND , -3.99
- , AEGLOG , -3.79
- , FAGBEA , -3.71
- , TTKPRE , -3.62
- , KSBPUM , -2.46
- , SUMCH , -2.16
- , ADAPOR , -2.15
- , COCSHI , -1.66
- , TVSSRI , -1.62
- , NOVART , -1.46
- , GOOIND , -0.86
- , MAHMAH , -0.72
- , EXIIND , -0.69
- , MARUTI , -0.66
- , LARTOU , -0.19
+ , BHAFOR , 0.21
+ , POWGRI , 0.25
+ , PAGIND , 0.42
+ , UNIP , 0.55
+ , JSWSTE , 0.71
+ , CASIND , 0.80
+ , GODAGR , 1.02
+ , AMBCE , 1.91
+ , SUNFIN , 2.46
+ , TATELX , 3.70
+ , KANNER , 4.48
+ , FINCAB , 5.89
+ , TATCHE , 6.06
+ , SYMLIM , 7.33
+ , UNIBR , 7.35
+ , CRISIL , 7.68
+ , BALIND , 8.11
+ , GILIND , 9.18
+ , CHOINV , 9.55
+ , CONCOR , 9.81
+ , FUTLIF , 10.31
+ , RALIND , 10.31
+ , QUECOR , 10.78
+ , BHAPET , 11.24
+ , BAAUTO , 11.35
+ , SUPIND , 11.78
+ , HITHOM , 12.15
+ , ZYDWEL , 12.35
+ , SECINT , 12.66
+ , AVAFEE , 13.29
+ , THYTEC , 14.28
+ , DLFLIM , 14.41
+ , PETLNG , 15.38
+ , LTINFO , 15.58
+ , SIEMEN , 16.29
+ , BORGLA , 16.48
+ , NILLIM , 16.70
+ , AMARAJ , 16.71
+ , LTTEC , 17.52
+ , BAYIND , 17.55
+ , PROGAM , 17.68
+ , ULTCEM , 18.22
+ , ASTPHA , 18.83
+ , BALCHI , 19.61
+ , STABAN , 19.87
+ , WIPRO , 19.88
+ , SOLIN , 20.29
+ , INDHOT , 20.31
+ , ICIPRU , 21.22
+ , COLPAL , 22.01
+ , BAJHOL , 22.29
+ , BLUSTA , 24.00
+ , INTAVI , 25.03
+ , HDFGOL , 25.72
+ , SBIGOL , 26.09
+ , MINLIM , 26.26
+ , UNISPI , 26.91
+ , SKFIND , 27.87
+ , VOLTAS , 28.84
+ , PREEST , 29.54
+ , UTGOLD , 30.23
+ , GOLDEX , 31.11
+ , PVRLIM , 31.43
+ , DRREDD , 32.26
+ , KOTGOL , 32.43
+ , SHRCEM , 33.76
+ , NARHRU , 33.78
+ , CORINT , 35.05
+ , SBILIF , 35.97
+ , GRINOR , 36.94
+ , MANAFI , 37.55
+ , APOHOS , 38.23
+ , HCLTEC , 39.15
+ , INFTEC , 39.95
+ , HONAUT , 41.81
+ , VSTIND , 42.56
+ , DABIND , 42.60
+ , HEICEM , 42.60
+ , BHAAIR , 43.44
+ , HDFC , 43.89
+ , ICISEC , 44.32
+ , BRIIND , 47.06
+ , ESSPRO , 47.92
+ , HINLEV , 48.23
+ , HDFSTA , 49.67
+ , MCX , 49.72
+ , BAJFI , 51.72
+ , BRIENT , 52.11
+ , VIPIND , 54.90
+ , AVESUP , 57.71
+ , ADAENT , 58.35
+ , TECMAH , 58.95
+ , KOTMAH , 60.74
+ , SANOFI , 63.18
+ , PFIZER , 64.27
+ , BAFINS , 67.98
+ , WESDEV , 68.56
+ , GODPHI , 68.77
+ , MUTFIN , 70.82
+ , PIIND , 71.70
+ , VARBEV , 71.97
+ , TCS , 73.64
+ , WHIIND , 74.21
+ , ASIPAI , 75.74
+ , PIDIND , 79.59
+ , TUBIN , 79.76
+ , INDGAS , 80.30
+ , GLACON , 81.84
+ , TITIND , 84.25
+ , ICILOM , 85.29
+ , TATGLO , 90.40
+ , DRLAL , 91.87
+ , ICIBAN , 94.27
+ , TRENT , 98.81
+ , BERPAI , 104.72
+ , IIFSEC , 124.55
+ , ADAGAS , 132.43
+ , HDFBAN , 132.65
+ , RELFOO , 135.59
+ , NESIND , 145.95
+ , JUBFOO , 150.32
+ , BATIND , 153.66
+ , RELIND , 158.56
+ , INFEDG , 158.60
+ , HDFAMC , 188.18
+ , ABBIND , 217.17

+,positive, 126

-,negative, 122

?,hit rate, 50 %
