"Stock","ISIN","Broker Average Target Rs","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","ROE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Revenue Annual 2Yr Growth %","Net Profit 5Yr Growth %","Interest Coverage Ratio Annual","Promoter holding pledge percentage % Qtr","3Yr Low Rs","5Yr Low Rs","My Notes"
"KSB Ltd.","INE999A01015","795","0.1","13.9","9.6","30.2","35.2","-","24.1","0","386","386","Notes"
"Equitas Holdings Ltd.","INE988K01017","95","5.2","7.1","5.0","0","65.0","93.3","1.3","0","32.5","32.5","Notes"
"Natco Pharma Ltd.","INE987B01026","682.8","0.1","25.4","19.9","21.5","-9.1","251.7","27.5","0","402.6","372","Notes"
"TeamLease Services L..","INE985S01024","2,290","0.0","16.4","17.7","0","43.7","20.4","7.9","1.2","1,271","806.7","Notes"
"Hawkins Cookers Ltd.","INE979B01015","4,626.5","0.2","60.3","45.2","62.6","20.1","125.7","25.6","0","2,605.0","2,030","Notes"
"RBL Bank Ltd.","INE976G01028","219.1","1.6","7.7","10.7","23.5","90.0","-","1.6","0","101.6","101.6","Notes"
"Tube Investments of ..","INE974X01010","425","0.3","22.5","14.7","21.3","-4.9","-","15","0.0","212","212","Notes"
"Meghmani Organics Ltd.","INE974H01013","70","0.7","28.1","23.2","10.4","22.6","528.6","9.4","0","32.1","17.3","Notes"
"Lemon Tree Hotels Ltd.","INE970X01018","53.2","1.3","4.7","4.6","0","37.2","83.6","1.0","33.8","14.1","14.1","Notes"
"Va Tech Wabag Ltd.","INE956G01038","236.8","0.5","18.5","10.6","11.1","-13.5","-24.4","2.4","12.4","73","73","Notes"
"Arvind Fashions Ltd.","INE955V01021","460","0.7","9.3","1.4","0","-7.2","-","-0.5","0","110","110","Notes"
"V-Guard Industries L..","INE951I01027","193.1","0.0","23.9","18.4","28.8","8.2","-","61.0","0","149","55.7","Notes"
"DB Corp Ltd.","INE950I01011","183","0.0","22.3","15.6","66.9","-4.9","-13.1","14.9","40.4","58","58","Notes"
"Au Small Finance Ban..","INE949L01017","761.3","2.4","-","8.0","3.6","-","383.9","1.5","7.0","366","366","Notes"
"Laurus Labs Ltd.","INE947Q01010","513.3","0.6","13.4","7.8","12.3","36.1","274.5","4.3","31.6","295","295","Notes"
"Radico Khaitan Ltd.","INE944F01028","381.5","0.2","0","0","7.1","31.7","-","10.4","4.6","125","81","Notes"
"Strides Pharma Scien..","INE939A01011","561.7","1.2","6.5","17.2","29.6","-4.0","-83.7","2.5","50.9","268","268","Notes"
"Dixon Technologies (..","INE935N01012","5,456.4","0.4","24.2","17.6","5.0","54.8","824.4","5.5","0","1,560","1,560","Notes"
"Glenmark Pharmaceuti..","INE935A01035","441.8","0.7","15.6","16.2","6.6","17.8","63.3","3.8","0","161.7","161.7","Notes"
"IndiaMART InterMESH ..","INE933S01016","2,600","0","0.1","2.7","17.1","64.7","-","65.6","0","1,103.0","1,103.0","Notes"
"Bajaj Consumer Care ..","INE933K01021","359","0.1","58.9","45.9","50.8","3.6","7.0","54.0","0","116.6","116.6","Notes"
"KPR Mill Ltd.","INE930H01023","836","0.5","25.9","18.6","5.1","11.5","117.0","10.5","0","312.4","308.5","Notes"
"Bajaj Finserv Ltd.","INE918I01018","8,476","4.2","10.6","13.3","1.1","65.4","148.8","1.9","0","3,985.3","1,551.3","Notes"
"Dilip Buildcon Ltd.","INE917M01012","456.6","2.5","18.0","21.5","2.9","22.7","361.7","1.4","28.6","190","177.9","Notes"
"Bajaj Auto Ltd.","INE917I01010","2,875","0","26.4","21.0","55.0","19.2","73.9","2,017.0","0","1,788.7","1,788.7","Notes"
"Sheela Foam Ltd.","INE916U01025","1,643","0.0","26.1","19.7","0","11.4","359.1","21.6","0","1,073.2","910","Notes"
"Aster DM Healthcare ..","INE914M01019","160","0.9","8.6","11.5","0","29.7","15.7","2.0","0","78","78","Notes"
"Endurance Technologi..","INE913H01037","1,110.4","0.2","25.4","18.9","19.9","9.3","122.7","43.6","0","564.5","518.8","Notes"
"Alembic Pharmaceutic..","INE901L01018","853","0.3","22.0","20.5","26.4","47.0","183.2","39.4","0","414.4","414.4","Notes"
"Indostar Capital Fin..","INE896L01010","253","3.0","8.3","8.6","-33.1","93.8","-317.8","0.4","0","166","166","Notes"
"Amara Raja Batteries..","INE885A01032","739.2","0.0","13.7","9.7","30.2","-","-","70.0","5.9","348.6","348.6","Notes"
"Vaibhav Global Ltd.","INE884A01019","1,381","0.1","26.4","21.6","34.4","26.6","84.4","28.3","0","477","234","Notes"
"Parag Milk Foods Ltd.","INE883N01014","255","0.3","20.2","13.8","6.9","24.4","190.9","4.3","48.1","48.5","48.5","Notes"
"Oracle Financial Ser..","INE881D01027","3,100","0","42.5","27.5","93.5","9.1","22.6","48.6","0","1,506","1,506","Notes"
"KEI Industries Ltd.","INE878B01027","457.3","0.7","42.3","23.5","7.6","41.1","648.3","3.5","0","206","79.0","Notes"
"PTC India Ltd.","INE877F01012","65","2.8","13.6","10.2","26.4","-8.4","3.2","1.5","0","32.4","32.4","Notes"
"Orient Cement Ltd.","INE876N01018","84.3","1.2","8.2","4.4","22.9","8.8","-55.5","2.1","16.1","35.1","35.1","Notes"
"Indoco Remedies Ltd.","INE873D01024","241","0.4","3.8","1.7","56.5","6.0","-70.9","2.1","0","132.5","132.5","Notes"
"Avanti Feeds Ltd.","INE871C01038","623","0.0","40.0","29.5","29.5","21.6","231.0","244.7","0","250.5","110.4","Notes"
"NCC Ltd.","INE868B01028","47","0.5","23.3","9.8","17.0","6.1","428.2","1.8","34.2","15.9","15.9","Notes"
"HCL Technologies Ltd.","INE860A01027","608.8","0.1","28.2","24.3","10.3","37.6","-","28.7","0","375.3","353.2","Notes"
"Gateway Distriparks ..","INE852F01015","150","0.6","4.0","21.1","24.0","220.0","-43.1","1.9","0.1","71","71","Notes"
"Godrej Agrovet Ltd.","INE850D01014","452","0.2","18.5","18.7","27.7","34.4","36.9","9.3","0","265.1","265.1","Notes"
"Trent Ltd.","INE849A01020","544.7","0.2","11.1","5.7","35.9","64.9","5.4","1.8","0","242","116.1","Notes"
