"Stock","ISIN","Broker Average Target Rs","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","ROE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Revenue Annual 2Yr Growth %","Net Profit 5Yr Growth %","Interest Coverage Ratio Annual","Promoter holding pledge percentage % Qtr","3Yr Low Rs","5Yr Low Rs","My Notes"
"KSB Ltd.","INE999A01015","795.00","0.07240","14.46333","10.52000","27.14206116036964385350576556","35.21662219475310131280267509","-","24.02930","0.00000","386.00000","386.00000","Notes"
"Equitas Holdings Ltd.","INE988K01017","95.00","6.22100","6.89667","5.05667","8.409551905436270733750222853","64.96785939045221612874224580","93.25212366259680195878851557","1.26540","-","32.50000","32.50000","Notes"
"Natco Pharma Ltd.","INE987B01026","841.75","0.08370","22.54333","17.77667","21.81331056765077488577951790","-9.113787524716879381628617652","251.6621390454134690053695838","27.45110","0.00000","402.55000","390.00000","Notes"
"TeamLease Services L..","INE985S01024","2386.67","0.13320","15.49333","13.64000","0","43.73422367304253619885303639","20.38794772444368215754910903","7.92160","1.23000","1415.35000","806.65000","Notes"
"RBL Bank Ltd.","INE976G01028","208.86","1.60989","7.69705","8.52000","17.02523017503152707802054945","89.98455551700813987500797694","-","1.56220","-","101.55000","101.55000","Notes"
"Tube Investments of ..","INE974X01010","425.00","0.15540","22.21000","15.17667","23.62185194531856232684690402","-4.926423670855318652967450203","-","15.00000","0.04000","212.00000","212.00000","Notes"
"Lemon Tree Hotels Ltd.","INE970X01018","46.00","1.83530","4.56000","2.21000","-0","37.22082889712667936544581311","83.57254684905511188424132205","1.00310","33.96000","14.05000","14.05000","Notes"
"V-Guard Industries L..","INE951I01027","184.00","0.01280","24.01000","18.42667","21.50915847315340711396437830","8.186697877839924340007788529","-","60.97830","0.00000","149.00000","55.72000","Notes"
"DB Corp Ltd.","INE950I01011","80.00","0.10010","21.63333","16.05000","90.75933800138861787142124585","-4.928663741795054926368057681","-13.07597213016691091289227773","14.86770","36.89000","58.00000","58.00000","Notes"
"Au Small Finance Ban..","INE949L01017","908.00","2.36138","8.02263","9.16000","1.629308788556777826801868882","131.6193620229671731817654564","867.7798494083901039799211187","1.50366","0.00000","366.00000","366.00000","Notes"
"Laurus Labs Ltd.","INE947Q01028","398.33","0.53990","15.97000","10.57667","11.74281761569427574337539953","36.07764747306558905037462805","274.4762938622227438094120408","4.31310","16.42000","59.00000","59.00000","Notes"
"Radico Khaitan Ltd.","INE944F01028","473.33","0.25850","20.52333","13.36333","9.820752846637282155753457365","31.72809268727911172491982827","-","10.38970","0.00000","210.90000","83.55000","Notes"
"Strides Pharma Scien..","INE939A01011","713.00","0.72510","7.01667","13.55000","20.69799986704578908932940185","-3.981712914945748725100174368","-83.67801064171205322513983086","2.53850","37.04000","268.00000","268.00000","Notes"
"Dixon Technologies (..","INE935N01012","9303.50","0.15290","26.84333","19.44333","3.327421798794242162770930467","54.80011324723877277915604242","824.4349827387802071346375144","5.48320","0.00000","1560.00000","1560.00000","Notes"
"Glenmark Pharmaceuti..","INE935A01035","523.29","0.73890","14.85000","14.94667","8.234490474432913514610456449","17.83530746134087963116007418","63.27960609376315124989479000","3.81770","0.00000","161.65000","161.65000","Notes"
"IndiaMART InterMESH ..","INE933S01016","4753.33","0.00000","6.95333","16.35667","8.271321854834000360298779997","64.70365007007724794308144327","-","65.89790","0.00000","1102.95000","1102.95000","Notes"
"Bajaj Consumer Care ..","INE933K01021","197.00","0.03060","50.28000","39.51667","56.87113498434977454149424642","3.588401562773394334887729974","7.016600920542270867854633784","53.98200","0.00000","116.55000","116.55000","Notes"
"Bajaj Finserv Ltd.","INE918I01018","8392.00","4.04470","13.09333","12.41333","0.9635434967301830257295662294","65.38974629564374886269096902","148.7553804837350622828609023","1.88880","0.01000","3985.30000","1551.25000","Notes"
"Dilip Buildcon Ltd.","INE917M01012","524.83","2.61790","17.68000","18.69667","3.683848442791215126618475789","22.72708684481234058214777513","361.7349441573405432538188622","1.43940","25.23000","190.00000","177.90000","Notes"
"Bajaj Auto Ltd.","INE917I01010","3250.53","0.00000","27.26333","21.97000","58.11790023255232023608782583","19.20610193883427309732386202","73.91799139371954905935488460","2017.01890","0.01000","1788.65000","1788.65000","Notes"
"Sheela Foam Ltd.","INE916U01025","1643.00","0.21000","25.44000","20.57333","0","11.44013375097791054874751935","359.0710181089561831310725492","21.64940","0.00000","1073.20000","910.00000","Notes"
"Aster DM Healthcare ..","INE914M01019","160.00","0.85560","8.14000","10.73667","0","29.70140377820694482129567067","15.70815892277670181215477735","1.97270","0.00000","78.00000","78.00000","Notes"
"Endurance Technologi..","INE913H01037","1129.50","0.18230","24.04000","18.69667","16.23658415333003484666169926","9.262310022861728738231480415","122.7055422977262166355567107","43.56490","0.00000","564.50000","518.75000","Notes"
"Alembic Pharmaceutic..","INE901L01018","1120.86","0.54270","22.64333","21.93667","17.70175489487784304459220524","46.96784722731344092362321936","183.1928834811520130162968989","39.41970","0.00000","414.40000","414.40000","Notes"
"Amara Raja Batteries..","INE885A01032","818.22","0.00930","14.12667","10.85000","26.29191000255938946927569278","-","-","69.96300","0.00000","348.55000","348.55000","Notes"
"Vaibhav Global Ltd.","INE884A01019","1939.00","0.08570","27.66667","22.62667","39.64598752347117295834552104","26.55570509053718054606599774","84.41946495301918703070560784","28.32800","0.00000","551.35000","234.00000","Notes"
"MRF Ltd.","INE883A01011","76588.00","0.12360","14.33000","11.23000","2.789806352374766599787627038","8.437732866733006085038760146","-","5.89800","0.03000","49915.10000","30101.00000","Notes"
"Oracle Financial Ser..","INE881D01027","4000.00","0.00000","38.41667","25.53000","52.18494297403381607498025380","9.104336313884181628968407778","22.63628891572732152442297370","48.55150","0.00000","1506.00000","1506.00000","Notes"
"KEI Industries Ltd.","INE878B01027","404.50","0.20900","37.17333","21.39000","5.186380258101173985193460628","41.14357151120727017800746979","648.3328467153284671532846715","3.53860","0.00000","208.30000","85.30000","Notes"
"Orient Cement Ltd.","INE876N01018","80.00","1.01540","9.13333","5.52333","15.73532759378517501355860728","8.782260314239522376473845004","-55.54541888794880851658055348","2.12320","19.39000","35.10000","35.10000","Notes"
"Indoco Remedies Ltd.","INE873D01024","297.75","0.29850","5.62667","3.06667","6.617600832935358172130415265","5.961268821817184673204191188","-70.87710188679245283018867925","2.08830","0.00000","132.45000","132.45000","Notes"
"Avanti Feeds Ltd.","INE871C01038","565.00","0.00010","39.83000","30.21333","15.72714271517885304194912874","21.63156557516084805686980401","231.0094077339516514360369310","244.69750","0.00000","250.50000","110.35000","Notes"
"NCC Ltd.","INE868B01028","52.50","0.38160","20.19333","7.85667","13.67936218766797452098092292","6.147575635321628667364264570","428.1794375498121370830012524","1.80730","26.19000","15.85000","15.85000","Notes"
"HCL Technologies Ltd.","INE860A01027","886.73","0.09150","27.11333","23.32667","17.05019663139265153575383608","37.61441316185841733286988761","51.42530419956313039667486082","28.68310","0.00000","375.25000","353.20000","Notes"
"United Spirits Ltd.","INE854D01024","606.40","0.43470","34.51333","22.17000","0","6.105908394347011748680401839","136.9754891444136134280468479","6.17450","1.19000","438.20000","354.69000","Notes"
"Godrej Agrovet Ltd.","INE850D01014","500.50","0.33640","17.87000","17.61333","29.83565032021111706166581386","34.37639558931484111604978025","36.88799208101728470265742785","9.30190","0.00000","265.05000","265.05000","Notes"
"Trent Ltd.","INE849A01020","663.75","0.12550","10.42000","5.49000","-285.2996266296190629767914956","64.89664663641690171551594926","5.392876458317237116588117129","1.79500","0.00000","282.00000","134.90000","Notes"
"NHPC Ltd.","INE848E01016","23.00","0.68870","6.95667","8.64667","46.72875065317637103890957829","22.66170099912812469410380097","18.71410446560997837779882418","5.84010","0.00000","15.10000","15.10000","Notes"
"Gujarat Gas Ltd.","INE844O01030","365.83","0.55290","16.81000","23.58667","7.795677037226956411771125852","67.21275838581428265479800135","170.2669191577618467920104603","7.28610","0.00000","115.00000","94.00000","Notes"
"Minda Corporation Ltd.","INE842C01021","90.00","0.43830","17.63333","4.36667","-16.29880521996401844714297467","9.487317035788183002528929420","-353.5734991685703590615081161","3.53300","0.00000","52.75000","52.75000","Notes"
"Birlasoft Ltd.","INE836A01035","210.00","0.00000","15.45000","14.21667","28.81688254353942783503372152","46.63419036636116777457295688","-5.333375698449491603837384962","21.84720","0.00000","46.70000","46.70000","Notes"
"Vardhman Textiles Ltd.","INE825A01012","740.00","0.33120","13.14333","11.44667","10.43816867281309779019197462","7.293738751539263048214454864","29.88336010673758570836503770","5.75580","0.00000","601.05000","601.05000","Notes"
"JK Cement Ltd.","INE823G01014","1752.00","0.95260","13.31000","13.68333","14.32427875210157632548690270","18.17294288308663965888413890","240.6136488388037342611911219","3.65750","0.00000","649.55000","425.00000","Notes"
"IRB Infrastructure D..","INE821I01014","116.25","1.27550","8.15000","13.46000","12.71262824181554637477794217","20.20229018180155919577892073","35.83479326626860907443275761","1.72460","17.48000","45.60000","45.60000","Notes"
"Torrent Power Ltd.","INE813H01021","4.00","0.85200","11.43333","11.68000","39.53740285945929981641307154","17.34580880529635756527882986","225.0558358838613615683679378","2.54500","0.00000","211.50000","159.30000","Notes"
"Prestige Estates Pro..","INE811K01011","326.33","1.60940","13.18667","8.39667","13.87516788953146333070630155","48.08766729542800682655169316","48.38445807770961145194274029","1.76660","0.00000","133.65000","129.55000","Notes"
"Sequent Scientific L..","INE807F01027","122.50","0.38290","9.45000","27.12667","3.014604250290532484621750068","37.58755881117837530179230211","797.6107473854264093189354647","3.63410","0.00000","42.65000","42.65000","Notes"
"Sunteck Realty Ltd.","INE805D01034","501.00","0.26290","11.01667","6.53333","15.63279196974742098014479092","-29.63517071596777672601125568","23.70971634032477084149372373","4.18490","0.00000","145.00000","86.00000","Notes"
"Jubilant Foodworks L..","INE797F01012","1973.38","0.00000","29.73667","23.53333","32.23055984482450460164493057","31.41279366039529416746805918","150.9831864007626750160015916","3.58840","2.71000","822.75000","380.25000","Notes"
"HDFC Life Insurance ..","INE795G01014","657.67","0.00000","1.04000","21.69667","12.25934455376737931314577790","28.77652838035352009471914212","65.17227024480910491273185574","31892.32760","0.00000","307.00000","307.00000","Notes"
"Brigade Enterprises ..","INE791I01019","203.60","1.72060","9.55333","7.68667","32.64554039874081846799580273","37.83326736948152412477962077","-2.218355806872553284036537625","1.52960","0.00000","90.50000","86.67000","Notes"
"JK Paper Ltd.","INE789E01012","135.00","0.66170","19.73667","19.08333","17.53399139571974229240806227","10.36772964789764125604336573","2642.942453854505971769815418","6.38580","0.00000","62.00000","40.15000","Notes"
"Balkrishna Industrie..","INE787D01026","1615.86","0.18580","23.65667","17.93000","31.68727067703678127260449697","5.821630006229695999197247227","103.0711407309985488237702235","129.03590","0.00000","679.00000","274.52000","Notes"
