comp_name, plan_units_1k, demat_units_1k, tbd_units, tbd_pct, demat_last_txn_date, demat_last_txn_type, top_500
3m,5,0,5,100.00,08-Nov-2017,Sell,yes
Abb ,5,3,2,40.00,02-Jan-2018,Buy,yes
Adani enterprises ,2,0,2,100.00,,,-
Adani ports,5,1,4,80.00,29-Sep-2017,Buy,yes
Aditya birla capital,2,0,2,100.00,,,yes
Aegis logistics,2,1,1,50.00,02-Feb-2018,Buy,yes
Akzo nobel,2,1,1,50.00,17-Jul-2017,Buy,yes
Allcargo logistics,2,0,2,100.00,02-Feb-2018,Buy,yes
Amara raja batteries,1,0,1,100.00,05-Jun-2017,Buy,yes
Ambuja,3,1,2,66.67,02-Jan-2018,Buy,yes
Apollo hospitals,10,7,3,30.00,06-Dec-2017,Buy,yes
Arvind ,3,1,2,66.67,18-Sep-2017,Buy,yes
Asian granito,2,0,2,100.00,,,-
Asian paints,10,8,2,20.00,06-Dec-2017,Buy,yes
Aster dm,5,0,5,100.00,,,-
Aurobindo pharma,5,2,3,60.00,02-Jan-2018,Buy,yes
Avenue supermarts,2,1,1,50.00,16-Oct-2017,Buy,yes
Balkrishna industries,2,1,1,50.00,02-Jan-2018,Buy,yes
Balrampur chini mills,2,1,1,50.00,13-Nov-2017,Buy,yes
Bata,5,2,3,60.00,06-Dec-2017,Buy,yes
Bayer cropscience,5,4,1,20.00,09-Jun-2017,Buy,yes
Berger paints,3,2,1,33.33,01-Feb-2018,Buy,yes
Bharat forge,2,0,2,100.00,,,yes
Bharti airtel,10,9,1,10.00,27-Nov-2017,Buy,yes
Bharti infratel ,3,1,2,66.67,03-Oct-2017,Buy,yes
Bhel,5,2,3,60.00,04-Apr-2018,Buy,yes
Blue star,2,0,2,100.00,28-Nov-2017,Buy,yes
Bosch,2,0,2,100.00,08-Nov-2017,Sell,yes
Bpcl,4,1,3,75.00,02-Jan-2018,Buy,yes
Brigade,2,1,1,50.00,08-Jun-2017,Buy,yes
Bse,2,0,2,100.00,28-Sep-2017,Buy,yes
Cadila healthcare,3,0,3,100.00,19-Sep-2017,Buy,yes
Carborundum universal ,2,1,1,50.00,17-Oct-2017,Buy,yes
Ceat ,2,1,1,50.00,11-Jul-2017,Buy,yes
Central depository,2,1,1,50.00,28-Sep-2017,Buy,yes
Chambal fertilizers,2,1,1,50.00,16-Oct-2017,Buy,yes
Cipla,5,0,5,100.00,02-Jan-2018,Buy,yes
Crompton greaves,2,1,1,50.00,28-Nov-2017,Buy,yes
Dabur,5,2,3,60.00,02-Jan-2018,Buy,yes
Dish tv,5,2,3,60.00,01-Feb-2018,Buy,yes
Dr lal path labs,2,0,2,100.00,19-Sep-2017,Buy,yes
Dr reddys laboratories,5,4,1,20.00,04-Apr-2018,Buy,yes
Eicher motors,2,0,2,100.00,08-Nov-2017,Sell,yes
Eid parry,2,1,1,50.00,01-Feb-2018,Buy,yes
Eih,3,2,1,33.33,02-Jan-2018,Buy,yes
Emami,5,2,3,60.00,02-Jan-2018,Buy,yes
Engineers ,5,1,4,80.00,08-Sep-2017,Buy,yes
Essel propack,2,1,1,50.00,28-May-2018,Buy,yes
Eveready ,2,1,1,50.00,01-Nov-2017,Buy,yes
Future consumer ,2,1,1,50.00,02-Feb-2018,Buy,yes
Future supply chain,2,0,2,100.00,,,-
Gail,4,2,2,50.00,10-Apr-2018,Buy,yes
General insurance,5,1,4,80.00,25-Oct-2017,Buy,yes
Glenmark pharma,3,1,2,66.67,19-Sep-2017,Buy,yes
Godrej agrovet,2,1,1,50.00,16-Oct-2017,Buy,yes
Godrej consumer products,5,0,5,100.00,25-Sep-2017,Buy,yes
Godrej industries,3,1,2,66.67,16-Oct-2017,Buy,yes
Godrej properties,2,1,1,50.00,08-Jun-2017,Buy,yes
Grasim,3,1,2,66.67,16-Oct-2017,Buy,yes
Greenlam,2,0,2,100.00,,,-
Grindwell norton,2,1,1,50.00,17-Oct-2017,Buy,yes
Havells,2,1,1,50.00,31-Jul-2017,Buy,yes
Hcl tech,5,1,4,80.00,27-Feb-2017,Buy,yes
Hdfc standard life,5,0,5,100.00,,,-
Hero motocorp,5,3,2,40.00,09-Jun-2017,Buy,yes
Hindalco,2,1,1,50.00,01-Sep-2017,Buy,yes
Hindustan unilever,10,2,8,80.00,04-Apr-2018,Buy,yes
Hindustan zinc,5,2,3,60.00,02-Jan-2018,Buy,yes
Honeywell automation ,5,0,5,100.00,08-Nov-2017,Sell,yes
Hudco,2,1,1,50.00,19-Sep-2017,Buy,yes
Huhtamaki ppl,2,0,2,100.00,,,-
Icici lombard,5,1,4,80.00,27-Sep-2017,Buy,yes
Icici prudential,5,2,3,60.00,01-Nov-2017,Buy,yes
Icra,5,4,1,20.00,22-Jun-2017,Buy,yes
Idea,5,2,3,60.00,01-Nov-2017,Buy,yes
Ifb industries,2,1,1,50.00,28-Nov-2017,Buy,yes
Indiabulls housing finance,3,1,2,66.67,03-Oct-2017,Buy,yes
Indian hotels,10,9,1,10.00,06-Dec-2017,Buy,yes
Indusind bank,2,0,2,100.00,,,yes
Info edge,5,2,3,60.00,18-Sep-2017,Buy,yes
Infosys,10,9,1,10.00,17-Mar-2017,Buy,yes
Interglobe aviation,5,2,3,60.00,01-Nov-2017,Buy,yes
Ioc,5,2,3,60.00,23-Mar-2018,Buy,yes
Itc,10,5,5,50.00,02-Nov-2017,Buy,yes
Itdc,2,0,2,100.00,27-Dec-2017,Sell,yes
Jain irrigation,2,1,1,50.00,29-Nov-2017,Buy,yes
Jk paper,2,0,2,100.00,,,-
Jsw steel,5,2,3,60.00,06-Dec-2017,Buy,yes
Kansai nerolac,5,2,3,60.00,02-Jan-2018,Buy,yes
Kaveri seed,3,0,3,100.00,02-Feb-2018,Buy,yes
Krbl,2,0,2,100.00,22-Sep-2017,Buy,yes
Ksb pumps,2,0,2,100.00,,,-
L&t finance holdings,2,1,1,50.00,28-May-2018,Buy,yes
L&t technology services,2,1,1,50.00,28-May-2018,Buy,yes
Larsen toubro ,10,6,4,40.00,04-Apr-2018,Buy,yes
Larsen toubro infotech,2,1,1,50.00,28-May-2018,Buy,yes
Lemon tree hotels,2,0,2,100.00,,,-
Lic housing finance,5,2,3,60.00,01-Nov-2017,Buy,yes
Mahindra cie,2,0,2,100.00,28-May-2018,Buy,yes
Mahindra holidays,5,2,3,60.00,02-Jan-2018,Buy,yes
Mahindra logistics,2,0,2,100.00,,,-
Mahindra mahindra,5,4,1,20.00,28-Dec-2017,Buy,yes
Mahindra mahindra financial,3,1,2,66.67,03-Oct-2017,Buy,yes
Manappuram finance,2,1,1,50.00,18-Apr-2018,Buy,yes
Marico,5,2,3,60.00,02-Jan-2018,Buy,yes
Mrf,5,0,5,100.00,08-Nov-2017,Sell,yes
Muthoot finance,5,1,4,80.00,01-Nov-2017,Buy,yes
Narayana hrudayalaya,3,2,1,33.33,02-Jan-2018,Buy,yes
Nbcc,5,2,3,60.00,04-Apr-2018,Buy,yes
Nhpc ,3,1,2,66.67,03-Oct-2017,Buy,yes
Nilkamal,2,1,1,50.00,14-Jun-2017,Buy,yes
Nlc ,3,1,2,66.67,03-Oct-2017,Buy,yes
Nmdc,5,2,3,60.00,01-Feb-2018,Buy,yes
Ntpc ,10,7,3,30.00,06-Dec-2017,Buy,yes
Ongc,5,3,2,40.00,06-Dec-2017,Buy,yes
Page industries ,3,0,3,100.00,08-Nov-2017,Sell,yes
Pc jeweller,2,1,1,50.00,02-Aug-2017,Buy,yes
Petronet lng,4,2,2,50.00,01-Feb-2018,Buy,yes
Pi industries,3,0,3,100.00,02-Feb-2018,Buy,yes
Power finance,5,2,3,60.00,01-Nov-2017,Buy,yes
Prestige,5,1,4,80.00,08-Jun-2017,Buy,yes
Puravankara,2,0,2,100.00,,,-
Pvr,5,2,3,60.00,02-Jan-2018,Buy,yes
Quess corp,3,1,2,66.67,01-Feb-2018,Buy,yes
Relaxo footwear,5,2,3,60.00,02-Jan-2018,Buy,yes
Reliance industries,10,6,4,40.00,27-Nov-2017,Buy,yes
Rural electrification corporation,5,4,1,20.00,01-Nov-2017,Buy,yes
Sbi,5,1,4,80.00,03-Oct-2017,Buy,yes
Sbi life,5,1,4,80.00,03-Oct-2017,Buy,yes
Sheela foam,2,1,1,50.00,02-Feb-2018,Buy,yes
Shipping corporation,3,2,1,33.33,04-Apr-2018,Buy,yes
Shree cement,3,0,3,100.00,08-Nov-2017,Sell,yes
Shriram transport finance,3,1,2,66.67,03-Oct-2017,Buy,yes
Siemens ,5,2,3,60.00,02-Jan-2018,Buy,yes
Skf ,2,1,1,50.00,02-Jun-2017,Buy,yes
Sobha,2,1,1,50.00,08-Jun-2017,Buy,yes
Somany ceramics,2,0,2,100.00,13-Nov-2017,Buy,yes
Talwalkar better value fitness,2,0,2,100.00,,,-
Tata coffee,5,2,3,60.00,01-Nov-2017,Buy,yes
Tata global beverages,5,2,3,60.00,01-Nov-2017,Buy,yes
Tata investment corp,2,0,2,100.00,,,yes
Tata motors,5,0,5,100.00,,,yes
Tata steel,5,4,1,20.00,25-Jan-2017,Buy,yes
Tech mahindra,5,2,3,60.00,01-Feb-2018,Buy,yes
The new assurance,5,0,5,100.00,,,-
Ti financial holding,2,1,1,50.00,02-Jun-2017,Buy,yes
Titan,5,3,2,40.00,04-Apr-2018,Buy,yes
Tube investments of ,2,0,2,100.00,,,-
Tvs motor,5,2,3,60.00,01-Sep-2017,Buy,yes
Uflex,2,1,1,50.00,28-May-2018,Buy,yes
United breweries,5,1,4,80.00,01-Nov-2017,Buy,yes
V guard,2,0,2,100.00,19-Apr-2018,Buy,yes
Varun beverages,5,2,3,60.00,02-Jan-2018,Buy,yes
Vip industries,5,2,3,60.00,02-Jan-2018,Buy,yes
Vst tillers,2,0,2,100.00,,,-
Westlife development,2,0,2,100.00,,,-
Wonderla holidays ,2,0,2,100.00,,,-
Yes bank,2,0,2,100.00,,,yes
