isin_code, comp_name, action, qty, price, txn_date
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1387,20-Sep-2016
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1364,20-Oct-2016
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1222,21-Nov-2016
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1250,20-Dec-2016
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1242,20-Jan-2017
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1393,20-Feb-2017
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1459,20-Mar-2017
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1662,06-Dec-2017
INE001A01036,HOUSING DEVELOPMENT FINANCE CO,Buy,1,1945,04-Dec-2018
INE001B01026,KRBL LIMITED,Buy,2,485,22-Sep-2017
INE001B01026,KRBL LIMITED,Buy,3,329,03-Jul-2018
INE002A01018,RELIANCE INDUSTRIES,Buy,1,2128,20-Jun-2008
INE002A01018,RELIANCE INDUSTRIES,Buy,1,1074,26-Nov-2008
INE002A01018,RELIANCE INDUSTRIES,Buy,1,1256,26-Feb-2009
INE002A01018,RELIANCE INDUSTRIES,Buy,1,975,25-Feb-2010
INE002A01018,RELIANCE INDUSTRIES,Buy,3,0,02-Jan-2013
INE002A01018,RELIANCE INDUSTRIES,Sell,7,869,11-Feb-2013
INE002A01018,RELIANCE INDUSTRIES,Buy,2,924,31-Mar-2014
INE002A01018,RELIANCE INDUSTRIES,Buy,1,947,15-Apr-2014
INE002A01018,RELIANCE INDUSTRIES,Buy,1,978,15-Jul-2014
INE002A01018,RELIANCE INDUSTRIES,Buy,1,950,16-Oct-2014
INE002A01018,RELIANCE INDUSTRIES,Buy,1,970,17-Nov-2014
INE002A01018,RELIANCE INDUSTRIES,Buy,1,874,15-Dec-2014
INE002A01018,RELIANCE INDUSTRIES,Buy,7,0,21-Sep-2017
INE002A01018,RELIANCE INDUSTRIES,Buy,1,953,27-Nov-2017
INE002A01018,RELIANCE INDUSTRIES,Buy,1,1106,09-Nov-2018
INE003A01024,SIEMENS LTD,Buy,2,386,06-Oct-2008
INE003A01024,SIEMENS LTD,Sell,2,312,11-Nov-2008
INE003A01024,SIEMENS LTD,Buy,1,1385,05-Jun-2017
INE003A01024,SIEMENS LTD,Buy,1,1258,02-Jan-2018
INE003A01024,SIEMENS LTD,Buy,1,1057,02-Jan-2019
INE007A01025,CRISIL LIMITED,Buy,1,1860,15-Jun-2017
INE007A01025,CRISIL LIMITED,Buy,1,1866,04-Apr-2018
INE008I01026,COX AND KINGS LIMITED,Buy,4,267,15-Jun-2017
INE008I01026,COX AND KINGS LIMITED,Buy,4,250,01-Feb-2018
INE009A01021,INFOSYS LTD,Buy,1,1297,06-Oct-2008
