YEAR, Qtr, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Qall, all, 158, 134835, 227918,  93082,   93082
2009, Qall, all,   7,      0,  11948,  11948,  105030
2010, Qall, all,  21,      0,  14870,  14870,  119900
2013, Qall, all,  64, 102538,  42075, -60463,   59436
2014, Qall, all, 106,      0, 288412, 288412,  347848
2016, Qall, all,  60,      0, 154986, 154986,  502834
2017, Qall, all, 351, 187005, 751183, 564178, 1067012
2018, Qall, all, 316,      0, 498537, 498537, 1565549
2019, Qall, all,  71,      0, 259479, 259479, 1825028
