YEAR, Qtr, Month, TXN#, Sale, Buy, Net, Portfolio
2008, Q1, all,  27,      0,  31629,  31629,   31629
2008, Q2, all,   9,  35533,      0, -35533,   -3904
2008, Q3, all,  77,  91772,  30685, -61086,  -64990
2008, Q4, all,  45,   7530, 165603, 158073,   93083
2009, Q3, all,   3,      0,   8456,   8456,  101539
2009, Q4, all,   4,      0,   3492,   3492,  105031
2010, Q4, all,  21,      0,  14870,  14870,  119901
2013, Q1, all,   6,    791,  13291,  12499,  132400
2013, Q2, all,   3,      0,   8229,   8229,  140629
2013, Q3, all,   3,      0,   8713,   8713,  149342
2013, Q4, all,  52, 101747,  11840, -89906,   59435
2014, Q1, all,  22,      0,  28223,  28223,   87658
2014, Q2, all,  39,      0, 162515, 162515,  250173
2014, Q3, all,  25,      0,  29578,  29578,  279751
2014, Q4, all,  20,      0,  68095,  68095,  347846
2016, Q1, all,   8,      0,  49644,  49644,  397490
2016, Q2, all,  12,      0,  18455,  18455,  415945
2016, Q3, all,  40,      0,  86886,  86886,  502831
2017, Q1, all, 130,      0, 197029, 197029,  699860
2017, Q2, all,  81,      0, 233940, 233940,  933800
2017, Q3, all,  97, 187005, 224165,  37160,  970960
2017, Q4, all,  43,      0,  96048,  96048, 1067008
2018, Q1, all,  67,      0, 137397, 137397, 1204405
2018, Q2, all,  70,      0, 116199, 116199, 1320604
2018, Q3, all, 113,      0, 177357, 177357, 1497961
2018, Q4, all,  66,      0,  67582,  67582, 1565543
2019, Q1, all,   4,      0,   3948,   3948, 1569491
2019, Q4, all,  67,      0, 255530, 255530, 1825021
