isin_code, comp_name, demat_summary_qty, demat_summary_acp, demat_summary_hold_units_1k, demat_txn_last_type, demat_txn_last_date
INE001A01036,Housing development finance co,9,1459.38,13,Buy,04-Dec-2018
INE001B01026,Krbl,5,402.98,2,Buy,03-Jul-2018
INE002A01018,Reliance industries,16,550.64,9,Buy,09-Nov-2018
INE003A01024,Siemens,3,1269.46,4,Buy,02-Jan-2019
INE007A01025,Crisil,2,1903.67,4,Buy,04-Apr-2018
INE008I01026,Cox kings,8,265.96,2,Buy,01-Feb-2018
INE009A01021,Infosys,24,493.60,12,Buy,11-Sep-2018
INE010B01027,Cadila healthcare,5,436.29,2,Buy,03-Jul-2018
INE010V01017,L&t technologies,1,1342.52,1,Buy,28-May-2018
INE012A01025,Acc,3,1684.45,5,Buy,09-Nov-2018
INE016A01026,Dabur,10,353.08,4,Buy,02-Jan-2019
INE018A01030,Larsen toubro,8,1111.69,9,Buy,05-Dec-2018
INE019A01038,Jsw steel,13,256.54,3,Buy,09-Nov-2018
INE020B01018,Rec,20,159.99,3,Buy,09-Nov-2018
INE021A01026,Asian paints,9,1076.82,10,Buy,09-Nov-2018
INE022I01019,Asian granito,8,267.80,2,Buy,02-Jan-2019
INE028A01039,Bankbaroda,10,126.30,1,Buy,18-Sep-2018
INE029A01011,Bharat petroleum,8,429.69,3,Buy,02-Jan-2019
INE030A01027,Hindustan unilever,8,1003.78,8,Buy,05-Dec-2018
INE031A01017,Housing urban dev co hudco,32,69.58,2,Buy,03-Jul-2018
INE034A01011,Arvind,6,413.10,2,Buy,03-Jul-2018
INE038A01020,Hindalco industries,14,226.47,3,Buy,03-Jul-2018
INE040A01026,Hdfc bank,19,1057.37,20,Buy,04-Dec-2018
INE044A01036,Sun pharmaceutical industries,17,722.31,12,Buy,09-Nov-2018
INE047A01021,Grasim industries,2,1032.77,2,Buy,09-Nov-2018
INE053A01029,Indian hotels co,64,116.82,7,Buy,09-Nov-2018
INE054A01027,Vip industries,11,303.39,3,Buy,02-Jan-2019
INE058A01010,Sanofi,1,4094.35,4,Buy,19-Sep-2017
INE059A01026,Cipla,6,566.81,3,Buy,02-Jan-2019
INE061F01013,Fortis healthcare,13,162.21,2,Buy,04-Apr-2018
INE062A01020,State bank,24,255.35,6,Buy,09-Nov-2018
INE066A01013,Eicher motors,1,22863.59,23,Buy,12-Mar-2019
INE066F01012,Hindustan aeronautics,1,934.97,1,Buy,12-Sep-2018
INE066O01014,Wonderla holidays,3,376.76,1,Buy,18-Apr-2018
INE070A01015,Shree cements,1,18299.46,18,Buy,12-Mar-2019
INE075A01022,Wipro,33,200.58,7,Buy,15-Mar-2019
INE079A01024,Ambuja cements,14,248.30,3,Buy,02-Jan-2019
INE081A01012,Tata steel,14,493.83,7,Buy,03-Jul-2018
INE085A01013,Chambal fertilisers chemical,13,148.01,2,Buy,09-Nov-2018
INE087H01022,Shree renuka sugars,100,12.88,1,Buy,28-Jun-2018
INE089A01023,Dr reddys laboratories,2,2453.52,5,Buy,04-Apr-2018
INE090A01021,Icici bank,19,273.17,5,Buy,04-Dec-2018
INE092A01019,Tata chemicals,4,695.15,3,Buy,04-Apr-2018
INE094A01015,Hindustan petroleum corp,12,285.64,3,Buy,09-Oct-2018
INE095A01012,Indusind bank,1,2003.46,2,Buy,23-Aug-2018
INE095N01031,Nbcc,38,84.26,3,Buy,02-Jan-2019
INE101A01026,Mahindra mahindra,6,715.01,4,Buy,05-Dec-2018
INE102D01028,Godrej consumer products,3,746.99,2,Buy,25-Sep-2018
INE109A01011,Shipping corp lt,57,57.70,3,Buy,18-Apr-2019
INE111A01025,Container corporation,5,515.65,3,Buy,18-Feb-2019
INE112L01020,Metropolis healthcare,1,980.06,1,Buy,15-Apr-2019
INE115A01026,Lic housing finance,5,607.15,3,Buy,04-Dec-2018
INE117A01022,Abb,3,1424.66,4,Buy,02-Jan-2019
INE118A01012,Bajaj holdings investment li,1,3034.71,3,Buy,24-Aug-2018
INE118H01025,Bse,5,818.30,4,Buy,08-Oct-2018
INE119A01028,Balrampur chini mills,18,131.55,2,Buy,02-Jan-2019
INE120A01034,Carborundum universal,7,351.20,2,Buy,09-Nov-2018
INE121A01016,Cholamandalam investment f,1,1515.25,2,Buy,24-Aug-2018
INE121J01017,Bharti infratel,7,338.08,2,Buy,09-Nov-2018
INE123W01016,Sbi life insurance company,4,670.16,3,Buy,09-Nov-2018
INE124G01033,Delta corp,4,261.55,1,Buy,18-Apr-2019
INE126A01031,Eid parry,11,281.37,3,Buy,02-Jan-2019
INE127D01025,Hdfc asset management co,13,1100.00,14,Buy,02-Aug-2018
INE128A01029,Eveready industries,11,274.41,3,Buy,09-Nov-2018
INE129A01019,Gail,9,357.86,3,Buy,22-Apr-2019
INE131B01039,Relaxo footwears,5,625.65,3,Buy,02-Jan-2019
INE133A01011,Akzo nobel,2,1872.99,4,Buy,03-Jul-2018
INE134E01011,Power finance corporation,27,123.03,3,Buy,09-Nov-2018
INE139A01034,National aluminium co,48,73.61,4,Buy,09-Nov-2018
INE140A01024,Piramal enterprises,2,2741.20,5,Buy,04-Apr-2018
INE148I01020,Indiabulls housing finance,2,1052.61,2,Buy,04-Dec-2018
INE149A01033,Cholamandalam fin holdings,4,671.81,3,Buy,03-Jul-2018
INE154A01025,Itc,44,252.59,11,Buy,09-Nov-2018
INE155A01022,Tata motors,17,283.66,5,Buy,29-Oct-2018
INE158A01026,Hero motocorp,2,3661.38,7,Buy,03-Jul-2018
INE159A01016,Glaxosmithkline pharmaceutical,2,1685.31,3,Buy,21-Sep-2018
INE169A01031,Coromandel international limit,7,459.83,3,Buy,09-Nov-2018
INE171Z01018,Bharat dynamics,3,362.01,1,Buy,17-Sep-2018
INE172A01027,Castrol,19,186.88,4,Buy,09-Nov-2018
INE175A01038,Jain irrigation systems,24,94.01,2,Buy,09-Nov-2018
INE176A01028,Bata,5,734.88,4,Buy,09-Nov-2018
INE176B01034,Havells,5,515.02,3,Buy,03-Jul-2018
INE179A01014,Procter gamble hygiene hea,1,8018.86,8,Buy,09-Jun-2017
INE182A01018,Pfizer,1,1818.32,2,Buy,19-Sep-2017
INE191H01014,Pvr,3,1518.76,5,Buy,02-Jan-2019
INE192A01025,Tata global beverages,17,199.45,3,Buy,09-Nov-2018
INE192R01011,Avenue supermarts dmart,2,1368.09,3,Buy,09-Nov-2018
INE195A01028,Supreme industries,2,1205.90,2,Buy,04-Apr-2018
INE196A01026,Marico,10,344.50,3,Buy,02-Jan-2019
INE200M01013,Varun beverages,5,672.43,3,Buy,02-Jan-2019
INE202B01012,Dewan housing finance  l,12,211.43,3,Buy,04-Feb-2019
INE203G01027,Indraprashtha gas,4,285.08,1,Buy,07-Sep-2018
INE205A01025,Vedanta,32,231.22,7,Buy,04-Feb-2019
INE208A01029,Ashok leyland,9,116.96,1,Buy,29-Oct-2018
INE208C01025,Aegis logistics,9,239.17,2,Buy,02-Jan-2019
INE213A01029,Oil natural gas corporatio,32,189.45,6,Buy,09-Nov-2018
INE214T01019,Larsen toubro infotech,1,1699.31,2,Buy,28-May-2018
INE216A01030,Britannia industries,4,2198.49,9,Buy,04-Apr-2018
INE217B01036,Kajaria ceramics,5,605.64,3,Buy,09-Nov-2018
INE220J01025,Future consumer,42,52.06,2,Buy,22-Apr-2019
INE226A01021,Voltas,6,544.16,3,Buy,09-Nov-2018
INE230A01023,Eih,21,158.33,3,Buy,02-Jan-2019
INE233A01035,Godrej industries,4,558.94,2,Buy,09-Nov-2018
INE233B01017,Blue dart express,2,3676.42,7,Buy,09-Nov-2018
INE237A01028,Kotak mahindra bank,2,1055.12,2,Buy,04-Apr-2018
INE238A01034,Axis bank,4,517.23,2,Buy,04-Apr-2018
INE239A01016,Nestle,1,6693.11,7,Buy,09-Jun-2017
INE242A01010,Indian oil corporation,20,177.17,4,Buy,02-Jan-2019
INE245A01021,Tata power co,25,84.92,2,Buy,04-Apr-2018
INE255A01020,Essel propack,14,121.08,2,Buy,09-Oct-2018
INE256A01028,Zee entertainment enterprises,16,472.31,8,Buy,28-Jan-2019
INE257A01026,Bharat heavy electricals,41,83.42,3,Buy,02-Jan-2019
INE259A01022,Colgate palmolive,2,1114.49,2,Buy,04-Apr-2018
INE260B01028,Godfrey phillips,2,747.76,1,Buy,29-Jun-2018
INE263A01024,Bharat electronics,23,137.08,3,Buy,18-Apr-2019
INE264A01014,Glaxosmithkline consumer healt,1,5114.50,5,Buy,19-Sep-2017
INE265F01028,Entertainment network,2,555.95,1,Buy,13-Mar-2019
INE267A01025,Hindustan zinc,12,274.98,3,Buy,02-Jan-2019
INE271C01023,Dlf,10,214.27,2,Buy,02-Jan-2018
INE274B01011,Monsanto,2,2790.47,6,Buy,04-Apr-2018
INE274F01020,Westlife development,7,284.76,2,Buy,09-Nov-2018
INE274J01014,Oil,10,226.03,2,Buy,06-Apr-2018
INE275B01026,Huhtamaki ppl,3,325.26,1,Buy,28-May-2018
INE280A01028,Titan company,7,692.00,5,Buy,02-Jan-2019
INE296A01024,Bajaj finance,1,2973.91,3,Buy,24-Aug-2018
INE298A01020,Cummins,4,886.39,4,Buy,09-Nov-2018
INE299U01018,Crompton greaves cons elec,9,240.36,2,Buy,09-Nov-2018
INE302A01020,Exide industries,9,243.47,2,Buy,05-Dec-2018
INE310A01015,Nilkamal,2,1815.04,4,Buy,03-Jul-2018
INE312H01016,Inox leisure,3,318.34,1,Buy,13-Mar-2019
INE318A01026,Pidilite industries,3,866.03,3,Buy,04-Apr-2018
INE322A01010,Gillette,1,4905.17,5,Buy,12-Jun-2017
INE323A01026,Bosch,1,19279.95,19,Buy,12-Mar-2019
INE323I01011,Puravankara,23,94.25,2,Buy,04-Apr-2018
INE326A01037,Lupin,7,1419.15,10,Buy,09-Nov-2018
INE332A01027,Thomas cook,10,234.68,2,Buy,01-Feb-2018
INE335K01011,Coffee day enterprises,8,284.73,2,Buy,04-Apr-2018
INE342J01019,Wabco,1,6926.00,7,Buy,07-Sep-2018
INE343B01030,Rajesh exports,5,728.50,4,Buy,09-Oct-2018
INE347G01014,Petronet lng,14,233.96,3,Buy,02-Jan-2019
INE348B01021,Century plyboards,13,246.52,3,Buy,02-Jan-2019
INE355A01028,Somany ceramics,4,479.55,2,Buy,29-Oct-2018
INE358A01014,Abbott,1,4130.35,4,Buy,19-Sep-2017
INE364U01010,Adani green energy,12,28.90,0,Buy,17-Jun-2018
INE366I01010,Vrl logistics,6,395.14,2,Buy,01-Feb-2018
INE373A01013,Basf,2,1729.70,3,Buy,04-Apr-2018
INE376G01013,Biocon,2,626.57,1,Buy,24-Aug-2018
INE397D01024,Bharti airtel,31,361.83,11,Buy,09-Nov-2018
INE398A01010,Venkys,1,2130.48,2,Buy,22-Sep-2017
INE399L01023,Adani gas,17,72.00,1,Buy,04-Nov-2018
INE406A01037,Aurobindo pharma,4,754.79,3,Buy,22-Apr-2019
INE410P01011,Narayana hrudayalaya,12,271.65,3,Buy,02-Jan-2019
INE414G01012,Muthoot finance,6,450.78,3,Buy,04-Dec-2018
INE415A01038,Hsil,6,408.49,2,Buy,04-Apr-2018
INE418H01029,Allcargo logistics,15,139.52,2,Buy,02-Jan-2019
INE421C01016,Tvs srichakra,1,2361.41,2,Buy,26-Oct-2018
INE423A01024,Adani enterprises,23,142.25,3,Buy,09-Nov-2018
INE437A01024,Apollo hospitals enterprises l,7,1211.95,8,Buy,09-Nov-2018
INE438A01022,Apollo tyres,9,258.84,2,Buy,01-Feb-2018
INE439A01020,Asahi glass,12,287.68,3,Buy,05-Dec-2018
INE452O01016,Future lifestyle fashions,6,370.76,2,Buy,01-Feb-2018
INE455I01029,Kaveri seed company,4,549.33,2,Buy,02-Jan-2019
INE461C01038,Greenply industries,5,236.07,1,Buy,28-Jun-2018
INE462A01022,Bayer cropscience,1,4757.80,5,Buy,09-Jun-2017
INE463A01038,Berger paints,12,286.74,3,Buy,02-Jan-2019
INE467B01029,Tata consultancy services,17,1213.42,21,Buy,09-Nov-2018
INE470A01017,3m,1,24717.67,25,Buy,12-Mar-2019
INE470Y01017,The new assurance co,9,282.17,3,Buy,04-Dec-2018
INE472A01039,Blue star,3,646.98,2,Buy,09-Nov-2018
INE473B01035,Hatsun agro products,2,762.28,2,Buy,05-Sep-2018
INE481G01011,Ultratech cement,4,3776.16,15,Buy,05-Dec-2018
INE481Y01014,General insurance corp,8,348.25,3,Buy,04-Dec-2018
INE482A01020,Ceat,3,1445.64,4,Buy,09-Oct-2018
INE484J01027,Godrej properties,3,601.61,2,Buy,03-Jul-2018
INE493A01027,Tata coffee,26,130.02,3,Buy,09-Nov-2018
INE494B01023,Tvs motor company,6,588.08,4,Buy,03-Jul-2018
INE498B01024,Shoppers stop,5,423.67,2,Buy,01-Feb-2018
INE498L01015,Lt finance holdings,6,176.87,1,Buy,28-May-2018
INE499A01024,Dcm shriram,3,410.36,1,Buy,24-Oct-2018
INE502K01016,Talwalkars better value fitnes,8,303.04,2,Buy,01-Feb-2018
INE510A01028,Engineers,17,141.32,2,Buy,03-Jul-2018
INE513A01014,Schaeffler,1,5587.21,6,Buy,07-Sep-2018
INE516A01017,Uflex,8,292.07,2,Buy,09-Oct-2018
INE522D01027,Manappuram finance,18,125.92,2,Buy,22-Apr-2019
INE522F01014,Coal,31,328.84,10,Buy,27-Nov-2017
INE530B01024,Iifl holdings,2,709.62,1,Buy,07-Sep-2018
INE531A01024,Kansai nerolac paints,7,488.92,3,Buy,02-Jan-2019
INE533A01012,Goodyear,1,951.62,1,Buy,26-Oct-2018
INE536A01023,Grindwell norton,5,467.87,2,Buy,09-Nov-2018
INE536H01010,Mahindra cie automotive,4,243.74,1,Buy,28-May-2018
INE544R01013,Greenlam industries,2,1143.30,2,Buy,01-Feb-2018
INE545U01014,Bandhan bank,2,697.92,1,Buy,23-Aug-2018
INE548C01032,Emami,7,518.93,4,Buy,19-Feb-2019
