stock_symbol, isin_code, comp_name, demat_summary_qty, demat_summary_acp, demat_summary_hold_units_1k, demat_txn_last_type, demat_txn_last_date
,UNK_COMP_E,Westlife development,1,4130.35,0,Buy,09-Nov-2018
3MINDIA,INE470A01017,3m,1,24717.67,0,Buy,12-Mar-2019
ABB,INE117A01022,Abb,3,1424.66,0,Buy,02-Jan-2019
ABFRL,INE647O01011,Aditya birla fashion rtl,13,165.44,0,Buy,04-Apr-2018
ACC,INE012A01025,Acc,3,1684.45,0,Buy,09-Nov-2018
ADANIENT,INE423A01024,Adani enterprises,23,142.25,0,Buy,09-Nov-2018
ADANIGAS,INE399L01023,Adani gas,17,72.00,0,Buy,04-Nov-2018
ADANIGREEN,INE364U01010,Adani green energy,12,28.90,0,Buy,17-Jun-2018
ADANIPORTS,INE742F01042,Adani port special econo,6,380.72,0,Buy,03-Jul-2018
ADANITRANS,INE931S01010,Adani transmission,7,172.18,0,Buy,26-Jul-2018
AEGISCHEM,INE208C01025,Aegis logistics,9,239.17,0,Buy,02-Jan-2019
AKZOINDIA,INE133A01011,Akzo nobel,2,1872.99,0,Buy,03-Jul-2018
ALLCARGO,INE418H01029,Allcargo logistics,15,139.52,0,Buy,02-Jan-2019
AMARAJABAT,INE885A01032,Amara raja batteries,3,817.16,0,Buy,03-Jul-2018
AMBUJACEM,INE079A01024,Ambuja cements,14,248.30,0,Buy,02-Jan-2019
APOLLOHOSP,INE437A01024,Apollo hospitals enterprises l,7,1211.95,0,Buy,09-Nov-2018
APOLLOTYRE,INE438A01022,Apollo tyres,9,258.84,0,Buy,01-Feb-2018
ARVIND,INE034A01011,Arvind,6,413.10,0,Buy,03-Jul-2018
ARVINDFASN,INE955V01021,Arvind fashions,1,590.00,0,Buy,08-Mar-2019
ASAHIINDIA,INE439A01020,Asahi glass,12,287.68,0,Buy,05-Dec-2018
ASHOKLEY,INE208A01029,Ashok leyland,9,116.96,0,Buy,29-Oct-2018
ASIANPAINT,INE021A01026,Asian paints,9,1076.82,0,Buy,09-Nov-2018
ASIANTILES,INE022I01019,Asian granito,8,267.80,0,Buy,02-Jan-2019
AUROPHARMA,INE406A01037,Aurobindo pharma,4,754.79,0,Buy,22-Apr-2019
AVANTIFEED,INE871C01038,Avanti feeds,9,591.14,0,Buy,29-Oct-2018
AXISBANK,INE238A01034,Axis bank,4,517.23,0,Buy,04-Apr-2018
BAJAJ-AUTO,INE917I01010,Bajaj auto,2,2837.95,0,Buy,04-Apr-2018
BAJAJFINSV,INE918I01018,Bajaj finserv,1,5668.89,0,Buy,19-Sep-2017
BAJAJHLDNG,INE118A01012,Bajaj holdings investment li,1,3034.71,0,Buy,24-Aug-2018
BAJFINANCE,INE296A01024,Bajaj finance,1,2973.91,0,Buy,24-Aug-2018
BALKRISIND,INE787D01026,Balkrishna industries,3,904.07,0,Buy,05-Dec-2018
BALRAMCHIN,INE119A01028,Balrampur chini mills,18,131.55,0,Buy,02-Jan-2019
BANDHANBNK,INE545U01014,Bandhan bank,2,697.92,0,Buy,23-Aug-2018
BANKBARODA,INE028A01039,Bankbaroda,10,126.30,0,Buy,18-Sep-2018
BASF,INE373A01013,Basf,2,1729.70,0,Buy,04-Apr-2018
BATAINDIA,INE176A01028,Bata,5,734.88,0,Buy,09-Nov-2018
BDL,INE171Z01018,Bharat dynamics,3,362.01,0,Buy,17-Sep-2018
BEL,INE263A01024,Bharat electronics,23,137.08,0,Buy,18-Apr-2019
BERGEPAINT,INE463A01038,Berger paints,12,286.74,0,Buy,02-Jan-2019
BHARTIARTL,INE397D01024,Bharti airtel,31,361.83,0,Buy,09-Nov-2018
BHEL,INE257A01026,Bharat heavy electricals,41,83.42,0,Buy,02-Jan-2019
BIOCON,INE376G01013,Biocon,2,626.57,0,Buy,24-Aug-2018
BLUEDART,INE233B01017,Blue dart express,2,3676.42,0,Buy,09-Nov-2018
BLUESTARCO,INE472A01039,Blue star,3,646.98,0,Buy,09-Nov-2018
BOSCHLTD,INE323A01026,Bosch,1,19279.95,0,Buy,12-Mar-2019
BPCL,INE029A01011,Bharat petroleum,8,429.69,0,Buy,02-Jan-2019
BRIGADE,INE791I01019,Brigade enterprises,12,230.27,0,Buy,09-Oct-2018
BRITANNIA,INE216A01030,Britannia industries,4,2198.49,0,Buy,04-Apr-2018
BSE,INE118H01025,Bse,5,818.30,0,Buy,08-Oct-2018
CADILAHC,INE010B01027,Cadila healthcare,5,436.29,0,Buy,03-Jul-2018
CARBORUNIV,INE120A01034,Carborundum universal,7,351.20,0,Buy,09-Nov-2018
