3MINDIA, SALE, dp3
ABFRL, SALE, dp3
ADANIENT, SALE, pledge
ADANIGREEN, SALE, pledge
ADANIPORTS, SALE, pledge
ADANITRANS, SALE, pledge
APOLLOHOSP, SALE, pledge
APOLLOTYRE, SALE, pledge
ARVIND, missing data, ?
ARVINDFASN, missing data, ?
ASAHIINDIA, missing data, ?
ASIANPAINT, SALE, pledge
ASIANTILES, missing data, ?
AXISBANK, SALE, roce3
BAJAJFINSV, SALE, dp3
BASF, SALE, dp3
BHEL, SALE, roce3
BRIGADE, missing data, ?
BSE, missing data, ?
CDSL, missing data, ?
CHAMBLFERT, SALE, pledge
CHOLAHLDNG, SALE, dp3
COFFEEDAY, SALE, pledge
COX&KINGS, missing data, ?
CROMPTON, SALE, pledge
DISHTV, SALE, pledge
DLF, SALE, roce3
DMART, SALE, dp3
EIDPARRY, SALE, der
EMAMILTD, SALE, pledge
ENIL, missing data, ?
EVEREADY, SALE, pledge
FCONSUMER, SALE, pledge
FLFL, SALE, pledge
FORTIS, SALE, dp3
FRETAIL, SALE, pledge
FSC, missing data, ?
GODREJPROP, SALE, dp3
GREENLAM, missing data, ?
GREENPLY, missing data, ?
HATSUN, missing data, ?
HSIL, missing data, ?
IBULHSGFIN, SALE, der
ICICIBANK, SALE, roce3
ICRA, missing data, ?
IDEA, SALE, dp3
IFBIND, SALE, dp3
IIFL, missing data, ?
INDHOTEL, SALE, dp3
INDUSINDBK, SALE, pledge
INOXLEISUR, SALE, dp3
JCHAC, SALE, dp3
JISLJALEQS, SALE, pledge
JKTYRE, SALE, pledge
JSWSTEEL, SALE, pledge
KOTAKBANK, SALE, dp3
KSB, missing data, ?
KSCL, missing data, ?
LEMONTREE, SALE, pledge
LT, SALE, der
MAHINDCIE, SALE, dp3
MANAPPURAM, SALE, der
MCDOWELL-N, missing data, ?
METROPOLIS, missing data, ?
MOTHERSUMI, SALE, der
MRF, SALE, dp3
MUTHOOTFIN, SALE, der
NAUKRI, SALE, dp3
NCC, SALE, pledge
NETWORK18, SALE, dp3
NIACL, SALE, roce3
NLCINDIA, SALE, der
PAPERPROD, missing data, ?
PCJEWELLER, SALE, dp3
PURVA, missing data, ?
QUESS, SALE, dp3
RAJESHEXPO, SALE, dp3
RENUKA, missing data, ?
SBIN, SALE, roce3
SCI, SALE, dp3
SFL, SALE, dp3
SHOPERSTOP, SALE, pledge
SOBHA, SALE, pledge
SUNDARMFIN, missing data, ?
SUNPHARMA, SALE, pledge
TATAINVEST, SALE, roce3
TATAMOTORS, SALE, dp3
TATASTEEL, SALE, dp3
THOMASCOOK, SALE, roce3
UBL, SALE, pledge
UNK_TICKER, missing data, ?
UPL, SALE, der
VBL, SALE, der
VEDL, SALE, der
VRLLOG, missing data, ?
VSTIND, missing data, ?
VSTTILLERS, missing data, ?
WONDERLA, missing data, ?
ZEEL, SALE, pledge
ZEELEARN, missing data, ?
