ABB, HOLD, dp3
ADANIGAS, HOLD, dp3
ASHOKLEY, HOLD, pledge
AUROPHARMA, HOLD, dp3
BAJAJHLDNG, HOLD, roce3
BAJFINANCE, HOLD, dp3
BALRAMCHIN, HOLD, der
BANDHANBNK, HOLD, dp3
BANKBARODA, HOLD, dp3
BHARTIARTL, HOLD, roce3
BIOCON, HOLD, roce3
BPCL, HOLD, der
CADILAHC, HOLD, der
CEATLTD, HOLD, der
CENTURYPLY, HOLD, der
CIPLA, HOLD, roce3
COROMANDEL, HOLD, der
DELTACORP, HOLD, pledge
DHFL, HOLD, dp3
DRREDDY, HOLD, roce3
EIHOTEL, HOLD, roce3
GICRE, HOLD, roce3
GLENMARK, HOLD, dp3
GODREJIND, HOLD, roce3
GRASIM, HOLD, roce3
HDFC, HOLD, roce3
HDFCBANK, HOLD, roce3
HINDALCO, HOLD, dp3
HINDPETRO, HOLD, der
HONAUT, HOLD, dp3
HUDCO, HOLD, roce3
IOC, HOLD, der
ISEC, HOLD, roce3
KRBL, HOLD, der
L&TFH, HOLD, roce3
LICHSGFIN, HOLD, roce3
LUPIN, HOLD, der
M&MFIN, HOLD, roce3
NH, HOLD, roce3
NHPC, HOLD, roce3
NTPC, HOLD, roce3
OIL, HOLD, roce3
PEL, HOLD, roce3
PFC, HOLD, roce3
POWERGRID, HOLD, roce3
PRESTIGE, HOLD, roce3
PVR, HOLD, dp3
RECLTD, HOLD, roce3
RELIANCE, HOLD, roce3
SOMANYCERA, HOLD, der
SRTRANSFIN, HOLD, dp3
TATACOFFEE, HOLD, der
TATAGLOBAL, HOLD, roce3
TATAPOWER, HOLD, roce3
TRENT, HOLD, roce3
TVSSRICHAK, HOLD, der
UFLEX, HOLD, pledge
ULTRACEMCO, HOLD, roce3
VENKEYS, HOLD, dp3
WABCOINDIA, HOLD, dp3
WIPRO, HOLD, dp3
ZYDUSWELL, HOLD, roce3
