security_name, dividend_amount, dividend_count
SBILIFE , 2.0 , 1
AIAENG , 8.0 , 1
GOCLCORP , 1.6 , 1
LINDEINDIA , 1.0 , 1
SCHAEFFLER , 17.0 , 1
KSB , 6.0 , 1
COASTCORP , 1.5 , 1
KUSHAL , 0.0 , 1
GRUH , 3.3 , 1
STOVACQ , 36.0 , 1
PAPERPROD , 3.0 , 1
ELANTAS , 4.5 , 1
ABB , 4.4 , 1
GMBREW , 3.0 , 1
ITDCEM , 0.4 , 1
IBVENTURES , 1.0 , 1
SHERVANI , 80.0 , 1
CIFL , 1.0 , 1
IBULISL , 1.0 , 1
ESSELPRO , 2.4 , 1
KENNAMET , 2.0 , 1
PGHL , 15.0 , 1
RAYMOND , 3.0 , 1
RSYSTEMINT , 0.6 , 1
GDL , 4.0 , 1
GHCL , 5.0 , 1
DCBBANK , 0.8 , 1
ITC , 5.2 , 1
SUYOG , 1.0 , 1
FAZE3Q , 0.5 , 1
HDFCBANK , 13.0 , 1
OBEROIRLTY , 2.0 , 1
RESPONIND , 0.1 , 1
YESBANK , 2.7 , 1
APTECHT , 3.5 , 1
RRMETAL , 0.5 , 1
BOSCHLTD , 100.0 , 1
SHANKARA , 3.2 , 1
VISAKAIND , 7.0 , 1
TORNTPOWER , 5.0 , 1
IMPAL , 11.0 , 1
VTMLTD , 0.8 , 1
CANFINHOME , 2.0 , 1
KANSAINER , 2.6 , 1
TINPLATE , 2.0 , 1
TATACOFFEE , 1.5 , 1
BBL , 2.5 , 1
DHFL , 2.5 , 1
RALLIS , 2.5 , 1
SIS , 1.5 , 1
TATAGLOBAL , 2.5 , 1
VMART , 2.0 , 1
ALKALI , 1.0 , 1
EMAMILTD , 7.0 , 1
INDIANB , 6.0 , 1
JAYAGROGN , 1.4 , 1
MAHSHRE , 0.5 , 1
STRTECH , 2.0 , 1
TATAMETALI , 3.0 , 1
VIJAYABANK , 1.2 , 1
VOITHPAPR , 9.0 , 1
ACCEL , 0.4 , 1
NUCLEUS , 8.0 , 1
AHLWEST , 1.0 , 1
UGROCAP , 3.5 , 1
WELCORP , 0.5 , 1
WELENT , 1.5 , 1
WELSPUNIND , 0.7 , 1
CAPF , 2.8 , 1
CHEMFABALKA , 1.2 , 1
NIACL , 5.0 , 1
RELIANCE , 6.0 , 1
DAMOINDUS , 3.0 , 1
LAURUSLABS , 1.5 , 1
MRPL , 3.0 , 1
CENTENKA , 7.0 , 1
TTFL , 1.0 , 1
RIIL , 3.5 , 1
SOUTHBANK , 0.4 , 1
21STCENMGM , 2.5 , 1
HAVELLS , 4.0 , 1
BAJAJ-AUTO , 60.0 , 1
BAJAJFINSV , 1.8 , 1
BAJAJHLDNG , 40.0 , 1
BAJFINANCE , 4.0 , 1
KDDL , 2.5 , 1
MAHSCOOTER , 33.0 , 1
