security_name, split_share, split_count
MARATHON ,  10:5 , 1
KCDGROUP ,  10:5 , 1
AMRUTANJAN ,  2:1 , 1
TISL ,  10:1 , 1
FOODSIN ,  10:1 , 1
PHILIPCARB ,  10:2 , 1
SHIVALIK ,  10:5 , 1
AINFRA ,  10:5 , 1
NBCC ,  2:1 , 1
CITURGIA ,  10:2 , 1
GGPL ,  10:5 , 1
ZGAEKWAR ,  100:10 , 1
LUMAXTECH ,  10:2 , 1
BCP ,  10:2 , 1
UNITDSPR ,  10:2 , 1
VIKASPROP ,  10:1 , 1
UNIPLY ,  10:2 , 1
AVANTI ,  2:1 , 1
CONCOR ,  10:5 , 1
FILATEX ,  10:2 , 1
OTCO ,  10:2 , 1
GALLISPAT ,  10:1 , 1
FERMENTA ,  10:5 , 1
TIRUMALCHM ,  10:1 , 1
ZENSARTECH ,  10:2 , 1
GENCON ,  10:5 , 1
CPL ,  10:2 , 1
KIRLPNU ,  10:2 , 1
JMCPROJECT ,  10:2 , 1
IEX ,  10:1 , 1
FRONTSEC ,  10:5 , 1
DAMOINDUS ,  10:5 , 1
JINDWORLD ,  5:1 , 1
DFM ,  10:2 , 1
MISHTANN ,  10:1 , 1
KAJARIR ,  10:2 , 1
SAKUMA ,  10:1 , 1
ORVENPR ,  10:1 , 1
BRITANNIA ,  2:1 , 1
OAL ,  10:5 , 1
SAYAJIIND ,  10:5 , 1
ACRYSIL ,  10:2 , 1
GUJGAS ,  10:2 , 1
SADHNANIQ ,  10:5 , 1
IWP ,  10:2 , 1
RADIOCITY ,  10:2 , 1
ISLCONSUL ,  10:5 , 1
KEDIACN ,  10:5 , 1
NITINCAST ,  10:5 , 1
ISGEC ,  10:1 , 1
