security_name, bonus_count, buyback_count, dividend_count, total_count
20MICRONS , - , - , 1 , 1
21STCENMGM , - , - , 1 , 1
63MOONS , - , - , 1 , 1
7TEC , - , - , 1 , 1
AAIL , - , - , 1 , 1
ABB , - , - , 1 , 1
ABCBEARS , - , - , 1 , 1
ABMKNO , - , - , 1 , 1
ACCEL , - , - , 1 , 1
ACE* , - , - , 1 , 1
ACEWIN , 1 , - , - , 1
ACKNIT , - , - , 1 , 1
ACRYSIL , - , - , 1 , 1
ADANIENT , - , - , 1 , 1
ADANIPORTS , - , - , 1 , 1
ADORFO , - , - , 1 , 1
ADORWELD , - , - , 1 , 1
ADVENZYMES , - , - , 1 , 1
AGARIND , - , - , 1 , 1
AGIIL , - , - , 1 , 1
AHLEAST , - , - , 1 , 1
AHLUCONT , - , - , 1 , 1
AHLWEST , - , - , 1 , 1
AHMDSTE , - , - , 1 , 1
AIAENG , - , - , 1 , 1
AIFL , - , - , 1 , 1
AIMCOPEST , - , - , 1 , 1
AJMERA , - , - , 1 , 1
AKCAPIT , - , - , 1 , 1
AKSCHEM , - , - , 1 , 1
AKSHOPTFBR , - , - , 1 , 1
ALANKIT , - , - , 1 , 1
ALBERTDA , - , - , 1 , 1
ALEMBICLTD , - , - , 1 , 1
ALEXANDER , 1 , - , - , 1
ALFAICA , - , - , 1 , 1
ALFREDHE , - , - , 1 , 1
ALKALI , - , - , 1 , 1
ALKYLAMINE , - , - , 1 , 1
ALLSEC , - , - , 1 , 1
ALPHAGEO , - , - , 1 , 1
ALPINEHOU , 1 , - , - , 1
AMBIKCO , - , - , 1 , 1
AMJLAND , - , - , 1 , 1
AMNPLST , - , - , 1 , 1
AMRITCORP , - , - , 1 , 1
ANANTRAJ , - , - , 1 , 1
ANDHRSUGAR , - , - , 1 , 1
ANDREWYU , - , - , 1 , 1
ANSALBU , - , - , 1 , 1
ANUHPHR , - , - , 1 , 1
APARINDS , - , - , 1 , 1
APCL , - , - , 1 , 1
APCOTEXIND , - , - , 1 , 1
APEX , - , - , 1 , 1
APLAPOLLO , - , - , 1 , 1
APLLTD , - , - , 1 , 1
APMIN , - , - , 1 , 1
APOLLO , - , - , 1 , 1
APOLLOHOSP , - , - , 1 , 1
APOLLOTYRE , - , - , 1 , 1
APTECHT , - , - , 1 , 1
AREXMIS , - , - , 1 , 1
AREYDRG , - , - , 1 , 1
ARIES , - , - , 1 , 1
ARIHCAPM , - , - , 1 , 1
ARMANFIN , - , - , 1 , 1
ARROWGREEN , - , - , 1 , 1
ARROWTEX , - , - , 1 , 1
ARVIND , - , - , 1 , 1
ASAHIINDIA , - , - , 1 , 1
ASAHISONG , - , - , 1 , 1
ASALCBR , - , - , 1 , 1
ASHCAP , - , - , 1 , 1
ASHIANA , - , - , 1 , 1
ASHOKA , 1 , - , - , 1
ASHOKALC , - , - , 1 , 1
ASHOKLEY , - , - , 1 , 1
ASIANTILES , - , - , 1 , 1
ASIIL , - , - , 1 , 1
ASL , - , - , 1 , 1
ASTAR , - , - , 1 , 1
ASTEC , - , - , 1 , 1
ASTRAMICRO , - , - , 1 , 1
ATFL , - , - , 1 , 1
ATISHAY , - , - , 1 , 1
ATLANTA , - , - , 1 , 1
ATUL , - , - , 1 , 1
AUBANK , - , - , 1 , 1
AURIONPRO* , - , - , 1 , 1
AUTOAXLES , - , - , 1 , 1
AVADHSUGAR , - , - , 1 , 1
AXTEL , - , - , 1 , 1
BABA , - , 1 , - , 1
BAJAJ-AUTO , - , - , 1 , 1
BAJAJCON , - , - , 1 , 1
BAJAJELEC , - , - , 1 , 1
BAJAJFINSV , - , - , 1 , 1
BAJAJHCARE , - , - , 1 , 1
BAJAJHLDNG , - , - , 1 , 1
BAJAJST , - , - , 1 , 1
BAJFINANCE , - , - , 1 , 1
BALAJITELE , - , - , 1 , 1
BALAMINES , - , - , 1 , 1
BALASORE , - , - , 1 , 1
BALFC , - , - , 1 , 1
BALMLAWRIE , - , - , 1 , 1
BALPHARMA , - , - , 1 , 1
BALRAMCHIN , - , - , 1 , 1
BAMBINO , - , - , 1 , 1
BANARISUG , - , - , 1 , 1
BANDHANBNK , - , - , 1 , 1
BANSWRAS , - , - , 1 , 1
BAPACK , - , - , 1 , 1
BASANTGL , - , - , 1 , 1
BASF , - , - , 1 , 1
BASML , - , - , 1 , 1
BATAINDIA , - , - , 1 , 1
BAYERCROP , - , - , 1 , 1
BBL , - , - , 1 , 1
BBTC , - , - , 1 , 1
BDH , - , - , 1 , 1
BEEKAY , - , - , 1 , 1
BELLACASA , - , - , 1 , 1
BENARAS , - , - , 1 , 1
BENGALASM , - , - , 1 , 1
BEPL , - , - , 1 , 1
BERGEPAINT , - , - , 1 , 1
BGWTATO , - , - , 1 , 1
BHANDHOS , - , - , 1 , 1
BHARATRAS , - , - , 1 , 1
BHARATSE , - , - , 1 , 1
BHATIA , 1 , - , - , 1
BIGBLOC , - , - , 1 , 1
BIL , - , - , 1 , 1
BIMETAL , - , - , 1 , 1
BIOCON , - , - , 1 , 1
BIRLACABLE , - , - , 1 , 1
BIRLACORPN , - , - , 1 , 1
BLACKROSE , - , - , 1 , 1
BLIL , - , - , 1 , 1
BLISSGVS , - , - , 1 , 1
BLS , - , - , 1 , 1
BLUECHIPT , - , - , 1 , 1
BLUEDART , - , - , 1 , 1
BNALTD , - , - , 1 , 1
BNKCAP , - , - , 1 , 1
BNL , 1 , - , - , 1
BNRSEC , - , - , 1 , 1
BODALCHEM , - , - , 1 , 1
BODHTREE , - , - , 1 , 1
