security_name, total_score, bonus_score, buyback_score, dividend_score
TCS,4,1,1,2
BHEL,3,0,1,2
COALINDIA,3,0,1,2
DBCORP,3,0,1,2
GODREJCP,3,1,0,2
HCLTECH,3,0,1,2
HIKAL,3,1,0,2
INFY,3,1,0,2
IOC,3,0,1,2
MINDAIND,3,1,0,2
MMFL,3,1,0,2
NATIONALUM,3,0,1,2
NHPC,3,0,1,2
NLCINDIA,3,0,1,2
NTPC,3,1,0,2
OIL,3,0,1,2
ONGC,3,0,1,2
SUKHJITS,3,1,0,2
UNIDT,3,1,0,2
WHEELS,3,1,0,2
7NR,2,1,0,1
AARTIDRUGS,2,0,1,1
AARTIIND,2,0,0,2
ACC,2,0,0,2
ACCELYA,2,0,0,2
ACGL,2,0,0,2
ADVANIHOTR,2,0,0,2
AEGISLOG,2,0,0,2
AINFRA,2,1,0,1
AJANTPHARM,2,0,1,1
AKZOINDIA,2,0,1,1
ALICON,2,0,0,2
ALKEM,2,0,0,2
ALLCARGO,2,0,0,2
AMBUJACEM,2,0,0,2
AMRUTANJAN,2,0,0,2
ARFIN,2,1,0,1
AUROPHARMA,2,0,0,2
AVANTEL,2,0,0,2
AVANTI,2,1,0,1
AVTNPL,2,0,0,2
BALKRISIND,2,0,0,2
BANCOINDIA,2,0,0,2
BDL,2,0,0,2
BEL,2,0,0,2
BEML,2,0,0,2
BHAGIL,2,0,0,2
BOROSIL,2,1,0,1
BOSCHLTD,2,0,1,1
BPCL,2,0,0,2
CARBORUNIV,2,0,0,2
CARERATING,2,0,0,2
CHEVIOT,2,1,0,1
CHOLAFIN,2,0,0,2
CHOLAHLDNG,2,0,0,2
COASTCORP,2,1,0,1
COCHINSHIP,2,0,1,1
CONCOR,2,1,0,1
CONTROLPR,2,0,0,2
COROMANDEL,2,0,0,2
CRISIL,2,0,0,2
CUB,2,1,0,1
CUMMINSIND,2,0,0,2
CUPID,2,1,0,1
DARSHANORNA,2,1,0,1
DCMSHRIRAM,2,0,0,2
DELTACORP,2,0,0,2
DHANUKA,2,0,1,1
DIL,2,1,0,1
EDELWEISS,2,0,0,2
EIDPARRY,2,0,0,2
EMAMILTD,2,1,0,1
ENGINERSIN,2,0,0,2
ESSELPRO,2,1,0,1
FIEMIND,2,0,0,2
FILTRA,2,1,0,1
GAIL,2,0,0,2
GICRE,2,1,0,1
GILLETTE,2,0,0,2
GLAXO,2,1,0,1
GMBREW,2,1,0,1
GMM,2,0,0,2
GOLDCORP,2,0,1,1
GOLDIAM,2,0,0,2
GRANULES,2,0,0,2
GREAVESCOT,2,0,0,2
GRUH,2,1,0,1
GULFOILLUB,2,0,0,2
HATSUN,2,0,0,2
HDFC,2,0,0,2
HEG,2,0,1,1
HEROMOTOCO,2,0,0,2
HEXAWARE,2,0,0,2
HGS,2,0,0,2
HIL,2,0,0,2
HINDPETRO,2,0,0,2
HITECHGEAR,2,0,0,2
IBULHSGFIN,2,0,0,2
IEX,2,0,1,1
IGARASHI,2,1,0,1
INDNIPPON,2,0,0,2
IWP,2,1,0,1
JAGRAN,2,0,1,1
JBCHEPHARM,2,0,1,1
JMFINANCIL,2,0,0,2
JUBLFOOD,2,1,0,1
JYOTHYLAB,2,1,0,1
KARURVYSYA,2,1,0,1
KGDENIM,2,0,1,1
KIOCL,2,0,1,1
KIRLFER,2,0,0,2
KIRLOSENG,2,0,0,2
KIRLPNU,2,0,0,2
KKCL,2,0,0,2
KSCL,2,0,1,1
LGBBROSLTD,2,1,0,1
LKPFIN,2,0,0,2
LT,2,0,1,1
MANAPPURAM,2,0,0,2
MANORG,2,0,1,1
MARICO,2,0,0,2
MAYURUNIQ,2,0,0,2
MEGH,2,0,0,2
MEHAI,2,1,0,1
MGL,2,0,0,2
MIDHANI,2,0,0,2
MINDACORP,2,0,0,2
MINDTREE,2,0,0,2
MISHTANN,2,0,0,2
MMTC,2,1,0,1
MODISNME,2,0,0,2
MOIL,2,0,0,2
MONTECARLO,2,0,1,1
MOTHERSUMI,2,1,0,1
MOTILALOFS,2,0,0,2
MPHASIS,2,0,1,1
MRF,2,0,0,2
NATCOPHARM,2,0,0,2
NAUKRI,2,0,0,2
NAVNETEDUL,2,0,1,1
NEAGI,2,0,0,2
NIACL,2,1,0,1
NICCOPAR,2,0,0,2
NMDC,2,0,1,1
OAL,2,1,0,1
ORIENTELEC,2,0,0,2
ORIENTPPR,2,0,0,2
PAGEIND,2,0,0,2
PBMPOLY,2,0,1,1
PERSISTENT,2,0,0,2
PGHH,2,0,0,2
PHILIPCARB,2,0,0,2
POWERGRID,2,0,0,2
PRAJIND,2,0,0,2
RANEHOLDIN,2,0,0,2
RBL,2,0,0,2
RECLTD,2,0,0,2
REDINGTON,2,0,1,1
RICOAUTO,2,0,0,2
RIDDHICORP,2,1,0,1
RITES,2,0,0,2
RML,2,0,0,2
RNAM,2,0,0,2
RSYSTEMINT,2,0,1,1
SAGARSOFT,2,0,0,2
SATIA,2,0,0,2
SAVERA,2,0,0,2
SHANTIGEAR,2,0,1,1
SHARDACROP,2,0,0,2
SHASHIJIT,2,1,0,1
SHBCLQ,2,0,0,2
SHERVANI,2,0,1,1
SHIVALIK,2,1,0,1
SHREECEM,2,0,0,2
SINGER,2,0,0,2
SJVN,2,0,0,2
SKFINDIA,2,0,1,1
SREINFRA,2,0,0,2
SRF,2,0,0,2
SUNDARMFIN,2,0,0,2
SUNTV,2,0,0,2
SUPRAJIT,2,0,0,2
SYMPHONY,2,0,0,2
TAKE,2,0,0,2
TATAINVEST,2,0,1,1
TCI,2,0,0,2
TCIEXP,2,0,0,2
TECHM,2,0,1,1
TIDEWATER,2,0,0,2
TIINDIA,2,0,0,2
TORNTPHARM,2,0,0,2
TRANSCOR,2,1,0,1
TRIDENT,2,0,0,2
TRITURBINE,2,0,1,1
TVSMOTOR,2,0,0,2
UJJIVAN,2,0,0,2
VEDL,2,0,0,2
VIDHIING,2,0,0,2
VIPIND,2,0,0,2
VISHALBL,2,1,0,1
WEIZFOREX,2,0,1,1
WENDT,2,0,0,2
WIPRO,2,1,0,1
YUKEN,2,1,0,1
ZENSARTECH,2,0,0,2
ZIMLAB,2,1,0,1
20MICRONS,1,0,0,1
21STCENMGM,1,0,0,1
63MOONS,1,0,0,1
7TEC,1,0,0,1
AAIL,1,0,0,1
ABB,1,0,0,1
ABBOTINDIA,1,0,0,1
ABCBEARS,1,0,0,1
ABMKNO,1,0,0,1
ACCEL,1,0,0,1
ACE*,1,0,0,1
ACEWIN,1,1,0,0
ACKNIT,1,0,0,1
ACRYSIL,1,0,0,1
ADANIENT,1,0,0,1
ADANIPORTS,1,0,0,1
ADCINDIA,1,0,0,1
ADORFO,1,0,0,1
ADORWELD,1,0,0,1
ADVENZYMES,1,0,0,1
AGARIND,1,0,0,1
AGIIL,1,0,0,1
AHLEAST,1,0,0,1
AHLUCONT,1,0,0,1
AHLWEST,1,0,0,1
AHMDSTE,1,0,0,1
AIAENG,1,0,0,1
AIFL,1,0,0,1
AIMCOPEST,1,0,0,1
AJMERA,1,0,0,1
AKCAPIT,1,0,0,1
