name, bse_code, nse_code, industry, cmp, mcap, sales, np, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, d2e, dp, dp3, dy, roe3, roce3, cr, sales5, profit5, pledge, piotski, 
3M India, 523395, 3MINDIA, Trading, 20008.20, 19.45, 0, 0, 22549.24, 0.01, 20.88, 73.15, 74.36, 1.48, 0.00, 32.05, 16749.95, 17.22, 308.28, 274.21, 25439.95, 2850.09, 22092.35, 1859.54, 1848.27, 20.60, 12.13, 
AAVAS Financiers, 541988, AAVAS, Finance - Housing, 1580.20, 158.41, 0, 0, 12352.16, 1.99, 11.75, 64.62, 51.32, , 0.00, 10.84, 611.50, 74.58, 191.15, 2.00, 1670.00, 760.01, 15337.07, 1836.96, 1758.85, 3.16, 6.72, 
A B B, 500002, ABB, Electric Equipment, 1485.50, 24.83, , 0, 31478.99, 0.00, , 225.01, 92.32, , , , 1190.00, 4.67, 140.94, 4.68, 1670.00, 7607.95, 31394.18, 4145.89, 4103.51, , 12.10, 
Abbott India, 500488, ABBOTINDIA, Pharmaceuticals - Multinational, 10861.00, 57.41, 1, 0, 23079.63, 0.00, 23.97, 47.60, 33.61, 2.58, 30.18, 37.50, 6900.00, 17.42, 484.86, 204.01, 11070.00, 3832.57, 21395.35, 2008.59, 1987.34, 23.05, 11.49, 
Aditya Birla Cap, 540691, ABCAPITAL, Finance & Investments, 81.40, 6.13, 0, 0, 17928.82, 5.80, 9.47, 19.14, 35.44, , 0.00, 9.34, 76.70, 36.27, 936.91, 1.34, 117.00, 15745.90, 72059.38, 9512.36, 7310.95, 0.91, 1.88, 
Aditya Bir. Fas., 535755, ABFRL, Textiles - Products, 206.50, 23.25, 0, 0, 15972.93, 1.19, 15.45, 47.37, 124.89, 1.58, 0.00, 10.26, 167.55, 9.12, 337.18, 1.75, 236.90, 8269.66, 17617.87, 1428.82, 655.32, 5.06, 11.18, 
ACC, 500410, ACC, Cement - North India, 1575.70, 19.17, 0, 0, 29589.64, 0.00, 11.28, 16.98, 31.24, 2.29, 39.58, 14.43, 1322.20, 14.59, 1743.05, 23.24, 1769.05, 15397.71, 26492.66, 10991.68, 10803.69, 10.93, 2.69, 
Adani Enterp., 512599, ADANIENT, Trading, 143.65, 27.12, 0, 0, 15798.63, 0.76, 6.32, 16.59, 19.89, -0.93, 5.47, 6.73, 113.00, 4.21, 1056.47, 1.68, 180.80, 43382.25, 25332.55, 14755.94, 14645.96, 2.64, 1.07, 
Adani Gas, 542066, ADANIGAS, Miscellaneous, 130.40, 85.75, , 0, 14341.52, 0.36, , 53.06, 61.88, , , , 70.20, 27.10, 252.93, 7.74, 184.25, 1796.93, 14575.68, 1101.95, 991.97, , 13.01, 
Adani Green, 541450, ADANIGREEN, Power Generation And Supply, 56.50, 94.16, 0, 0, 8836.68, 13.26, , , 0.00, , 0.00, , 29.10, 77.05, -494.58, 0.59, 61.45, 2246.59, 19617.70, 840.00, -724.01, 331.20, 4.57, 
Adani Ports, 532921, ADANIPORTS, Miscellaneous, 404.05, 38.33, 0, 0, 83676.81, 1.11, 20.28, 18.86, 21.03, 0.98, 6.40, 15.17, 292.10, 63.95, 4321.90, 4.58, 430.60, 11308.88, 105155.23, 24372.32, 23958.13, 8.96, 3.41, 
Adani Power, 533096, ADANIPOWER, Power Generation And Supply, 61.75, 194.05, 0, 0, 23816.60, , -68.87, 54.14, 20.88, , 0.00, 7.34, 21.00, 23.68, -422.64, 1.12, 69.90, 28013.08, 69880.42, -287.71, -4144.65, -2.78, 3.09, 
Adani Transmissi, 539254, ADANITRANS, Power Generation And Supply, 224.35, 59.11, 0, 0, 24674.24, 4.34, 19.52, 40.52, 22.15, , 0.00, 13.49, 141.00, 35.52, 608.99, 1.52, 256.30, 9537.42, 44109.67, 4634.85, 3535.04, 4.60, 3.07, 
Advance. Enzyme., 540025, ADVENZYMES, Chemicals, 149.15, 5.04, 0, 0, 1665.65, 0.05, 19.50, 14.40, 31.66, 0.35, 5.70, 27.03, 142.00, 43.94, 115.69, 51.37, 225.00, 425.65, 1677.27, 678.85, 656.52, 16.89, 2.45, 
Aegis Logistics, 500003, AEGISCHEM, Trading, 175.60, 3.29, 0, 0, 5964.55, 0.17, 17.99, 26.31, 31.43, 0.90, 23.88, 19.86, 170.00, 5.90, 226.70, 12.27, 241.70, 6554.25, 5790.38, 1391.27, 1357.87, 13.26, 4.29, 
AIA Engg., 532683, AIAENG, Castings & Forgings, 1707.45, 17.50, 0, 0, 16101.25, 0.04, 14.89, 41.00, 28.42, 10.10, 18.20, 20.16, 1453.20, 19.23, 392.74, 84.67, 2026.00, 2756.24, 16201.16, 3176.04, 3157.18, 14.27, 5.07, 
Ajanta Pharma, 532331, AJANTPHARM, Pharmaceuticals - Indian - Formulations, 997.00, 20.85, 1, 0, 8699.30, 0.02, 25.63, 21.98, 26.93, 2.07, 22.54, 33.25, 825.00, 26.39, 395.81, 187.13, 1204.45, 2156.32, 8634.75, 2245.21, 2227.67, 26.47, 3.87, 
Akzo Nobel, 500710, AKZOINDIA, Paints / Varnishes, 1908.90, 29.77, 1, 0, 8693.19, 0.00, 23.00, 38.78, 32.13, 2.73, 39.70, 30.37, 1471.00, 12.77, 224.61, 56.45, 2075.00, 2922.35, 8634.49, 1135.54, 1090.00, 21.68, 7.66, 
Allahabad Bank, 532480, ALBK, Banks - Public Sector, 27.80, 2.58, 0, 0, 10346.38, 24.84, -36.84, , 6.91, , 0.00, 2.68, 27.10, 11.90, -6261.59, 0.35, 59.00, 16587.90, 222935.87, 10755.20, 7033.48, -1.83, 1.13, 
Alkem Lab, 539523, ALKEM, Pharmaceuticals - Indian - Bulk Drugs & Formln, 1949.70, 17.45, 0, 0, 23311.59, 0.17, 16.47, 28.58, 29.28, 2.43, 23.30, 18.39, 1660.00, 14.97, 815.78, 19.22, 2097.90, 7547.65, 23594.06, 5439.34, 5415.43, 13.64, 4.29, 
Allcargo Logist., 532749, ALLCARGO, Miscellaneous, 103.65, 18.93, 0, 0, 2546.63, 0.30, 11.02, 10.40, 16.21, 1.06, 28.47, 12.65, 87.15, 6.85, 254.62, 10.34, 126.00, 7083.66, 2904.23, 1998.78, 1949.64, 8.45, 1.27, 
Amara Raja Batt., 500008, AMARAJABAT, Auto Ancillaries, 703.30, 22.83, 0, 0, 12013.24, 0.02, 17.14, 23.49, 28.51, 4.31, 18.41, 25.27, 572.60, 14.80, 511.37, 93.70, 807.50, 6829.39, 11999.92, 3335.32, 3318.24, 16.41, 3.60, 
Ambuja Cem., 500425, AMBUJACEM, Cement - North India, 199.85, 6.11, 0, 0, 39683.12, 0.00, 8.25, 15.95, 31.20, 1.15, 37.04, 14.15, 188.35, 15.75, 2380.36, 22.97, 244.00, 26645.75, 33277.83, 23110.54, 22713.41, 6.60, 1.72, 
Andhra Bank, 532418, ANDHRABANK, Banks - Public Sector, 16.70, 7.40, 0, 0, 4984.09, 17.48, -17.58, , 11.49, , 0.00, 4.29, 15.55, 45.11, -2194.74, 0.86, 33.65, 19366.85, 220049.36, 13265.13, 10280.64, -0.86, 0.38, 
