ABB,HOLD,dp3, missing
ADANIENT,HOLD,dp3, 5.47
ADANIGAS,HOLD,dp3, missing
ADANIPORTS,HOLD,dp3, 6.4
ADVENZYMES,HOLD,dp3, 5.7
APLAPOLLO,HOLD,d2e, 0.89
APOLLOHOSP,HOLD,roce3, 9.62
APOLLOTYRE,HOLD,roce3, 10.98
AUROPHARMA,HOLD,dp3, 6.2
BAJAJHLDNG,HOLD,roce3, 10.2
BAJFINANCE,HOLD,dp3, 9.63
BALRAMCHIN,HOLD,d2e, 0.83
BANDHANBNK,HOLD,dp3, 9.07
BANKBARODA,HOLD,dp3, 5.09
BEML,HOLD,roce3, 7.02
BHARATFORG,HOLD,d2e, 0.59
BHARTIARTL,HOLD,roce3, 7.16
BIOCON,HOLD,roce3, 11.54
BIRLACORPN,HOLD,roce3, 7.47
BPCL,HOLD,d2e, 0.78
CADILAHC,HOLD,d2e, 0.76
CANFINHOME,HOLD,dp3, 9.86
CEATLTD,HOLD,d2e, 0.54
CENTURYPLY,HOLD,d2e, 0.54
CENTURYTEX,HOLD,roce3, 11.5
CHAMBLFERT,HOLD,roce3, 11.75
CHOLAFIN,HOLD,roce3, 11.3
CIPLA,HOLD,roce3, 9.38
COROMANDEL,HOLD,d2e, 0.88
CROMPTON,HOLD,dp3, missing
DCBBANK,HOLD,dp3, 8.69
DEEPAKFERT,HOLD,roce3, 7.69
DHANUKA,HOLD,dp3, 8.79
DHFL,HOLD,dp3, 6.08
DRREDDY,HOLD,roce3, 9.9
EDELWEISS,HOLD,roce3, 11.32
EIHOTEL,HOLD,roce3, 6.99
ESCORTS,HOLD,dp3, 8.3
EVEREADY,HOLD,dp3, 6.64
FDC,HOLD,dp3, 7.16
FEDERALBNK,HOLD,roce3, 6.34
FINEORG,HOLD,roce3, missing
FLFL,HOLD,d2e, 0.52
FORCEMOT,HOLD,dp3, 8.42
GDL,HOLD,roce3, 8.02
GHCL,HOLD,d2e, 0.66
GICHSGFIN,HOLD,roce3, 9.82
GICRE,HOLD,roce3, 6.1
GLENMARK,HOLD,dp3, 6.07
GODREJIND,HOLD,roce3, 10.11
GRANULES,HOLD,d2e, 0.65
GRASIM,HOLD,roce3, 11.69
GRUH,HOLD,roce3, 11.12
GSFC,HOLD,roce3, 7.34
GUJALKALI,HOLD,dp3, 9.79
HDFC,HOLD,roce3, 10.76
HDFCBANK,HOLD,roce3, 7.51
HERITGFOOD,HOLD,dp3, 9.85
HINDALCO,HOLD,dp3, 7.46
HINDCOPPER,HOLD,roce3, 8.67
HINDPETRO,HOLD,d2e, 0.97
HONAUT,HOLD,dp3, 9.21
HUDCO,HOLD,roce3, 8.64
IBVENTURES,HOLD,roce3, 11.48
