name, bse_code, nse_code, industry, captype, cmp, mcap, sales, np, d2e, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, 
Abbott India, 500488, ABBOTINDIA, Pharmaceuticals - Multinational, Mid Cap, 10861.00, 23079.63, 3832.57, 484.86, 0.00, 23.97, 37.50, 30.18, 30.67, 0.60, 47.60, 33.61, 2.58, 11.49, 6.02, 27.13, 21395.35, 17.42, 3.20, 10.08, 18.43, 0.00, 6.00, 
ACC, 500410, ACC, Cement - North India, Large Cap, 1575.70, 29589.64, 15397.71, 1743.05, 0.00, 11.28, 14.43, 39.58, 17.31, 0.89, 16.98, 31.24, 2.29, 2.69, 1.92, 10.47, 26492.66, 14.59, 1.53, 6.00, 7.41, 0.00, 7.00, 
Aegis Logistics, 500003, AEGISCHEM, Trading, Small Cap, 175.60, 5964.55, 6554.25, 226.70, 0.17, 17.99, 19.86, 23.88, 21.12, 0.78, 26.31, 31.43, 0.90, 4.29, 0.91, 14.49, 5790.38, 5.90, 1.22, 2.23, 29.32, 0.00, 8.00, 
AIA Engg., 532683, AIAENG, Castings & Forgings, Mid Cap, 1707.45, 16101.25, 2756.24, 392.74, 0.04, 14.89, 20.16, 18.20, 20.46, 0.53, 41.00, 28.42, 10.10, 5.07, 5.84, 24.50, 16201.16, 19.23, 5.23, 9.74, 4.06, 0.00, 6.00, 
Ajanta Pharma, 532331, AJANTPHARM, Pharmaceuticals - Indian - Formulations, Mid Cap, 997.00, 8699.30, 2156.32, 395.81, 0.02, 25.63, 33.25, 22.54, 20.40, 0.91, 21.98, 26.93, 2.07, 3.87, 4.03, 14.44, 8634.75, 26.39, 2.73, 11.21, 10.61, 13.37, 5.00, 
Akzo Nobel, 500710, AKZOINDIA, Paints / Varnishes, Small Cap, 1908.90, 8693.19, 2922.35, 224.61, 0.00, 23.00, 30.37, 39.70, 51.87, 1.26, 38.78, 32.13, 2.73, 7.66, 2.97, 20.84, 8634.49, 12.77, 1.26, 4.58, 14.18, 0.00, 7.00, 
Alkem Lab, 539523, ALKEM, Pharmaceuticals - Indian - Bulk Drugs & Formln, Mid Cap, 1949.70, 23311.59, 7547.65, 815.78, 0.17, 16.47, 18.39, 23.30, 25.15, 0.82, 28.58, 29.28, 2.43, 4.29, 3.09, 19.53, 23594.06, 14.97, 2.75, 18.77, 11.77, 0.00, 8.00, 
Allcargo Logist., 532749, ALLCARGO, Miscellaneous, Small Cap, 103.65, 2546.63, 7083.66, 254.62, 0.30, 11.02, 12.65, 28.47, 35.54, 3.38, 10.40, 16.21, 1.06, 1.27, 0.36, 5.63, 2904.23, 6.85, 1.37, 7.25, 9.81, 0.00, 7.00, 
Amara Raja Batt., 500008, AMARAJABAT, Auto Ancillaries, Mid Cap, 703.30, 12013.24, 6829.39, 511.37, 0.02, 17.14, 25.27, 18.41, 25.01, 1.01, 23.49, 28.51, 4.31, 3.60, 1.76, 11.39, 11999.92, 14.80, 2.22, 14.60, 5.45, 0.00, 7.00, 
Ambuja Cem., 500425, AMBUJACEM, Cement - North India, Large Cap, 199.85, 39683.12, 26645.75, 2380.36, 0.00, 8.25, 14.15, 37.04, 13.68, 0.75, 15.95, 31.20, 1.15, 1.72, 1.49, 6.95, 33277.83, 15.75, 1.59, 23.24, 13.86, 0.00, 7.00, 
Apar Inds., 532259, APARINDS, Electric Equipment, Small Cap, 553.70, 2118.93, 8449.85, 148.31, 0.21, 14.04, 28.99, 24.50, 26.72, 1.72, 14.29, 17.53, 1.69, 1.76, 0.25, 4.21, 2146.92, 5.87, 1.12, 11.47, 8.44, 0.00, 6.00, 
Alembic Pharma, 533573, APLLTD, Pharmaceuticals - Indian - Bulk Drugs & Formln, Mid Cap, 517.15, 9748.28, 4021.07, 617.62, 0.42, 22.21, 23.90, 18.24, 17.74, 1.06, 15.18, 23.83, 0.76, 3.59, 2.42, 11.11, 10671.09, 23.56, 2.08, 16.13, 19.85, 0.00, 8.00, 
Ashok Leyland, 500477, ASHOKLEY, Automobiles - LCVs / HCVs, Mid Cap, 65.95, 19359.80, 28476.09, 1791.79, 0.08, 25.45, 27.38, 41.20, 45.89, 4.70, 10.51, 70.01, 0.24, 2.32, 0.68, 6.04, 18618.57, 10.54, 0.94, 23.05, 43.55, 9.26, 6.00, 
Asian Paints, 500820, ASIANPAINT, Paints / Varnishes, Large Cap, 1766.10, 169403.92, 20081.88, 2255.45, 0.07, 25.49, 37.21, 46.17, 46.64, 0.59, 75.11, 54.66, 6.19, 17.80, 8.44, 40.88, 169586.07, 19.26, 1.30, 9.62, 12.14, 11.95, 5.00, 
Atul, 500027, ATUL, Dyes And Pigments, Mid Cap, 3975.60, 11791.63, 4021.05, 474.18, 0.00, 15.71, 22.56, 11.32, 10.39, 0.38, 24.87, 19.50, 1.66, 4.45, 2.93, 14.03, 11763.01, 20.17, 2.08, 10.82, 14.97, 4.52, 8.00, 
Avanti Feeds, 512573, AVANTIFEED, Food - Processing - Indian, Small Cap, 360.35, 4909.61, 3541.03, 280.92, 0.01, 36.91, 57.80, 17.02, 19.91, 1.11, 17.48, 15.00, 0.59, 4.07, 1.39, 9.95, 4732.04, 11.63, 2.75, 26.11, 29.73, 0.00, 5.00, 
Bajaj Auto, 532977, BAJAJ-AUTO, Automobiles - Scooters And 3 - Wheelers, Large Cap, 2910.00, 84205.80, 30597.56, 4898.00, 0.01, 22.80, 31.65, 38.47, 35.23, 2.06, 18.09, 19.40, 2.66, 3.62, 2.75, 12.27, 83397.25, 16.14, 1.01, 8.48, 6.81, 0.00, 6.00, 
Bajaj Consumer, 533229, BAJAJCON, Personal Care - Indian, Small Cap, 244.15, 3602.05, 928.19, 231.02, 0.05, 44.90, 55.64, 83.31, 91.32, 5.73, 15.59, 30.99, 2.34, 7.43, 3.88, 11.96, 3613.34, 30.14, 1.56, 6.46, 6.65, 60.72, 8.00, 
