name, bse_code, nse_code, industry, captype, cmp, mcap, sales, np, d2e, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, 
Balkrishna Inds, 502355, BALKRISIND, Tyres, Mid Cap, 757.80, 14649.58, 5075.59, 727.75, 0.18, 18.30, 21.25, 17.17, 19.77, 1.06, 20.13, 18.06, 2.33, 3.13, 2.89, 10.82, 15423.57, 24.06, 1.88, 7.96, 8.64, 0.00, 8.00, 
Balmer Lawrie, 523319, BALMLAWRIE, Diversified - Large, Micro Cap, 164.90, 1879.90, 1717.28, 177.69, 0.01, 14.96, 22.15, 58.34, 66.53, 6.67, 10.58, 11.29, 3.30, 1.45, 1.09, 4.85, 1456.72, 12.83, 2.11, -7.54, 3.21, 0.00, 6.00, 
Bata India, 500043, BATAINDIA, Leather / Leather Products, Mid Cap, 1736.95, 22324.59, 3013.30, 347.84, 0.00, 17.05, 26.29, 25.23, 24.37, 0.36, 64.18, 41.03, 6.36, 12.78, 7.41, 32.46, 21485.59, 19.53, 3.09, 7.23, 10.09, 0.00, 9.00, 
Bayer Crop Sci., 506285, BAYERCROP, Pesticides / Agrochemicals - Multinational, Mid Cap, 3372.15, 11577.80, 2517.50, 149.70, 0.00, 14.55, 21.88, 22.41, 25.98, 0.53, 69.68, 42.18, -18.58, 6.15, 4.60, 37.42, 11249.50, 10.62, 2.32, -3.37, -3.75, 0.00, 6.00, 
Bharat Dynamics, 541143, BDL, Engineering, Small Cap, 290.05, 5316.07, 3012.49, 406.32, 0.00, 23.66, 36.22, 30.00, 30.01, 2.39, 13.08, 13.02, , 2.34, 1.76, 6.60, 4950.14, 20.26, 1.48, , , 0.00, 6.00, 
Bharat Electron, 500049, BEL, Electronics - Components, Mid Cap, 107.15, 26108.09, 12084.06, 1952.29, 0.00, 20.07, 27.51, 36.76, 42.98, 3.17, 13.37, 19.28, 0.85, 2.89, 2.16, 8.19, 25257.74, 24.00, 1.49, 14.00, 15.77, 0.00, 7.00, 
Berger Paints, 509480, BERGEPAINT, Paints / Varnishes, Large Cap, 433.45, 42093.62, 6295.38, 537.93, 0.21, 22.33, 29.14, 36.95, 37.06, 0.44, 78.25, 50.82, 5.39, 17.02, 6.69, 40.85, 42375.19, 15.44, 1.73, 10.19, 14.51, 0.00, 5.00, 
Bharat Forge, 500493, BHARATFORG, Castings & Forgings, Mid Cap, 444.85, 20711.71, 6386.90, 1010.96, 0.59, 17.98, 18.48, 27.07, 21.73, 1.12, 20.49, 35.07, 0.93, 3.84, 3.24, 11.77, 23530.98, 28.61, 2.83, 13.91, 22.11, 0.00, 7.00, 
Bliss GVS Pharma, 506197, BLISSGVS, Pharmaceuticals - Indian - Formulations, Micro Cap, 101.65, 1048.01, 904.44, 120.45, 0.16, 18.33, 28.92, 11.14, 8.33, 0.98, 8.70, 20.28, 0.35, 1.62, 1.16, 5.44, 1043.32, 18.35, 4.75, 21.12, 25.04, 0.00, 7.00, 
Blue Dart Exp., 526612, BLUEDART, Couriers, Small Cap, 2481.65, 5888.96, 3219.23, 70.11, 0.22, 21.60, 25.72, 26.78, 33.90, 0.50, 84.00, 124.85, -12.86, 8.86, 1.83, 30.13, 5768.19, 5.39, 1.50, 10.37, -6.53, 0.00, 6.00, 
Blue Star, 500067, BLUESTARCO, Air-conditioners, Small Cap, 798.70, 7692.59, 5302.46, 175.29, 0.40, 20.42, 22.52, 58.53, 50.67, 1.25, 41.67, 44.01, 2.10, 8.81, 1.45, 21.59, 7939.21, 6.12, 1.31, 12.27, 19.84, 0.00, 7.00, 
Bosch, 500530, BOSCHLTD, Auto Ancillaries, Large Cap, 13247.50, 39071.70, 11824.58, 1447.01, 0.00, 16.97, 24.55, 23.51, 19.38, 0.79, 26.00, 45.41, 1.88, 4.28, 3.30, 14.56, 37819.00, 17.07, 2.06, 6.96, 13.80, 0.00, 7.00, 
B P C L, 500547, BPCL, Refineries, Large Cap, 493.90, 107139.39, 301809.40, 5913.88, 0.78, 23.93, 21.40, 52.40, 52.40, 3.49, 18.12, 10.47, 1.54, 2.92, 0.35, 10.28, 136143.28, 3.37, 0.87, 2.71, 11.77, 0.00, 6.00, 
Britannia Inds., 500825, BRITANNIA, Food - Processing - MNC, Large Cap, 2919.55, 70162.13, 11211.34, 1151.98, 0.04, 32.85, 47.32, 30.28, 31.10, 0.51, 60.39, 45.90, 2.45, 16.50, 6.26, 35.64, 70208.33, 15.49, 1.56, 9.84, 24.66, 0.00, 5.00, 
Cadila Health., 532321, CADILAHC, Pharmaceuticals - Indian - Bulk Drugs & Formln, Large Cap, 234.15, 23970.93, 13768.20, 1691.90, 0.76, 21.13, 16.46, 20.53, 19.39, 1.50, 14.17, 24.80, 0.84, 2.31, 1.74, 10.13, 31221.03, 21.50, 1.99, 12.75, 16.84, 0.00, 4.00, 
Caplin Point Lab, 524742, CAPLIPOINT, Pharmaceuticals - Indian - Formulations, Small Cap, 418.35, 3164.51, 694.78, 189.38, 0.00, 44.34, 57.04, 10.58, 9.42, 0.53, 16.71, 20.39, 0.25, 5.00, 4.55, 11.26, 3012.06, 35.36, 3.96, 38.56, 65.81, 0.00, 4.00, 
Carborundum Uni., 513375, CARBORUNIV, Abrasives And Grinding Wheels, Small Cap, 294.20, 5568.14, 2725.96, 238.08, 0.05, 14.44, 20.13, 19.87, 21.01, 0.93, 23.39, 29.15, 1.05, 3.23, 2.04, 11.91, 5562.60, 15.63, 3.41, 4.89, 22.37, 0.10, 6.00, 
CARE Ratings, 534804, CARERATING, Miscellaneous, Small Cap, 510.75, 1504.73, 308.89, 125.66, 0.00, 27.92, 40.37, 73.30, 64.29, 5.87, 11.97, 27.82, 3.56, 2.76, 4.87, 7.66, 1474.54, 51.40, 1.57, 6.25, 3.36, 0.00, 5.00, 
Castrol India, 500870, CASTROLIND, Chemicals, Mid Cap, 135.35, 13387.77, 3976.10, 730.00, 0.00, 71.48, 110.90, 83.68, 69.82, 3.69, 18.34, 35.62, 2.45, 11.08, 3.37, 10.60, 12643.92, 27.97, 1.95, 4.19, 7.50, 0.00, 5.00, 
CCL Products, 519600, CCL, Tea, Small Cap, 235.20, 3128.82, 1060.14, 150.10, 0.50, 21.42, 22.32, 25.75, 30.07, 1.49, 20.84, 23.86, 1.09, 3.85, 2.95, 13.39, 3448.69, 23.96, 3.50, 8.57, 19.18, 0.00, 5.00, 
CEAT, 500878, CEATLTD, Tyres, Small Cap, 972.20, 3932.56, 6997.12, 262.79, 0.54, 12.33, 15.45, 17.22, 19.25, 1.23, 13.20, 14.14, 28.09, 1.42, 0.56, 7.63, 5357.04, 9.02, 0.97, 5.03, 0.47, 0.00, 4.00, 
Century Ply., 532548, CENTURYPLY, Miscellaneous, Small Cap, 156.95, 3487.01, 2300.28, 161.53, 0.54, 21.79, 19.06, 13.40, 14.01, 0.64, 21.59, 29.33, 1.17, 3.60, 1.52, 12.72, 3983.31, 13.32, 3.20, 12.01, 18.53, 0.00, 6.00, 
Cera Sanitary., 532443, CERA, Ceramics - Tiles / Sanitaryware, Small Cap, 2658.05, 3457.03, 1330.25, 113.62, 0.03, 18.60, 28.13, 15.08, 14.69, 0.49, 30.43, 36.29, 1.77, 4.94, 2.60, 16.73, 3464.84, 14.32, 1.57, 15.31, 17.17, 0.00, 7.00, 
Coal India, 533278, COALINDIA, Mining / Minerals / Metals, Large Cap, 194.10, 119618.56, 100415.08, 18305.34, 0.08, 44.83, 65.50, 108.29, 46.23, 6.75, 6.53, 18.91, 2.21, 4.52, 1.19, 2.86, 90704.27, 25.82, 1.58, 15.84, 2.95, 0.00, 7.00, 
Cochin Shipyard, 540678, COCHINSHIP, Miscellaneous, Small Cap, 335.65, 4415.15, 3038.87, 495.12, 0.04, 15.14, 22.78, 36.08, 35.54, 3.87, 8.92, 13.96, 0.80, 1.33, 1.45, 2.41, 2015.30, 19.69, 2.31, 10.50, 11.10, 0.00, 4.00, 
Colgate-Palm., 500830, COLPAL, Personal Care - Multinational, Large Cap, 1495.85, 40684.97, 4505.99, 755.17, 0.06, 49.89, 72.59, 74.90, 80.66, 1.54, 53.70, 45.15, 5.99, 28.12, 9.03, 31.10, 40368.76, 27.84, 0.94, 4.51, 8.96, 0.00, 8.00, 
Container Corpn., 531344, CONCOR, Miscellaneous, Large Cap, 640.20, 39007.02, 6952.57, 1190.87, 0.07, 11.29, 15.23, 40.54, 42.86, 1.34, 32.76, 26.42, 7.65, 3.76, 5.61, 18.62, 39537.25, 25.79, 3.11, 7.36, 4.28, 0.00, 5.00, 
CRISIL, 500092, CRISIL, Miscellaneous, Mid Cap, 1348.85, 9752.21, 1724.04, 347.25, 0.00, 30.73, 43.81, 63.64, 59.57, 2.22, 28.08, 51.71, 3.77, 8.49, 5.66, 18.34, 9548.27, 25.71, 1.84, 9.50, 7.44, 0.00, 6.00, 
Cummins India, 500480, CUMMINSIND, Engines, Mid Cap, 563.25, 15613.29, 5674.09, 681.08, 0.07, 18.27, 23.11, 58.91, 65.22, 3.02, 22.92, 31.74, 5.94, 3.78, 2.75, 13.79, 15184.52, 14.11, 2.38, 7.31, 3.86, 0.00, 7.00, 
Cyient, 532175, CYIENT, Computers - Software - Medium / Small, Small Cap, 463.40, 5096.07, 4626.50, 486.50, 0.14, 18.83, 22.97, 35.03, 34.61, 3.25, 10.41, 16.05, 0.83, 1.99, 1.10, 5.68, 4493.97, 13.95, 3.27, 15.92, 12.56, 0.00, 5.00, 
Dabur India, 500096, DABUR, Personal Care - Indian, Large Cap, 439.65, 77688.96, 8725.66, 1476.23, 0.12, 26.79, 29.15, 48.67, 33.68, 0.63, 50.46, 41.04, 4.72, 13.79, 8.90, 37.03, 78060.17, 20.76, 1.40, 3.82, 10.69, 0.00, 7.00, 
D B Corp, 533151, DBCORP, Entertainment / Electronic Media Software, Small Cap, 140.30, 2454.45, 2437.35, 270.01, 0.03, 19.00, 27.92, 34.98, 63.87, 7.13, 9.09, 19.07, -4.11, 1.34, 1.01, 4.51, 2372.39, 20.99, 2.37, 5.78, -2.21, 30.52, 5.00, 
DCM Shriram, 523367, DCMSHRIRAM, Diversified - Mega, Small Cap, 396.15, 6294.63, 7605.69, 908.23, 0.46, 24.98, 25.20, 18.04, 16.97, 2.44, 6.93, 8.16, 0.23, 1.79, 0.83, 5.05, 7488.77, 18.16, 2.00, 4.68, 30.51, 0.00, 6.00, 
Deepak Nitrite, 506401, DEEPAKNTR, Chemicals, Small Cap, 290.55, 3962.90, 1921.25, 223.53, 0.31, 11.44, 13.69, 18.39, 19.76, 0.69, 17.73, 20.33, 0.61, 3.75, 2.06, 9.75, 4284.93, 22.30, 1.45, 7.13, 28.92, 0.00, 8.00, 
Delta Corp, 532848, DELTACORP, Miscellaneous, Small Cap, 164.65, 4461.00, 797.96, 197.83, 0.00, 9.79, 14.55, 12.38, 8.95, 0.39, 22.86, 48.10, 0.63, 2.30, 5.59, 12.66, 4387.41, 39.51, 2.60, 7.39, 36.50, 6.08, 6.00, 
Divi's Lab., 532488, DIVISLAB, Pharmaceuticals - Indian - Bulk Drugs, Large Cap, 1622.55, 43073.60, 5024.27, 1333.84, 0.02, 19.02, 25.75, 29.20, 31.87, 0.99, 32.29, 26.78, 3.04, 6.18, 8.57, 21.38, 43074.00, 36.37, 3.40, 14.18, 10.61, 0.00, 7.00, 
Eicher Motors, 505200, EICHERMOT, Automobiles - Motorcycles / Mopeds, Large Cap, 17826.85, 48648.98, 9631.23, 2078.32, 0.02, 31.25, 46.59, 15.70, 15.48, 0.70, 23.41, 43.36, 0.55, 5.45, 5.05, 13.45, 45870.45, 27.93, 1.80, 7.55, 42.52, 0.00, 4.00, 
Emami, 531162, EMAMILTD, Personal Care - Indian, Mid Cap, 315.50, 14321.66, 2727.20, 315.83, 0.05, 18.69, 21.41, 52.76, 59.88, 1.27, 44.28, 57.37, -7.71, 6.90, 5.25, 18.22, 14228.12, 27.26, 1.43, 9.64, -5.74, 46.81, 7.00, 
Endurance Tech., 540153, ENDURANCE, Auto Ancillaries, Mid Cap, 977.65, 13751.90, 7559.23, 536.01, 0.28, 20.90, 23.02, 13.56, 15.63, 0.56, 25.03, 37.08, 1.25, 5.36, 1.82, 11.35, 13944.50, 15.86, 1.52, 12.26, 19.96, 0.00, 8.00, 
Engineers India, 532178, ENGINERSIN, Engineering - Turnkey Services, Small Cap, 114.45, 7232.23, 2605.92, 407.54, 0.00, 14.21, 21.79, 65.80, 68.30, 3.50, 17.75, 22.99, -4.46, 3.18, 2.78, 7.03, 4571.17, 16.08, 1.66, 6.03, -3.98, 0.00, 7.00, 
Essel Propack, 500135, ESSELPACK, Packaging, Small Cap, 115.55, 3644.51, 2701.40, 190.44, 0.46, 15.42, 17.15, 20.76, 20.47, 1.08, 20.19, 16.62, 1.69, 2.63, 1.35, 7.88, 4142.61, 18.35, 2.34, 4.96, 11.92, 0.00, 6.00, 
Exide Inds., 500086, EXIDEIND, Auto Ancillaries, Mid Cap, 193.10, 16413.50, 10595.10, 858.42, 0.00, 13.85, 20.07, 28.03, 24.17, 1.24, 21.02, 25.11, 2.19, 2.74, 1.55, 11.05, 16339.95, 13.46, 1.50, 12.37, 9.60, 0.00, 6.00, 
Finolex Cables, 500144, FINCABLES, Cables - Power, Small Cap, 382.25, 5846.11, 3094.35, 335.32, 0.00, 16.77, 23.97, 17.20, 20.00, 1.18, 17.43, 20.59, 1.36, 2.40, 1.89, 10.51, 5797.86, 13.82, 2.84, 5.46, 12.80, 0.00, 5.00, 
Finolex Inds., 500940, FINPIPE, Plastics Products, Small Cap, 589.00, 7309.49, 3207.28, 318.99, 0.04, 14.14, 20.60, 39.19, 35.48, 1.70, 22.91, 30.07, 1.77, 2.89, 2.28, 12.99, 7370.95, 16.21, 1.41, 4.73, 12.93, 0.02, 8.00, 
Future Lifestyle, 536507, FLFL, Textiles - Products, Small Cap, 422.45, 8503.18, 5605.69, 142.68, 0.52, 10.27, 13.47, 16.39, 18.74, 0.32, 59.60, 56.45, 2.83, 5.16, 1.52, 14.27, 9264.19, 10.86, 1.33, 16.57, 21.03, 13.84, 5.00, 
Firstsour.Solu., 532809, FSL, Computers - Software - Medium / Small, Small Cap, 46.15, 3199.12, 3886.95, 380.36, 0.20, 14.66, 14.13, 12.19, 36.58, 4.32, 8.41, 9.32, 0.57, 1.18, 0.82, 6.46, 3708.51, 14.74, 2.04, 4.26, 14.66, 0.00, 7.00, 
GAIL (India), 532155, GAIL, Miscellaneous, Large Cap, 132.90, 59939.79, 76138.31, 6053.95, 0.02, 12.32, 17.69, 41.72, 26.70, 2.68, 9.39, 16.02, 1.11, 1.36, 0.79, 5.36, 59726.22, 12.54, 0.72, 5.55, 8.49, 0.00, 6.00, 
Galaxy Surfact., 540935, GALAXYSURF, Detergents / Intermediates, Small Cap, 1469.60, 5210.43, 2711.82, 197.82, 0.34, 25.44, 25.96, 14.99, 14.85, 0.54, 26.34, 26.63, , 5.94, 1.92, 14.88, 5482.54, 13.30, 2.36, , , 0.00, 7.00, 
GE Power, 532309, GEPIL, Electric Equipment, Small Cap, 798.75, 5370.00, 1888.26, 64.92, 0.00, 4.02, 25.92, 2361.27, 53.04, 0.75, 36.20, 3009.32, -6.07, 6.07, 2.84, 15.63, 4542.02, 7.61, 1.27, -6.09, -5.96, 0.00, 6.00, 
GHCL, 500171, GHCL, Chemicals, Small Cap, 204.80, 2011.41, 3492.46, 402.89, 0.66, 24.93, 21.65, 13.27, 13.58, 2.44, 4.99, 5.24, 0.24, 1.03, 0.58, 3.84, 3275.44, 23.98, 1.58, 8.83, 21.01, 1.08, 7.00, 
Gillette India, 507815, GILLETTE, Personal Care - Multinational, Mid Cap, 7038.15, 22937.33, 1861.65, 252.92, 0.00, 32.60, 49.58, 101.35, 32.73, 0.33, 90.69, 95.95, 4.21, 29.47, 12.32, 57.53, 22700.70, 20.47, 1.69, 3.27, 21.52, 0.00, 8.00, 
Glaxosmi. Pharma, 500660, GLAXO, Pharmaceuticals - Multinational, Mid Cap, 1380.45, 23385.66, 3180.90, 450.23, 0.00, 17.04, 26.25, 79.78, 79.65, 1.45, 52.79, 75.12, -19.62, 10.92, 7.35, 29.81, 22230.91, 19.23, 1.41, 4.21, -2.69, 0.00, 5.00, 
G M D C, 532181, GMDCLTD, Mining / Minerals / Metals, Small Cap, 60.35, 1919.13, 1879.68, 219.94, 0.00, 8.10, 12.32, 30.12, 28.92, 3.31, 5.83, 10.46, -1.07, 0.44, 1.02, 2.67, 1870.96, 29.57, 3.07, 7.90, -5.47, 0.00, 6.00, 
G N F C, 500670, GNFC, Fertilizers, Small Cap, 200.15, 3110.73, 5501.20, 622.08, 0.04, 14.66, 16.45, 14.78, 14.68, 3.50, 5.00, 6.76, 0.24, 0.62, 0.57, 3.52, 3083.75, 11.86, 1.92, 4.00, 20.61, 0.00, 6.00, 
Godfrey Phillips, 500163, GODFRYPHLP, Cigarettes, Small Cap, 954.35, 4962.04, 2699.66, 299.11, 0.02, 9.03, 12.97, 24.55, 17.26, 0.84, 16.59, 27.28, 9.37, 2.62, 1.84, 8.78, 4975.13, 17.80, 1.09, 0.00, 1.77, 0.00, 8.00, 
Godrej Agrovet, 540743, GODREJAGRO, Food - Processing - Indian, Mid Cap, 478.40, 9187.28, 6088.96, 324.80, 0.24, 18.79, 21.80, 32.48, 26.26, 0.94, 36.96, 41.55, 3.83, 5.57, 1.51, 18.07, 9555.38, 7.51, 1.06, 13.60, 9.64, 0.00, 5.00, 
Godrej Consumer, 532424, GODREJCP, Personal Care - Indian, Large Cap, 680.00, 69517.11, 10184.49, 2344.09, 0.47, 28.29, 21.10, 44.42, 52.39, 1.76, 33.34, 42.80, 1.43, 9.57, 6.83, 32.31, 72004.44, 20.90, 1.45, 6.30, 23.34, 0.00, 6.00, 
Guj Pipavav Port, 533248, GPPL, Miscellaneous, Small Cap, 84.25, 4072.98, 703.58, 214.96, 0.00, 10.85, 16.19, 79.54, 82.28, 4.15, 18.95, 31.97, 5.90, 2.02, 5.79, 7.85, 3539.27, 56.59, 1.79, 6.27, 3.21, 0.00, 8.00, 
Granules India, 532482, GRANULES, Pharmaceuticals - Indian - Bulk Drugs, Small Cap, 104.85, 2665.79, 2421.24, 267.86, 0.65, 16.14, 14.68, 14.14, 10.75, 0.95, 9.95, 16.57, 0.39, 1.74, 1.10, 7.09, 3567.93, 17.76, 2.56, 16.03, 25.69, 43.40, 7.00, 
Graphite India, 509488, GRAPHITE, Electrodes - Graphites, Mid Cap, 283.70, 5543.50, 6860.00, 2659.00, 0.07, 55.56, 74.55, 39.77, 31.65, 19.39, 2.04, 18.92, 0.02, 1.04, 0.81, 1.34, 5495.24, 56.53, 2.93, 31.36, 97.22, 0.00, 8.00, 
Greaves Cotton, 501455, GREAVESCOT, Engines, Small Cap, 141.80, 3462.85, 2006.50, 167.63, 0.00, 17.67, 25.38, 66.11, 57.70, 2.82, 19.52, 23.98, 2.78, 3.57, 1.73, 10.90, 3420.49, 13.58, 1.26, 2.95, 7.01, 0.00, 5.00, 
Grindwell Norton, 506076, GRINDWELL, Abrasives And Grinding Wheels, Small Cap, 599.75, 6640.43, 1628.30, 166.70, 0.00, 14.70, 22.53, 37.93, 39.72, 1.00, 39.83, 34.72, 2.98, 6.05, 4.08, 20.63, 6406.31, 16.74, 2.61, 10.60, 13.36, 0.00, 6.00, 
GlaxoSmith C H L, 500676, GSKCONS, Food - Processing - MNC, Large Cap, 8551.45, 35967.40, 4869.19, 1030.44, 0.00, 23.26, 35.77, 44.94, 44.94, 1.23, 34.90, 37.03, 4.47, 8.78, 7.39, 19.27, 31870.06, 24.46, 2.94, -0.36, 7.80, 0.00, 8.00, 
Guj.St.Petronet, 532702, GSPL, Miscellaneous, Mid Cap, 210.15, 11853.53, 1998.41, 856.35, 0.41, 13.55, 16.44, 15.33, 14.19, 0.95, 13.84, 15.48, 1.01, 2.06, 5.93, 8.46, 14061.22, 80.10, 0.69, 12.31, 13.66, 0.00, 5.00, 
Gulf Oil Lubric., 538567, GULFOILLUB, Chemicals, Small Cap, 850.35, 4258.92, 1756.12, 186.38, 0.48, 36.64, 38.47, 33.67, 32.21, 1.34, 22.85, 29.03, 0.04, 7.26, 2.43, 12.97, 4249.43, 16.88, 3.08, , 607.96, 0.00, 4.00, 
Hind.Aeronautics, 541154, HAL, Engineering, Mid Cap, 694.70, 23229.90, 20371.80, 2488.04, 0.39, 20.89, 28.84, 37.91, 29.01, 2.85, 9.73, 14.71, , 2.14, 1.14, 5.39, 27316.16, 23.37, 1.55, , , 0.00, 6.00, 
Havells India, 517354, HAVELLS, Electric Equipment, Large Cap, 709.55, 44403.84, 10173.25, 755.03, 0.02, 19.49, 27.54, 37.08, 35.56, 0.63, 58.81, 43.35, 5.64, 10.47, 4.36, 33.41, 43213.51, 11.36, 1.36, 16.63, 10.43, 0.00, 5.00, 
HCL Technologies, 532281, HCLTECH, Computers - Software - Large, Large Cap, 1059.55, 143717.49, 62976.00, 9919.00, 0.10, 26.21, 31.79, 23.19, 10.71, 0.75, 14.49, 15.45, 0.72, 3.47, 2.28, 9.30, 140040.49, 22.64, 2.56, 18.76, 20.01, 0.00, 5.00, 
HDFC AMC, 541729, HDFCAMC, Finance & Investments, Large Cap, 2744.65, 58353.96, 1948.34, 1017.13, 0.00, 37.88, 55.86, 48.09, 54.82, 0.87, 57.37, 35.04, , 19.00, 29.95, 38.01, 58321.97, 68.49, 1.62, , , 0.00, 5.00, 
HDFC Life Insur., 540777, HDFCLIFE, Finance & Investments, Large Cap, 598.20, 120697.14, 40084.36, 1321.24, 0.00, 25.33, 30.28, 25.02, 25.75, 0.27, 91.35, 71.14, 7.63, 21.34, 3.01, 89.73, 119457.32, 2.05, 0.79, 17.45, 11.98, 0.00, 6.00, 
