name, bse_code, nse_code, industry, captype, cmp, mcap, sales, np, d2e, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, 
3M India, 523395, 3MINDIA, Trading, Mid Cap, 20008.20, 22549.24, 2850.09, 308.28, 0.01, 20.88, 32.05, 0.00, 0.00, 0.00, 73.15, 74.36, 1.48, 12.13, 7.91, 42.24, 22092.35, 17.22, 2.50, 10.02, 49.41, 0.00, 5.00, 
AAVAS Financiers, 541988, AAVAS, Finance - Housing, -, 1580.20, 12352.16, 760.01, 191.15, 1.99, 11.75, 10.84, 0.00, 0.00, 0.00, 64.62, 51.32, , 6.72, 16.25, 26.99, 15337.07, 74.58, 6.80, , , 0.00, 6.00, 
A B B, 500002, ABB, Electric Equipment, Mid Cap, 1485.50, 31478.99, 7607.95, 140.94, 0.00, , , , 45.10, 0.32, 225.01, 92.32, , 12.10, 4.14, 86.95, 31394.18, 4.67, 1.57, , , 0.00, 4.00, 
Abbott India, 500488, ABBOTINDIA, Pharmaceuticals - Multinational, Mid Cap, 10861.00, 23079.63, 3832.57, 484.86, 0.00, 23.97, 37.50, 30.18, 30.67, 0.60, 47.60, 33.61, 2.58, 11.49, 6.02, 27.13, 21395.35, 17.42, 3.20, 10.08, 18.43, 0.00, 6.00, 
Aditya Birla Cap, 540691, ABCAPITAL, Finance & Investments, Large Cap, 81.40, 17928.82, 15745.90, 936.91, 5.80, 9.47, 9.34, 0.00, 0.00, 0.00, 19.14, 35.44, , 1.88, 1.14, 12.09, 72059.38, 36.27, 0.64, , , 0.00, 4.00, 
Aditya Bir. Fas., 535755, ABFRL, Textiles - Products, Mid Cap, 206.50, 15972.93, 8269.66, 337.18, 1.19, 15.45, 10.26, 0.00, 0.00, 0.00, 47.37, 124.89, 1.58, 11.18, 1.93, 21.27, 17617.87, 9.12, 1.14, 37.35, 29.91, 0.00, 8.00, 
ACC, 500410, ACC, Cement - North India, Mid Cap, 1575.70, 29589.64, 15397.71, 1743.05, 0.00, 11.28, 14.43, 39.58, 17.31, 0.89, 16.98, 31.24, 2.29, 2.69, 1.92, 10.47, 26492.66, 14.59, 1.53, 6.00, 7.41, 0.00, 7.00, 
Adani Enterp., 512599, ADANIENT, Trading, Mid Cap, 143.65, 15798.63, 43382.25, 1056.47, 0.76, 6.32, 6.73, 5.47, 6.13, 0.28, 16.59, 19.89, -0.93, 1.07, 0.36, 8.47, 25332.55, 4.21, 1.60, -5.98, -17.78, 25.93, 6.00, 
Adani Gas, 542066, ADANIGAS, Miscellaneous, -, 130.40, 14341.52, 1796.93, 252.93, 0.36, , , , 12.02, 0.19, 53.06, 61.88, , 13.01, 7.98, 26.57, 14575.68, 27.10, 2.39, , , 0.00, 6.00, 
Adani Green, 541450, ADANIGREEN, Power Generation And Supply, Small Cap, 56.50, 8836.68, 2246.59, -494.58, 13.26, , , 0.00, 0.00, 0.00, , 0.00, , 4.57, 3.93, 10.83, 19617.70, 77.05, 1.60, , , 37.23, 5.00, 
