3MINDIA, SALE
AAVAS, HOLD
ABB, HOLD
ABBOTINDIA, BUY
ABCAPITAL, HOLD
ABFRL, HOLD
ACC, BUY
ADANIENT, HOLD
ADANIGAS, HOLD
ADANIGREEN, HOLD
ADANIPORTS, HOLD
ADANIPOWER, HOLD
ADANITRANS, SALE
ADVENZYMES, HOLD
AEGISCHEM, BUY
AIAENG, BUY
AJANTPHARM, BUY
AKZOINDIA, BUY
ALBK, SALE
ALKEM, BUY
ALLCARGO, BUY
AMARAJABAT, BUY
AMBUJACEM, BUY
ANDHRABANK, SALE
APARINDS, SALE
APLAPOLLO, HOLD
APLLTD, BUY
APOLLOHOSP, SALE
APOLLOTYRE, HOLD
ASHOKA, SALE
ASHOKLEY, BUY
ASIANPAINT, BUY
ASTERDM, HOLD
ASTRAL, SALE
ASTRAZEN, SALE
ATUL, BUY
AUBANK, SALE
AUROPHARMA, HOLD
AVANTIFEED, BUY
AXISBANK, SALE
BAJAJ-AUTO, BUY
BAJAJCON, SALE
BAJAJELEC, SALE
BAJAJFINSV, SALE
BAJAJHLDNG, BUY
BAJFINANCE, HOLD
BALKRISIND, BUY
BALMLAWRIE, HOLD
BALRAMCHIN, HOLD
BANDHANBNK, HOLD
BANKBARODA, SALE
BANKINDIA, SALE
BASF, SALE
BATAINDIA, BUY
BAYERCROP, BUY
BBTC, SALE
BDL, BUY
BEL, BUY
BEML, HOLD
BERGEPAINT, BUY
BHARATFORG, HOLD
BHARTIARTL, HOLD
BHEL, SALE
BIOCON, HOLD
BIRLACORPN, HOLD
BLISSGVS, HOLD
BLUEDART, BUY
BLUESTARCO, BUY
BOMDYEING, HOLD
BOSCHLTD, BUY
BPCL, HOLD
BRITANNIA, BUY
CADILAHC, HOLD
CANBK, SALE
CANFINHOME, HOLD
CAPLIPOINT, BUY
CARBORUNIV, BUY
CARERATING, BUY
CASTROLIND, BUY
CCL, BUY
CEATLTD, HOLD
CENTRALBK, SALE
CENTRUM, SALE
CENTURYPLY, HOLD
CENTURYTEX, HOLD
CERA, BUY
CGPOWER, HOLD
CHALET, HOLD
CHAMBLFERT, HOLD
CHENNPETRO, SALE
CHOLAFIN, HOLD
CHOLAHLDNG, SALE
CIPLA, HOLD
COALINDIA, BUY
COCHINSHIP, BUY
COFFEEDAY, SALE
COLPAL, BUY
CONCOR, BUY
COROMANDEL, HOLD
CORPBANK, SALE
CREDITACC, SALE
CRISIL, BUY
CROMPTON, HOLD
CUB, SALE
CUMMINSIND, BUY
CYIENT, BUY
DABUR, BUY
DBCORP, HOLD
DBL, HOLD
DCAL, HOLD
DCBBANK, HOLD
DCMSHRIRAM, BUY
DEEPAKFERT, SALE
DEEPAKNTR, BUY
DELTACORP, BUY
DHANUKA, HOLD
DHFL, HOLD
DISHTV, SALE
DIVISLAB, BUY
DLF, SALE
DMART, SALE
DRREDDY, HOLD
ECLERX, SALE
EDELWEISS, BUY
EICHERMOT, BUY
EIDPARRY, HOLD
EIHOTEL, HOLD
EMAMILTD, HOLD
ENDURANCE, BUY
ENGINERSIN, BUY
EQUITAS, SALE
ERIS, SALE
ESCORTS, HOLD
ESSELPACK, BUY
EVEREADY, SALE
EXIDEIND, BUY
FCONSUMER, SALE
FDC, HOLD
FEDERALBNK, HOLD
FINCABLES, BUY
FINEORG, HOLD
FINPIPE, BUY
FLFL, SALE
FORCEMOT, HOLD
FORTIS, HOLD
FRETAIL, SALE
FSL, BUY
GAIL, BUY
GALAXYSURF, BUY
GAYAPROJ, SALE
GDL, SALE
GEPIL, BUY
GESHIP, SALE
GET&D, SALE
GHCL, HOLD
GICHSGFIN, SALE
GICRE, SALE
GILLETTE, BUY
GLAXO, BUY
GLENMARK, HOLD
GMDCLTD, BUY
GMRINFRA, SALE
GNFC, BUY
GODFRYPHLP, BUY
GODREJAGRO, BUY
GODREJCP, BUY
GODREJIND, HOLD
GODREJPROP, SALE
GPPL, BUY
GRANULES, HOLD
GRAPHITE, BUY
GRASIM, HOLD
GREAVESCOT, BUY
GRINDWELL, BUY
GRUH, BUY
GSFC, HOLD
GSKCONS, BUY
GSPL, BUY
GUJALKALI, HOLD
GUJGASLTD, SALE
GULFOILLUB, BUY
HAL, BUY
HATHWAY, SALE
HAVELLS, BUY
HCLTECH, BUY
HDFC, BUY
HDFCAMC, BUY
HDFCBANK, BUY
HDFCLIFE, HOLD
HEG, BUY
HEIDELBERG, BUY
HERITGFOOD, HOLD
HEROMOTOCO, BUY
HEXAWARE, BUY
HFCL, SALE
HIMATSEIDE, HOLD
HINDALCO, HOLD
HINDCOPPER, HOLD
HINDPETRO, HOLD
HINDUNILVR, BUY
HINDZINC, BUY
HONAUT, HOLD
HSCL, SALE
HUDCO, HOLD
IBREALEST, SALE
IBULHSGFIN, BUY
IBULISL, SALE
IBVENTURES, BUY
ICICIBANK, HOLD
ICICIGI, HOLD
ICICIPRULI, HOLD
IDBI, SALE
IDEA, SALE
IDFC, SALE
IDFCFIRSTB, SALE
IEX, BUY
IFBIND, SALE
IFCI, HOLD
IGL, BUY
INDHOTEL, HOLD
INDIACEM, HOLD
INDIANB, SALE
INDIGO, SALE
INDOSTAR, HOLD
INDUSINDBK, HOLD
INFIBEAM, SALE
INFRATEL, SALE
INFY, BUY
