IDFCFIRSTB,SALE,roe3, -0.13
IEX,BUY,tp, ?
IFBIND,SALE,dp3, 0.0
IFCI,HOLD,rank, 533.0
IGL,BUY,tp, ?
INDHOTEL,HOLD,roce3, 7.06
INDIACEM,HOLD,pledge, 27.22
INDIANB,SALE,roe3, 5.6
INDIGO,SALE,icr, 2.5
INDOSTAR,HOLD,roce3, 10.86
INDUSINDBK,HOLD,pledge, 26.33
INFIBEAM,SALE,roce3, 5.47
INFRATEL,SALE,icr, -9.78
INFY,BUY,tp, ?
INOXLEISUR,SALE,dp3, 0.0
INOXWIND,SALE,rank, 626.0
INTELLECT,SALE,roce3, 5.26
IOB,SALE,roe3, -31.27
IOC,HOLD,d2e, 0.86
IPCALAB,HOLD,roce3, 11.69
IRB,HOLD,roce3, 11.92
IRCON,HOLD,roce3, 10.7
ISEC,HOLD,roce3, missing data
ITC,BUY,tp, ?
ITDC,HOLD,rank, 505.0
ITDCEM,HOLD,rank, 542.0
ITI,SALE,dp3, 0.0
J&KBANK,SALE,roe3, -5.25
JAGRAN,BUY,tp, ?
JAICORPLTD,HOLD,rank, 552.0
JAMNAAUTO,HOLD,rank, 511.0
JBCHEPHARM,BUY,tp, ?
JCHAC,SALE,dp3, 4.61
JETAIRWAYS,HOLD,rank, 513.0
JINDALSAW,HOLD,roce3, 7.15
JINDALSTEL,SALE,pledge, 64.85
JISLJALEQS,SALE,pledge, 50.85
JKCEMENT,HOLD,icr, 3.83
JKLAKSHMI,HOLD,roce3, 7.11
JKTYRE,HOLD,rank, 536.0
JMFINANCIL,BUY,tp, ?
JPASSOCIAT,SALE,rank, 656.0
JSL,HOLD,rank, 591.0
JSLHISAR,HOLD,rank, 544.0
JSWENERGY,SALE,pledge, 58.09
JSWHL,SALE,roce3, 1.82
JSWSTEEL,HOLD,pledge, 49.13
JUBILANT,HOLD,dp3, 9.29
JUBLFOOD,BUY,tp, ?
JUSTDIAL,SALE,dp3, 0.0
JYOTHYLAB,HOLD,pledge, 26.66
KAJARIACER,BUY,tp, ?
KALPATPOWR,HOLD,pledge, 39.07
KANSAINER,BUY,tp, ?
KEC,HOLD,icr, 3.32
KEI,HOLD,dp3, 5.2
KNRCON,SALE,dp3, 2.89
KOTAKBANK,SALE,dp3, 2.17
KPRMILL,SALE,dp3, 1.82
KRBL,HOLD,d2e, 0.52
KTKBANK,HOLD,roe3, 8.21
L&TFH,BUY,tp, ?
LALPATHLAB,BUY,tp, ?
LAOPALA,HOLD,rank, 510.0
LAURUSLABS,HOLD,pledge, 31.46
LAXMIMACH,BUY,tp, ?
LEMONTREE,HOLD,pledge, 34.14
LICHSGFIN,BUY,tp, ?
LINDEINDIA,SALE,roce3, 4.83
LT,SALE,icr, 2.51
LTI,BUY,tp, ?
LTTS,BUY,tp, ?
LUPIN,HOLD,d2e, 0.62
LUXIND,HOLD,dp3, 5.62
M&M,BUY,tp, ?
M&MFIN,BUY,tp, ?
MAGMA,HOLD,roe3, 8.48
MAHABANK,SALE,roce3, 2.84
MAHINDCIE,HOLD,roce3, 11.64
MAHLIFE,HOLD,rank, 546.0
MAHLOG,BUY,tp, ?
MAHSCOOTER,SALE,roce3, 0.72
MAHSEAMLES,BUY,tp, ?
MANAPPURAM,BUY,tp, ?
MARICO,BUY,tp, ?
MARUTI,BUY,tp, ?
MASFIN,BUY,tp, ?
MAXINDIA,HOLD,rank, 550.0
MCX,BUY,tp, ?
MEGH,SALE,rank, 621.0
MFSL,SALE,pledge, 80.36
MGL,BUY,tp, ?
MHRIL,BUY,tp, ?
MINDACORP,BUY,tp, ?
MINDAIND,HOLD,dp3, 9.51
MINDTREE,BUY,tp, ?
MMTC,SALE,roce3, 4.95
MOIL,HOLD,icr, missing data
MONSANTO,BUY,tp, ?
MOTHERSUMI,SALE,d2e, 1.05
MOTILALOFS,BUY,tp, ?
MPHASIS,BUY,tp, ?
MRF,SALE,dp3, 2.13
MRPL,SALE,icr, -0.49
MUTHOOTFIN,BUY,tp, ?
NATCOPHARM,BUY,tp, ?
NATIONALUM,BUY,tp, ?
NAUKRI,HOLD,roce3, 7.31
NAVINFLUOR,BUY,tp, ?
NBCC,BUY,tp, ?
NBVENTURES,HOLD,rank, 560.0
NCC,HOLD,pledge, 41.35
NESCO,HOLD,dp3, 9.36
NESTLEIND,BUY,tp, ?
NETWORK18,SALE,roce3, -2.44
NH,HOLD,roce3, 10.47
NHPC,HOLD,roce3, 9.84
NIACL,SALE,roce3, -2.45
NIITTECH,BUY,tp, ?
NILKAMAL,HOLD,rank, 548.0
NLCINDIA,SALE,d2e, 1.05
NMDC,BUY,tp, ?
NOCIL,HOLD,rank, 514.0
NTPC,HOLD,roce3, 8.25
OBEROIRLTY,HOLD,roce3, 10.8
OFSS,BUY,tp, ?
OIL,HOLD,roce3, 11.86
OMAXE,SALE,pledge, 56.63
ONGC,BUY,tp, ?
ORIENTBANK,SALE,roe3, -16.14
ORIENTCEM,HOLD,rank, 558.0
ORIENTELEC,HOLD,roce3, missing data
PAGEIND,BUY,tp, ?
PARAGMILK,HOLD,rank, 543.0
PCJEWELLER,SALE,dp3, 2.65
PEL,BUY,tp, ?
PERSISTENT,BUY,tp, ?
PETRONET,BUY,tp, ?
PFC,HOLD,roe3, 11.92
PFIZER,BUY,tp, ?
PGHH,BUY,tp, ?
PGHL,HOLD,icr, missing data
PHILIPCARB,BUY,tp, ?
PHOENIXLTD,HOLD,roce3, 11.43
PIDILITIND,BUY,tp, ?
PIIND,BUY,tp, ?
PNB,SALE,roe3, -16.81
PNBHOUSING,BUY,tp, ?
PNCINFRA,HOLD,dp3, 5.06
POLYCAB,SALE,dp3, 4.84
POWERGRID,HOLD,roce3, 10.79
PRESTIGE,HOLD,roce3, 9.88
PRSMJOHNSN,HOLD,roce3, 11.84
PTC,HOLD,rank, 519.0
