rank, name, bse_code, nse_code, isin, industry, captype, reco_type, reco_cause, cmp, mcap, sales, np, d2e, icr, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, filter, nw, reserves, roa3, 
163, Abbott India, 500488, ABBOTINDIA, INE358A01014, -, Mid Cap, BUY, tp, ?, 10861.00, 23079.63, 3832.57, 484.86, 0.00, 204.01, 23.97, 37.5, 30.18, 30.67, 0.6, 47.6, 33.61, 2.58, 11.49, 6.02, 27.13, 21395.35, 17.42, 3.2, 10.08, 18.43, 0.00, 6.00, 1, 2008.59, 1987.34, 23.05, 
100, ACC, 500410, ACC, INE012A01025, CEMENT & CEMENT PRODUCTS, Large Cap, BUY, tp, ?, 1575.7, 29589.64, 15397.71, 1743.05, 0.00, 23.24, 11.28, 14.43, 39.58, 17.31, 0.89, 16.98, 31.24, 2.29, 2.69, 1.92, 10.47, 26492.66, 14.59, 1.53, 6.00, 7.41, 0.00, 7.00, 0, 10991.68, 10803.69, 10.93, 
282, Aegis Logistics, 500003, AEGISCHEM, INE208C01025, ENERGY, Small Cap, BUY, tp, ?, 175.6, 5964.55, 6554.25, 226.7, 0.17, 12.27, 17.99, 19.86, 23.88, 21.12, 0.78, 26.31, 31.43, 0.9, 4.29, 0.91, 14.49, 5790.38, 5.9, 1.22, 2.23, 29.32, 0.00, 8.00, 0, 1391.27, 1357.87, 13.26, 
164, AIA Engg., 532683, AIAENG, INE212H01026, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 1707.45, 16101.25, 2756.24, 392.74, 0.04, 84.67, 14.89, 20.16, 18.2, 20.46, 0.53, 41.00, 28.42, 10.1, 5.07, 5.84, 24.5, 16201.16, 19.23, 5.23, 9.74, 4.06, 0.00, 6.00, 0, 3176.04, 3157.18, 14.27, 
243, Ajanta Pharma, 532331, AJANTPHARM, INE031B01049, PHARMA, Mid Cap, BUY, tp, ?, 997.00, 8699.3, 2156.32, 395.81, 0.02, 187.13, 25.63, 33.25, 22.54, 20.4, 0.91, 21.98, 26.93, 2.07, 3.87, 4.03, 14.44, 8634.75, 26.39, 2.73, 11.21, 10.61, 13.37, 5.00, 1, 2245.21, 2227.67, 26.47, 
265, Akzo Nobel, 500710, AKZOINDIA, INE133A01011, CONSUMER GOODS, Small Cap, BUY, tp, ?, 1908.9, 8693.19, 2922.35, 224.61, 0.00, 56.45, 23.00, 30.37, 39.7, 51.87, 1.26, 38.78, 32.13, 2.73, 7.66, 2.97, 20.84, 8634.49, 12.77, 1.26, 4.58, 14.18, 0.00, 7.00, 1, 1135.54, 1090.00, 21.68, 
127, Alkem Lab, 539523, ALKEM, INE540L01014, PHARMA, Mid Cap, BUY, tp, ?, 1949.7, 23311.59, 7547.65, 815.78, 0.17, 19.22, 16.47, 18.39, 23.3, 25.15, 0.82, 28.58, 29.28, 2.43, 4.29, 3.09, 19.53, 23594.06, 14.97, 2.75, 18.77, 11.77, 0.00, 8.00, 0, 5439.34, 5415.43, 13.64, 
475, Allcargo Logist., 532749, ALLCARGO, INE418H01029, SERVICES, Small Cap, BUY, tp, ?, 103.65, 2546.63, 7083.66, 254.62, 0.3, 10.34, 11.02, 12.65, 28.47, 35.54, 3.38, 10.4, 16.21, 1.06, 1.27, 0.36, 5.63, 2904.23, 6.85, 1.37, 7.25, 9.81, 0.00, 7.00, 0, 1998.78, 1949.64, 8.45, 
195, Amara Raja Batt., 500008, AMARAJABAT, INE885A01032, AUTOMOBILE, Mid Cap, BUY, tp, ?, 703.3, 12013.24, 6829.39, 511.37, 0.02, 93.7, 17.14, 25.27, 18.41, 25.01, 1.01, 23.49, 28.51, 4.31, 3.6, 1.76, 11.39, 11999.92, 14.8, 2.22, 14.6, 5.45, 0.00, 7.00, 0, 3335.32, 3318.24, 16.41, 
66, Ambuja Cem., 500425, AMBUJACEM, INE079A01024, CEMENT & CEMENT PRODUCTS, Large Cap, BUY, tp, ?, 199.85, 39683.12, 26645.75, 2380.36, 0.00, 22.97, 8.25, 14.15, 37.04, 13.68, 0.75, 15.95, 31.2, 1.15, 1.72, 1.49, 6.95, 33277.83, 15.75, 1.59, 23.24, 13.86, 0.00, 7.00, 0, 23110.54, 22713.41, 6.6, 
217, Alembic Pharma, 533573, APLLTD, INE901L01018, PHARMA, Mid Cap, BUY, tp, ?, 517.15, 9748.28, 4021.07, 617.62, 0.42, 38.36, 22.21, 23.9, 18.24, 17.74, 1.06, 15.18, 23.83, 0.76, 3.59, 2.42, 11.11, 10671.09, 23.56, 2.08, 16.13, 19.85, 0.00, 8.00, 1, 2718.82, 2681.12, 18.17, 
104, Ashok Leyland, 500477, ASHOKLEY, INE208A01029, AUTOMOBILE, Mid Cap, BUY, tp, ?, 65.95, 19359.8, 28476.09, 1791.79, 0.08, 35.61, 25.45, 27.38, 41.2, 45.89, 4.7, 10.51, 70.01, 0.24, 2.32, 0.68, 6.04, 18618.57, 10.54, 0.94, 23.05, 43.55, 9.26, 6.00, 1, 8332.43, 8038.88, 19.54, 
21, Asian Paints, 500820, ASIANPAINT, INE021A01026, CONSUMER GOODS, Large Cap, BUY, tp, ?, 1766.1, 169403.92, 20081.88, 2255.45, 0.07, 42.78, 25.49, 37.21, 46.17, 46.64, 0.59, 75.11, 54.66, 6.19, 17.8, 8.44, 40.88, 169586.07, 19.26, 1.3, 9.62, 12.14, 11.95, 5.00, 1, 9519.69, 9423.77, 22.68, 
210, Atul, 500027, ATUL, INE100A01010, CHEMICALS, Mid Cap, BUY, tp, ?, 3975.6, 11791.63, 4021.05, 474.18, 0.00, 229.46, 15.71, 22.56, 11.32, 10.39, 0.38, 24.87, 19.5, 1.66, 4.45, 2.93, 14.03, 11763.01, 20.17, 2.08, 10.82, 14.97, 4.52, 8.00, 0, 2649.54, 2619.88, 14.56, 
