name_alias, ticker_real
Adani ports and spec, ADANIPORTS
All cargo logistics, ALLCARGO
Amararajaint, AMARAJABAT
Amr int, AMARAJABAT
Amr,  AMARAJABAT
Apollo hospitals ent, APOLLOHOSP
Asahi india glass li, ASAHIINDIA
Asianpaints, ASIANPAINT
Asian pnt, ASIANPAINT
Bajaj holdings & inv, BAJAJHLDNG
Balkrishna industris, BALKRISIND
Balkrishnaindustries, BALKRISIND
Balrampurchinimills, BALRAMCHIN
Bluedart, BLUEDART
Bluedart express, BLUEDART
Brigade, BRIGADE
Brigade enterprises, BRIGADE
Bel, BEL
Bhel, BHEL
Carborundum universa, CARBORUNIV
Cdsil, CDSL
Ceat dt, CEATLTD
Cgcel, CROMPTON
Colgatepalmolive, COLPAL
Container corporatio, CONCOR
Coromandel internat, COROMANDEL
Coromandel internati, COROMANDEL
Cox and Kings ltd, COX&KINGS
Cox & kings limited, COX&KINGS
Cox & Kings ltd, COX&KINGS
Cox & kings, COX&KINGS
Cox & kings , COX&KINGS
Dr lal pathlabs lim, LALPATHLAB
Dr lal pathlabs, LALPATHLAB
Dr reddy's laborato, DRREDDY
Future lifestyle fas, FLFL
Glaxo consumer, GSKCONS
Glaxo pharma, GLAXO
Hat int, HATSUN
Hcil, HEIDELBERG
Hindustan unilever l, HINDUNILVR
Hindustanaeronautics, HAL
Hdfcasset management, HDFCAMC
Hdfc interim, HDFC
Hdfc bank ltd, HDFCBANK
Hdfc life insurance, HDFCLIFE
Hdfc standard life, HDFCLIFE
Hppl, PAPERPROD
Iifl holdings limite, IIFL
Iifl securities, IIFLSEC
Iifl wealth manageme, IIFLWAM
Icici Pru, ICICIPRULI 
Indianulls housing, IBULHSGFIN
Indiabulls housing, IBULHSGFIN
Indian oil corpn, IOC
Indian oil corpn , IOC
Indian oil corpn ltd, IOC
Indraprastha gas lim, IGL
Infoedge india limi, NAUKRI
Jk tyre and industri, JKTYRE
Johnson controlshit, JCHAC
Jubliant foodworks l, JUBLFOOD
Ksb pumps limited, KSB
L&t finance holdings, L&TFH
Larsen and toubro lt, LT
Larsen & toubro limi, LT
Larsen & toubro ltd, LT
L&t technology serv, LTTS
L&t technology servi, LTTS
Larsen & toubro info, LTI
Lichousingfinanceltd, LICHSGFIN
Mahindra and mahindr, M&M
Mahindra & mahindra, M&M
Mahindra logistics l, MAHLOG
Mahindra holidays &, MHRIL
Mfl q fy, MANAPPURAM
Mfl th fy, MANAPPURAM
Motherson sumi syste, MOTHERSUMI
Muthoot fin ltd, MUTHOOTFIN 
National aluminium c, NATIONALUM
Nerolac, KANSAINER
Oil and Natural Gas, ONGC
Pidilite fn, PIDILITIND
Pi industries ltd, PIIND
Praxis home retail l, PRAXIS
Power grid corpn, POWERGRID
Power grid corporati, POWERGRID
Power grid corp, POWERGRID
Power grid corpPowergrid corporatio, POWERGRID
Powergrid corp ltd, POWERGRID
Prestige estates pro, PRESTIGE
Procter & gamble hyg, PGHH
Rajesh expo, RAJESHEXPO 
Rural eletrification, RECLTD
Sbi life insurance c, SBILIFE
Sfi, SUNDARMFIN
Sfi int, SUNDARMFIN
Sfl ii i, SUNDARMFIN
Shriram transport fi, SRTRANSFIN
Stfc, SRTRANSFIN
Sun pharmaceutical i, SUNPHARMA
Talwalkars better va, TALWALKARS
Talwalkars lifestyle, TALWGYM
Tatasteelfp, TATASTEEL
Tata steel fp, TATASTEEL
Tcl, TATACHEM 
Tcs interim, TCS
Tcs sp, TCS
Tatacoffe, TATACOFFEE
Tcoffee, TATACOFFEE
Tcook, THOMASCOOK
Tgbl, TATAGLOBAL
Tp hdfc std lifins, HDFCLIFE
Tpl, TATAPOWER
Tpower, TATAPOWER
T power, TATAPOWER
Tmotorsos f,  TATAMOTORS
The new india assura, NIACL
The indian hotels co, INDHOTEL
Ti financial holding, CHOLAHLDNG
Ticl, TATAINVEST
Tube investments of, TIINDIA
Tvs motor company l, TVSMOTOR
Tvssrii, TVSSRICHAK
Ubl, UBL
Usl, UNITDSPR
Venky's india ltd, VENKEYS
Venky's india ltd, VENKEYS
Vguard industries l, VGUARD
Vip industries limit, VIPIND
Vrl logistics, VRLLOG
Vst, VSTTILLERS
Vst industries, VSTIND
Wonderla holidays, WONDERLA
Zee entertainment en, ZEEL
Zee learn, ZEELEARN
