isin_code, comp_name, hold_qty, hold_price, hold_units_1k, last_txn_type, last_txn_date
INE001A01036,Housing development finance co,8,10979,11,Buy,06-Dec-2017
INE001B01026,Krbl,5,1957,2,Buy,03-Jul-2018
INE002A01018,Reliance industries,15,6870,7,Buy,27-Nov-2017
INE003A01024,Siemens,2,2791,3,Buy,02-Jan-2018
INE007A01025,Crisil,2,3726,4,Buy,04-Apr-2018
INE008I01026,Cox kings,8,2068,2,Buy,01-Feb-2018
INE009A01021,Infosys,24,10623,11,Buy,11-Sep-2018
INE010B01027,Cadila healthcare,5,2119,2,Buy,03-Jul-2018
INE010V01017,L&t technologies,1,1304,1,Buy,28-May-2018
INE012A01025,Acc,2,3932,4,Buy,01-Nov-2017
INE016A01026,Dabur,7,2179,2,Buy,02-Jan-2018
INE018A01030,Larsen toubro,7,6895,7,Buy,04-Apr-2018
INE019A01038,Jsw steel,10,2205,2,Buy,06-Dec-2017
INE020B01018,Rural electrification corporat,12,4618,5,Buy,01-Nov-2017
INE021A01026,Asian paints,8,8218,8,Buy,06-Dec-2017
INE022I01019,Asian granito,2,1064,1,Buy,02-Feb-2018
INE029A01011,Bharat petroleum,5,1550,2,Buy,02-Jan-2018
INE030A01027,Hindustan unilever,7,2393,2,Buy,04-Apr-2018
INE031A01017,Housing urban dev co hudco,32,2156,2,Buy,03-Jul-2018
INE034A01011,Arvind,6,2406,2,Buy,03-Jul-2018
INE038A01020,Hindalco industries,14,2809,3,Buy,03-Jul-2018
INE040A01026,Hdfc bank,18,15459,15,Buy,14-Mar-2017
INE044A01036,Sun pharmaceutical industries,15,10799,11,Buy,10-Mar-2017
INE047A01021,Grasim industries,1,1747,2,Buy,16-Oct-2017
INE053A01029,Indian hotels co,56,9965,10,Buy,06-Dec-2017
INE054A01027,Vip industries,9,2232,2,Buy,02-Jan-2018
INE058A01010,Sanofi,1,4053,4,Buy,19-Sep-2017
INE059A01026,Cipla,4,822,1,Buy,02-Jan-2018
INE061F01013,Fortis healthcare,13,2052,2,Buy,04-Apr-2018
INE062A01020,State bank,20,2132,2,Buy,05-May-2017
INE066F01012,Hindustan aeronautics,1,907,1,Buy,12-Sep-2018
INE066O01014,Wonderla holidays,3,1098,1,Buy,18-Apr-2018
INE075A01022,Wipro,22,6379,6,Buy,21-Jun-2017
INE079A01024,Ambuja cements,9,1989,2,Buy,02-Jan-2018
INE081A01012,Tata steel,14,6132,6,Buy,03-Jul-2018
INE085A01013,Chambal fertilisers chemical,7,1015,1,Buy,16-Oct-2017
INE087H01022,Shree renuka sugars,100,1300,1,Buy,28-Jun-2018
INE089A01023,Dr reddys laboratories,2,4103,4,Buy,04-Apr-2018
INE090A01021,Icici bank,16,5257,5,Buy,06-Dec-2017
INE092A01019,Tata chemicals,4,2759,3,Buy,04-Apr-2018
INE094A01015,Hindustan petroleum corp,6,3123,3,Buy,02-Jan-2018
INE095A01012,Indusind bank,1,1961,2,Buy,23-Aug-2018
INE095N01031,Nbcc,20,2060,2,Buy,04-Apr-2018
INE101A01026,Mahindra mahindra,4,4477,4,Buy,28-Dec-2017
INE102D01028,Godrej consumer products,2,2176,2,Buy,03-Jul-2018
INE109A01011,Shipping corp lt,27,2133,2,Buy,04-Apr-2018
INE111A01025,Container corporation,4,4476,4,Buy,04-Apr-2018
INE115A01026,Lic housing finance,3,2063,2,Buy,01-Nov-2017
INE117A01022,Abb,2,3063,3,Buy,02-Jan-2018
INE118A01012,Bajaj holdings investment li,1,2993,3,Buy,24-Aug-2018
INE118H01025,Bse,3,2667,3,Buy,03-Jul-2018
INE119A01028,Balrampur chini mills,8,1272,1,Buy,13-Nov-2017
INE120A01034,Carborundum universal,4,1316,1,Buy,17-Oct-2017
INE121A01016,Cholamandalam investment f,1,1474,1,Buy,24-Aug-2018
INE121J01017,Bharti infratel,3,1227,1,Buy,03-Oct-2017
