comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ABB,-,-,-,-,22,-,-,-,-,-,-,-,22
ABBOTINDIA,-,-,-,-,-,-,55,65,-,-,-,-,120
ACC,-,-,42,-,-,30,-,11,-,-,-,-,83
ADANIENT,-,-,-,-,-,-,-,19,-,-,-,-,19
ADANIGAS,-,-,-,-,-,-,-,4,-,-,-,-,4
ADANIPORTS,-,-,-,-,-,-,-,13,-,-,-,-,13
AEGISCHEM,-,2,-,4,-,-,-,11,-,-,-,-,17
AKZOINDIA,-,-,-,-,-,-,-,114,-,-,-,-,114
ALLCARGO,-,52,-,-,-,-,-,10,-,-,-,-,62
AMARAJABAT,-,-,-,-,-,-,60,10,-,-,8,-,78
AMBUJACEM,-,-,-,21,-,18,-,8,-,-,-,-,47
APLAPOLLO,-,-,-,-,-,-,-,-,-,-,22,-,22
APOLLOHOSP,-,-,-,-,-,-,-,-,30,30,-,-,60
APOLLOTYRE,-,-,-,-,-,-,15,56,-,-,-,-,71
ARVIND,-,-,-,-,-,-,-,12,14,-,-,-,26
ARVINDFASN,-,-,-,-,-,-,-,-,98,-,-,-,98
ASAHIINDIA,-,-,-,-,-,-,-,26,-,-,-,-,26
ASHOKLEY,-,-,-,-,-,-,-,27,-,-,-,-,27
ASIANPAINT,-,-,-,-,-,169,-,-,-,-,23,-,192
ASIANTILES,-,-,-,-,-,-,-,-,2,-,-,-,2
AUROPHARMA,-,6,-,-,-,-,-,-,-,-,6,-,12
AVANTIFEED,-,-,-,-,-,-,-,81,-,-,-,-,81
AXISBANK,-,-,-,-,-,-,14,-,-,-,-,-,14
BAJAJ-AUTO,-,-,-,-,-,-,295,-,-,-,-,-,295
BAJAJFINSV,-,-,-,-,-,-,4,-,-,-,-,-,4
BAJAJHLDNG,-,-,-,-,-,-,32,-,-,-,-,-,32
BAJFINANCE,-,-,-,-,-,-,6,-,-,-,-,-,6
BALKRISIND,-,9,-,-,-,-,9,12,2,-,6,-,38
BALRAMCHIN,-,45,-,-,-,-,-,-,-,-,-,-,45
BANDHANBNK,-,-,-,-,-,-,6,-,-,-,-,-,6
BASF,-,-,-,-,-,-,10,6,-,1,-,-,17
BATAINDIA,-,-,-,-,-,-,7,47,-,-,-,-,54
BAYERCROP,-,-,-,-,-,-,18,35,-,-,-,-,53
BDL,-,-,-,15,-,-,-,-,21,-,-,-,36
BEL,-,12,9,9,-,-,-,-,-,5,-,-,35
BERGEPAINT,-,-,-,-,-,-,-,43,-,-,-,-,43
BHARTIARTL,-,76,-,-,-,-,25,101,-,-,67,-,269
BHEL,-,45,-,-,-,-,-,-,-,28,-,-,73
BIOCON,-,-,-,-,-,-,-,2,-,-,-,-,2
BLUEDART,-,-,-,-,-,-,-,64,-,-,-,-,64
BLUESTARCO,-,-,-,-,-,-,-,40,-,-,-,-,40
BOSCHLTD,-,-,-,-,-,-,-,205,-,-,-,-,205
BPCL,-,-,158,-,-,-,-,-,99,-,-,-,257
BRIGADE,-,-,-,-,-,-,-,42,-,10,-,-,52
BRITANNIA,-,-,-,-,-,-,-,132,-,-,-,-,132
BSE,-,5,-,-,-,-,125,93,-,-,-,25,248
CADILAHC,-,-,-,-,-,-,-,34,-,-,-,-,34
CARBORUNIV,-,10,4,-,-,-,-,13,-,-,-,-,27
CARERATING,-,12,12,-,-,-,-,40,18,74,12,6,174
CASTROLIND,-,-,-,-,82,-,-,199,9,-,-,-,290
CDSL,-,-,-,-,-,-,-,24,28,-,-,-,52
CEATLTD,-,-,-,-,-,-,23,47,-,-,-,-,70
CENTURYPLY,-,-,-,-,-,-,-,-,56,-,-,-,56
CERA,-,-,-,-,-,-,-,25,12,-,-,-,37
CHAMBLFERT,-,-,-,-,-,-,-,-,13,-,-,-,13
CHOLAFIN,-,4,-,-,-,-,-,4,-,-,-,-,8
CHOLAHLDNG,-,3,-,-,-,-,-,2,-,-,-,-,5
CIPLA,-,-,-,-,-,-,-,22,12,-,-,-,34
COALINDIA,225,-,1230,-,-,-,-,-,-,-,-,-,1455
COLPAL,-,-,-,19,-,38,-,-,-,-,20,4,81
CONCOR,-,9,-,-,-,-,-,-,42,22,-,-,73
COROMANDEL,-,21,-,15,-,-,24,32,-,-,-,-,92
COX&KINGS,-,-,-,-,-,-,-,-,-,4,8,-,12
CRISIL,-,-,-,32,24,-,-,60,-,-,20,-,136
CROMPTON,-,-,-,-,-,-,25,-,-,-,-,-,25
CUMMINSIND,-,-,43,-,-,-,-,-,79,-,-,-,122
DABUR,-,-,-,-,-,-,-,48,15,-,14,-,77
DCMSHRIRAM,-,12,-,-,-,-,-,4,-,-,12,-,28
DELTACORP,-,-,-,-,-,-,2,-,-,-,-,-,2
DISHTV,-,-,-,-,-,-,-,-,-,-,14,-,14
DLF,-,-,12,-,-,-,-,20,-,20,-,-,52
DRREDDY,-,-,-,-,-,-,-,80,-,-,-,-,80
Dividend,-,-,-,-,-,-,-,110,-,-,-,-,110
EICHERMOT,-,-,-,-,-,-,-,235,-,-,-,-,235
EIDPARRY,-,22,-,11,-,-,-,18,-,-,-,-,51
EIHAHOTELS,-,-,-,-,-,-,-,38,-,-,-,-,38
EMAMILTD,-,-,-,-,-,-,-,47,-,-,-,-,47
ENDURANCE,-,-,-,-,-,-,-,5,-,-,-,-,5
ENGINERSIN,-,55,18,-,-,-,-,-,29,-,-,-,102
ENIL,-,-,-,-,-,-,-,2,-,-,-,-,2
ESSELPACK,-,-,-,-,-,-,17,-,-,-,-,-,17
EVEREADY,-,-,-,-,-,-,-,9,-,-,-,-,9
EXIDEIND,-,-,-,-,-,-,4,11,-,-,16,-,31
FLFL,-,-,-,-,-,-,-,8,9,-,-,-,17
