comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
FSC,-,-,-,-,-,-,-,4,-,-,-,-,4
GAIL,38,37,-,-,221,-,-,-,23,8,-,-,327
GICRE,-,-,-,-,-,-,-,-,81,-,-,-,81
GILLETTE,-,-,19,-,-,-,-,-,-,-,10,23,52
GLAXO,-,-,-,-,-,-,40,-,-,-,-,-,40
GLENMARK,-,-,-,-,-,-,-,-,-,12,-,-,12
GODFRYPHLP,-,-,-,-,-,-,-,-,20,16,-,-,36
GODREJAGRO,-,-,-,-,-,-,-,27,-,-,-,-,27
GODREJCP,-,7,-,-,13,-,-,10,-,-,13,-,43
GODREJIND,-,-,-,-,-,-,-,7,-,-,-,-,7
GOODYEAR,-,-,-,-,-,-,-,13,-,-,-,-,13
GRASIM,-,-,-,-,-,-,-,14,6,-,-,-,20
GREENLAM,-,-,-,-,-,-,-,7,5,-,-,-,12
GREENPLY,-,-,-,-,-,-,-,3,-,-,-,-,3
GRINDWELL,-,-,-,-,-,-,45,-,-,-,-,-,45
GSKCONS,-,-,-,-,-,-,-,180,-,-,-,-,180
HAL,-,-,-,19,-,-,-,-,-,-,-,-,19
HATHWAY,-,4,-,-,4,-,4,-,-,-,-,-,12
HAVELLS,-,-,-,-,-,-,42,-,-,-,-,-,42
HCLTECH,-,56,-,-,26,36,-,40,-,-,38,-,196
HDFC,-,-,77,-,-,-,237,157,-,-,-,-,471
HDFCAMC,-,-,156,-,-,-,156,-,-,-,-,-,312
HDFCBANK,-,-,-,-,-,-,831,95,-,-,-,-,926
HDFCLIFE,-,-,9,-,-,-,-,-,-,-,-,4,13
HEIDELBERG,-,-,-,-,-,-,-,-,24,-,8,-,32
HEROMOTOCO,-,165,-,-,-,-,110,96,-,-,-,-,371
HINDALCO,-,-,-,-,-,-,-,-,41,-,-,-,41
HINDPETRO,-,78,87,-,-,-,-,112,17,-,-,-,294
HINDUNILVR,-,-,-,-,-,-,277,-,-,-,132,-,409
HINDZINC,-,-,-,48,-,-,-,-,-,-,10,-,58
HONAUT,-,-,-,-,-,-,-,77,-,-,-,-,77
HSIL,-,-,-,-,-,-,-,12,42,-,-,-,54
HUDCO,-,-,27,-,-,-,-,-,-,-,-,-,27
IBULHSGFIN,-,34,-,-,30,-,-,26,-,10,9,-,109
ICICIBANK,-,-,-,-,-,25,50,19,24,-,-,-,118
ICICIGI,-,-,-,-,-,14,10,-,-,-,12,-,36
ICICIPRULI,-,-,-,-,-,-,19,24,-,-,29,-,72
ICRA,-,-,-,-,-,-,-,57,-,-,-,-,57
IGL,-,-,-,-,-,-,-,-,-,8,-,-,8
IIFL,-,10,-,-,-,-,-,-,-,-,-,-,10
INDHOTEL,-,-,-,-,-,32,22,16,-,-,-,-,70
INDIGO,-,-,-,-,-,-,-,27,34,-,-,-,61
INDUSINDBK,-,-,-,-,-,-,-,7,-,-,-,-,7
INFRATEL,-,-,-,-,52,-,42,25,-,-,22,-,141
INFY,96,-,-,-,-,806,-,-,-,234,143,-,1279
IOC,-,114,30,-,-,-,-,-,47,-,-,81,272
ISEC,-,-,-,-,-,-,-,22,15,-,14,-,51
ITC,-,-,-,-,-,-,817,125,-,-,-,-,942
ITDC,-,-,-,-,-,-,-,-,-,2,-,-,2
JCHAC,-,-,-,-,-,-,-,2,-,-,-,-,2
JISLJALEQS,-,-,-,-,-,-,-,-,-,10,-,-,10
JKTYRE,-,-,-,-,-,-,-,77,-,-,-,-,77
JSWSTEEL,-,-,-,-,-,-,96,-,-,-,-,-,96
JUBLFOOD,-,-,-,-,-,-,-,-,22,10,-,-,32
KAJARIACER,-,-,-,-,-,-,-,6,24,-,-,-,30
KANSAINER,-,-,-,-,-,40,-,-,-,-,-,-,40
KOTAKBANK,-,-,-,-,-,-,3,-,-,-,-,-,3
KRBL,-,-,-,-,-,-,-,11,12,-,-,-,23
KSB,-,-,-,-,36,-,-,-,-,-,-,-,36
KSCL,-,-,-,-,-,-,-,-,12,-,-,6,18
L&TFH,-,-,-,-,-,-,-,12,-,-,-,-,12
LALPATHLAB,-,-,-,-,-,-,-,13,-,-,5,1,19
LICHSGFIN,-,-,-,-,-,-,-,70,-,-,-,-,70
LT,-,-,-,-,-,-,-,376,-,-,-,-,376
LTI,-,-,-,-,-,-,16,14,-,-,13,-,43
LTTS,-,-,-,-,-,-,13,12,-,-,7,-,32
LUPIN,-,-,-,-,-,-,-,110,-,-,-,-,110
M&M,-,-,-,-,-,-,44,94,-,-,-,-,138
MAHLOG,-,-,-,-,-,-,-,6,-,-,-,-,6
MANAPPURAM,-,-,5,-,-,14,-,-,14,-,-,5,38
MARICO,-,-,46,-,-,-,-,-,-,-,21,-,67
MARUTI,-,-,-,-,-,-,-,320,75,-,-,-,395
MCX,-,-,-,-,-,-,-,-,37,-,-,-,37
MHRIL,-,-,-,-,-,-,-,24,-,-,-,-,24
MONSANTO,-,-,-,-,-,-,50,45,-,-,50,15,160
MOTHERSUMI,-,-,-,-,-,-,-,43,153,-,-,-,196
MRF,-,3,-,-,-,-,-,108,-,-,3,-,114
MUTHOOTFIN,-,40,-,72,-,-,-,-,-,-,-,-,112
NATIONALUM,-,160,216,-,-,-,-,-,34,-,-,-,410
NAUKRI,-,7,-,-,-,-,5,6,-,-,12,-,30
NBCC,-,-,2,-,-,-,-,-,-,16,-,-,18
NCC,-,-,-,-,-,-,-,21,35,-,-,-,56
NESTLEIND,-,-,-,-,48,43,-,238,-,-,-,83,412
NH,-,-,-,-,-,-,-,12,-,-,-,-,12
NHPC,-,-,101,-,-,-,-,-,-,11,-,-,112
NIACL,-,-,-,-,-,-,-,10,13,-,-,7,30
NILKAMAL,-,-,-,-,-,-,27,7,-,-,12,-,46
NLCINDIA,-,-,158,-,-,-,-,3,-,-,-,-,161
NMDC,-,-,-,228,-,-,-,-,-,10,-,-,238
NTPC,-,330,48,-,105,-,-,-,251,100,-,-,834
OIL,-,98,85,-,-,113,-,17,-,29,-,-,342
ONGC,-,20,224,32,-,-,-,-,44,49,84,-,453
PAGEIND,-,35,-,-,-,76,-,117,-,-,151,-,379
PAPERPROD,-,-,-,-,9,-,-,-,-,-,-,-,9
PCJEWELLER,-,-,-,-,-,-,-,-,-,7,-,-,7
PEL,-,-,-,-,-,-,50,77,-,-,-,-,127
PETRONET,-,-,-,-,-,-,-,-,103,13,49,-,165
PFC,-,-,30,-,-,-,-,-,-,-,102,-,132
PFIZER,-,-,-,-,-,-,-,45,20,-,-,-,65
PGHH,-,-,40,-,-,-,-,-,-,-,27,40,107
PIDILITIND,-,-,-,-,-,-,-,19,27,-,-,-,46
PIIND,-,-,-,-,-,-,-,2,3,-,2,-,7
POWERGRID,-,71,228,-,-,-,-,-,168,97,-,-,564
PRAXIS,-,-,-,31,-,-,-,-,-,-,-,-,31
PRESTIGE,-,-,-,-,-,-,-,-,10,4,-,-,14
PURVA,-,-,-,-,-,-,-,-,36,36,-,-,72
PVR,-,-,-,-,-,-,6,2,-,4,-,-,12
RAJESHEXPO,-,-,-,-,-,-,-,-,-,6,-,-,6
RALLIS,-,-,-,-,-,18,67,-,-,-,-,-,85
RECLTD,-,88,220,-,-,-,-,-,-,37,-,-,345
RELAXO,-,-,-,-,-,-,-,-,17,-,-,-,17
RELIANCE,-,-,-,-,-,-,167,104,-,-,-,-,271
SANOFI,-,-,-,-,119,-,-,18,-,-,-,-,137
SBILIFE,-,-,-,12,-,-,-,-,-,-,-,-,12
SBIN,-,-,-,-,-,26,-,-,-,-,-,-,26
SCHAEFFLER,-,-,-,-,30,-,-,-,-,-,-,-,30
SHOPERSTOP,-,-,-,-,-,-,6,-,-,-,-,-,6
SHREECEM,-,-,-,-,-,-,-,35,-,-,-,-,35
SIEMENS,-,35,-,-,-,-,-,-,-,-,-,-,35
SIS,-,-,-,-,-,-,3,-,-,-,-,-,3
SKFINDIA,-,-,-,-,-,-,48,10,-,-,-,-,58
SOBHA,-,-,-,-,-,-,-,91,-,-,-,-,91
SOMANYCERA,-,-,-,-,-,-,-,8,2,-,-,-,10
SRTRANSFIN,-,-,-,-,-,-,14,6,-,-,10,-,30
SUNDARMFIN,-,5,-,-,-,-,13,-,-,-,-,-,18
SUNPHARMA,-,-,-,-,-,-,-,46,61,30,-,-,137
SUPREMEIND,-,-,-,-,-,-,48,-,-,-,11,-,59
TALWALKARS,-,-,-,-,-,-,-,-,-,10,-,-,10
TALWGYM,-,-,-,-,-,-,-,-,-,11,-,-,11
TATACHEM,-,-,-,-,-,-,138,22,-,-,-,-,160
TATACOFFEE,-,-,-,-,-,39,36,-,-,-,-,-,75
TATAELXSI,-,-,-,-,-,-,13,-,-,-,-,-,13
TATAGLOBAL,-,-,-,-,-,42,30,16,-,-,-,-,88
TATAINVEST,-,-,-,-,-,-,-,40,-,-,-,-,40
TATAMOTORS,-,-,-,-,-,-,-,1,-,-,-,-,1
TATAPOWER,-,-,-,-,-,32,32,16,-,-,-,-,80
TATASTEEL,-,-,-,-,-,-,322,-,-,-,-,-,322
TCS,124,39,-,-,-,785,149,62,-,64,75,-,1298
TECHM,-,-,-,-,-,-,-,182,-,-,-,-,182
THOMASCOOK,-,-,-,-,-,-,-,6,-,3,-,-,9
THYROCARE,-,-,-,-,-,-,-,-,40,-,-,-,40
TIINDIA,-,19,-,-,-,-,7,3,-,-,4,-,33
TITAN,-,-,-,-,-,-,-,62,-,-,-,-,62
TRENT,-,-,-,-,-,-,-,21,-,-,-,-,21
TTKPRESTIG,-,-,-,-,-,-,1383,72,-,-,-,-,1455
TVSMOTOR,-,-,13,-,-,-,-,-,-,-,21,-,34
TVSSRICHAK,-,-,-,-,-,-,-,-,40,-,-,-,40
UBL,-,-,-,-,-,-,-,-,7,5,-,-,12
UFLEX,-,-,-,-,-,-,-,24,-,-,-,-,24
ULTRACEMCO,-,-,-,-,-,-,107,-,-,-,-,-,107
UPL,-,-,-,-,-,-,49,327,56,-,-,-,432
VBL,-,-,-,-,-,-,-,5,-,-,-,-,5
VEDL,-,-,483,354,-,-,-,-,-,-,340,-,1177
VENKEYS,-,-,-,-,-,-,-,-,-,8,-,-,8
VGUARD,-,-,-,-,-,-,7,2,-,-,-,-,9
VIPIND,-,22,-,-,-,-,18,31,-,-,-,-,71
VOLTAS,-,-,-,-,-,-,-,40,7,-,-,-,47
VRLLOG,-,-,-,-,-,-,-,20,-,-,21,-,41
VSTIND,-,-,-,-,-,-,-,-,95,77,-,-,172
VSTTILLERS,-,-,-,-,-,-,-,95,-,-,-,-,95
WABCOINDIA,-,-,-,-,-,-,-,9,-,-,-,-,9
WHIRLPOOL,-,-,-,-,-,-,-,10,11,-,-,-,21
WIPRO,-,65,87,-,-,-,4,-,-,-,-,-,156
WONDERLA,-,-,-,-,-,-,-,41,-,-,-,-,41
ZEEL,-,-,-,-,-,-,107,-,-,-,-,-,107
ZEELEARN,-,-,-,-,-,-,-,-,-,5,-,-,5
ZYDUSWELL,-,-,-,-,-,-,-,5,-,-,-,-,5
Total,483,1942,3919,922,821,2396,6556,6977,2396,1136,1708,300,-
