year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2016,0,0,0,0,0,110,393,202,57,66,84,0,912
2017,0,148,595,354,0,523,890,836,535,237,581,70,4769
2018,94,987,1398,186,371,894,1797,2025,604,833,1043,230,10462
2019,389,807,1926,382,450,869,3476,3914,1200,1810,905,1413,17541
2020,714,2862,9284,0,3782,281,3659,5207,4465,0,0,0,30254
Total,1197,4804,13203,922,4603,2677,10215,12184,6861,2946,2613,1713,63938
