stock_name, isin, bat, der, roce3, roe3, dpr2, sales2, profit5, icr, pledge, low_3y, low_5y, reco_type, reco_cause, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 16707, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der roce3,  der roce3, 1005,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
ALL, ALL, 977, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der roce3 dpr2,  der roce3 dpr2, 84,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
 roce3 dpr2,  roce3 dpr2, 151,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 1513, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 140,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 roce3 dpr2 profit5,  roce3 dpr2 profit5, 130,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5, 
 der pledge,  der pledge, 380,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge, 
 roce3 dpr2,  roce3 dpr2, 222,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 168, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1756, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1693, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 2495, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 2500, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 125,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
