comp_industry,comp_name,comp_ticker,comp_selected,comp_desc
AaStatistics,comp_tracked,comp_tracked,351,comp_tracked
AaStatistics,comp_invested,comp_invested,272,comp_invested
Abrasives,Carborundum Universal ,CARBORUNIV,1,(CUMI : JV with Murugappa group India and Carborundum USA). Also known as CUMI - Carborundum Universal of Madras India. Brilliant Investory presentation.
Abrasives,Grindwell norton,GRINDWELL,1,Grindwell norton (Saint Gobain group company in india : GNO - Grindwell norton  and Saint Gobain India). Saint Gobain India is supposed to merged to Grindwell Norton but facing oppossition. Earlier Saint Gobain had acquired Norton USA.
Aluminium,Hindalco,HINDALCO,1,Hindalco (Aditya Birla Group) 
Aluminium,National aluminium,NATIONALUM,1,"National aluminium company ltd - NALCO (Govt, Ministry of Mines)"
Aluminium,BALCO,,0,Covered by Vedanata Resources. BALCO has been unlisted.
Aquaculture,Avanti Feeds,AVANTIFEED,1,"Avanti Feeds (Prawn, Fish, Shrimp feed, exporter)"
Aquaculture,Godrej AgroVet,GODREJAGRO,1,"Godrej AgroVet (Looks like a holding company of animal feed, palm oil, fertilizers, JV with tyson  etc).  Leader in Animal feeds. IFB Agro and Avanti feeds are its competitors. Difficult to arrive at right value."
Aquaculture,Kaveri Seed,KSCL,1,Kaveri Seed Company (Hybrid seed for agriculture)
Aquaculture,IFB Agro,,0,IFB Agro (To be considered later ... Feed + Spirits)
Auto - 2 & 3 Wheelers,Bajaj Auto,BAJAJ-AUTO,1,Bajaj Auto (Worlds largest three-wheeler manufacturer. Worlds sixth largest two-wheeler manufacturer) (Share Price : 2.8K)
Auto - 2 & 3 Wheelers,Hero Motocorp,HEROMOTOCO,1,Hero Motocorp : Hero had to break JV with Honda due to export control. Hero Honda could export only to Nepal and Sri lanka. Honda wanted a shared spares business for (Honda Motors Activa) to be shared with Hero Honda. (Share Price 4K)
Auto - 2 & 3 Wheelers,Tube Investments of India Limited,TIINDIA,1,"Tube Investments of India Limited (Part of Muruguppa group - eid parry (sugar), coromandel fertilizers, cholamandalam investment & finance - NBFC, chola ms general insurance jv with MS sumitomo of Japan (worlds 5th largest in insurance) etc, Second largest cycle manufacturer in India : BSA/Hercules after unlisted Hero Cycles). Covered in auto : 2 & 3 wheeler. Demerger ... TI Financial holdings (TI FH) for financial stuff like MS Chola etc ... and TI India limited (TI IL) - manufacturing of bycycle, auto parts etc Covered in auto : 2 & 3 wheeler. Present in MISC Category."
Auto - 2 & 3 Wheelers,TVS Motor,TVSMOTOR,1,"TVS Motor Company (Flagship company of TVS group. TV Sundaram group. TVS-Suzuki alliance was over in 2001. The parent company is  Sundaram Clayton Ltd formed as a JV between Sundaram and Clayton group UK). In 1980, TVS 50, India's first two-seater moped was produced in Hosur."
Auto - Cars & Jeeps,Mahindra & Mahindra,M&M,1,"Mahindra & Mahindra (Diversified Auto Giant, Car, Tractor etc). M&M is a holding company for Mahindra for so many subsidiary companies. (listed in auto)"
