Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
3MINDIA,1,15499.9,24453,24453,8953.1,57.76,0
BOSCHLTD,1,20437,19370.55,19370.55,-1066.45,-5.22,0
EICHERMOT,1,29030,28997.7,28997.7,-32.3,-0.11,0
HONAUT,1,17049.45,21971.2,21971.2,4921.75,28.87,0
MRF,1,65870,74233.95,74233.95,8363.95,12.7,0
PAGEIND,1,21499.95,31416.7,31416.7,9916.75,46.12,0
SHREECEM,1,16940,17341.5,17341.5,401.5,2.37,0
