"Stock","ISIN","Broker Average Target Rs","Broker Average Rating","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Promoter holding pledge percentage % Qtr"
"Natco Pharma Ltd.","INE987B01026","643.5","3","0.1","30.2","19.9","0"
"Heritage Foods Ltd.","INE978A01027","750","5","0.3","21.4","12.5","0"
"Va Tech Wabag Ltd.","INE956G01038","288.8","3","0.5","18.5","10.6","12.4"
"V-Guard Industries L..","INE951I01027","245.7","4","0.0","26.2","18.9","0"
"Bajaj Auto Ltd.","INE917I01010","3,086.3","3","0","27.4","38.4","0"
"Endurance Technologi..","INE913H01037","1,060.3","3","0.2","24.6","13.0","0"
"Alembic Pharmaceutic..","INE901L01018","542.3","2","0.3","21.6","15.0","0"
"Amara Raja Batteries..","INE885A01032","695.5","3","0.0","17.4","23.9","5.9"
"Oracle Financial Ser..","INE881D01027","4,220","5","0","45.4","42.1","0"
"PTC India Ltd.","INE877F01012","65","3","0.3","14.2","40.6","0"
"Avanti Feeds Ltd.","INE871C01038","520","5","0.0","44.4","18.8","0"
"HCL Technologies Ltd.","INE860A01027","1,202.1","4","0.1","29.2","11.2","0"
"Godrej Agrovet Ltd.","INE850D01014","570","5","0.2","22.0","28.9","0"
"Minda Corporation Ltd.","INE842C01021","129","4","0.4","16.6","11.0","0"
"Birlasoft Ltd.","INE836A01035","280","5","0.0","14.3","23.0","0"
"Vardhman Textiles Ltd.","INE825A01012","990","3","0.4","18.5","14.6","0"
"JK Cement Ltd.","INE823G01014","1,302.3","4","0.7","13.4","20.4","0"
"Jubilant Foodworks L..","INE797F01012","1,589.5","4","0","25.7","16.3","2.5"
"JK Paper Ltd.","INE789E01012","180","5","0.5","15.9","12.6","0"
"Balkrishna Industrie..","INE787D01026","886","3","0.2","25.0","17.8","0"
"Motherson Sumi Syste..","INE775A01035","140.2","4","1.0","15.7","23.6","5.4"
"Zydus Wellness Ltd.","INE768C01010","1,610","3","0.5","15.8","23.9","0"
"Mahindra Logistics L..","INE766P01016","455","5","0.1","17.2","15.4","0"
"ICICI Lombard Genera..","INE765G01017","1,145","2","0.1","22.4","25.8","0"
"ICICI Securities Ltd.","INE763G01038","288","3","0.4","57.3","53.8","0"
"Page Industries Ltd.","INE761H01022","20,947.3","3","0.1","64.0","72.4","0"
"Orient Refractories ..","INE743M01012","237.5","4","0","38.4","32.0","0"
"Cera Sanitaryware Ltd.","INE739E01017","3,261.5","5","0.0","18.9","14.9","0"
"Central Depository S..","INE736A01011","279","5","0","22.3","16.4","0"
"Whirlpool of India L..","INE716A01013","2,062.5","5","0","28.1","13.2","0"
"VST Industries Ltd.","INE710A01016","4,600","5","0","46.7","55.8","0"
"Cochin Shipyard Ltd.","INE704P01017","440","5","0.0","18.3","34.5","0"
"Ratnamani Metals & T..","INE703B01027","1,193.3","5","0.0","15.8","14.2","0"
"APL Apollo Tubes Ltd.","INE702C01019","1,900.3","5","0.7","29.6","19.9","0"
"TTK Prestige Ltd.","INE690A01010","6,670","3","0.0","20.2","19.4","0"
"Fine Organic Industr..","INE686Y01026","2,141","5","0.2","38.1","14.8","0"
"United Breweries Ltd.","INE686F01025","1,493.8","4","0.0","22.0","12.1","18.2"
"Firstsource Solution..","INE684F01012","57","5","0.2","12.9","33.3","0"
"Tata Elxsi Ltd.","INE670A01012","879","4","0","40.8","29.3","0"
"Tech Mahindra Ltd.","INE669C01036","756.3","3","0.1","22.5","28.4","0"
"Info Edge (India) Ltd.","INE663F01024","2,460","3","0.0","12.5","35.4","0"
"SRF Ltd.","INE647A01010","3,184","4","0.8","14.3","10.4","0"
"SKF India Ltd.","INE640A01023","1,840","1","0.1","25.3","18.1","0"
"Gulf Oil Lubricants ..","INE635Q01029","997","4","0.5","50.7","29.6","0"
"Rallis India Ltd.","INE613A01020","196","4","0.1","18.1","28.1","0"
"PI Industries Ltd.","INE603J01030","1,399.8","4","0.0","22.6","11.0","0"
"Phillips Carbon Blac..","INE602A01023","150","5","0.4","20.1","12.3","0"
"Dr. Lal Pathlabs Ltd.","INE600L01024","1,120","4","0","30.0","29.9","0"
"Galaxy Surfactants L..","INE600K01018","1,834","5","0.3","23.2","13.6","0"
"Thyrocare Technologi..","INE594H01019","595","5","0.0","20.3","95.7","0"
"NIIT Technologies Ltd.","INE591G01017","1,448","3","0.0","21.4","19.1","0"
"TCI Express Ltd.","INE586V01016","890","5","0.0","35.3","15.3","0"
"Maruti Suzuki India ..","INE585B01010","7,024.6","3","0.0","24.6","34.6","0"
"NMDC Ltd.","INE584A01023","109.7","3","0.0","23.3","35.3","0"
"Heidelberg Cement In..","INE578A01017","224.4","4","0.3","17.5","33.3","0"
