sr_no,name,isin,bse_symbol,nse_symbol,avg_mcap,captype
1,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,TCS,609949,Large Cap
2,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE,RELIANCE,603880,Large Cap
3,HDFC BANK LTD.,INE040A01026,HDFCBANK,HDFCBANK,504849,Large Cap
4,ITC LTD,INE154A01025,ITC,ITC,328387,Large Cap
5,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR,HINDUNILVR,310473,Large Cap
6,HOUSING DEVELOPMENT FINANCE CORP.LT,INE001A01036,HDFC,HDFC,302362,Large Cap
7,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI,MARUTI,270718,Large Cap
8,INFOSYS LTD,INE009A01021,INFY,INFY,257789,Large Cap
9,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC,ONGC,234474,Large Cap
10,"STATE BANK OF INDIA,",INE062A01020,SBIN,SBIN,234342,Large Cap
11,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,KOTAKBANK,220005,Large Cap
12,ICICI BANK LTD.,INE090A01021,ICICIBANK,ICICIBANK,194456,Large Cap
13,LARSEN & TOUBRO LIMITED,INE018A01030,LT,LT,187311,Large Cap
14,COAL INDIA LIMITED,INE522F01014,COALINDIA,COALINDIA,177671,Large Cap
15,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,IOC,173487,Large Cap
16,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL,BHARTIARTL,165803,Large Cap
17,NTPC LIMITED,INE733E01010,NTPC,NTPC,138076,Large Cap
18,AXIS BANK LTD.,INE238A01034,AXISBANK,AXISBANK,137855,Large Cap
19,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH,HCLTECH,131823,Large Cap
20,"WIPRO  LTD.,",INE075A01022,WIPRO,WIPRO,129723,Large Cap
21,"HINDUSTAN ZINC LTD.,",INE267A01025,HINDZINC,HINDZINC,129335,Large Cap
22,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA,SUNPHARMA,127722,Large Cap
23,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,ASIANPAINT,114186,Large Cap
24,TATA MOTORS LTD.,INE155A01022,TATAMOTORS,TATAMOTORS,110881,Large Cap
25,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO,ULTRACEMCO,110758,Large Cap
26,VEDANTA LIMITED,INE205A01025,VEDL,VEDL,109186,Large Cap
27,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,BAJFINANCE,108156,Large Cap
28,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK,INDUSINDBK,108074,Large Cap
29,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,POWERGRID,104378,Large Cap
30,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M,M&M,99800,Large Cap
31,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,HDFCLIFE,93943,Large Cap
32,"BHARAT PETROLEUM CORPN. LTD.,",INE029A01011,BPCL,BPCL,93548,Large Cap
33,BAJAJ AUTO LIMITED,INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO,85675,Large Cap
34,BAJAJ FINSERV LIMITED,INE918I01018,BAJAJFINSV,BAJAJFINSV,85321,Large Cap
35,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,DMART,85049,Large Cap
36,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,,82051,Large Cap
37,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,ADANIPORTS,ADANIPORTS,81503,Large Cap
38,TITAN COMPANY LIMITED,INE280A01028,TITAN,TITAN,79395,Large Cap
39,EICHER MOTORS LTD.,INE066A01013,EICHERMOT,EICHERMOT,78979,Large Cap
40,YES BANK LTD.,INE528G01027,YESBANK,YESBANK,75860,Large Cap
41,JSW STEEL LIMITED,INE019A01038,JSWSTEEL,JSWSTEEL,74566,Large Cap
42,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,GODREJCP,GODREJCP,73985,Large Cap
43,HERO MOTOCORP LIMITED,INE158A01026,HEROMOTOCO,HEROMOTOCO,72392,Large Cap
44,"GRASIM INDUSTRIES LTD.,",INE047A01021,GRASIM,GRASIM,72360,Large Cap
45,GAIL (INDIA) LTD.,INE129A01019,GAIL,GAIL,71875,Large Cap
46,"MOTHERSON SUMI SYSTEMS LTD.,",INE775A01035,MOTHERSUMI,MOTHERSUMI,70560,Large Cap
47,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,SBILIFE,69152,Large Cap
48,TATA STEEL LIMITED,INE081A01012,TATASTEEL,TATASTEEL,68910,Large Cap
49,GENERAL INSURANCE CORPORATION OF INDIA,INE481Y01014,GICRE,GICRE,64103,Large Cap
50,DABUR INDIA LTD.,INE016A01026,DABUR,DABUR,62644,Large Cap
51,"BRITANNIA INDUSTRIES LTD.,",INE216A01022,BRITANNIA,BRITANNIA,62399,Large Cap
52,TECH MAHINDRA LIMITED,INE669C01036,TECHM,TECHM,62221,Large Cap
53,BHARTI INFRATEL LIMITED,INE121J01017,INFRATEL,INFRATEL,61030,Large Cap
54,BANDHAN BANK LIMITED,INE545U01014,BANDHANBNK,BANDHANBNK,59878,Large Cap
55,"SHREE CEMENTS LTD.,",INE070A01015,SHREECEM,SHREECEM,58810,Large Cap
56,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,ICICIPRULI,ICICIPRULI,58332,Large Cap
57,BOSCH LTD,INE323A01026,BOSCHLTD,BOSCHLTD,57570,Large Cap
58,ZEE ENTERTAINMENT ENTERPRISES LTD.,INE256A01028,ZEEL,ZEEL,55276,Large Cap
59,THE NEW INDIA ASSURANCE COMPANY LIMITED,INE470Y01017,NIACL,NIACL,54969,Large Cap
60,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO,HINDALCO,53809,Large Cap
61,INDIABULLS HOUSING FINANCE LIMITED,INE148I01020,IBULHSGFIN,IBULHSGFIN,53272,Large Cap
62,HINDUSTAN PETROLEUM CORPORATION LTD,INE094A01015,HINDPETRO,HINDPETRO,53083,Large Cap
63,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND,PIDILITIND,50466,Large Cap
64,INTERGLOBE AVIATION LIMITED,INE646L01027,INDIGO,INDIGO,48493,Large Cap
