Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
UNIBR,UNITED BREWERIES LTD,INE686F01025,9,1198.91,1287.00,+ 1.81,10790.19,11583.00,0.00,792.81,7.35,
UNISPI,UNITED SPIRITS LIMITED,INE854D01024,27,507.45,644.00,+ 3.72,13701.15,17388.00,(395.31),3686.85,26.91,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,12,664.05,775.00,- 1.38,7968.60,9300.00,0.00,1331.40,16.71,
APOTYR,APOLLO TYRES LTD,INE438A01022,29,198.23,161.60,+ 0.34,5748.67,4686.40,0.00,-1062.27,(18.48),
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,12,287.68,266.35,+ 1.66,3452.16,3196.20,(1346.15),-255.96,(7.41),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,9,116.96,79.00,+ 1.28,1052.64,711.00,0.00,-341.64,(32.46),
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,2,2837.95,3160.00,- 3.94,5675.90,6320.00,0.00,644.10,11.35,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,5,1039.90,1124.20,+ 4.06,5199.50,5621.00,147.43,421.50,8.11,
BHAFOR,BHARAT FORGE LIMITED,INE465A01025,10,500.10,501.15,+ 2.58,5001.00,5011.50,0.00,10.50,0.21,
BOSLIM,BOSCH LIMITED,INE323A01026,1,19279.95,13960.15,+ 2.53,19279.95,13960.15,(4020.09),-5319.80,(27.59),
CEAT,CEAT LIMITED,INE482A01020,3,1445.64,970.00,+ 2.81,4336.92,2910.00,0.00,-1426.92,(32.90),
EICMOT,EICHER MOTORS LTD,INE066A01013,1,22863.59,19450.10,- 2.38,22863.59,19450.10,(1917.23),-3413.49,(14.93),
EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,54,189.05,187.75,- 3.96,10208.70,10138.50,0.00,-70.20,(0.69),
FAGBEA,SCHAEFFLER INDIA LIMITED,INE513A01014,2,4816.78,4638.00,+ 0.80,9633.56,9276.00,0.00,-357.56,(3.71),
GOOIND,GOODYEAR INDIA LTD,INE533A01012,6,1003.89,995.25,+ 2.42,6023.34,5971.50,20.50,-51.84,(0.86),
HERHON,HERO MOTOCORP LIMITED,INE158A01026,7,2948.24,2453.10,+ 3.06,20637.68,17171.70,(191.79),-3465.98,(16.79),
MAHCIE,MAHINDRA CIE AUTOMOTIVE LTD,INE536H01010,4,243.74,175.00,+ 1.19,974.96,700.00,0.00,-274.96,(28.20),
MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,28,580.52,576.35,+ 3.11,16254.56,16137.80,(2035.36),-116.76,(0.72),
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,3,7248.66,7200.85,+ 2.73,21745.98,21602.55,(4371.96),-143.43,(0.66),
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,INE775A01035,15,204.72,133.95,+ 6.56,3070.80,2009.25,0.00,-1061.55,(34.57),
SKFIND,SKF INDIA LIMITED,INE640A01023,2,1693.46,2165.40,+ 0.28,3386.92,4330.80,(284.35),943.88,27.87,
SUNFAS,SUNDRAM FASTENERS LIMITED,INE387A01021,4,512.39,488.35,- 0.95,2049.56,1953.40,0.00,-96.16,(4.69),
TATMOT,TATA MOTORS LIMITED,INE155A01022,17,283.66,165.20,+ 0.82,4822.22,2808.40,5165.54,-2013.82,(41.76),
TUBIN,TUBE INVESTMENTS OF INDIA LTD,INE974X01010,8,290.39,522.00,+ 6.69,2323.12,4176.00,0.00,1852.88,79.76,
TVSSRI,TVS SRICHAKRA LIMITED,INE421C01016,3,1717.80,1690.00,+ 3.01,5153.40,5070.00,(716.55),-83.40,(1.62),
VSTTIL,VSTTILLERS TRACTORS LTD,INE764D01017,2,1711.74,1354.15,- 0.58,3423.48,2708.30,0.00,-715.18,(20.89),
INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,3,1131.77,1415.00,+ 1.64,3395.31,4245.00,0.00,849.69,25.03,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,1,5668.89,9522.80,+ 4.71,5668.89,9522.80,0.00,3853.91,67.98,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01024,1,2973.91,4512.05,+ 3.44,2973.91,4512.05,0.00,1538.14,51.72,
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,1,3034.71,3711.20,+ 3.12,3034.71,3711.20,0.00,676.49,22.29,
BSE,BSE LIMITED,INE118H01025,18,583.86,527.60,+ 0.76,10509.48,9496.80,0.00,-1012.68,(9.64),
CARE,CARE RATINGS LIMITED,INE752H01013,10,1043.09,662.05,+ 1.21,10430.90,6620.50,0.00,-3810.40,(36.53),
CDSL,CENTRAL DEPOSITORY SER IND LTD,INE736A01011,7,309.19,262.20,+ 3.05,2164.33,1835.40,0.00,-328.93,(15.20),
CHOINV,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,5,303.05,332.00,+ 2.12,1515.25,1660.00,0.00,144.75,9.55,
CRISIL,CRISIL LIMITED,INE007A01025,7,1578.45,1699.60,+ 0.19,11049.15,11897.20,0.00,848.05,7.68,
GIC,GENERAL INSURANCE CORP INDIA,INE481Y01014,8,348.25,241.15,+ 3.10,2786.00,1929.20,0.00,-856.80,(30.75),
HDFAMC,HDFC ASSET MANAGEMENT CO LTD,INE127D01025,13,1100.00,3170.00,+ 3.07,14300.00,41210.00,0.00,26910.00,188.18,
HDFBAN,HDFC BANK LIMITED,INE040A01034,38,528.69,1230.00,+ 3.10,20090.22,46740.00,2110.56,26649.78,132.65,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,13,1629.38,2344.50,+ 3.70,21181.94,30478.50,0.00,9296.56,43.89,
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,6,382.60,572.65,+ 1.26,2295.60,3435.90,0.00,1140.30,49.67,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,32,69.58,37.85,- 4.54,2226.56,1211.20,0.00,-1015.36,(45.60),
ICIBAN,ICICI BANK LIMITED,INE090A01021,19,273.17,530.70,+ 2.93,5190.23,10083.30,(1409.47),4893.07,94.27,
ICILOM,ICICI LOMBARD GEN INSURANCE CO,INE765G01017,4,707.97,1311.80,+ 0.87,2831.88,5247.20,0.00,2415.32,85.29,
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,INE726G01019,9,387.88,470.20,+ 5.40,3490.92,4231.80,0.00,740.88,21.22,
ICISEC,ICICI SECURITIES LTD ISEC,INE763G01038,4,319.42,461.00,+ 4.33,1277.68,1844.00,0.00,566.32,44.32,
ICRLIM,ICRA LIMITED,INE725G01011,3,3404.91,2906.85,- 0.10,10214.73,8720.55,0.00,-1494.18,(14.63),
IIFSEC,IIFL SECURITIES LIMITED,INE489L01022,2,22.00,49.40,- 2.85,44.00,98.80,0.00,54.80,124.55,
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01028,2,1055.12,1696.00,+ 1.11,2110.24,3392.00,0.00,1281.76,60.74,
LICHF,LIC HOUSING FINANCE LIMITED,INE115A01026,5,607.15,392.70,+ 0.17,3035.75,1963.50,0.00,-1072.25,(35.32),
LTFINA,LT FINANCE HOLDINGS LIMITED,INE498L01015,6,176.87,114.10,+ 2.75,1061.22,684.60,0.00,-376.62,(35.49),
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,5,444.46,368.00,+ 5.31,2222.30,1840.00,0.00,-382.30,(17.20),
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,18,125.92,173.20,- 5.97,2266.56,3117.60,0.00,851.04,37.55,
MCX,MULTI COMMODITY EXCHANGE,INE745G01035,1,842.72,1261.70,+ 6.63,842.72,1261.70,0.00,418.98,49.72,
MUTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,6,450.78,770.00,+ 2.91,2704.68,4620.00,0.00,1915.32,70.82,
POWFIN,POWER FINANCE CORPORATION LTD,INE134E01011,27,123.03,115.95,+ 1.58,3321.81,3130.65,0.00,-191.16,(5.75),
RURELE,REC LIMITED,INE020B01018,20,159.99,142.55,+ 3.48,3199.80,2851.00,(2497.62),-348.80,(10.90),
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,4,670.16,911.20,- 0.16,2680.64,3644.80,0.00,964.16,35.97,
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,INE721A01013,2,1182.97,1050.00,+ 6.42,2365.94,2100.00,0.00,-265.94,(11.24),
STABAN,STATE BANK OF INDIA,INE062A01020,24,255.35,306.10,+ 2.72,6128.40,7346.40,2583.25,1218.00,19.87,
SUNFIN,SUNDARAM FINANCE LTD,INE660A01013,1,1612.76,1652.50,+ 0.19,1612.76,1652.50,0.00,39.74,2.46,
TUBINV,CHOLAMANDALAM FIN HOLDINGS LTD,INE149A01033,4,671.81,539.50,- 1.83,2687.24,2158.00,0.00,-529.24,(19.69),
ACC,ACC LIMITED,INE012A01025,7,1579.77,1487.70,+ 2.08,11058.39,10413.90,(691.30),-644.49,(5.83),
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,59,202.63,206.50,+ 2.92,11955.17,12183.50,115.32,228.33,1.91,
GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,2,1032.77,795.25,+ 1.94,2065.54,1590.50,(659.44),-475.04,(23.00),
HEICEM,HEIDELBERG CEMENT INDIA LTD,INE578A01017,8,137.80,196.50,+ 0.64,1102.40,1572.00,0.00,469.60,42.60,
SHRCEM,SHREE CEMENTS LTD,INE070A01015,1,18299.46,24476.65,+ 5.13,18299.46,24476.65,(321.67),6177.19,33.76,
ULTCEM,ULTRATECH CEMENT LIMITED,INE481G01011,4,3776.16,4464.30,+ 2.14,15104.64,17857.20,(1184.37),2752.56,18.22,
BASF,BASF INDIA LIMITED,INE373A01013,2,1729.70,981.35,+ 2.69,3459.40,1962.70,0.00,-1496.70,(43.26),
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,2,3773.90,4436.40,+ 4.48,7547.80,8872.80,0.00,1325.00,17.55,
