Name,Rating As on,MoatRating,ValuationRating,UncertaintyRating,FinancialHealthRating,ISIN
,Rating,,,,,
20 Microns Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE144J01027
3i Infotech Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE748C01020
3P Land Holdings Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE105C01023
52 Weeks Entertainment Ltd,20/07/2018,Narrow,Undervalued,Very High,Moderate,INE545N01019
63 Moons Technologies Ltd,20/07/2018,None,Undervalued,Very High,Strong,INE111B01023
8K Miles Software Services Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE650K01021
A I Champdany Industries Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE768E01024
A.K. Capital Services Ltd,20/07/2018,None,Undervalued,High,Moderate,INE701G01012
A2Z Infra Engineering Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE619I01012
Aadhaar Ventures India Ltd,20/07/2018,None,Undervalued,Very High,Strong,INE063D01030
Aanchal Ispat Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE322R01014
Aarey Drugs &#38; Pharmaceuticals Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE198H01019
Aarti Drugs Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE767A01016
Aarvee Denims &#38; Exports Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE273D01019
Aban Offshore Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE421A01028
ABC Bearings Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE779A01011
ABC India Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE125D01011
ABG Shipyard Ltd,20/07/2018,Narrow,Undervalued,Extreme,Strong,INE067H01016
Abhinav Leasing and Finance Ltd,20/07/2018,Narrow,Undervalued,Very High,Strong,INE211D01027
ABM Knowledgeware Ltd,20/07/2018,None,Undervalued,Very High,Moderate,INE850B01026
