Scrip Code,COMPANY,ISIN No.,Close Price
532480,Allahabad Bank,INE428A01015,25.8
532418,Andhra Bank,INE434A01013,16.1
523319,Balmer Lawrie & Co. Ltd.,INE164A01016,183.35
532134,Bank of Baroda,INE028A01039,89.9
532149,Bank of India,INE084A01016,64.05
532525,Bank Of Maharashtra,INE457A01014,10.68
500048,BEML Ltd,INE258A01016,942.85
541143,Bharat Dynamics Ltd,INE171Z01018,291
500049,Bharat Electronics Ltd,INE263A01024,116
500103,Bharat Heavy Electricals Ltd,INE257A01026,51.25
500547,Bharat Petroleum Corp Ltd,INE029A01011,513.95
532483,Canara Bank,INE476A01014,187.65
532885,Central Bank of India,INE483A01010,17.1
500110,Chennai Petroleum Corp Ltd,INE178A01016,156.8
533278,Coal India Ltd,INE522F01014,205.2
540678,Cochin Shipyard Ltd,INE704P01017,357.4
531344,Container Corp Of India,INE111A01025,586.45
532179,Corp Bank,INE112A01023,14.4
532178,Engineers India Ltd,INE510A01028,109.7
532155,Gail India Ltd,INE129A01019,123.7
540755,General Insurance Corporation of India,INE481Y01014,248.45
539336,Gujarat Gas Ltd,INE844O01030,178.8
532181,Gujarat Mineral Development Corp Ltd,INE131A01031,57.95
541154,Hindustan Aeronautics Ltd,INE066F01012,717.9
513599,Hindustan Copper,INE531E01026,38.1
500104,Hindustan Petroleum Corp Ltd,INE094A01015,298.95
540530,Housing and Urban Development Corporation Ltd,INE031A01017,35.4
500106,IFCI Ltd,INE039A01010,7.17
532189,India Tourism Development Corp Ltd,INE353K01014,341
532814,Indian Bank,INE562A01011,123.7
530965,Indian Oil Corp Ltd,INE242A01010,141.25
532388,Indian Overseas Bank,INE565A01014,9.74
541956,IRCON International Ltd,INE962Y01013,404.3
523610,ITI Ltd,INE248A01017,81.15
532209,Jammu & Kashmir Bank Ltd,INE168A01041,31
500109,Mangalore Refinery & Petrochemicals Ltd,INE103A01014,49.2
513377,MMTC LTD,INE123F01029,17.7
533286,MOIL Ltd,INE490G01020,142.35
532234,National Aluminium Co Ltd,INE139A01034,43.15
534309,NBCC (India) Ltd,INE095N01031,34.45
533098,NHPC Ltd,INE848E01016,23.35
513683,NLC India Ltd,INE589A01014,57.15
526371,NMDC Ltd,INE584A01023,105.45
532555,NTPC Ltd,INE733E01010,120.05
500312,Oil & Natural Gas Corp Ltd,INE213A01029,140.7
533106,Oil India Ltd,INE274J01014,167.85
500315,Oriental Bank Of Commerce,INE141A01014,50.25
532810,Power Finance Corp Ltd,INE134E01011,104.35
532898,Power Grid Corp of India Ltd,INE752E01010,204.05
532461,Punjab National Bank,INE160A01022,59.75
524230,Rashtriya Chemicals & Fertilizers Ltd.,INE027A01015,54.6
541556,RITES Ltd,INE320J01015,276.35
523598,Shipping Corp of India Ltd,INE109A01011,52.95
533206,SJVN Ltd,INE002L01015,24.9
500112,State Bank of India,INE062A01020,262.7
500113,Steel Authority of India Ltd,INE114A01011,34.35
532276,Syndicate Bank,INE667A01018,24.7
540769,The New India Assurance Company Ltd,INE470Y01017,128.6
532505,UCO Bank,INE691A01018,11.72
532477,Union Bank of India,INE692A01016,51.45
533171,United Bank of India,INE695A01019,7.12
