ticker, comp_name, isin, weight_units, rank, captype, mcap
UBL, United breweries, INE686F01025, 5, 75, Large Cap, 36577
MCDOWELL-N, United spirits, INE854D01024, 5, 71, Large Cap, 40316
EXIDEIND, Exide industries, INE302A01020, 5, 138, Mid Cap, 18783
AMARAJABAT, Amara raja batteries, INE885A01032, 5, 195, Mid Cap, 11887
MRF, Mrf, INE883A01011, 5, 111, Mid Cap, 24588
CEATLTD, Ceat, INE482A01020, 5, 355, Small Cap, 4383
BALKRISIND, Balkrishna industries, INE787D01026, 5, 161, Mid Cap, 16648
TVSSRICHAK, Tvs srichakra, INE421C01016, 5, 592, Micro Cap, 1681
GOODYEAR, Goodyear, INE533A01012, 5, 527, Micro Cap, 2124
TVSMOTOR, Tvs motor company, INE494B01023, 5, 116, Mid Cap, 23264
EICHERMOT, Eicher motors, INE066A01013, 5, 50, Large Cap, 55972
MOTHERSUMI, Motherson sumi systems, INE775A01035, 5, 63, Large Cap, 44775
ENDURANCE, Endurance technologies, INE913H01037, 5, 160, Mid Cap, 16671
WABCOINDIA, Wabco, INE342J01019, 5, 194, Mid Cap, 11918
TATAMOTORS, Tata motors, INE155A01022, 5, 48, Large Cap, 57049
ASHOKLEY, Ashok leyland, INE208A01029, 5, 104, Mid Cap, 25970
SKFINDIA, Skf, INE640A01023, 5, 226, Mid Cap, 9862
SCHAEFFLER, Schaeffler, INE513A01014, 5, 251, Small Cap, 8800
TIINDIA, Tube investments, INE974X01010, 5, 279, Small Cap, 6911
VSTTILLERS, Vsttillers tractors, INE764D01017, 5, 688, Micro Cap, 1186
MAHINDCIE, Mahindra cie automotive limite, INE536H01010, 5, 252, Small Cap, 8788
INDIGO, Interglobe aviation, INE646L01027, 5, 55, Large Cap, 52610
HDFCBANK, Hdfc bank, INE040A01026, 5, 3, Large Cap, 612337
KOTAKBANK, Kotak mahindra bank, INE237A01028, 5, 9, Large Cap, 257588
BAJFINANCE, Bajaj finance, INE296A01024, 5, 15, Large Cap, 171306
SRTRANSFIN, Shriram transport finance col, INE721A01013, 5, 105, Mid Cap, 25642
LICHSGFIN, Lic housing finance, INE115A01026, 5, 108, Mid Cap, 25357
IBULHSGFIN, Indiabulls housing finance, INE148I01020, 5, 91, Large Cap, 31172
HUDCO, Housing &urban development cor, INE031A01017, 5, 259, Small Cap, 8431
RECLTD, Rec, INE020B01018, 5, 101, Mid Cap, 27454
M&MFIN, Mahindra mahindra financial, INE774D01024, 5, 106, Mid Cap, 25559
CHOLAFIN, Cholamandalam investment f, INE121A01024, 5, 131, Mid Cap, 20838
IIFL, Iifl finance, INE530B01024, 5, 192, Mid Cap, 12042
MUTHOOTFIN, Muthoot finance, INE414G01012, 5, 117, Mid Cap, 23054
MANAPPURAM, Manappuram finance, INE522D01027, 5, 227, Mid Cap, 9855
BAJAJFINSV, Bajaj finserv, INE918I01018, 5, 23, Large Cap, 113633
CHOLAHLDNG, Cholamandalam financial holdin, INE149A01033, 5, 245, Mid Cap, 9027
SUNDARMHLD, Sundaram finance holdings, INE202Z01029, 5, 660, Micro Cap, 1329
NIACL, The new assurance company, INE470Y01017, 5, 99, Large Cap, 29004
HDFCLIFE, Hdfc life insurance company li, INE795G01014, 5, 35, Large Cap, 79407
ICICIPRULI, Icici prudential life insurance company, INE726G01019, 5, 56, Large Cap, 49413
MFSL, Max financial services, INE180A01020, 5, 199, Mid Cap, 11389
BSE, Bse, INE118H01025, 5, 437, Small Cap, 3117
MCX, Multi commodity exchangein, INE745G01035, 5, 384, Small Cap, 3920
ISEC, Icici securities, INE763G01038, 5, 275, Small Cap, 7190
HDFCAMC, Hdfc asset management company, INE127D01025, 5, 86, Large Cap, 33352
CDSL, Central depository services, INE736A01011, 5, 501, Micro Cap, 2366
CARERATING, Care ratings, INE752H01013, 5, 458, Small Cap, 2870
ICRA, Icra, INE725G01011, 5, 453, Small Cap, 2958
ULTRACEMCO, Ultratech cement, INE481G01011, 5, 24, Large Cap, 112987
SHREECEM, Shree cement, INE070A01015, 5, 44, Large Cap, 63840
HEIDELBERG, Heidelbergcement, INE578A01017, 5, 385, Small Cap, 3915
DLF, Dlf, INE271C01023, 5, 80, Large Cap, 35019
PRESTIGE, Prestige estates projects, INE811K01011, 5, 246, Mid Cap, 9025
BRIGADE, Brigade enterprises, INE791I01019, 5, 439, Small Cap, 3103
