Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
530305,PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,06 Apr 2015,Bonus issue 1:1,07 Apr 2015,-,-,27 Mar 2015,06 Apr 2015,-
532851,INSECTICID,INSECTICIDES (INDIA) LTD.,16 Apr 2015,Bonus issue 1:2,17 Apr 2015,-,-,09 Apr 2015,16 Apr 2015,-
501270,ANTARIKSH,Antariksh Industries Ltd,05 May 2015,Bonus issue 3:1,06 May 2015,-,-,27 Apr 2015,05 May 2015,-
532456,COMPUAGE,COMPUAGE INFOCOM LTD.,26 May 2015,Bonus issue 3:5,27 May 2015,-,-,25 May 2015,26 May 2015,-
506146,VIVIDHA,VISAGAR POLYTEX LTD.,28 May 2015,Bonus issue 10:1,30 May 2015,-,-,25 May 2015,28 May 2015,-
500209,INFY,INFOSYS LTD.,15 Jun 2015,Bonus issue 1:1,-,17 Jun 2015,17 Jun 2015,10 Jun 2015,16 Jun 2015,-
533304,CMAHENDRA,C. MAHENDRA EXPORTS LTD.,18 Jun 2015,Bonus issue 1:1,19 Jun 2015,-,-,16 Jun 2015,18 Jun 2015,-
509048,LANCORHOL,LANCOR HOLDINGS LTD.,24 Jun 2015,Bonus issue 1:1,25 Jun 2015,-,-,18 Jun 2015,24 Jun 2015,-
533569,SRSLTD,SRS LTD.,25 Jun 2015,Bonus issue 1:1,26 Jun 2015,-,-,19 Jun 2015,25 Jun 2015,-
530517,RELAXO,RELAXO FOOTWEARS LTD.-$,01 Jul 2015,Bonus issue 1:1,02 Jul 2015,-,-,25 Jun 2015,01 Jul 2015,-
500469,FEDERALBNK,FEDERAL BANK LTD.,08 Jul 2015,Bonus issue 1:1,09 Jul 2015,-,-,02 Jul 2015,08 Jul 2015,-
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,08 Jul 2015,Bonus issue 1:1,09 Jul 2015,-,-,02 Jul 2015,08 Jul 2015,-
538970,MANVIJAY,Manvijay Development Company Ltd,08 Jul 2015,Bonus issue 1:1,09 Jul 2015,-,-,02 Jul 2015,08 Jul 2015,-
590078,MAITHANALL,MAITHAN ALLOYS LTD.,15 Jul 2015,Bonus issue 1:1,16 Jul 2015,-,-,09 Jul 2015,15 Jul 2015,-
524804,AUROPHARMA,AUROBINDO PHARMA LTD.,20 Jul 2015,Bonus issue 1:1,21 Jul 2015,-,-,14 Jul 2015,20 Jul 2015,-
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,23 Jul 2015,Bonus issue 1:2,-,25 Jul 2015,25 Jul 2015,20 Jul 2015,23 Jul 2015,-
533152,MBLINFRA,MBL Infrastructures Ltd,28 Jul 2015,Bonus issue 1:1,29 Jul 2015,-,-,22 Jul 2015,28 Jul 2015,-
