Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
ABB,ABB INDIA LIMITED,INE117A01022,5,1216.55,949.40,+ 1.82,6082.75,4747.00,-85.00,-5584.71,(262.11),-1335.75,(21.96),
ABBIND,ABBOTT INDIA LIMITED,INE358A01014,1,4130.35,16468.90,- 1.22,4130.35,16468.90,203.95,8074.97,0.00,12338.55,298.73,
ACC,ACC LIMITED,INE012A01025,7,1579.77,1385.30,- 0.66,11058.39,9697.10,64.75,14976.22,(691.30),-1361.29,(12.31),
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,23,142.25,196.20,- 2.27,3271.75,4512.60,104.65,4312.09,0.00,1240.85,37.93,
ADAGAS,ADANI GAS LIMITED,INE399L01023,17,72.00,158.15,- 0.88,1224.00,2688.55,23.80,11296.43,0.00,1464.55,119.65,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,6,380.72,348.10,+ 0.13,2284.32,2088.60,-2.70,-77355.56,0.00,-195.72,(8.57),
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,9,239.17,190.35,- 3.77,2152.53,1713.15,67.05,2555.03,0.00,-439.38,(20.41),
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,50,104.28,101.25,+ 0.25,5214.00,5062.50,-12.50,-40500.00,0.00,-151.50,(2.91),
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,18,575.73,742.75,- 0.17,10363.14,13369.50,22.50,59420.00,0.00,3006.36,29.01,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,59,202.63,220.75,- 0.56,11955.17,13024.25,73.75,17660.00,115.32,1069.08,8.94,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,7,1211.95,1707.35,- 1.03,8483.65,11951.45,124.25,9618.87,0.00,3467.80,40.88,
APOTYR,APOLLO TYRES LTD,INE438A01022,129,134.66,129.95,- 1.44,17371.14,16763.55,245.10,6839.47,0.00,-607.59,(3.50),
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,11,308.53,132.55,- 4.74,3393.83,1458.05,72.60,2008.33,0.00,-1935.78,(57.04),
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,22,236.42,197.25,- 0.20,5201.24,4339.50,8.80,49312.50,(1346.15),-861.74,(16.57),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,79,68.34,61.60,+ 0.82,5398.86,4866.40,-39.50,-12320.00,0.00,-532.46,(9.86),
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,12,1209.08,1802.55, 0.00,14508.96,21630.60,0.00,0.00,0.00,7121.64,49.08,
ASTPHA,ASTRAZENECA PHARMA INDIA LTD,INE203A01020,1,2141.66,3323.25,- 0.82,2141.66,3323.25,27.50,12084.55,0.00,1181.59,55.17,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,4,754.79,879.10,- 0.25,3019.16,3516.40,8.80,39959.09,0.00,497.24,16.47,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,29,395.64,483.85,- 3.58,11473.56,14031.65,520.55,2695.54,0.00,2558.09,22.30,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,3,1716.81,2178.00,- 1.32,5150.43,6534.00,87.30,7484.54,0.00,1383.57,26.86,
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,5,2425.31,2987.55,- 1.01,12126.55,14937.75,152.00,9827.47,0.00,2811.20,23.18,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,1,5668.89,6246.70,- 1.63,5668.89,6246.70,103.30,6047.14,0.00,577.81,10.19,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01024,1,2973.91,3331.10,- 2.59,2973.91,3331.10,88.55,3761.83,0.00,357.19,12.01,
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,2,2488.03,2598.85,- 3.28,4976.06,5197.70,176.00,2953.24,0.00,221.64,4.45,
BALCHI,BALRAMPUR CHINI MILLS LTD,INE119A01028,18,131.55,142.20,+ 1.07,2367.90,2559.60,-27.00,-9480.00,0.00,191.70,8.10,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,5,1039.90,1316.00,- 5.03,5199.50,6580.00,348.50,1888.09,147.43,1380.50,26.55,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,10,276.34,288.20,- 0.93,2763.40,2882.00,27.00,10674.07,(225.44),118.60,4.29,
BASF,BASF INDIA LIMITED,INE373A01013,4,1466.48,1283.70,- 0.88,5865.92,5134.80,45.40,11310.13,0.00,-731.12,(12.46),
BATIND,BATA INDIA LIMITED,INE176A01028,7,902.82,1234.50,- 0.21,6319.74,8641.50,18.20,47480.77,0.00,2321.76,36.74,
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,2,3773.90,6067.85,+ 0.17,7547.80,12135.70,-21.10,-57515.17,0.00,4587.90,60.78,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,17,352.70,550.35,- 0.09,5995.90,9355.95,8.50,110070.00,0.00,3360.05,56.04,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,41,407.42,528.60,- 1.26,16704.22,21672.60,276.75,7831.11,215.19,4968.38,29.74,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,21,293.75,455.15,- 0.98,6168.75,9558.15,94.50,10114.44,0.00,3389.40,54.94,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,246,82.20,113.15,- 1.14,20221.20,27834.90,319.80,8703.85,(5344.85),7613.70,37.65,
BHAFOR,BHARAT FORGE LIMITED,INE465A01025,10,500.10,494.95,- 1.58,5001.00,4949.50,79.50,6225.79,0.00,-51.50,(1.03),
BHAINF,BHARTI INFRATEL LIMITED,INE121J01017,22,268.28,199.25,- 1.07,5902.16,4383.50,47.30,9267.44,0.00,-1518.66,(25.73),
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,18,340.71,413.25,- 1.88,6132.78,7438.50,142.20,5231.01,590.72,1305.72,21.29,
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,516,35.10,37.35,- 4.11,18111.60,19272.60,825.60,2334.38,(496.84),1161.00,6.41,
BIOCON,BIOCON LIMITED,INE376G01013,4,313.28,395.10,+ 0.47,1253.12,1580.40,-7.40,-21356.76,0.00,327.28,26.12,
BLUDAR,BLUE DART EXPRESS LTD,INE233B01017,3,3363.08,1908.90,- 1.77,10089.24,5726.70,103.35,5541.07,0.00,-4362.54,(43.24),
BLUSTA,BLUE STAR LTD,INE472A01039,11,543.58,541.25,+ 4.51,5979.38,5953.75,-256.85,-2317.99,0.00,-25.63,(0.43),
BORGLA,BOROSIL RENEWABLES LIMITED,INE666D01022,12,177.29,78.40,- 1.01,2127.48,940.80,9.60,9800.00,0.00,-1186.68,(55.78),
