Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
3MIND,3M INDIA LIMITED,INE470A01017,Buy,1,13647.95,120.86,0.40,0.00,Rolling,STT Paid,icicidirect,11-Jul-2017,BSE,
3MIND,3M INDIA LIMITED,INE470A01017,Sell,1,15582.65,138.00,0.51,0.00,Rolling,STT Paid,icicidirect,08-Nov-2017,NSE,
3MIND,3M INDIA LIMITED,INE470A01017,Buy,1,24500.00,216.95,0.72,0.00,Rolling,STT Paid,icicidirect,12-Mar-2019,BSE,
3MIND,3M INDIA LIMITED,INE470A01017,Sell,1,22042.15,195.16,0.48,0.00,Rolling,STT Paid,icicidirect,15-Jan-2020,NSE,
3MIND,3M INDIA LIMITED,INE470A01017,Buy,1,18972.15,168.02,0.65,2.40,Rolling,STT Paid,icicidirect,09-Oct-2020,NSE,
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,738.00,20.73,0.03,0.07,Rolling,STT Paid,icicidirect,07-Oct-2008,NSE,
ABB,ABB INDIA LIMITED,INE117A01022,Sell,1,511.15,14.36,0.02,0.05,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1436.00,40.25,0.05,0.30,Rolling,STT Paid,icicidirect,05-Jun-2017,NSE,
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1399.70,41.30,0.05,0.00,Rolling,STT Paid,icicidirect,02-Jan-2018,NSE,
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1316.80,38.86,0.06,0.60,Rolling,STT Paid,icicidirect,02-Jan-2019,BSE,
ABB,ABB INDIA LIMITED,INE117A01022,Buy,2,883.70,41.31,0.06,0.00,Rolling,STT Paid,icicidirect,05-Jun-2020,NSE,
ABBIND,ABBOTT INDIA LIMITED,INE358A01014,Buy,1,4088.90,41.32,0.13,0.00,Rolling,STT Paid,icicidirect,19-Sep-2017,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,5,746.95,31.47,NA,NA,Rolling,STT Paid,icicidirect,11-Feb-2008,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,5,715.00,30.13,NA,NA,Rolling,STT Paid,icicidirect,12-Feb-2008,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,2,601.85,28.09,NA,NA,Rolling,STT Paid,icicidirect,09-Jun-2008,NSE,
ACC,ACC LIMITED,INE012A01025,Sell,1,483.00,4.07,0.02,0.05,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
ACC,ACC LIMITED,INE012A01025,Sell,1,483.00,4.07,0.02,0.05,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
ACC,ACC LIMITED,INE012A01025,Sell,8,483.00,32.56,0.14,0.39,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,1,901.00,24.85,0.03,0.09,Rolling,STT Paid,icicidirect,25-Feb-2010,NSE,
ACC,ACC LIMITED,INE012A01025,Sell,2,1424.15,39.33,0.10,0.00,Rolling,STT Paid,icicidirect,01-Jan-2013,NSE,
ACC,ACC LIMITED,INE012A01025,Sell,1,1276.20,35.85,0.05,0.00,Rolling,STT Paid,icicidirect,11-Feb-2013,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,1,1638.95,40.25,0.06,0.60,Rolling,STT Paid,icicidirect,30-May-2017,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,1,1831.85,41.31,0.06,0.00,Rolling,STT Paid,icicidirect,01-Nov-2017,NSE,
ACC,ACC LIMITED,INE012A01025,Buy,1,1458.90,41.31,0.06,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,BSE,
ACC,ACC LIMITED,INE012A01025,Buy,4,1487.90,52.70,0.13,0.60,Rolling,STT Paid,icicidirect,09-Dec-2019,NSE,
