comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
Muthoot finance, MUTHOOTFIN, INE414G01012, 5, 163, Mid Cap, 16503
Indian hotels co, INDHOTEL, INE053A01029, 10, 164, Mid Cap, 16299
Supreme industries, SUPREMEIND, INE195A01028, 2, 167, Mid Cap, 16035
Glenmark pharmaceuticals, GLENMARK, INE935A01035, 3, 169, Mid Cap, 15862
Honeywell automation, HONAUT, INE671A01010, 10, 171, Mid Cap, 15719
Apollo tyres, APOLLOTYRE, INE438A01022, 2, 173, Mid Cap, 15658
Quess corp, QUESS, INE615P01015, 3, 174, Mid Cap, 15613
Jubilant foodworks, JUBLFOOD, INE797F01012, 2, 177, Mid Cap, 15251
Info edge, NAUKRI, INE663F01024, 5, 179, Mid Cap, 15221
Apollo hospitals enterprises, APOLLOHOSP, INE437A01024, 10, 180, Mid Cap, 15150
Bayer cropscience, BAYERCROP, INE462A01022, 5, 181, Mid Cap, 15077
Crompton greaves consumer electricals, CROMPTON, INE299U01018, 2, 182, Mid Cap, 14941
Nlc, NLCINDIA, INE589A01014, 3, 183, Mid Cap, 14873
Coromandel international, COROMANDEL, INE169A01031, 2, 185, Mid Cap, 14652
National aluminium co, NATIONALUM, INE139A01034, 2, 188, Mid Cap, 14113
Housing &urban development corporation, HUDCO, INE031A01017, 2, 191, Mid Cap, 13963
Amara raja batteries, AMARAJABAT, INE885A01032, 1, 193, Mid Cap, 13871
Crisil, CRISIL, INE007A01025, 3, 196, Mid Cap, 13462
L&t technology services, LTTS, INE010V01017, 2, 203, Mid Cap, 12857
Abbott, ABBOTINDIA, INE358A01014, 2, 204, Mid Cap, 12765
Ti financial holdings, TIFHL, INE149A01033, 2, 205, Mid Cap, 12673
Varun beverages, VBL, INE200M01013, 5, 206, Mid Cap, 12424
Icici securities, ISEC, INE763G01038, 2, 207, Mid Cap, 12367
Godrej agrovet, GODREJAGRO, INE850D01014, 2, 208, Mid Cap, 12289
Pc jeweller, PCJEWELLER, INE785M01013, 2, 211, Mid Cap, 12155
Krbl, KRBL, INE001B01026, 2, 213, Mid Cap, 12012
Pi industries, PIIND, INE603J01030, 3, 215, Mid Cap, 11954
Aditya birla fashion retail, ABFRL, INE647O01011, 2, 222, Mid Cap, 11628
Sanofi, SANOFI, INE058A01010, 2, 225, Mid Cap, 11435
Future consumer, FCONSUMER, INE220J01025, 2, 231, Mid Cap, 11161
Prestige estates projects, PRESTIGE, INE811K01011, 5, 232, Mid Cap, 11118
Trent [lakme ], TRENT, INE849A01020, 2, 233, Mid Cap, 11031
Arvind, ARVIND, INE034A01011, 3, 238, Mid Cap, 10637
Pfizer, PFIZER, INE182A01018, 2, 242, Mid Cap, 10471
Dish tv, DISHTV, INE836F01026, 5, 244, Mid Cap, 10293
Avanti feeds, AVANTI, INE871C01038, 2, 248, Mid Cap, 10075
Engineers, ENGINERSIN, INE510A01028, 5, 249, Mid Cap, 10023
Eih, EIHOTEL, INE230A01023, 3, 250, Mid Cap, 9984
Thomas cook, THOMASCOOK, INE332A01027, 2, 256, Small Cap, 9750
V guard industries, VGUARD, INE951I01027, 2, 258, Small Cap, 9694
Bata, BATAINDIA, INE176A01028, 5, 259, Small Cap, 9668
Blue dart express, BLUEDART, INE233B01017, 4, 262, Small Cap, 9480
Manappuram finance, MANAPPURAM, INE522D01027, 2, 263, Small Cap, 9446
Kajaria ceramics, KAJARIACER, INE217B01036, 2, 265, Small Cap, 9337
Skf, SKFINDIA, INE640A01023, 2, 266, Small Cap, 9231
Mahindra cie automotive, MAHFORG, INE536H01010, 2, 269, Small Cap, 8894
Basf, BASF, INE373A01013, 2, 270, Small Cap, 8866
Aegis logistics, AEGISLOG, INE208C01025, 2, 271, Small Cap, 8839
Akzo nobel, AKZOINDIA, INE133A01011, 2, 272, Small Cap, 8818
Aster dm healthcare, ASTERDM, INE914M01019, 5, 273, Small Cap, 8715
Asahi glass, ASAHIINDIA, INE439A01020, 2, 277, Small Cap, 8514
Relaxo footwears, RELAXO, INE131B01039, 5, 283, Small Cap, 7966
Future lifestyle fashions, FLFL, INE452O01016, 2, 285, Small Cap, 7812
Ttk prestige, TTKPRESTIG, INE690A01010, 5, 287, Small Cap, 7718
Fortis healthcare, FORTIS, INE061F01013, 2, 290, Small Cap, 7610
Sheela foam, SFL, INE916U01025, 2, 292, Small Cap, 7498
Dr lal pathlabs, LALPATHLAB, INE600L01024, 2, 295, Small Cap, 7345
Blue star, BLUESTARCO, INE472A01039, 2, 296, Small Cap, 7184
Ncc, NAGARCON, INE868B01028, 2, 298, Small Cap, 7145
Century plyboards, CENTURYPLY, INE348B01021, 3, 307, Small Cap, 6953
Chambal fertilisers chemicals, CHAMBLFERT, INE085A01013, 2, 311, Small Cap, 6886
Johnson controls hitachi air conditioning, JCHAC, INE782A01015, 2, 313, Small Cap, 6849
Carborundum universal, CARBORUNIV, INE120A01034, 2, 314, Small Cap, 6773
Coffee day enterprises, COFFEEDAY, INE335K01011, 2, 318, Small Cap, 6589
Pvr, PVR, INE191H01014, 5, 321, Small Cap, 6383
Ceat, CEATLTD, INE482A01020, 2, 322, Small Cap, 6340
Jain irrigation systems, JISLJALEQS, INE175A01038, 2, 336, Small Cap, 5748
Grindwell norton, GRINDWELL, INE536A01023, 2, 339, Small Cap, 5710
Lemon tree hotels, LEMONTREE, INE970X01018, 2, 340, Small Cap, 5662
Narayana hrudayalaya, NH, INE410P01011, 3, 342, Small Cap, 5605
Westlife development, WESTLIFE, INE274F01020, 2, 344, Small Cap, 5534
Vip industries, VIPIND, INE054A01027, 5, 351, Small Cap, 5321
Ifb industries, IFBIND, INE559A01017, 2, 356, Small Cap, 5242
Eid parry, EIDPARRY, INE126A01031, 3, 365, Small Cap, 5084
Sobha, SOBHA, INE671H01015, 2, 366, Small Cap, 5082
Vst industries, VSTIND, INE710A01016, 2, 375, Small Cap, 4774
Shoppers stop, SHOPERSTOP, INE498B01024, 2, 376, Small Cap, 4767
Tube investments, TIINDIA, INE974X01010, 2, 383, Small Cap, 4643
Venkys, VENKYS, INE398A01010, 2, 384, Small Cap, 4628
Monsanto, MONSANTO, INE274B01011, 5, 387, Small Cap, 4596
Tata investment corporation, TATAINVEST, INE672A01018, 2, 396, Small Cap, 4512
Bse, BSE, INE118H01025, 2, 398, Small Cap, 4493
Godfrey phillips, GODFRYPHLP, INE260B01028, 2, 403, Small Cap, 4457
Rallis, RALLIS, INE613A01020, 2, 404, Small Cap, 4432
Mahindra holidays resorts, MHRIL, INE998I01010, 5, 411, Small Cap, 4287
Cera sanitaryware, CERA, INE739E01017, 2, 416, Small Cap, 4188
Essel propack, ESSELPRO, INE255A01020, 2, 421, Small Cap, 4148
Cox kings, COX&KINGS, INE008I01026, 2, 422, Small Cap, 4137
Multi commodity exchange, MCX, INE745G01035, 2, 428, Small Cap, 4005
Care ratings, CARERATING, INE752H01013, 2, 438, Small Cap, 3882
Greenply industries, GREENPLY, INE461C01038, 2, 439, Small Cap, 3867
Allcargo logistics, ALLCARGO, INE418H01029, 2, 440, Small Cap, 3838
India tourism development corporati, ITDC, INE353K01014, 2, 442, Small Cap, 3837
Icra, ICRA, INE725G01011, 5, 450, Small Cap, 3666
Brigade enterprises, BRIGADE, INE791I01019, 2, 454, Small Cap, 3633
Vrl logistics, VRLLOG, INE366I01010, 2, 456, Small Cap, 3628
Mahindra logistics, MAHLOG, INE766P01016, 2, 458, Small Cap, 3624
Jk tyre industries, JKTYRE, INE573A01042, 2, 467, Small Cap, 3460
Kaveri seed company, KSCL, INE455I01029, 3, 473, Small Cap, 3383
Shipping corporation, SCI, INE109A01011, 3, 475, Small Cap, 3361
Puravankara, PURVA, INE323I01011, 2, 477, Small Cap, 3353
Central depository services, CDSL, INE736A01011, 2, 489, Small Cap, 3183
Ksb pumps, KSBPUMPS, INE999A01015, 2, 509, Micro Cap, 2860
Greenlam industries, GRNLAMIND, INE544R01013, 2, 511, Micro Cap, 2841
Somany ceramics, SOMANYCERA, INE355A01028, 2, 514, Micro Cap, 2814
Hsil, HSIL, INE415A01038, 2, 521, Micro Cap, 2771
Future supply chain solutions, FSC, INE935Q01015, 2, 528, Micro Cap, 2709
Uflex, UFLEX, INE516A01017, 2, 543, Micro Cap, 2573
Nilkamal, NILKAMAL, INE310A01015, 2, 544, Micro Cap, 2573
Eveready industries, EVEREADY, INE128A01029, 2, 554, Micro Cap, 2509
Huhtamaki ppl, PAPERPROD, INE275B01026, 2, 567, Micro Cap, 2462
Tata coffee, TATACOFFEE, INE493A01027, 5, 569, Micro Cap, 2449
Vsttillers tractors, VSTTILLERS, INE764D01017, 2, 580, Micro Cap, 2289
Shree renuka sugars, RENUKA, INE087H01022, 2, 601, Micro Cap, 2159
Balrampur chini mills, BALRAMCHIN, INE119A01028, 2, 607, Micro Cap, 2136
Wonderla holidays, WONDERLA, INE066O01014, 2, 620, Micro Cap, 2050
Asian granito, ASIANTILES, INE022I01019, 2, 732, Micro Cap, 1425
Zee learn, ZEELEARN, INE565L01011, 2, 771, Nano Cap, 1260
Talwalkars better value fitness, TALWALKARS, INE502K01016, 2, 1062, Unknown Cap, 552
Summary, -, -, 1084, large 58 %, mid 23 %, small 18 %
Ideal, -, -, 100, large 65-70 %, mid 20 %, small 10-15 %
