comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
State bank, SBIN, INE062A01020, 0, 10, Large Cap, 234343
Mahindra mahindra, M&M, INE101A01026, 0, 30, Large Cap, 99800
Yes bank, YESBANK, INE528G01027, 0, 40, Large Cap, 75861
Bharti infratel, INFRATEL, INE121J01017, 0, 53, Large Cap, 61031
Sun tv network, SUNTV, INE424H01027, 0, 78, Large Cap, 36464
Aditya birla capital, ABCAPITAL, INE674K01013, 0, 86, Large Cap, 34583
Oracle financial services software, OFSS, INE881D01027, 0, 87, Large Cap, 34340
Steel authority, SAIL, INE114A01011, 0, 88, Large Cap, 33647
Bharat forge, BHARATFORG, INE465A01025, 0, 90, Large Cap, 33221
Bajaj holdings investment, BAJAJHLDNG, INE118A01012, 0, 98, Large Cap, 30644
Divis laboratories, DIVISLAB, INE361B01024, 0, 104, Mid Cap, 28918
Punjab national bank, PNB, INE160A01022, 0, 106, Mid Cap, 28610
Oil, OIL, INE274J01014, 0, 112, Mid Cap, 26083
Edelweiss financial services, EDELWEISS, INE532F01054, 0, 116, Mid Cap, 25700
Dalmia bharat, DALMIABHA, INE439L01019, 0, 119, Mid Cap, 24996
Alkem laboratories, ALKEM, INE540L01014, 0, 121, Mid Cap, 24601
Torrent pharmaceuticals, TORNTPHARM, INE685A01028, 0, 123, Mid Cap, 23181
Jindal steel power, JINDALSTEL, INE749A01030, 0, 125, Mid Cap, 22991
Gruh finance, GRUH, INE580B01029, 0, 129, Mid Cap, 21963
Rbl bank, RBLBANK, INE976G01028, 0, 133, Mid Cap, 21223
Pnb housing finance, PNBHOUSING, INE572E01012, 0, 134, Mid Cap, 20749
Indraprashtha gas, IGL, INE203G01027, 0, 136, Mid Cap, 20204
Vakrangee, VAKRANG, INE051B01021, 0, 137, Mid Cap, 19910
Mangalore refinery petrochemicals, MRPL, INE103A01014, 0, 142, Mid Cap, 19398
Sundaram finance, SUNDARMFIN, INE660A01013, 0, 143, Mid Cap, 19362
Au small finance bank, AUBANK, INE949L01017, 0, 145, Mid Cap, 18832
Idbi bank, IDBI, INE008A01015, 0, 147, Mid Cap, 18589
Federal bank, FEDERALBNK, INE171A01029, 0, 148, Mid Cap, 18519
Canara bank, CANBK, INE476A01014, 0, 149, Mid Cap, 18514
The ramco cements, RAMCOCEM, INE331A01037, 0, 153, Mid Cap, 18170
Tata communications, TATACOMM, INE151A01013, 0, 154, Mid Cap, 17902
Mphasis, MPHASIS, INE356A01018, 0, 155, Mid Cap, 17875
Oberoi realty, OBEROIREAL, INE093I01010, 0, 159, Mid Cap, 17287
Kiocl, KIOCL, INE880L01014, 0, 160, Mid Cap, 16803
Idfc bank, IDFCBANK, INE092T01019, 0, 161, Mid Cap, 16715
Central bank, CENTRALBK, INE483A01010, 0, 165, Mid Cap, 16195
Bank, BANKINDIA, INE084A01016, 0, 166, Mid Cap, 16121
Indian bank, INDIANB, INE562A01011, 0, 168, Mid Cap, 15942
Motilal oswal financial services, MOTILALOFS, INE338I01027, 0, 170, Mid Cap, 15738
Reliance nippon life asset management, RNAM, INE298J01013, 0, 172, Mid Cap, 15713
Indiabulls ventures, IBVENTURES, INE274G01010, 0, 175, Mid Cap, 15401
Natco pharma, NATCOPHARM, INE987B01026, 0, 176, Mid Cap, 15306
Bharat financial inclusion, BHARATFIN, INE180K01011, 0, 178, Mid Cap, 15241
Graphite, GRAPHITE, INE371A01025, 0, 184, Mid Cap, 14698
Shriram city union finance, SHRIRAMCIT, INE722A01011, 0, 187, Mid Cap, 14176
Mindtree, MINDTREE, INE018I01017, 0, 189, Mid Cap, 14046
Aia engineering, AIAENG, INE212H01026, 0, 190, Mid Cap, 14029
Thermax, THERMAX, INE152A01029, 0, 192, Mid Cap, 13876
Dilip buildcon, DBL, INE917M01012, 0, 194, Mid Cap, 13554
Sjvn, SJVN, INE002L01015, 0, 195, Mid Cap, 13496
Max financial services, MFSL, INE180A01020, 0, 197, Mid Cap, 13247
Sterlite technologies, STRTECH, INE089C01029, 0, 198, Mid Cap, 13244
Jubilant life sciences, JUBILANTORG, INE700A01033, 0, 199, Mid Cap, 13186
Cesc, CESC, INE486A01013, 0, 200, Mid Cap, 13119
Jsw energy, JSWENERGY, INE121E01018, 0, 201, Mid Cap, 13027
Century textiles industries, CENTURYTEX, INE055A01016, 0, 202, Mid Cap, 13016
Torrent power, TORNTPOWER, INE813H01021, 0, 209, Mid Cap, 12179
Sundram fasteners, SUNDRMFAST, INE387A01021, 0, 210, Mid Cap, 12169
Symphony, SYMPHONY, INE225D01027, 0, 212, Mid Cap, 12043
Syngene international, SYNGENE, INE398R01022, 0, 214, Mid Cap, 11974
Reliance infrastructure, RELINFRA, INE036A01016, 0, 216, Mid Cap, 11927
City union bank, CUB, INE491A01021, 0, 217, Mid Cap, 11856
Heg, HEG, INE545A01016, 0, 218, Mid Cap, 11831
Hexaware technologies, HEXAWARE, INE093A01033, 0, 219, Mid Cap, 11724
Gujarat gas, GUJGAS, INE844O01022, 0, 220, Mid Cap, 11684
Jm financial, JMFINANCIL, INE780C01023, 0, 221, Mid Cap, 11651
Reliance power, RPOWER, INE614G01033, 0, 223, Mid Cap, 11458
Reliance capital, RELCAPITAL, INE013A01015, 0, 224, Mid Cap, 11445
Gmr infrastructure, GMRINFRA, INE776C01039, 0, 226, Mid Cap, 11423
Ajanta pharma, AJANTPHARM, INE031B01049, 0, 228, Mid Cap, 11293
Srf, SRF, INE647A01010, 0, 229, Mid Cap, 11244
Rain industries, RAIN, INE855B01025, 0, 230, Mid Cap, 11200
Gujarat state petronet, GSPL, INE246F01010, 0, 234, Mid Cap, 10819
Escorts, ESCORTS, INE042A01014, 0, 235, Mid Cap, 10803
Astral poly technik, ASTRAL, INE006I01046, 0, 236, Mid Cap, 10735
Adani power, ADANIPOWER, INE814H01011, 0, 237, Mid Cap, 10730
Eris lifesciences, ERIS, INE406M01024, 0, 239, Mid Cap, 10618
Sun pharma advanced research company, SPARC, INE232I01014, 0, 240, Mid Cap, 10504
Finolex cables, FINCABLES, INE235A01022, 0, 241, Mid Cap, 10486
Tv18 broadcast, IBN18, INE886H01027, 0, 243, Mid Cap, 10351
Union bank, UNIONBANK, INE692A01016, 0, 245, Mid Cap, 10221
Bombay burmah trading, BBTC, INE050A01025, 0, 246, Mid Cap, 10180
Minda industries, MINDAIND, INE405E01023, 0, 247, Mid Cap, 10156
Solar industries, SOLARINDS, INE343H01029, 0, 251, Small Cap, 9850
Kec international, KEC, INE389H01022, 0, 252, Small Cap, 9824
Alembic pharmaceuticals, APLLTD, INE901L01018, 0, 253, Small Cap, 9778
Sundaram clayton, SUNCLAYLTD, INE105A01035, 0, 254, Small Cap, 9761
Aarti industries, AARTIIND, INE769A01020, 0, 255, Small Cap, 9761
Ge t&d, GET&D, INE200A01026, 0, 257, Small Cap, 9704
The phoenix mills, PHOENIXLTD, INE211B01039, 0, 260, Small Cap, 9608
Indiabulls real estate, IBREALEST*, INE069I01010, 0, 261, Small Cap, 9551
Mahanagar gas, MGL, INE002S01010, 0, 264, Small Cap, 9338
Gujarat fluorochemicals, GUJFLUORO, INE538A01037, 0, 268, Small Cap, 8900
Aster dm healthcare, ASTERDM, INE914M01019, 0, 273, Small Cap, 8715
Security intelligence services, SIS, INE285J01010, 0, 274, Small Cap, 8623
Infibeam incorporation, INFIBEAM, INE483S01020, 0, 275, Small Cap, 8548
Wockhardt, WOCKPHARMA, INE049B01025, 0, 276, Small Cap, 8527
Idfc, IDFC, INE043D01016, 0, 278, Small Cap, 8500
Irb infrastructure developers, IRB, INE821I01014, 0, 279, Small Cap, 8326
Ipca laboratories, IPCALAB, INE571A01020, 0, 280, Small Cap, 8287
Atul, ATUL, INE100A01010, 0, 281, Small Cap, 8148
Finolex industries, FINOLEXIND, INE183A01016, 0, 282, Small Cap, 7972
Lakshmi machine works, LAXMIMACH, INE269B01029, 0, 284, Small Cap, 7895
Karur vysya bank, KARURVYSYA, INE036D01028, 0, 286, Small Cap, 7771
Delta corp, DELTACORP, INE124G01033, 0, 288, Small Cap, 7704
Cyient, CYIENT, INE136B01020, 0, 289, Small Cap, 7665
Spicejet, SPICEJET, INE285B01017, 0, 291, Small Cap, 7597
Ocl, OCL, INE290B01025, 0, 293, Small Cap, 7442
Vardhman textiles limted, VTL, INE825A01012, 0, 294, Small Cap, 7397
